"Nom de la Station","HALL BEACH AWOS"
"Province","NUNAVUT"
"Latitude","68,78"
"Longitude","-81,24"
"Altitude","9,10"
"Identification Climat","2402352"
"Identification OMM","71081"
"Identification TC","YUX"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2009-08-01 00:00","2009","08","01","00:00"," ","5,70","","3,20","","84,00","","19,00","","9,00","","15,00","","101,10","","","","","",""
"2009-08-01 01:00","2009","08","01","01:00"," ","4,70","","3,40","","91,00","","11,00","","7,00","","15,00","","101,12","","","","","",""
"2009-08-01 02:00","2009","08","01","02:00"," ","3,90","","3,00","","94,00","","13,00","","13,00","","15,00","","101,13","","","","","",""
"2009-08-01 03:00","2009","08","01","03:00"," ","3,70","","2,90","","94,00","","15,00","","6,00","","15,00","","101,15","","","","","",""
"2009-08-01 04:00","2009","08","01","04:00"," ","4,00","","2,90","","93,00","","13,00","","4,00","","15,00","","101,16","","","","","",""
"2009-08-01 05:00","2009","08","01","05:00"," ","4,70","","3,10","","89,00","","0,00","","0,00","","15,00","","101,15","","","","","",""
"2009-08-01 06:00","2009","08","01","06:00"," ","5,70","","4,20","","90,00","","16,00","","7,00","","15,00","","101,18","","","","","",""
"2009-08-01 07:00","2009","08","01","07:00"," ","6,70","","4,70","","87,00","","13,00","","4,00","","8,00","","101,21","","","","","",""
"2009-08-01 08:00","2009","08","01","08:00"," ","8,50","","5,20","","80,00","","16,00","","4,00","","15,00","","101,20","","","","","",""
"2009-08-01 09:00","2009","08","01","09:00"," ","10,80","","6,40","","74,00","","13,00","","6,00","","15,00","","101,22","","","","","",""
"2009-08-01 10:00","2009","08","01","10:00"," ","10,40","","6,60","","77,00","","15,00","","9,00","","8,00","","101,23","","","","","",""
"2009-08-01 11:00","2009","08","01","11:00"," ","11,80","","7,50","","75,00","","16,00","","6,00","","5,60","","101,22","","","","","",""
"2009-08-01 12:00","2009","08","01","12:00"," ","14,50","","8,30","","66,00","","19,00","","6,00","","15,00","","101,23","","","","","",""
"2009-08-01 13:00","2009","08","01","13:00"," ","12,80","","7,70","","71,00","","15,00","","7,00","","15,00","","101,25","","","","","",""
"2009-08-01 14:00","2009","08","01","14:00"," ","14,90","","8,60","","66,00","","0,00","","0,00","","4,80","","101,27","","","","","",""
"2009-08-01 15:00","2009","08","01","15:00"," ","16,30","","8,40","","59,00","","5,00","","6,00","","15,00","","101,26","","","","","",""
"2009-08-01 16:00","2009","08","01","16:00"," ","15,20","","8,20","","63,00","","0,00","","0,00","","9,70","","101,26","","","","","",""
"2009-08-01 17:00","2009","08","01","17:00"," ","15,20","","8,40","","64,00","","0,00","","0,00","","15,00","","101,26","","","","","",""
"2009-08-01 18:00","2009","08","01","18:00"," ","14,80","","8,80","","67,00","","0,00","","0,00","","2,70","","101,26","","","","","",""
"2009-08-01 19:00","2009","08","01","19:00"," ","14,10","","9,20","","72,00","","0,00","","0,00","","15,00","","101,26","","","","","",""
"2009-08-01 20:00","2009","08","01","20:00"," ","15,10","","10,70","","75,00","","0,00","","0,00","","15,00","","101,26","","","","","",""
"2009-08-01 21:00","2009","08","01","21:00"," ","14,40","","11,00","","80,00","","23,00","","15,00","","15,00","","101,26","","","","","",""
"2009-08-01 22:00","2009","08","01","22:00"," ","13,10","","10,80","","86,00","","23,00","","13,00","","15,00","","101,26","","","","","",""
"2009-08-01 23:00","2009","08","01","23:00"," ","12,30","","10,70","","90,00","","22,00","","6,00","","15,00","","101,25","","","","","",""
"2009-08-02 00:00","2009","08","02","00:00"," ","11,40","","9,80","","90,00","","22,00","","7,00","","15,00","","101,22","","","","","",""
"2009-08-02 01:00","2009","08","02","01:00"," ","11,10","","9,70","","91,00","","21,00","","11,00","","15,00","","101,20","","","","","",""
"2009-08-02 02:00","2009","08","02","02:00"," ","10,90","","9,70","","92,00","","23,00","","13,00","","15,00","","101,18","","","","","",""
"2009-08-02 03:00","2009","08","02","03:00"," ","9,30","","8,60","","95,00","","28,00","","9,00","","15,00","","101,20","","","","","",""
"2009-08-02 04:00","2009","08","02","04:00"," ","10,30","","9,80","","97,00","","32,00","","9,00","","15,00","","101,21","","","","","",""
"2009-08-02 05:00","2009","08","02","05:00"," ","10,90","","10,20","","95,00","","34,00","","11,00","","15,00","","101,20","","","","","",""
"2009-08-02 06:00","2009","08","02","06:00"," ","12,50","","11,10","","91,00","","32,00","","6,00","","15,00","","101,19","","","","","",""
"2009-08-02 07:00","2009","08","02","07:00"," ","11,40","","9,80","","90,00","","3,00","","4,00","","15,00","","101,19","","","","","",""
"2009-08-02 08:00","2009","08","02","08:00"," ","11,40","","9,20","","86,00","","3,00","","6,00","","15,00","","101,22","","","","","",""
"2009-08-02 09:00","2009","08","02","09:00"," ","12,00","","8,80","","81,00","","9,00","","9,00","","15,00","","101,21","","","","","",""
"2009-08-02 10:00","2009","08","02","10:00"," ","11,20","","8,20","","82,00","","10,00","","11,00","","15,00","","101,19","","","","","",""
"2009-08-02 11:00","2009","08","02","11:00"," ","10,10","","7,90","","86,00","","12,00","","11,00","","15,00","","101,17","","","","","",""
"2009-08-02 12:00","2009","08","02","12:00"," ","10,90","","7,90","","82,00","","17,00","","9,00","","12,90","","101,16","","","","","",""
"2009-08-02 13:00","2009","08","02","13:00"," ","12,50","","8,10","","75,00","","15,00","","13,00","","15,00","","101,15","","","","","",""
"2009-08-02 14:00","2009","08","02","14:00"," ","12,10","","8,40","","78,00","","17,00","","15,00","","15,00","","101,13","","","","","",""
"2009-08-02 15:00","2009","08","02","15:00"," ","12,10","","8,90","","81,00","","17,00","","15,00","","15,00","","101,10","","","","","",""
"2009-08-02 16:00","2009","08","02","16:00"," ","13,30","","9,60","","78,00","","18,00","","22,00","","15,00","","101,09","","","","","",""
"2009-08-02 17:00","2009","08","02","17:00"," ","14,40","","9,60","","73,00","","19,00","","17,00","","15,00","","101,10","","","","","",""
"2009-08-02 18:00","2009","08","02","18:00"," ","6,70","","5,20","","90,00","","12,00","","11,00","","15,00","","101,09","","","","","",""
"2009-08-02 19:00","2009","08","02","19:00"," ","6,80","","5,50","","91,00","","6,00","","15,00","","15,00","","101,10","","","","","",""
"2009-08-02 20:00","2009","08","02","20:00"," ","7,30","","6,30","","93,00","","11,00","","11,00","","15,00","","101,11","","","","","",""
"2009-08-02 21:00","2009","08","02","21:00"," ","6,70","","5,90","","95,00","","6,00","","4,00","","15,00","","101,11","","","","","",""
"2009-08-02 22:00","2009","08","02","22:00"," ","5,10","","4,20","","94,00","","6,00","","6,00","","14,50","","101,13","","","","","",""
"2009-08-02 23:00","2009","08","02","23:00"," ","5,90","","5,90","","100,00","","4,00","","15,00","","15,00","","101,12","","","","","",""
"2009-08-03 00:00","2009","08","03","00:00"," ","4,90","","4,80","","99,00","","8,00","","7,00","","6,40","","101,13","","","","","",""
"2009-08-03 01:00","2009","08","03","01:00"," ","5,80","","5,80","","100,00","","5,00","","7,00","","15,00","","101,14","","","","","",""
"2009-08-03 02:00","2009","08","03","02:00"," ","6,00","","6,00","","100,00","","35,00","","4,00","","15,00","","101,14","","","","","",""
"2009-08-03 03:00","2009","08","03","03:00"," ","6,60","","6,10","","97,00","","2,00","","11,00","","15,00","","101,13","","","","","",""
"2009-08-03 04:00","2009","08","03","04:00"," ","6,10","","5,60","","97,00","","36,00","","11,00","","15,00","","101,14","","","","","",""
"2009-08-03 05:00","2009","08","03","05:00"," ","5,70","","4,40","","91,00","","4,00","","6,00","","15,00","","101,16","","","","","",""
"2009-08-03 06:00","2009","08","03","06:00"," ","7,80","","5,40","","85,00","","1,00","","4,00","","15,00","","101,17","","","","","",""
"2009-08-03 07:00","2009","08","03","07:00"," ","8,70","","7,10","","90,00","","36,00","","11,00","","15,00","","101,16","","","","","",""
"2009-08-03 08:00","2009","08","03","08:00"," ","9,00","","7,20","","88,00","","1,00","","19,00","","15,00","","101,17","","","","","",""
"2009-08-03 09:00","2009","08","03","09:00"," ","8,10","","5,90","","86,00","","2,00","","20,00","","15,00","","101,18","","","","","",""
"2009-08-03 10:00","2009","08","03","10:00"," ","7,90","","5,30","","84,00","","2,00","","26,00","","15,00","","101,18","","","","","",""
"2009-08-03 11:00","2009","08","03","11:00"," ","8,50","","4,70","","77,00","","3,00","","24,00","","15,00","","101,18","","","","","",""
"2009-08-03 12:00","2009","08","03","12:00"," ","8,70","","4,70","","76,00","","3,00","","19,00","","15,00","","101,18","","","","","",""
"2009-08-03 13:00","2009","08","03","13:00"," ","9,90","","5,60","","75,00","","3,00","","19,00","","9,70","","101,16","","","","","",""
"2009-08-03 14:00","2009","08","03","14:00"," ","10,00","","5,70","","75,00","","3,00","","17,00","","11,30","","101,15","","","","","",""
"2009-08-03 15:00","2009","08","03","15:00"," ","10,30","","6,00","","75,00","","2,00","","17,00","","11,30","","101,14","","","","","",""
"2009-08-03 16:00","2009","08","03","16:00"," ","11,90","","6,80","","71,00","","1,00","","20,00","","15,00","","101,13","","","","","",""
"2009-08-03 17:00","2009","08","03","17:00"," ","10,80","","6,20","","73,00","","1,00","","20,00","","15,00","","101,14","","","","","",""
"2009-08-03 18:00","2009","08","03","18:00"," ","7,60","","4,70","","82,00","","4,00","","11,00","","15,00","","101,14","","","","","",""
"2009-08-03 19:00","2009","08","03","19:00"," ","8,00","","4,70","","80,00","","2,00","","15,00","","15,00","","101,13","","","","","",""
"2009-08-03 20:00","2009","08","03","20:00"," ","9,20","","3,90","","69,00","","1,00","","17,00","","15,00","","101,12","","","","","",""
"2009-08-03 21:00","2009","08","03","21:00"," ","8,30","","3,90","","74,00","","1,00","","15,00","","15,00","","101,11","","","","","",""
"2009-08-03 22:00","2009","08","03","22:00"," ","9,60","","5,80","","77,00","","36,00","","19,00","","15,00","","101,06","","","","","",""
"2009-08-03 23:00","2009","08","03","23:00"," ","10,00","","5,20","","72,00","","36,00","","20,00","","15,00","","101,04","","","","","",""
"2009-08-04 00:00","2009","08","04","00:00"," ","9,70","","4,10","","68,00","","36,00","","20,00","","15,00","","101,02","","","","","",""
"2009-08-04 01:00","2009","08","04","01:00"," ","8,60","","4,20","","74,00","","36,00","","22,00","","15,00","","101,02","","","","","",""
"2009-08-04 02:00","2009","08","04","02:00"," ","8,30","","4,50","","77,00","","36,00","","22,00","","15,00","","100,98","","","","","",""
"2009-08-04 03:00","2009","08","04","03:00"," ","6,80","","4,40","","85,00","","1,00","","22,00","","15,00","","100,99","","","","","",""
"2009-08-04 04:00","2009","08","04","04:00"," ","6,40","","4,20","","86,00","","36,00","","24,00","","15,00","","100,98","","","","","",""
"2009-08-04 05:00","2009","08","04","05:00"," ","6,90","","4,30","","83,00","","36,00","","24,00","","15,00","","100,96","","","","","",""
"2009-08-04 06:00","2009","08","04","06:00"," ","6,30","","4,10","","86,00","","36,00","","24,00","","15,00","","100,96","","","","","",""
"2009-08-04 07:00","2009","08","04","07:00"," ","6,80","","4,50","","85,00","","36,00","","28,00","","15,00","","100,97","","","","","",""
"2009-08-04 08:00","2009","08","04","08:00"," ","7,10","","4,50","","84,00","","36,00","","32,00","","15,00","","100,95","","","","","",""
"2009-08-04 09:00","2009","08","04","09:00"," ","7,30","","4,40","","82,00","","36,00","","35,00","","15,00","","100,92","","","","","",""
"2009-08-04 10:00","2009","08","04","10:00"," ","8,30","","5,10","","80,00","","36,00","","33,00","","15,00","","100,90","","","","","",""
"2009-08-04 11:00","2009","08","04","11:00"," ","8,50","","4,90","","78,00","","36,00","","33,00","","15,00","","100,87","","","","","",""
"2009-08-04 12:00","2009","08","04","12:00"," ","8,20","","4,20","","76,00","","1,00","","33,00","","15,00","","100,86","","","","","",""
"2009-08-04 13:00","2009","08","04","13:00"," ","9,30","","4,10","","70,00","","1,00","","33,00","","15,00","","100,85","","","","","",""
"2009-08-04 14:00","2009","08","04","14:00"," ","10,00","","3,40","","64,00","","1,00","","33,00","","15,00","","100,83","","","","","",""
