"Nom de la Station","POND INLET AWOS"
"Province","NUNAVUT"
"Latitude","72,69"
"Longitude","-77,97"
"Altitude","61,60"
"Identification Climat","2403202"
"Identification OMM","71095"
"Identification TC","YIO"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2010-03-01 00:00","2010","03","01","00:00"," ","-32,90","","-35,70","","76,00","","19,00","","15,00","","15,00","","100,92","","","","-45,00","",""
"2010-03-01 01:00","2010","03","01","01:00"," ","-32,70","","-35,70","","74,00","","19,00","","15,00","","15,00","","100,92","","","","-45,00","",""
"2010-03-01 02:00","2010","03","01","02:00"," ","-33,10","","-37,20","","67,00","","20,00","","7,00","","15,00","","100,94","","","","-41,00","",""
"2010-03-01 03:00","2010","03","01","03:00"," ","-33,00","","-37,30","","65,00","","20,00","","9,00","","15,00","","100,91","","","","-42,00","",""
"2010-03-01 04:00","2010","03","01","04:00"," ","-33,40","","-36,20","","76,00","","16,00","","9,00","","15,00","","100,91","","","","-43,00","",""
"2010-03-01 05:00","2010","03","01","05:00"," ","-33,40","","-36,80","","71,00","","17,00","","13,00","","15,00","","100,92","","","","-45,00","",""
"2010-03-01 06:00","2010","03","01","06:00"," ","-32,20","","-35,30","","74,00","","18,00","","15,00","","15,00","","100,93","","","","-44,00","",""
"2010-03-01 07:00","2010","03","01","07:00"," ","-32,70","","-35,50","","76,00","","17,00","","13,00","","15,00","","100,93","","","","-44,00","",""
"2010-03-01 08:00","2010","03","01","08:00"," ","-33,10","","-36,20","","74,00","","17,00","","11,00","","15,00","","100,94","","","","-43,00","",""
"2010-03-01 09:00","2010","03","01","09:00"," ","-33,30","","-36,00","","77,00","","21,00","","6,00","","15,00","","100,93","","","","-40,00","",""
"2010-03-01 10:00","2010","03","01","10:00"," ","-34,90","","-36,00","","90,00","","22,00","","7,00","","15,00","","100,95","","","","-43,00","",""
"2010-03-01 11:00","2010","03","01","11:00"," ","-34,60","","-36,70","","81,00","","20,00","","6,00","","15,00","","100,94","","","","-42,00","",""
"2010-03-01 12:00","2010","03","01","12:00"," ","-33,40","","-36,90","","71,00","","18,00","","9,00","","15,00","","100,93","","","","-43,00","",""
"2010-03-01 13:00","2010","03","01","13:00"," ","-32,80","","-35,90","","74,00","","19,00","","7,00","","15,00","","100,93","","","","-41,00","",""
"2010-03-01 14:00","2010","03","01","14:00"," ","-33,80","","-36,40","","77,00","","19,00","","9,00","","15,00","","100,93","","","","-43,00","",""
"2010-03-01 15:00","2010","03","01","15:00"," ","-32,70","","-35,30","","78,00","","19,00","","9,00","","15,00","","100,93","","","","-42,00","",""
"2010-03-01 16:00","2010","03","01","16:00"," ","-33,80","","-36,80","","74,00","","19,00","","7,00","","15,00","","100,97","","","","-42,00","",""
"2010-03-01 17:00","2010","03","01","17:00"," ","-33,80","","-37,00","","73,00","","19,00","","7,00","","15,00","","100,97","","","","-42,00","",""
"2010-03-01 18:00","2010","03","01","18:00"," ","-34,00","","-36,90","","75,00","","18,00","","9,00","","15,00","","100,97","","","","-43,00","",""
"2010-03-01 19:00","2010","03","01","19:00"," ","-34,10","","-37,90","","68,00","","20,00","","9,00","","15,00","","101,00","","","","-43,00","",""
"2010-03-01 20:00","2010","03","01","20:00"," ","-35,00","","-37,80","","76,00","","17,00","","9,00","","15,00","","101,03","","","","-45,00","",""
"2010-03-01 21:00","2010","03","01","21:00"," ","-34,60","","-37,80","","73,00","","19,00","","6,00","","15,00","","101,04","","","","-42,00","",""
"2010-03-01 22:00","2010","03","01","22:00"," ","-34,60","","-37,80","","73,00","","17,00","","6,00","","15,00","","101,02","","","","-42,00","",""
"2010-03-01 23:00","2010","03","01","23:00"," ","-35,20","","-38,20","","74,00","","21,00","","7,00","","15,00","","101,04","","","","-43,00","",""
"2010-03-02 00:00","2010","03","02","00:00"," ","-34,80","","-38,00","","73,00","","19,00","","7,00","","15,00","","101,04","","","","-43,00","",""
"2010-03-02 01:00","2010","03","02","01:00"," ","-35,00","","-39,00","","67,00","","18,00","","9,00","","15,00","","101,07","","","","-45,00","",""
"2010-03-02 02:00","2010","03","02","02:00"," ","-35,40","","-38,50","","73,00","","19,00","","6,00","","15,00","","101,11","","","","-43,00","",""
"2010-03-02 03:00","2010","03","02","03:00"," ","-34,60","","-38,50","","68,00","","16,00","","11,00","","15,00","","101,08","","","","-45,00","",""
"2010-03-02 04:00","2010","03","02","04:00"," ","-35,00","","-38,50","","70,00","","19,00","","6,00","","15,00","","101,09","","","","-42,00","",""
"2010-03-02 05:00","2010","03","02","05:00"," ","-35,60","","-38,80","","72,00","","14,00","","11,00","","15,00","","101,10","","","","-46,00","",""
"2010-03-02 06:00","2010","03","02","06:00"," ","-34,90","","-38,50","","70,00","","18,00","","13,00","","15,00","","101,11","","","","-47,00","",""
