"Nom de la Station","SASKATOON RCS"
"Province","SASKATCHEWAN"
"Latitude","52,17"
"Longitude","-106,72"
"Altitude","504,10"
"Identification Climat","4057165"
"Identification OMM","71496"
"Identification TC","POX"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2009-12-01 00:00","2009","12","01","00:00"," ","-1,20","","-2,80","","89,00","","31,00","","19,00","","","","94,67","","","","-7,00","","ND"
"2009-12-01 01:00","2009","12","01","01:00"," ","-1,50","","-3,40","","87,00","","31,00","","20,00","","","","94,74","","","","-7,00","","ND"
"2009-12-01 02:00","2009","12","01","02:00"," ","-3,60","","-5,10","","89,00","","31,00","","19,00","","","","94,82","","","","-10,00","","ND"
"2009-12-01 03:00","2009","12","01","03:00"," ","-5,10","","-6,00","","93,00","","31,00","","17,00","","","","94,93","","","","-11,00","","ND"
"2009-12-01 04:00","2009","12","01","04:00"," ","-3,40","","-5,30","","87,00","","32,00","","22,00","","","","95,00","","","","-10,00","","ND"
"2009-12-01 05:00","2009","12","01","05:00"," ","-3,20","","-5,20","","86,00","","32,00","","19,00","","","","95,04","","","","-9,00","","ND"
"2009-12-01 06:00","2009","12","01","06:00"," ","-2,80","","-5,70","","80,00","","32,00","","19,00","","","","95,11","","","","-9,00","","ND"
"2009-12-01 07:00","2009","12","01","07:00"," ","-4,70","","-7,30","","82,00","","31,00","","17,00","","","","95,17","","","","-11,00","","ND"
"2009-12-01 08:00","2009","12","01","08:00"," ","-5,90","","-8,20","","84,00","","31,00","","19,00","","","","95,22","","","","-13,00","","ND"
"2009-12-01 09:00","2009","12","01","09:00"," ","-5,70","","-8,00","","84,00","","32,00","","22,00","","","","95,31","","","","-13,00","","ND"
"2009-12-01 10:00","2009","12","01","10:00"," ","-5,90","","-7,50","","88,00","","32,00","","17,00","","","","95,36","","","","-12,00","","ND"
"2009-12-01 11:00","2009","12","01","11:00"," ","-4,20","","-5,70","","89,00","","31,00","","13,00","","","","95,42","","","","-9,00","","ND"
"2009-12-01 12:00","2009","12","01","12:00"," ","-3,10","","-5,60","","83,00","","33,00","","17,00","","","","95,42","","","","-9,00","","ND"
"2009-12-01 13:00","2009","12","01","13:00"," ","-4,30","","-5,70","","90,00","","1,00","","17,00","","","","95,43","","","","-10,00","","ND"
"2009-12-01 14:00","2009","12","01","14:00"," ","-4,10","","-6,00","","87,00","","35,00","","19,00","","","","95,47","","","","-10,00","","ND"
"2009-12-01 15:00","2009","12","01","15:00"," ","-4,70","","-5,80","","92,00","","34,00","","19,00","","","","95,51","","","","-11,00","","ND"
"2009-12-01 16:00","2009","12","01","16:00"," ","-5,50","","-6,80","","91,00","","35,00","","19,00","","","","95,59","","","","-12,00","","ND"
"2009-12-01 17:00","2009","12","01","17:00"," ","-6,80","","-8,40","","88,00","","1,00","","13,00","","","","95,66","","","","-12,00","","ND"
"2009-12-01 18:00","2009","12","01","18:00"," ","-6,30","","-9,60","","77,00","","35,00","","17,00","","","","95,69","","","","-13,00","","ND"
"2009-12-01 19:00","2009","12","01","19:00"," ","-6,90","","-8,80","","86,00","","35,00","","19,00","","","","95,77","","","","-14,00","","ND"
"2009-12-01 20:00","2009","12","01","20:00"," ","-7,40","","-10,10","","81,00","","34,00","","20,00","","","","95,83","","","","-15,00","","ND"
"2009-12-01 21:00","2009","12","01","21:00"," ","-7,10","","-9,70","","82,00","","32,00","","15,00","","","","95,87","","","","-13,00","","ND"
"2009-12-01 22:00","2009","12","01","22:00"," ","-7,30","","-9,40","","85,00","","32,00","","17,00","","","","95,93","","","","-14,00","","ND"
"2009-12-01 23:00","2009","12","01","23:00"," ","-7,40","","-9,40","","86,00","","32,00","","19,00","","","","95,98","","","","-14,00","","ND"
"2009-12-02 00:00","2009","12","02","00:00"," ","-7,40","","-9,10","","88,00","","34,00","","15,00","","","","96,04","","","","-14,00","","ND"
"2009-12-02 01:00","2009","12","02","01:00"," ","-7,40","","-9,40","","86,00","","35,00","","20,00","","","","96,12","","","","-15,00","","ND"
"2009-12-02 02:00","2009","12","02","02:00"," ","-7,80","","-9,70","","86,00","","35,00","","19,00","","","","96,17","","","","-15,00","","ND"
"2009-12-02 03:00","2009","12","02","03:00"," ","-7,80","","-9,60","","87,00","","35,00","","19,00","","","","96,22","","","","-15,00","","ND"
"2009-12-02 04:00","2009","12","02","04:00"," ","-8,20","","-9,80","","88,00","","35,00","","19,00","","","","96,30","","","","-15,00","","ND"
"2009-12-02 05:00","2009","12","02","05:00"," ","-9,20","","-10,50","","90,00","","35,00","","15,00","","","","96,35","","","","-16,00","","ND"
"2009-12-02 06:00","2009","12","02","06:00"," ","-9,60","","-10,60","","92,00","","33,00","","13,00","","","","96,40","","","","-16,00","","ND"
"2009-12-02 07:00","2009","12","02","07:00"," ","-8,30","","-10,10","","87,00","","1,00","","19,00","","","","96,47","","","","-16,00","","ND"
"2009-12-02 08:00","2009","12","02","08:00"," ","-8,50","","-10,30","","87,00","","1,00","","19,00","","","","96,53","","","","-16,00","","ND"
"2009-12-02 09:00","2009","12","02","09:00"," ","-8,90","","-10,40","","89,00","","36,00","","17,00","","","","96,58","","","","-16,00","","ND"
"2009-12-02 10:00","2009","12","02","10:00"," ","-8,70","","-10,40","","87,00","","1,00","","17,00","","","","96,63","","","","-16,00","","ND"
"2009-12-02 11:00","2009","12","02","11:00"," ","-8,80","","-10,40","","88,00","","36,00","","17,00","","","","96,68","","","","-16,00","","ND"
"2009-12-02 12:00","2009","12","02","12:00"," ","-8,50","","-10,60","","85,00","","1,00","","20,00","","","","96,72","","","","-16,00","","ND"
"2009-12-02 13:00","2009","12","02","13:00"," ","-8,70","","-11,20","","82,00","","36,00","","19,00","","","","96,72","","","","-16,00","","ND"
"2009-12-02 14:00","2009","12","02","14:00"," ","-7,70","","-11,00","","77,00","","1,00","","17,00","","","","96,74","","","","-14,00","","ND"
"2009-12-02 15:00","2009","12","02","15:00"," ","-7,80","","-10,90","","78,00","","36,00","","19,00","","","","96,76","","","","-15,00","","ND"
"2009-12-02 16:00","2009","12","02","16:00"," ","-8,60","","-11,50","","80,00","","36,00","","15,00","","","","96,78","","","","-15,00","","ND"
"2009-12-02 17:00","2009","12","02","17:00"," ","-11,80","","-13,20","","89,00","","35,00","","9,00","","","","96,85","","","","-17,00","","ND"
"2009-12-02 18:00","2009","12","02","18:00"," ","-13,00","","-14,00","","92,00","","35,00","","7,00","","","","96,86","","","","-18,00","","ND"
"2009-12-02 19:00","2009","12","02","19:00"," ","-15,20","","-16,50","","90,00","","35,00","","13,00","","","","96,84","","","","-23,00","","ND"
"2009-12-02 20:00","2009","12","02","20:00"," ","-15,60","","-17,00","","89,00","","1,00","","11,00","","","","96,88","","","","-22,00","","ND"
"2009-12-02 21:00","2009","12","02","21:00"," ","-17,80","","-19,30","","88,00","","36,00","","9,00","","","","96,89","","","","-24,00","","ND"
"2009-12-02 22:00","2009","12","02","22:00"," ","-18,40","","-19,80","","89,00","","32,00","","11,00","","","","96,90","","","","-26,00","","ND"
"2009-12-02 23:00","2009","12","02","23:00"," ","-14,80","","-15,90","","91,00","","32,00","","7,00","","","","96,92","","","","-20,00","","ND"
"2009-12-03 00:00","2009","12","03","00:00"," ","-13,50","","-14,60","","91,00","","31,00","","6,00","","","","96,92","","","","-18,00","","ND"
"2009-12-03 01:00","2009","12","03","01:00"," ","-12,60","","-13,70","","91,00","","31,00","","4,00","","","","96,88","","","","-15,00","","ND"
"2009-12-03 02:00","2009","12","03","02:00"," ","-11,30","","-12,40","","92,00","","32,00","","7,00","","","","96,87","","","","-16,00","","ND"
"2009-12-03 03:00","2009","12","03","03:00"," ","-11,30","","-12,70","","89,00","","33,00","","7,00","","","","96,89","","","","-16,00","","ND"
"2009-12-03 04:00","2009","12","03","04:00"," ","-11,50","","-13,00","","89,00","","32,00","","6,00","","","","96,89","","","","-15,00","","ND"
"2009-12-03 05:00","2009","12","03","05:00"," ","-11,40","","-13,60","","84,00","","33,00","","15,00","","","","96,87","","","","-18,00","","ND"
"2009-12-03 06:00","2009","12","03","06:00"," ","-11,30","","-13,10","","87,00","","32,00","","7,00","","","","96,87","","","","-16,00","","ND"
"2009-12-03 07:00","2009","12","03","07:00"," ","-11,20","","-12,90","","87,00","","30,00","","6,00","","","","96,88","","","","-15,00","","ND"
"2009-12-03 08:00","2009","12","03","08:00"," ","-11,50","","-13,30","","86,00","","30,00","","9,00","","","","96,84","","","","-17,00","","ND"
"2009-12-03 09:00","2009","12","03","09:00"," ","-11,90","","-13,50","","88,00","","28,00","","9,00","","","","96,82","","","","-17,00","","ND"
"2009-12-03 10:00","2009","12","03","10:00"," ","-11,80","","-13,70","","86,00","","27,00","","9,00","","","","96,80","","","","-17,00","","ND"
"2009-12-03 11:00","2009","12","03","11:00"," ","-11,70","","-13,70","","85,00","","29,00","","11,00","","","","96,79","","","","-18,00","","ND"
"2009-12-03 12:00","2009","12","03","12:00"," ","-11,40","","-13,50","","84,00","","30,00","","17,00","","","","96,78","","","","-19,00","","ND"
"2009-12-03 13:00","2009","12","03","13:00"," ","-10,50","","-12,80","","83,00","","30,00","","11,00","","","","96,71","","","","-16,00","","ND"
"2009-12-03 14:00","2009","12","03","14:00"," ","-9,80","","-12,30","","82,00","","29,00","","9,00","","","","96,66","","","","-15,00","","ND"
"2009-12-03 15:00","2009","12","03","15:00"," ","-10,20","","-13,00","","80,00","","29,00","","6,00","","","","96,58","","","","-14,00","","ND"
"2009-12-03 16:00","2009","12","03","16:00"," ","-10,30","","-13,50","","77,00","","25,00","","7,00","","","","96,53","","","","-14,00","","ND"
"2009-12-03 17:00","2009","12","03","17:00"," ","-14,90","","-16,80","","85,00","","24,00","","11,00","","","","96,51","","","","-21,00","","ND"
"2009-12-03 18:00","2009","12","03","18:00"," ","-16,80","","-17,70","","93,00","","22,00","","17,00","","","","96,44","","","","-26,00","","ND"
"2009-12-03 19:00","2009","12","03","19:00"," ","-18,30","","-19,80","","88,00","","23,00","","15,00","","","","96,37","","","","-27,00","","ND"
"2009-12-03 20:00","2009","12","03","20:00"," ","-19,20","","-20,90","","86,00","","23,00","","13,00","","","","96,30","","","","-27,00","","ND"
"2009-12-03 21:00","2009","12","03","21:00"," ","-19,40","","-20,90","","88,00","","21,00","","9,00","","","","96,23","","","","-26,00","","ND"
"2009-12-03 22:00","2009","12","03","22:00"," ","-17,30","","-18,70","","89,00","","21,00","","11,00","","","","96,12","","","","-24,00","","ND"
"2009-12-03 23:00","2009","12","03","23:00"," ","-15,80","","-16,90","","91,00","","20,00","","9,00","","","","96,01","","","","-22,00","","ND"
"2009-12-04 00:00","2009","12","04","00:00"," ","-14,70","","-15,80","","91,00","","22,00","","11,00","","","","95,93","","","","-21,00","","ND"
"2009-12-04 01:00","2009","12","04","01:00"," ","-14,60","","-15,80","","91,00","","23,00","","13,00","","","","95,84","","","","-22,00","","ND"
"2009-12-04 02:00","2009","12","04","02:00"," ","-14,50","","-15,70","","91,00","","20,00","","11,00","","","","95,74","","","","-21,00","","ND"
"2009-12-04 03:00","2009","12","04","03:00"," ","-14,70","","-15,90","","91,00","","22,00","","11,00","","","","95,68","","","","-21,00","","ND"
"2009-12-04 04:00","2009","12","04","04:00"," ","-15,60","","-16,90","","90,00","","19,00","","7,00","","","","95,57","","","","-21,00","","ND"
