"Nom de la Station","LONDON INT'L AIRPORT"
"Province","ONTARIO"
"Latitude","43,03"
"Longitude","-81,15"
"Altitude","278,00"
"Identification Climat","6144475"
"Identification OMM","71623"
"Identification TC","YXU"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"1963-02-01 00:00","1963","02","01","00:00"," ","-20,60","","-22,20","","85,00","","9,00","","10,00","","6,40","","99,06","","","","-28,00","","Brume sèche"
"1963-02-01 01:00","1963","02","01","01:00"," ","-20,60","","-23,30","","79,00","","11,00","","11,00","","6,40","","99,01","","","","-28,00","","Brume sèche"
"1963-02-01 02:00","1963","02","01","02:00"," ","-18,30","","-20,60","","84,00","","11,00","","16,00","","4,80","","98,94","","","","-27,00","","Brume sèche"
"1963-02-01 03:00","1963","02","01","03:00"," ","-17,80","","-20,00","","84,00","","11,00","","5,00","","4,80","","98,92","","","","-22,00","","Brume sèche"
"1963-02-01 04:00","1963","02","01","04:00"," ","-16,70","","-18,30","","85,00","","7,00","","13,00","","6,40","","98,97","","","","-24,00","","Brume sèche"
"1963-02-01 05:00","1963","02","01","05:00"," ","-15,60","","-17,20","","86,00","","9,00","","18,00","","9,70","","98,99","","","","-24,00","","Brume sèche"
"1963-02-01 06:00","1963","02","01","06:00"," ","-15,00","","-17,20","","84,00","","9,00","","14,00","","9,70","","99,00","","","","-23,00","","Brume sèche"
"1963-02-01 07:00","1963","02","01","07:00"," ","-15,60","","-17,80","","82,00","","9,00","","19,00","","6,40","","98,95","","","","-25,00","","Brume sèche"
"1963-02-01 08:00","1963","02","01","08:00"," ","-16,10","","-18,90","","81,00","","9,00","","26,00","","6,40","","98,90","","","","-27,00","","Brume sèche"
"1963-02-01 09:00","1963","02","01","09:00"," ","-13,30","","-16,70","","76,00","","9,00","","23,00","","8,00","","98,89","","","","-23,00","","Brume sèche"
"1963-02-01 10:00","1963","02","01","10:00"," ","-11,70","","-16,10","","71,00","","11,00","","26,00","","9,70","","98,81","","","","-21,00","","Brume sèche"
"1963-02-01 11:00","1963","02","01","11:00"," ","-9,40","","-13,30","","72,00","","11,00","","31,00","","8,00","","98,75","","","","-19,00","","Brume sèche"
"1963-02-01 12:00","1963","02","01","12:00"," ","-7,80","","-11,10","","78,00","","9,00","","24,00","","8,00","","98,56","","","","-16,00","","Brume sèche"
"1963-02-01 13:00","1963","02","01","13:00"," ","-6,70","","-11,10","","70,00","","11,00","","23,00","","8,00","","98,51","","","","-14,00","","Brume sèche"
"1963-02-01 14:00","1963","02","01","14:00"," ","-6,10","","-11,10","","69,00","","11,00","","21,00","","8,00","","98,41","","","","-13,00","","Brume sèche"
