"Nom de la Station","SARNIA"
"Province","ONTARIO"
"Latitude","43,00"
"Longitude","-82,31"
"Altitude","181,40"
"Identification Climat","6127510"
"Identification OMM","71704"
"Identification TC","YZR"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2010-07-01 00:00","2010","07","01","00:00","**","12,00","","8,10","","","","0,00","","0,00","","16,10","","100,30","","","","","","ND"
"2010-07-01 01:00","2010","07","01","01:00","**","11,00","","8,10","","","","20,00","","4,00","","16,10","","100,33","","","","","","ND"
"2010-07-01 02:00","2010","07","01","02:00","**","10,00","","7,80","","","","0,00","","0,00","","16,10","","100,37","","","","","","ND"
"2010-07-01 03:00","2010","07","01","03:00","**","10,00","","7,80","","","","","M","4,00","","16,10","","100,39","","","","","","ND"
"2010-07-01 04:00","2010","07","01","04:00","**","9,00","","7,00","","","","29,00","","4,00","","16,10","","100,43","","","","","","ND"
"2010-07-01 05:00","2010","07","01","05:00","**","10,00","","7,40","","","","0,00","","0,00","","16,10","","100,46","","","","","","ND"
"2010-07-01 06:00","2010","07","01","06:00","**","13,00","","10,40","","","","29,00","","8,00","","16,10","","100,52","","","","","","ND"
"2010-07-01 07:00","2010","07","01","07:00","**","15,00","","10,50","","","","32,00","","15,00","","16,10","","100,54","","","","","","ND"
"2010-07-01 08:00","2010","07","01","08:00","**","17,00","","9,00","","","","34,00","","18,00","","16,10","","100,56","","","","","","ND"
"2010-07-01 09:00","2010","07","01","09:00","**","17,00","","8,00","","","","34,00","","15,00","","16,10","","100,60","","","","","","ND"
"2010-07-01 10:00","2010","07","01","10:00","**","18,00","","9,20","","","","35,00","","15,00","","16,10","","100,63","","","","","","ND"
"2010-07-01 11:00","2010","07","01","11:00","**","19,00","","10,70","","","","2,00","","11,00","","16,10","","100,59","","","","","","ND"
"2010-07-01 12:00","2010","07","01","12:00","**","19,00","","8,80","","","","36,00","","17,00","","16,10","","100,57","","","","","","ND"
"2010-07-01 13:00","2010","07","01","13:00","**","20,00","","6,10","","","","3,00","","21,00","","16,10","","100,57","","","","","","ND"
"2010-07-01 14:00","2010","07","01","14:00","**","20,00","","9,40","","","","3,00","","17,00","","16,10","","100,57","","","","","","ND"
"2010-07-01 15:00","2010","07","01","15:00","**","20,00","","10,30","","","","4,00","","17,00","","16,10","","100,54","","","","","","ND"
"2010-07-01 16:00","2010","07","01","16:00","**","20,00","","10,50","","","","2,00","","17,00","","16,10","","100,50","","","","","","ND"
"2010-07-01 17:00","2010","07","01","17:00","**","20,00","","7,20","","","","4,00","","21,00","","16,10","","100,45","","","","","","ND"
"2010-07-01 18:00","2010","07","01","18:00","**","19,00","","4,50","","","","4,00","","17,00","","16,10","","100,42","","","","","","ND"
"2010-07-01 19:00","2010","07","01","19:00","**","18,00","","6,30","","","","4,00","","11,00","","16,10","","100,41","","","","","","ND"
"2010-07-01 20:00","2010","07","01","20:00","**","17,00","","7,70","","","","","M","4,00","","16,10","","100,42","","","","","","ND"
"2010-07-01 21:00","2010","07","01","21:00","**","15,00","","7,90","","","","0,00","","0,00","","16,10","","100,46","","","","","","ND"
"2010-07-01 22:00","2010","07","01","22:00","**","13,00","","7,70","","","","0,00","","0,00","","16,10","","100,46","","","","","","ND"
"2010-07-01 23:00","2010","07","01","23:00","**","12,00","","8,50","","","","0,00","","0,00","","16,10","","100,47","","","","","","ND"
"2010-07-02 00:00","2010","07","02","00:00","**","12,00","","8,10","","","","16,00","","5,00","","16,10","","100,50","","","","","","ND"
"2010-07-02 01:00","2010","07","02","01:00","**","11,00","","8,30","","","","0,00","","0,00","","16,10","","100,50","","","","","","ND"
"2010-07-02 02:00","2010","07","02","02:00","**","11,00","","7,90","","","","19,00","","4,00","","16,10","","100,51","","","","","","ND"
"2010-07-02 03:00","2010","07","02","03:00","**","10,00","","7,60","","","","0,00","","0,00","","16,10","","100,52","","","","","","ND"
"2010-07-02 04:00","2010","07","02","04:00","**","9,00","","7,00","","","","15,00","","4,00","","16,10","","100,53","","","","","","ND"
"2010-07-02 05:00","2010","07","02","05:00","**","9,00","","6,60","","","","18,00","","8,00","","16,10","","100,53","","","","","","ND"
"2010-07-02 06:00","2010","07","02","06:00","**","10,00","","7,30","","","","17,00","","5,00","","16,10","","100,59","","","","","","ND"
"2010-07-02 07:00","2010","07","02","07:00","**","15,00","","8,80","","","","16,00","","5,00","","16,10","","100,61","","","","","","ND"
"2010-07-02 08:00","2010","07","02","08:00","**","18,00","","7,50","","","","17,00","","11,00","","16,10","","100,60","","","","","","ND"
"2010-07-02 09:00","2010","07","02","09:00","**","20,00","","7,20","","","","18,00","","11,00","","16,10","","100,55","","","","","","ND"
"2010-07-02 10:00","2010","07","02","10:00","**","21,00","","6,70","","","","11,00","","5,00","","16,10","","100,51","","","","","","ND"
"2010-07-02 11:00","2010","07","02","11:00","**","22,00","","6,40","","","","17,00","","5,00","","16,10","","100,47","","","","","","ND"
"2010-07-02 12:00","2010","07","02","12:00","**","23,00","","6,90","","","","","M","4,00","","16,10","","100,42","","","","","","ND"
"2010-07-02 13:00","2010","07","02","13:00","**","24,00","","6,50","","","","7,00","","8,00","","16,10","","100,34","","","","","","ND"
"2010-07-02 14:00","2010","07","02","14:00","**","24,00","","7,00","","","","","M","11,00","","16,10","","100,26","","","","","","ND"
"2010-07-02 15:00","2010","07","02","15:00","**","26,00","","7,80","","","","","M","11,00","","16,10","","100,20","","26,00","","","","ND"
"2010-07-02 16:00","2010","07","02","16:00","**","26,00","","7,80","","","","22,00","","13,00","","16,10","","100,14","","26,00","","","","ND"
"2010-07-02 17:00","2010","07","02","17:00","**","26,00","","7,30","","","","22,00","","15,00","","16,10","","100,09","","26,00","","","","ND"
"2010-07-02 18:00","2010","07","02","18:00","**","26,00","","6,30","","","","20,00","","11,00","","16,10","","100,05","","26,00","","","","ND"
"2010-07-02 19:00","2010","07","02","19:00","**","25,00","","8,30","","","","21,00","","15,00","","16,10","","100,01","","26,00","","","","ND"
"2010-07-02 20:00","2010","07","02","20:00","**","22,00","","7,20","","","","20,00","","11,00","","16,10","","100,00","","","","","","ND"
"2010-07-02 21:00","2010","07","02","21:00","**","20,00","","10,50","","","","19,00","","9,00","","16,10","","100,02","","","","","","ND"
"2010-07-02 22:00","2010","07","02","22:00","**","18,00","","11,90","","","","18,00","","11,00","","16,10","","100,02","","","","","","ND"
"2010-07-02 23:00","2010","07","02","23:00","**","17,00","","11,30","","","","19,00","","9,00","","16,10","","99,99","","","","","","ND"
