"Nom de la Station","SMITHERS A"
"Province","BRITISH COLUMBIA"
"Latitude","54,82"
"Longitude","-127,18"
"Altitude","521,80"
"Identification Climat","1077500"
"Identification OMM",""
"Identification TC","YYD"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"1977-12-01 00:00","1977","12","01","00:00"," ","-2,10","","-2,80","","95,00","","15,00","","7,00","","1,00","","95,29","","","","-5,00","","Neige"
"1977-12-01 01:00","1977","12","01","01:00"," ","-1,60","","-2,60","","93,00","","18,00","","9,00","","2,40","","95,10","","","","-5,00","","Neige"
"1977-12-01 02:00","1977","12","01","02:00"," ","-1,70","","-2,40","","95,00","","16,00","","6,00","","1,60","","94,94","","","","-4,00","","Neige"
"1977-12-01 03:00","1977","12","01","03:00"," ","-1,70","","-2,60","","94,00","","21,00","","9,00","","2,00","","94,71","","","","-5,00","","Neige"
"1977-12-01 04:00","1977","12","01","04:00"," ","-1,70","","-2,40","","95,00","","16,00","","9,00","","2,40","","94,45","","","","-5,00","","Neige"
"1977-12-01 05:00","1977","12","01","05:00"," ","-1,40","","-2,60","","91,00","","20,00","","9,00","","2,40","","94,29","","","","-5,00","","Neige"
"1977-12-01 06:00","1977","12","01","06:00"," ","-1,40","","-2,30","","94,00","","17,00","","6,00","","2,40","","94,13","","","","-4,00","","Neige"
"1977-12-01 07:00","1977","12","01","07:00"," ","-1,50","","-2,30","","94,00","","19,00","","9,00","","0,80","","93,94","","","","-5,00","","Neige modérée"
"1977-12-01 08:00","1977","12","01","08:00"," ","-1,60","","-2,60","","93,00","","22,00","","7,00","","1,20","","93,81","","","","-4,00","","Neige"
"1977-12-01 09:00","1977","12","01","09:00"," ","-1,40","","-2,60","","91,00","","0,00","","0,00","","1,60","","93,71","","","","","","Neige"
"1977-12-01 10:00","1977","12","01","10:00"," ","-1,70","","-2,70","","93,00","","0,00","","0,00","","3,20","","93,68","","","","","","Neige"
"1977-12-01 11:00","1977","12","01","11:00"," ","-1,30","","-2,30","","93,00","","0,00","","0,00","","2,40","","93,68","","","","","","Averses de neige"
"1977-12-01 12:00","1977","12","01","12:00"," ","-0,90","","-2,10","","91,00","","0,00","","0,00","","1,60","","93,61","","","","","","Averses de neige"
"1977-12-01 13:00","1977","12","01","13:00"," ","-1,10","","-2,20","","92,00","","0,00","","0,00","","2,40","","93,55","","","","","","Averses de neige"
"1977-12-01 14:00","1977","12","01","14:00"," ","-1,10","","-2,20","","92,00","","0,00","","0,00","","2,40","","93,52","","","","","","Averses de neige"
"1977-12-01 15:00","1977","12","01","15:00"," ","-1,30","","-2,30","","93,00","","0,00","","0,00","","1,60","","93,58","","","","","","Neige"
"1977-12-01 16:00","1977","12","01","16:00"," ","-1,20","","-2,30","","92,00","","0,00","","0,00","","2,40","","93,61","","","","","","Neige"
"1977-12-01 17:00","1977","12","01","17:00"," ","-1,70","","-2,50","","94,00","","0,00","","0,00","","12,90","","93,71","","","","","","Neige"
"1977-12-01 18:00","1977","12","01","18:00"," ","-1,70","","-2,60","","94,00","","0,00","","0,00","","4,80","","93,71","","","","","","Neige"
"1977-12-01 19:00","1977","12","01","19:00"," ","-2,70","","-3,20","","96,00","","0,00","","0,00","","4,80","","93,78","","","","","","Averses de neige"
"1977-12-01 20:00","1977","12","01","20:00"," ","-2,50","","-3,40","","94,00","","0,00","","0,00","","4,80","","93,78","","","","","","Neige"
"1977-12-01 21:00","1977","12","01","21:00"," ","-2,30","","-2,90","","96,00","","0,00","","0,00","","4,80","","93,78","","","","","","Neige"
"1977-12-01 22:00","1977","12","01","22:00"," ","-2,70","","-3,40","","95,00","","0,00","","0,00","","4,80","","93,84","","","","","","Neige"
"1977-12-01 23:00","1977","12","01","23:00"," ","-3,20","","-3,90","","95,00","","0,00","","0,00","","1,60","","93,87","","","","","","Neige"
"1977-12-02 00:00","1977","12","02","00:00"," ","-3,10","","-4,10","","93,00","","12,00","","7,00","","1,60","","93,87","","","","-6,00","","Brouillard"
"1977-12-02 01:00","1977","12","02","01:00"," ","-3,20","","-4,20","","93,00","","16,00","","6,00","","3,20","","93,84","","","","-6,00","","Brouillard"
"1977-12-02 02:00","1977","12","02","02:00"," ","-3,60","","-4,50","","94,00","","11,00","","6,00","","1,60","","93,94","","","","-6,00","","Brouillard"
"1977-12-02 03:00","1977","12","02","03:00"," ","-3,80","","-4,80","","93,00","","17,00","","6,00","","3,20","","93,90","","","","-6,00","","Brouillard"
"1977-12-02 04:00","1977","12","02","04:00"," ","-3,90","","-5,10","","91,00","","13,00","","6,00","","2,40","","93,87","","","","-7,00","","Brouillard"
"1977-12-02 05:00","1977","12","02","05:00"," ","-4,60","","-5,80","","92,00","","16,00","","6,00","","1,60","","93,87","","","","-7,00","","Brouillard"
"1977-12-02 06:00","1977","12","02","06:00"," ","-4,80","","-6,20","","90,00","","15,00","","6,00","","1,60","","93,87","","","","-8,00","","Brouillard"
"1977-12-02 07:00","1977","12","02","07:00"," ","-5,20","","-6,40","","91,00","","16,00","","7,00","","1,60","","93,84","","","","-8,00","","Brouillard"
"1977-12-02 08:00","1977","12","02","08:00"," ","-5,60","","-7,10","","89,00","","16,00","","9,00","","4,80","","93,81","","","","-10,00","","Brouillard"
"1977-12-02 09:00","1977","12","02","09:00"," ","-5,50","","-6,90","","90,00","","14,00","","4,00","","4,80","","93,78","","","","-7,00","","Brouillard"
"1977-12-02 10:00","1977","12","02","10:00"," ","-5,60","","-7,10","","89,00","","15,00","","4,00","","11,30","","93,78","","","","-7,00","","Nuageux"
"1977-12-02 11:00","1977","12","02","11:00"," ","-5,40","","-6,90","","89,00","","0,00","","0,00","","24,10","","93,74","","","","","","Nuageux"
"1977-12-02 12:00","1977","12","02","12:00"," ","-5,40","","-6,80","","90,00","","16,00","","6,00","","16,10","","93,71","","","","-8,00","","Nuageux"
"1977-12-02 13:00","1977","12","02","13:00"," ","-5,10","","-6,70","","88,00","","17,00","","4,00","","24,10","","93,68","","","","-7,00","","Généralement nuageux"
"1977-12-02 14:00","1977","12","02","14:00"," ","-4,80","","-6,00","","91,00","","0,00","","0,00","","24,10","","93,61","","","","","","Généralement nuageux"
"1977-12-02 15:00","1977","12","02","15:00"," ","-4,70","","-6,10","","90,00","","0,00","","0,00","","32,20","","93,58","","","","","","Généralement nuageux"
"1977-12-02 16:00","1977","12","02","16:00"," ","-4,70","","-5,80","","92,00","","0,00","","0,00","","19,30","","93,58","","","","","","Nuageux"
"1977-12-02 17:00","1977","12","02","17:00"," ","-5,10","","-6,20","","92,00","","0,00","","0,00","","9,70","","93,55","","","","","","Brouillard"
"1977-12-02 18:00","1977","12","02","18:00"," ","-5,10","","-6,20","","92,00","","0,00","","0,00","","9,70","","93,55","","","","","","Brouillard"
"1977-12-02 19:00","1977","12","02","19:00"," ","-5,20","","-6,10","","93,00","","0,00","","0,00","","11,30","","93,52","","","","","","Nuageux"
"1977-12-02 20:00","1977","12","02","20:00"," ","-5,20","","-6,40","","91,00","","0,00","","0,00","","11,30","","93,52","","","","","","Nuageux"
"1977-12-02 21:00","1977","12","02","21:00"," ","-5,40","","-6,60","","91,00","","0,00","","0,00","","11,30","","93,49","","","","","","Neige"
"1977-12-02 22:00","1977","12","02","22:00"," ","-5,40","","-6,40","","93,00","","0,00","","0,00","","1,60","","93,42","","","","","","Neige"
"1977-12-02 23:00","1977","12","02","23:00"," ","-5,20","","-6,30","","92,00","","0,00","","0,00","","1,20","","93,39","","","","","","Neige"
"1977-12-03 00:00","1977","12","03","00:00"," ","-5,10","","-6,30","","91,00","","0,00","","0,00","","1,60","","93,36","","","","","","Neige"
"1977-12-03 01:00","1977","12","03","01:00"," ","-5,20","","-6,30","","92,00","","0,00","","0,00","","1,60","","93,36","","","","","","Neige"
"1977-12-03 02:00","1977","12","03","02:00"," ","-5,20","","-6,10","","93,00","","0,00","","0,00","","1,60","","93,39","","","","","","Neige"
"1977-12-03 03:00","1977","12","03","03:00"," ","-4,90","","-5,90","","93,00","","16,00","","7,00","","1,20","","93,45","","","","-8,00","","Neige"
"1977-12-03 04:00","1977","12","03","04:00"," ","-4,80","","-5,70","","93,00","","16,00","","6,00","","1,60","","93,55","","","","-8,00","","Neige"
"1977-12-03 05:00","1977","12","03","05:00"," ","-5,40","","-6,90","","89,00","","17,00","","9,00","","1,60","","93,65","","","","-9,00","","Neige"
"1977-12-03 06:00","1977","12","03","06:00"," ","-5,90","","-8,10","","84,00","","18,00","","15,00","","3,20","","93,78","","","","-12,00","","Neige"
"1977-12-03 07:00","1977","12","03","07:00"," ","-7,10","","-9,20","","85,00","","20,00","","13,00","","3,20","","93,90","","","","-13,00","","Neige"
"1977-12-03 08:00","1977","12","03","08:00"," ","-8,10","","-10,30","","84,00","","20,00","","15,00","","4,80","","94,03","","","","-14,00","","Neige"
"1977-12-03 09:00","1977","12","03","09:00"," ","-8,90","","-11,40","","82,00","","20,00","","20,00","","4,80","","94,23","","","","-16,00","","Neige"
"1977-12-03 10:00","1977","12","03","10:00"," ","-9,80","","-12,70","","79,00","","20,00","","15,00","","9,70","","94,39","","","","-16,00","","Averses de neige"
"1977-12-03 11:00","1977","12","03","11:00"," ","-10,70","","-14,20","","75,00","","21,00","","19,00","","11,30","","94,55","","","","-19,00","","Averses de neige"
"1977-12-03 12:00","1977","12","03","12:00"," ","-11,20","","-14,80","","75,00","","19,00","","19,00","","16,10","","94,71","","","","-19,00","","Généralement nuageux"
