"Nom de la Station","HAMILTON A"
"Province","ONTARIO"
"Latitude","43,17"
"Longitude","-79,93"
"Altitude","237,70"
"Identification Climat","6153194"
"Identification OMM","71263"
"Identification TC","YHM"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"1971-09-01 00:00","1971","09","01","00:00"," ","","","","","","","","","","","","","","","","","","",""
"1971-09-01 01:00","1971","09","01","01:00"," ","","","","","","","","","","","","","","","","","","",""
"1971-09-01 02:00","1971","09","01","02:00"," ","","","","","","","","","","","","","","","","","","",""
"1971-09-01 03:00","1971","09","01","03:00"," ","","","","","","","","","","","","","","","","","","",""
"1971-09-01 04:00","1971","09","01","04:00"," ","","","","","","","","","","","","","","","","","","",""
"1971-09-01 05:00","1971","09","01","05:00"," ","12,20","","11,10","","95,00","","4,00","","13,00","","3,20","","99,44","","","","","","Brouillard"
"1971-09-01 06:00","1971","09","01","06:00"," ","11,70","","11,10","","94,00","","4,00","","13,00","","3,20","","99,47","","","","","","Brouillard"
"1971-09-01 07:00","1971","09","01","07:00"," ","13,30","","11,70","","91,00","","5,00","","14,00","","4,80","","99,51","","","","","","Brume sèche"
"1971-09-01 08:00","1971","09","01","08:00"," ","15,00","","12,20","","84,00","","5,00","","18,00","","12,90","","99,54","","","","","","Généralement nuageux"
"1971-09-01 09:00","1971","09","01","09:00"," ","16,70","","11,70","","74,00","","6,00","","18,00","","16,10","","99,55","","","","","","Généralement nuageux"
"1971-09-01 10:00","1971","09","01","10:00"," ","17,80","","11,10","","66,00","","4,00","","19,00","","19,30","","99,52","","","","","","Généralement nuageux"
"1971-09-01 11:00","1971","09","01","11:00"," ","18,90","","12,20","","64,00","","5,00","","16,00","","19,30","","99,51","","","","","","Généralement nuageux"
"1971-09-01 12:00","1971","09","01","12:00"," ","20,00","","11,70","","59,00","","4,00","","24,00","","24,10","","99,50","","","","","","Généralement nuageux"
"1971-09-01 13:00","1971","09","01","13:00"," ","20,00","","11,70","","58,00","","5,00","","23,00","","25,00","","99,48","","","","","","Généralement dégagé"
"1971-09-01 14:00","1971","09","01","14:00"," ","20,00","","11,70","","58,00","","5,00","","24,00","","25,00","","99,43","","","","","","Généralement dégagé"
"1971-09-01 15:00","1971","09","01","15:00"," ","20,60","","11,70","","58,00","","7,00","","19,00","","25,00","","99,38","","","","","","Généralement dégagé"
"1971-09-01 16:00","1971","09","01","16:00"," ","20,00","","12,20","","61,00","","6,00","","21,00","","25,00","","99,36","","","","","","Généralement dégagé"
"1971-09-01 17:00","1971","09","01","17:00"," ","19,40","","12,20","","63,00","","6,00","","19,00","","25,00","","99,34","","","","","","Généralement dégagé"
"1971-09-01 18:00","1971","09","01","18:00"," ","18,30","","12,20","","68,00","","5,00","","19,00","","25,00","","99,31","","","","","","Généralement dégagé"
"1971-09-01 19:00","1971","09","01","19:00"," ","16,70","","12,80","","79,00","","5,00","","18,00","","25,00","","99,28","","","","","","Généralement dégagé"
"1971-09-01 20:00","1971","09","01","20:00"," ","15,60","","13,30","","85,00","","5,00","","16,00","","25,00","","99,32","","","","","","Généralement dégagé"
"1971-09-01 21:00","1971","09","01","21:00"," ","15,60","","13,90","","88,00","","4,00","","16,00","","25,00","","99,35","","","","","","Généralement dégagé"
"1971-09-01 22:00","1971","09","01","22:00"," ","","","","","","","","","","","","","","","","","","",""
"1971-09-01 23:00","1971","09","01","23:00"," ","","","","","","","","","","","","","","","","","","",""
"1971-09-02 00:00","1971","09","02","00:00"," ","","","","","","","","","","","","","","","","","","",""
"1971-09-02 01:00","1971","09","02","01:00"," ","","","","","","","","","","","","","","","","","","",""
"1971-09-02 02:00","1971","09","02","02:00"," ","","","","","","","","","","","","","","","","","","",""
"1971-09-02 03:00","1971","09","02","03:00"," ","","","","","","","","","","","","","","","","","","",""
"1971-09-02 04:00","1971","09","02","04:00"," ","","","","","","","","","","","","","","","","","","",""
"1971-09-02 05:00","1971","09","02","05:00"," ","14,40","","12,80","","90,00","","","","0,00","","6,40","","99,28","","","","","","Brouillard"
"1971-09-02 06:00","1971","09","02","06:00"," ","15,00","","13,30","","90,00","","9,00","","5,00","","4,00","","99,31","","","","","","Brouillard,Fumée"
"1971-09-02 07:00","1971","09","02","07:00"," ","15,60","","13,90","","91,00","","9,00","","3,00","","3,60","","99,33","","","","","","Fumée,Brume sèche"
