"Nom de la Station","TORONTO LESTER B. PEARSON INT'L A"
"Province","ONTARIO"
"Latitude","43,68"
"Longitude","-79,63"
"Altitude","173,40"
"Identification Climat","6158733"
"Identification OMM","71624"
"Identification TC","YYZ"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"1955-12-01 00:00","1955","12","01","00:00"," ","-8,30","","-10,60","","84,00","","36,00","","14,00","","25,00","","100,89","","","","-14,00","","Généralement dégagé"
"1955-12-01 01:00","1955","12","01","01:00"," ","-9,40","","-11,10","","88,00","","29,00","","8,00","","25,00","","100,92","","","","-14,00","","Dégagé"
"1955-12-01 02:00","1955","12","01","02:00"," ","-10,60","","-13,30","","80,00","","27,00","","8,00","","25,00","","100,99","","","","-15,00","","Dégagé"
"1955-12-01 03:00","1955","12","01","03:00"," ","-9,40","","-11,70","","84,00","","27,00","","6,00","","25,00","","101,01","","","","-13,00","","Dégagé"
"1955-12-01 04:00","1955","12","01","04:00"," ","-9,40","","-11,70","","84,00","","27,00","","6,00","","25,00","","101,02","","","","-13,00","","Dégagé"
"1955-12-01 05:00","1955","12","01","05:00"," ","-11,70","","-13,90","","84,00","","27,00","","8,00","","25,00","","101,07","","","","-16,00","","Généralement nuageux"
"1955-12-01 06:00","1955","12","01","06:00"," ","-10,00","","-12,80","","80,00","","27,00","","5,00","","25,00","","101,08","","","","-13,00","","Généralement nuageux"
"1955-12-01 07:00","1955","12","01","07:00"," ","-11,10","","-13,30","","84,00","","27,00","","5,00","","25,00","","101,10","","","","-14,00","","Généralement nuageux"
"1955-12-01 08:00","1955","12","01","08:00"," ","-9,40","","-11,70","","84,00","","29,00","","10,00","","25,00","","101,16","","","","-15,00","","Généralement nuageux"
"1955-12-01 09:00","1955","12","01","09:00"," ","-7,20","","-9,40","","84,00","","32,00","","5,00","","6,40","","101,20","","","","-10,00","","Fumée,Brume sèche"
"1955-12-01 10:00","1955","12","01","10:00"," ","-6,10","","-9,40","","77,00","","27,00","","3,00","","12,90","","101,17","","","","-8,00","","Nuageux"
"1955-12-01 11:00","1955","12","01","11:00"," ","-3,90","","-7,80","","74,00","","16,00","","10,00","","12,90","","101,13","","","","-8,00","","Nuageux"
"1955-12-01 12:00","1955","12","01","12:00"," ","-2,20","","-6,70","","75,00","","18,00","","13,00","","11,30","","101,00","","","","-7,00","","Généralement nuageux"
"1955-12-01 13:00","1955","12","01","13:00"," ","-1,70","","-6,70","","69,00","","18,00","","10,00","","11,30","","100,90","","","","-5,00","","Généralement nuageux"
"1955-12-01 14:00","1955","12","01","14:00"," ","-1,10","","-5,00","","75,00","","18,00","","21,00","","11,30","","100,80","","","","-7,00","","Généralement nuageux"
"1955-12-01 15:00","1955","12","01","15:00"," ","-1,10","","-5,60","","72,00","","18,00","","24,00","","12,90","","100,81","","","","-7,00","","Nuageux"
"1955-12-01 16:00","1955","12","01","16:00"," ","-1,10","","-5,00","","75,00","","18,00","","16,00","","12,90","","100,80","","","","-6,00","","Nuageux"
"1955-12-01 17:00","1955","12","01","17:00"," ","-1,10","","-5,00","","75,00","","18,00","","13,00","","24,10","","100,78","","","","-5,00","","Nuageux"
"1955-12-01 18:00","1955","12","01","18:00"," ","-1,10","","-4,40","","78,00","","18,00","","14,00","","24,10","","100,70","","","","-6,00","","Nuageux"
"1955-12-01 19:00","1955","12","01","19:00"," ","-1,10","","-3,90","","81,00","","18,00","","14,00","","25,00","","100,66","","","","-6,00","","Nuageux"
"1955-12-01 20:00","1955","12","01","20:00"," ","-1,10","","-3,90","","81,00","","18,00","","14,00","","24,10","","100,57","","","","-6,00","","Nuageux"
"1955-12-01 21:00","1955","12","01","21:00"," ","-1,10","","-3,90","","81,00","","18,00","","13,00","","19,30","","100,50","","","","-5,00","","Nuageux"
"1955-12-01 22:00","1955","12","01","22:00"," ","-1,10","","-3,30","","85,00","","16,00","","10,00","","16,10","","100,45","","","","-5,00","","Nuageux"
"1955-12-01 23:00","1955","12","01","23:00"," ","-0,60","","-2,20","","88,00","","14,00","","10,00","","16,10","","100,40","","","","-4,00","","Nuageux"
"1955-12-02 00:00","1955","12","02","00:00"," ","0,00","","-3,30","","78,00","","18,00","","13,00","","9,70","","100,34","","","","-4,00","","Averses de neige"
"1955-12-02 01:00","1955","12","02","01:00"," ","-1,10","","-2,80","","88,00","","20,00","","13,00","","4,80","","100,29","","","","-5,00","","Averses de neige"
"1955-12-02 02:00","1955","12","02","02:00"," ","-1,10","","-2,20","","92,00","","18,00","","13,00","","2,40","","100,22","","","","-5,00","","Neige"
"1955-12-02 03:00","1955","12","02","03:00"," ","-1,10","","-1,70","","96,00","","18,00","","13,00","","2,40","","100,16","","","","-5,00","","Neige"
"1955-12-02 04:00","1955","12","02","04:00"," ","-1,10","","-1,70","","96,00","","18,00","","21,00","","3,20","","100,06","","","","-7,00","","Neige"
"1955-12-02 05:00","1955","12","02","05:00"," ","-0,60","","-1,10","","96,00","","18,00","","14,00","","3,20","","99,99","","","","-5,00","","Neige"
"1955-12-02 06:00","1955","12","02","06:00"," ","0,00","","-1,10","","92,00","","18,00","","14,00","","8,00","","99,91","","","","-4,00","","Neige"
"1955-12-02 07:00","1955","12","02","07:00"," ","0,00","","-0,60","","96,00","","16,00","","24,00","","8,00","","99,85","","","","-6,00","","Neige"
"1955-12-02 08:00","1955","12","02","08:00"," ","0,00","","-0,60","","96,00","","18,00","","14,00","","8,00","","99,80","","","","-4,00","","Brouillard"
"1955-12-02 09:00","1955","12","02","09:00"," ","0,00","","-0,60","","96,00","","18,00","","16,00","","1,20","","99,75","","","","-5,00","","Neige"
"1955-12-02 10:00","1955","12","02","10:00"," ","0,60","","-0,60","","92,00","","16,00","","19,00","","1,20","","99,67","","","","","","Neige,Brouillard"
"1955-12-02 11:00","1955","12","02","11:00"," ","1,10","","-0,60","","89,00","","18,00","","19,00","","2,40","","99,62","","","","","","Neige,Brouillard"
"1955-12-02 12:00","1955","12","02","12:00"," ","1,10","","0,00","","92,00","","16,00","","21,00","","1,60","","99,55","","","","","","Neige,Brouillard"
"1955-12-02 13:00","1955","12","02","13:00"," ","1,10","","0,60","","96,00","","16,00","","19,00","","1,60","","99,43","","","","","","Neige,Brouillard"
"1955-12-02 14:00","1955","12","02","14:00"," ","1,10","","1,10","","100,00","","18,00","","16,00","","1,60","","99,41","","","","","","Pluie,Brouillard"
"1955-12-02 15:00","1955","12","02","15:00"," ","1,70","","-0,60","","85,00","","20,00","","16,00","","3,20","","99,41","","","","","","Brouillard"
"1955-12-02 16:00","1955","12","02","16:00"," ","1,70","","0,60","","92,00","","20,00","","18,00","","4,00","","99,42","","","","","","Brouillard"
"1955-12-02 17:00","1955","12","02","17:00"," ","1,70","","0,60","","92,00","","20,00","","16,00","","12,90","","99,44","","","","","","Nuageux"
"1955-12-02 18:00","1955","12","02","18:00"," ","1,10","","1,10","","100,00","","20,00","","16,00","","4,00","","99,46","","","","","","Bruine,Brouillard"
"1955-12-02 19:00","1955","12","02","19:00"," ","1,10","","1,10","","100,00","","23,00","","11,00","","2,80","","99,47","","","","","","Brouillard"
"1955-12-02 20:00","1955","12","02","20:00"," ","1,10","","1,10","","100,00","","23,00","","13,00","","2,80","","99,44","","","","","","Brouillard"
"1955-12-02 21:00","1955","12","02","21:00"," ","1,70","","0,60","","92,00","","23,00","","13,00","","2,80","","99,51","","","","","","Brouillard"
"1955-12-02 22:00","1955","12","02","22:00"," ","1,10","","0,60","","96,00","","23,00","","11,00","","2,80","","99,50","","","","","","Brouillard"
"1955-12-02 23:00","1955","12","02","23:00"," ","1,10","","0,60","","96,00","","23,00","","16,00","","2,80","","99,58","","","","","","Bruine,Brouillard"
"1955-12-03 00:00","1955","12","03","00:00"," ","1,10","","0,60","","96,00","","25,00","","16,00","","4,80","","99,58","","","","","","Brouillard"
"1955-12-03 01:00","1955","12","03","01:00"," ","1,70","","0,60","","92,00","","25,00","","14,00","","4,80","","99,61","","","","","","Brouillard"
"1955-12-03 02:00","1955","12","03","02:00"," ","2,20","","1,10","","92,00","","32,00","","10,00","","4,80","","99,71","","","","","","Brouillard"
"1955-12-03 03:00","1955","12","03","03:00"," ","1,70","","0,60","","92,00","","25,00","","5,00","","11,30","","99,76","","","","","","Nuageux"
"1955-12-03 04:00","1955","12","03","04:00"," ","1,10","","0,60","","96,00","","25,00","","6,00","","9,70","","99,74","","","","","","Brouillard"
"1955-12-03 05:00","1955","12","03","05:00"," ","1,10","","0,60","","96,00","","18,00","","6,00","","9,70","","99,78","","","","","","Brouillard"
"1955-12-03 06:00","1955","12","03","06:00"," ","2,20","","1,10","","92,00","","36,00","","11,00","","9,70","","99,82","","","","","","Brouillard"
"1955-12-03 07:00","1955","12","03","07:00"," ","1,70","","0,60","","92,00","","36,00","","10,00","","4,80","","99,83","","","","","","Brouillard"
"1955-12-03 08:00","1955","12","03","08:00"," ","1,70","","0,60","","92,00","","36,00","","5,00","","4,80","","99,90","","","","","","Brouillard"
"1955-12-03 09:00","1955","12","03","09:00"," ","1,70","","0,60","","92,00","","18,00","","6,00","","4,00","","99,94","","","","","","Brouillard"
"1955-12-03 10:00","1955","12","03","10:00"," ","2,20","","1,70","","96,00","","16,00","","6,00","","3,20","","100,00","","","","","","Pluie,Brouillard"
"1955-12-03 11:00","1955","12","03","11:00"," ","2,80","","1,70","","92,00","","16,00","","5,00","","3,20","","99,98","","","","","","Pluie,Brouillard"
