"Nom de la Station","MONTREAL INTL"
"Province","QUEBEC"
"Latitude","45,47"
"Longitude","-73,74"
"Altitude","36,00"
"Identification Climat","7025251"
"Identification OMM","71627"
"Identification TC","YUL"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2013-02-01 00:00","2013","02","01","00:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-01 01:00","2013","02","01","01:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-01 02:00","2013","02","01","02:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-01 03:00","2013","02","01","03:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-01 04:00","2013","02","01","04:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-01 05:00","2013","02","01","05:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-01 06:00","2013","02","01","06:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-01 07:00","2013","02","01","07:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-01 08:00","2013","02","01","08:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-01 09:00","2013","02","01","09:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-01 10:00","2013","02","01","10:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-01 11:00","2013","02","01","11:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-01 12:00","2013","02","01","12:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-01 13:00","2013","02","01","13:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-01 14:00","2013","02","01","14:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-01 15:00","2013","02","01","15:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-01 16:00","2013","02","01","16:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-01 17:00","2013","02","01","17:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-01 18:00","2013","02","01","18:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-01 19:00","2013","02","01","19:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-01 20:00","2013","02","01","20:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-01 21:00","2013","02","01","21:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-01 22:00","2013","02","01","22:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-01 23:00","2013","02","01","23:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-02 00:00","2013","02","02","00:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-02 01:00","2013","02","02","01:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-02 02:00","2013","02","02","02:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-02 03:00","2013","02","02","03:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-02 04:00","2013","02","02","04:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-02 05:00","2013","02","02","05:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-02 06:00","2013","02","02","06:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-02 07:00","2013","02","02","07:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-02 08:00","2013","02","02","08:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-02 09:00","2013","02","02","09:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-02 10:00","2013","02","02","10:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-02 11:00","2013","02","02","11:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-02 12:00","2013","02","02","12:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-02 13:00","2013","02","02","13:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-02 14:00","2013","02","02","14:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-02 15:00","2013","02","02","15:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-02 16:00","2013","02","02","16:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-02 17:00","2013","02","02","17:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-02 18:00","2013","02","02","18:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-02 19:00","2013","02","02","19:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-02 20:00","2013","02","02","20:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-02 21:00","2013","02","02","21:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-02 22:00","2013","02","02","22:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-02 23:00","2013","02","02","23:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-03 00:00","2013","02","03","00:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-03 01:00","2013","02","03","01:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-03 02:00","2013","02","03","02:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-03 03:00","2013","02","03","03:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-03 04:00","2013","02","03","04:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-03 05:00","2013","02","03","05:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-03 06:00","2013","02","03","06:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-03 07:00","2013","02","03","07:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-03 08:00","2013","02","03","08:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-03 09:00","2013","02","03","09:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-03 10:00","2013","02","03","10:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-03 11:00","2013","02","03","11:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-03 12:00","2013","02","03","12:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-03 13:00","2013","02","03","13:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-03 14:00","2013","02","03","14:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-03 15:00","2013","02","03","15:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-03 16:00","2013","02","03","16:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-03 17:00","2013","02","03","17:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-03 18:00","2013","02","03","18:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-03 19:00","2013","02","03","19:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-03 20:00","2013","02","03","20:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-03 21:00","2013","02","03","21:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-03 22:00","2013","02","03","22:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-03 23:00","2013","02","03","23:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-04 00:00","2013","02","04","00:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-04 01:00","2013","02","04","01:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-04 02:00","2013","02","04","02:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-04 03:00","2013","02","04","03:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-04 04:00","2013","02","04","04:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-04 05:00","2013","02","04","05:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-04 06:00","2013","02","04","06:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-04 07:00","2013","02","04","07:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-04 08:00","2013","02","04","08:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-04 09:00","2013","02","04","09:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-04 10:00","2013","02","04","10:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-04 11:00","2013","02","04","11:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-04 12:00","2013","02","04","12:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-04 13:00","2013","02","04","13:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-04 14:00","2013","02","04","14:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-04 15:00","2013","02","04","15:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-04 16:00","2013","02","04","16:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-04 17:00","2013","02","04","17:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-04 18:00","2013","02","04","18:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-04 19:00","2013","02","04","19:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-04 20:00","2013","02","04","20:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-04 21:00","2013","02","04","21:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-04 22:00","2013","02","04","22:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-04 23:00","2013","02","04","23:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-05 00:00","2013","02","05","00:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-05 01:00","2013","02","05","01:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-05 02:00","2013","02","05","02:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-05 03:00","2013","02","05","03:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-05 04:00","2013","02","05","04:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-05 05:00","2013","02","05","05:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-05 06:00","2013","02","05","06:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-05 07:00","2013","02","05","07:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-05 08:00","2013","02","05","08:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-05 09:00","2013","02","05","09:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-05 10:00","2013","02","05","10:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-05 11:00","2013","02","05","11:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-05 12:00","2013","02","05","12:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-05 13:00","2013","02","05","13:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-05 14:00","2013","02","05","14:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-05 15:00","2013","02","05","15:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-05 16:00","2013","02","05","16:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-05 17:00","2013","02","05","17:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-05 18:00","2013","02","05","18:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-05 19:00","2013","02","05","19:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-05 20:00","2013","02","05","20:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-05 21:00","2013","02","05","21:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-05 22:00","2013","02","05","22:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-05 23:00","2013","02","05","23:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-06 00:00","2013","02","06","00:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-06 01:00","2013","02","06","01:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-06 02:00","2013","02","06","02:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-06 03:00","2013","02","06","03:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-06 04:00","2013","02","06","04:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-06 05:00","2013","02","06","05:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-06 06:00","2013","02","06","06:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-06 07:00","2013","02","06","07:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-06 08:00","2013","02","06","08:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-06 09:00","2013","02","06","09:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-06 10:00","2013","02","06","10:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-06 11:00","2013","02","06","11:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-06 12:00","2013","02","06","12:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-06 13:00","2013","02","06","13:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-06 14:00","2013","02","06","14:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-06 15:00","2013","02","06","15:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-06 16:00","2013","02","06","16:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-06 17:00","2013","02","06","17:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-06 18:00","2013","02","06","18:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-06 19:00","2013","02","06","19:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-06 20:00","2013","02","06","20:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-06 21:00","2013","02","06","21:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-06 22:00","2013","02","06","22:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-06 23:00","2013","02","06","23:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-07 00:00","2013","02","07","00:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-07 01:00","2013","02","07","01:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-07 02:00","2013","02","07","02:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-07 03:00","2013","02","07","03:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-07 04:00","2013","02","07","04:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-07 05:00","2013","02","07","05:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-07 06:00","2013","02","07","06:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-07 07:00","2013","02","07","07:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-07 08:00","2013","02","07","08:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-07 09:00","2013","02","07","09:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-07 10:00","2013","02","07","10:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-07 11:00","2013","02","07","11:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-07 12:00","2013","02","07","12:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-07 13:00","2013","02","07","13:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-07 14:00","2013","02","07","14:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-07 15:00","2013","02","07","15:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-07 16:00","2013","02","07","16:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-07 17:00","2013","02","07","17:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-07 18:00","2013","02","07","18:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-07 19:00","2013","02","07","19:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-07 20:00","2013","02","07","20:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-07 21:00","2013","02","07","21:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-07 22:00","2013","02","07","22:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-07 23:00","2013","02","07","23:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-08 00:00","2013","02","08","00:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-08 01:00","2013","02","08","01:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-08 02:00","2013","02","08","02:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-08 03:00","2013","02","08","03:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-08 04:00","2013","02","08","04:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-08 05:00","2013","02","08","05:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-08 06:00","2013","02","08","06:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-08 07:00","2013","02","08","07:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-08 08:00","2013","02","08","08:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-08 09:00","2013","02","08","09:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-08 10:00","2013","02","08","10:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-08 11:00","2013","02","08","11:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-08 12:00","2013","02","08","12:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-08 13:00","2013","02","08","13:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-08 14:00","2013","02","08","14:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-08 15:00","2013","02","08","15:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-08 16:00","2013","02","08","16:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-08 17:00","2013","02","08","17:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-08 18:00","2013","02","08","18:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-08 19:00","2013","02","08","19:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-08 20:00","2013","02","08","20:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-08 21:00","2013","02","08","21:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-08 22:00","2013","02","08","22:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-08 23:00","2013","02","08","23:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-09 00:00","2013","02","09","00:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-09 01:00","2013","02","09","01:00","**","","","","","","","","","","","","","","","","","","",""
"2013-02-09 02:00","2013","02","09","02:00","**","","","","","","","","","","","","","","","","","","",""
