"Nom de la Station","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A"
"Province","QUEBEC"
"Latitude","45,47"
"Longitude","-73,75"
"Altitude","36,00"
"Identification Climat","7025250"
"Identification OMM","71627"
"Identification TC","YUL"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"1985-03-01 00:00","1985","03","01","00:00"," ","0,90","","-5,00","","65,00","","19,00","","20,00","","24,10","","100,60","","","","","","Généralement nuageux"
"1985-03-01 01:00","1985","03","01","01:00"," ","1,80","","-4,10","","65,00","","22,00","","20,00","","24,10","","100,53","","","","","","Généralement nuageux"
"1985-03-01 02:00","1985","03","01","02:00"," ","2,60","","-4,10","","61,00","","22,00","","28,00","","24,10","","100,46","","","","","","Généralement nuageux"
"1985-03-01 03:00","1985","03","01","03:00"," ","3,20","","-4,30","","58,00","","23,00","","28,00","","24,10","","100,40","","","","","","Nuageux"
"1985-03-01 04:00","1985","03","01","04:00"," ","3,20","","-3,50","","61,00","","23,00","","33,00","","24,10","","100,40","","","","","","Nuageux"
"1985-03-01 05:00","1985","03","01","05:00"," ","3,40","","-3,10","","62,00","","23,00","","46,00","","24,10","","100,40","","","","","","Nuageux"
"1985-03-01 06:00","1985","03","01","06:00"," ","2,00","","-0,70","","82,00","","24,00","","39,00","","4,80","","100,46","","","","","","Averses de pluie,Averses de neige"
"1985-03-01 07:00","1985","03","01","07:00"," ","2,10","","-0,30","","84,00","","23,00","","37,00","","9,70","","100,50","","","","","","Averses de pluie,Neige roulée"
"1985-03-01 08:00","1985","03","01","08:00"," ","2,80","","-0,40","","80,00","","24,00","","39,00","","9,70","","100,53","","","","","","Averses de pluie,Brume sèche"
"1985-03-01 09:00","1985","03","01","09:00"," ","3,50","","-1,10","","72,00","","23,00","","30,00","","24,10","","100,53","","","","","","Nuageux"
"1985-03-01 10:00","1985","03","01","10:00"," ","3,80","","-1,20","","70,00","","23,00","","31,00","","24,10","","100,46","","","","","","Nuageux"
"1985-03-01 11:00","1985","03","01","11:00"," ","4,40","","-2,30","","62,00","","22,00","","33,00","","24,10","","100,43","","","","","","Nuageux"
"1985-03-01 12:00","1985","03","01","12:00"," ","5,00","","-2,10","","60,00","","23,00","","33,00","","24,10","","100,40","","","","","","Nuageux"
"1985-03-01 13:00","1985","03","01","13:00"," ","6,10","","-2,00","","56,00","","23,00","","33,00","","24,10","","100,36","","","","","","Généralement nuageux"
"1985-03-01 14:00","1985","03","01","14:00"," ","7,20","","-2,40","","50,00","","23,00","","28,00","","24,10","","100,33","","","","","","Généralement dégagé"
"1985-03-01 15:00","1985","03","01","15:00"," ","7,00","","-2,30","","52,00","","23,00","","19,00","","24,10","","100,30","","","","","","Généralement dégagé"
"1985-03-01 16:00","1985","03","01","16:00"," ","6,70","","-3,50","","48,00","","25,00","","19,00","","24,10","","100,19","","","","","","Nuageux"
"1985-03-01 17:00","1985","03","01","17:00"," ","7,00","","-3,60","","47,00","","24,00","","15,00","","24,10","","100,23","","","","","","Nuageux"
"1985-03-01 18:00","1985","03","01","18:00"," ","4,70","","-2,70","","58,00","","24,00","","9,00","","24,10","","100,33","","","","","","Nuageux"
"1985-03-01 19:00","1985","03","01","19:00"," ","5,10","","-2,00","","60,00","","25,00","","22,00","","24,10","","100,33","","","","","","Nuageux"
"1985-03-01 20:00","1985","03","01","20:00"," ","5,40","","-1,30","","62,00","","23,00","","24,00","","19,30","","100,33","","","","","","Nuageux"
"1985-03-01 21:00","1985","03","01","21:00"," ","7,90","","-0,90","","54,00","","23,00","","33,00","","20,90","","100,23","","","","","","Nuageux"
"1985-03-01 22:00","1985","03","01","22:00"," ","6,80","","-0,70","","59,00","","23,00","","35,00","","24,10","","100,23","","","","","","Averses de pluie"
"1985-03-01 23:00","1985","03","01","23:00"," ","6,30","","-0,80","","61,00","","26,00","","22,00","","24,10","","100,19","","","","","","Nuageux"
"1985-03-02 00:00","1985","03","02","00:00"," ","4,50","","0,90","","77,00","","22,00","","24,00","","19,30","","100,19","","","","","","Averses de pluie"
"1985-03-02 01:00","1985","03","02","01:00"," ","3,50","","1,70","","88,00","","20,00","","19,00","","12,90","","100,13","","","","","","Pluie"
"1985-03-02 02:00","1985","03","02","02:00"," ","3,80","","1,80","","87,00","","20,00","","19,00","","12,90","","100,06","","","","","","Pluie"
"1985-03-02 03:00","1985","03","02","03:00"," ","3,50","","2,00","","90,00","","21,00","","19,00","","12,90","","100,03","","","","","","Pluie"
"1985-03-02 04:00","1985","03","02","04:00"," ","3,50","","2,10","","91,00","","23,00","","26,00","","12,90","","100,03","","","","","","Pluie"
"1985-03-02 05:00","1985","03","02","05:00"," ","2,70","","1,70","","93,00","","23,00","","22,00","","12,90","","100,03","","","","","","Pluie"
"1985-03-02 06:00","1985","03","02","06:00"," ","2,80","","1,80","","93,00","","23,00","","20,00","","16,10","","100,06","","","","","","Pluie"
"1985-03-02 07:00","1985","03","02","07:00"," ","2,50","","1,60","","94,00","","23,00","","19,00","","12,90","","100,09","","","","","","Pluie"
"1985-03-02 08:00","1985","03","02","08:00"," ","2,60","","1,50","","92,00","","23,00","","20,00","","8,00","","100,13","","","","","","Pluie"
"1985-03-02 09:00","1985","03","02","09:00"," ","3,60","","1,30","","85,00","","22,00","","19,00","","19,30","","100,16","","","","","","Nuageux"
"1985-03-02 10:00","1985","03","02","10:00"," ","2,70","","0,80","","87,00","","22,00","","20,00","","19,30","","100,19","","","","","","Nuageux"
"1985-03-02 11:00","1985","03","02","11:00"," ","3,20","","0,90","","85,00","","24,00","","24,00","","16,10","","100,23","","","","","","Nuageux"
"1985-03-02 12:00","1985","03","02","12:00"," ","3,70","","0,60","","80,00","","24,00","","26,00","","19,30","","100,26","","","","","","Nuageux"
"1985-03-02 13:00","1985","03","02","13:00"," ","3,60","","-0,80","","73,00","","26,00","","30,00","","16,10","","100,26","","","","","","Pluie"
"1985-03-02 14:00","1985","03","02","14:00"," ","4,40","","-0,60","","70,00","","26,00","","30,00","","24,10","","100,26","","","","","","Généralement nuageux"
"1985-03-02 15:00","1985","03","02","15:00"," ","3,80","","-1,30","","69,00","","25,00","","30,00","","24,10","","100,30","","","","","","Généralement nuageux"
"1985-03-02 16:00","1985","03","02","16:00"," ","2,60","","-0,50","","80,00","","26,00","","43,00","","16,10","","100,36","","","","","","Averses de neige"
"1985-03-02 17:00","1985","03","02","17:00"," ","1,30","","-0,90","","85,00","","27,00","","35,00","","24,10","","100,50","","","","","","Généralement nuageux"
"1985-03-02 18:00","1985","03","02","18:00"," ","0,20","","-1,50","","88,00","","27,00","","31,00","","24,10","","100,60","","","","","","Généralement nuageux"
