"Nom de la Station","MANIWAKI AIRPORT"
"Province","QUEBEC"
"Latitude","46,27"
"Longitude","-75,99"
"Altitude","199,70"
"Identification Climat","7034482"
"Identification OMM","71721"
"Identification TC","WMJ"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2010-08-01 00:00","2010","08","01","00:00"," ","10,20","","9,10","","93,00","","18,00","","2,00","","","","99,18","","","","","","ND"
"2010-08-01 01:00","2010","08","01","01:00"," ","10,10","","9,50","","96,00","","18,00","","2,00","","","","99,20","","","","","","ND"
"2010-08-01 02:00","2010","08","01","02:00"," ","9,70","","9,40","","98,00","","0,00","","0,00","","","","99,23","","","","","","ND"
"2010-08-01 03:00","2010","08","01","03:00"," ","9,20","","9,10","","99,00","","0,00","","0,00","","","","99,24","","","","","","ND"
"2010-08-01 04:00","2010","08","01","04:00"," ","8,60","","8,50","","99,00","","29,00","","2,00","","","","99,28","","","","","","ND"
"2010-08-01 05:00","2010","08","01","05:00"," ","8,00","","7,90","","99,00","","0,00","","0,00","","","","99,32","","","","","","ND"
"2010-08-01 06:00","2010","08","01","06:00"," ","11,90","","11,10","","95,00","","0,00","","0,00","","","","99,38","","","","","","ND"
"2010-08-01 07:00","2010","08","01","07:00"," ","15,30","","11,40","","78,00","","16,00","","2,00","","","","99,41","","","","","","ND"
"2010-08-01 08:00","2010","08","01","08:00"," ","17,80","","11,90","","68,00","","18,00","","4,00","","","","99,40","","","","","","ND"
"2010-08-01 09:00","2010","08","01","09:00"," ","19,90","","11,40","","58,00","","20,00","","7,00","","","","99,36","","","","","","ND"
