"Nom de la Station","BLANC-SABLON A"
"Province","QUEBEC"
"Latitude","51,45"
"Longitude","-57,18"
"Altitude","37,20"
"Identification Climat","7040813"
"Identification OMM","71808"
"Identification TC","YBX"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"1996-06-01 00:00","1996","06","01","00:00"," ","","M","","M","","M","3,00","","4,00","","","M","","M","","","","","ND"
"1996-06-01 01:00","1996","06","01","01:00"," ","","M","","M","","M","6,00","","4,00","","","M","","M","","","","","ND"
"1996-06-01 02:00","1996","06","01","02:00"," ","5,80","","0,30","","68,00","","36,00","","4,00","","24,10","","100,68","","","","","","Nuageux"
"1996-06-01 03:00","1996","06","01","03:00"," ","","M","","M","","M","0,00","","0,00","","","M","","M","","","","","ND"
"1996-06-01 04:00","1996","06","01","04:00"," ","","M","","M","","M","0,00","","0,00","","","M","","M","","","","","ND"
"1996-06-01 05:00","1996","06","01","05:00"," ","5,80","","0,50","","69,00","","0,00","","0,00","","24,10","","100,57","","","","","","Généralement nuageux"
"1996-06-01 06:00","1996","06","01","06:00"," ","6,90","","1,30","","67,00","","0,00","","0,00","","24,10","","100,57","","","","","","Généralement nuageux"
"1996-06-01 07:00","1996","06","01","07:00"," ","7,40","","2,10","","69,00","","23,00","","4,00","","24,10","","100,57","","","","","","Généralement nuageux"
"1996-06-01 08:00","1996","06","01","08:00"," ","8,30","","0,00","","56,00","","23,00","","11,00","","24,10","","100,57","","","","","","Généralement nuageux"
"1996-06-01 09:00","1996","06","01","09:00"," ","8,00","","2,70","","69,00","","24,00","","15,00","","24,10","","100,61","","","","","","Généralement nuageux"
"1996-06-01 10:00","1996","06","01","10:00"," ","7,60","","1,80","","67,00","","24,00","","19,00","","24,10","","100,68","","","","","","Généralement nuageux"
"1996-06-01 11:00","1996","06","01","11:00"," ","7,50","","1,90","","68,00","","24,00","","22,00","","24,10","","100,68","","","","","","Généralement dégagé"
"1996-06-01 12:00","1996","06","01","12:00"," ","8,00","","2,90","","70,00","","23,00","","24,00","","24,10","","100,68","","","","","","Généralement dégagé"
"1996-06-01 13:00","1996","06","01","13:00"," ","","","","","","","","","","","","","","","","","","",""
"1996-06-01 14:00","1996","06","01","14:00"," ","8,50","","4,20","","74,00","","24,00","","15,00","","24,10","","100,74","","","","","","Généralement dégagé"
"1996-06-01 15:00","1996","06","01","15:00"," ","8,60","","4,50","","75,00","","23,00","","11,00","","24,10","","100,78","","","","","","Généralement dégagé"
"1996-06-01 16:00","1996","06","01","16:00"," ","7,20","","4,00","","80,00","","27,00","","11,00","","24,10","","100,81","","","","","","Généralement nuageux"
"1996-06-01 17:00","1996","06","01","17:00"," ","7,70","","4,40","","80,00","","24,00","","11,00","","24,10","","100,91","","","","","","Généralement nuageux"
"1996-06-01 18:00","1996","06","01","18:00"," ","","","","","","","","","","","","","","","","","","",""
"1996-06-01 19:00","1996","06","01","19:00"," ","6,80","","4,00","","82,00","","28,00","","4,00","","19,30","","101,01","","","","","","Généralement nuageux"
"1996-06-01 20:00","1996","06","01","20:00"," ","5,30","","3,40","","88,00","","12,00","","4,00","","24,10","","101,15","","","","","","Généralement dégagé"
"1996-06-01 21:00","1996","06","01","21:00"," ","","M","","M","","M","8,00","","11,00","","","M","","M","","","","","ND"
"1996-06-01 22:00","1996","06","01","22:00"," ","","M","","M","","M","9,00","","6,00","","","M","","M","","","","","ND"
"1996-06-01 23:00","1996","06","01","23:00"," ","3,40","","0,90","","84,00","","0,00","","0,00","","24,10","","101,38","","","","","","Généralement dégagé"
"1996-06-02 00:00","1996","06","02","00:00"," ","","M","","M","","M","6,00","","6,00","","","M","","M","","","","","ND"
"1996-06-02 01:00","1996","06","02","01:00"," ","","M","","M","","M","4,00","","4,00","","","M","","M","","","","","ND"
