"Nom de la Station","SEPT-ILES A"
"Province","QUEBEC"
"Latitude","50,22"
"Longitude","-66,27"
"Altitude","54,90"
"Identification Climat","7047910"
"Identification OMM",""
"Identification TC","YZV"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"1984-01-01 00:00","1984","01","01","00:00"," ","-15,80","","-18,10","","82,00","","33,00","","7,00","","32,20","","101,64","","","","-21,00","","Dégagé"
"1984-01-01 01:00","1984","01","01","01:00"," ","-12,00","","-16,00","","72,00","","35,00","","22,00","","32,20","","101,81","","","","-21,00","","Dégagé"
"1984-01-01 02:00","1984","01","01","02:00"," ","-13,80","","-19,10","","64,00","","35,00","","37,00","","32,20","","102,08","","","","-25,00","","Dégagé"
"1984-01-01 03:00","1984","01","01","03:00"," ","-15,90","","-21,10","","64,00","","35,00","","28,00","","32,20","","102,35","","","","-27,00","","Dégagé"
"1984-01-01 04:00","1984","01","01","04:00"," ","-18,60","","-24,00","","63,00","","31,00","","22,00","","32,20","","102,62","","","","-29,00","","Dégagé"
"1984-01-01 05:00","1984","01","01","05:00"," ","-20,80","","-30,60","","41,00","","34,00","","26,00","","32,20","","102,85","","","","-33,00","","Dégagé"
"1984-01-01 06:00","1984","01","01","06:00"," ","-23,10","","-31,00","","49,00","","2,00","","11,00","","32,20","","103,09","","","","-31,00","","Dégagé"
"1984-01-01 07:00","1984","01","01","07:00"," ","-23,80","","-31,40","","50,00","","1,00","","15,00","","32,20","","103,26","","","","-34,00","","Dégagé"
"1984-01-01 08:00","1984","01","01","08:00"," ","-24,00","","-32,40","","46,00","","36,00","","7,00","","48,30","","103,39","","","","-30,00","","Dégagé"
"1984-01-01 09:00","1984","01","01","09:00"," ","-23,90","","-32,30","","46,00","","34,00","","17,00","","48,30","","103,53","","","","-35,00","","Dégagé"
"1984-01-01 10:00","1984","01","01","10:00"," ","-22,80","","-31,20","","46,00","","23,00","","4,00","","48,30","","103,66","","","","-27,00","","Dégagé"
"1984-01-01 11:00","1984","01","01","11:00"," ","-21,90","","-30,20","","47,00","","36,00","","4,00","","48,30","","103,63","","","","-26,00","","Dégagé"
