"Nom de la Station","GASPE A"
"Province","QUEBEC"
"Latitude","48,78"
"Longitude","-64,48"
"Altitude","34,10"
"Identification Climat","7052605"
"Identification OMM","71188"
"Identification TC","YGP"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2006-11-01 00:00","2006","11","01","00:00"," ","-0,50","","-1,60","","92,00","","27,00","","4,00","","25,00","","100,46","","","","-2,00","","Nuageux"
"2006-11-01 01:00","2006","11","01","01:00"," ","-0,50","","-1,40","","94,00","","0,00","","0,00","","25,00","","100,41","","","","","","Nuageux"
"2006-11-01 02:00","2006","11","01","02:00"," ","0,40","","-0,90","","91,00","","0,00","","0,00","","25,00","","100,35","","","","","","Nuageux"
"2006-11-01 03:00","2006","11","01","03:00"," ","0,50","","-0,70","","92,00","","0,00","","0,00","","25,00","","100,34","","","","","","Nuageux"
"2006-11-01 04:00","2006","11","01","04:00"," ","1,00","","-0,40","","90,00","","0,00","","0,00","","25,00","","100,34","","","","","","Nuageux"
"2006-11-01 05:00","2006","11","01","05:00"," ","1,30","","0,00","","91,00","","0,00","","0,00","","25,00","","100,30","","","","","","Nuageux"
"2006-11-01 06:00","2006","11","01","06:00"," ","1,40","","0,20","","92,00","","28,00","","6,00","","25,00","","100,31","","","","","","Nuageux"
"2006-11-01 07:00","2006","11","01","07:00"," ","1,70","","0,40","","91,00","","0,00","","0,00","","25,00","","100,33","","","","","","Nuageux"
"2006-11-01 08:00","2006","11","01","08:00"," ","2,80","","0,80","","87,00","","0,00","","0,00","","25,00","","100,35","","","","","","Nuageux"
"2006-11-01 09:00","2006","11","01","09:00"," ","3,20","","1,10","","86,00","","0,00","","0,00","","25,00","","100,32","","","","","","Nuageux"
"2006-11-01 10:00","2006","11","01","10:00"," ","7,10","","2,60","","73,00","","30,00","","13,00","","25,00","","100,39","","","","","","Généralement nuageux"
"2006-11-01 11:00","2006","11","01","11:00"," ","10,30","","3,70","","64,00","","27,00","","13,00","","25,00","","100,35","","","","","","Généralement nuageux"
"2006-11-01 12:00","2006","11","01","12:00"," ","10,20","","2,60","","59,00","","28,00","","19,00","","25,00","","100,35","","","","","","Généralement nuageux"
"2006-11-01 13:00","2006","11","01","13:00"," ","10,20","","2,30","","58,00","","27,00","","19,00","","25,00","","100,39","","","","","","Généralement nuageux"
"2006-11-01 14:00","2006","11","01","14:00"," ","9,80","","0,30","","52,00","","28,00","","17,00","","25,00","","100,44","","","","","","Généralement dégagé"
"2006-11-01 15:00","2006","11","01","15:00"," ","8,50","","-1,50","","49,00","","25,00","","19,00","","25,00","","100,54","","","","","","Généralement dégagé"
"2006-11-01 16:00","2006","11","01","16:00"," ","6,60","","-1,80","","55,00","","29,00","","6,00","","25,00","","100,61","","","","","","Généralement dégagé"
"2006-11-01 17:00","2006","11","01","17:00"," ","2,00","","-0,90","","81,00","","0,00","","0,00","","25,00","","100,68","","","","","","Dégagé"
"2006-11-01 18:00","2006","11","01","18:00"," ","0,60","","-1,90","","83,00","","29,00","","6,00","","25,00","","100,73","","","","","","Dégagé"
"2006-11-01 19:00","2006","11","01","19:00"," ","2,30","","-2,10","","73,00","","29,00","","9,00","","25,00","","100,81","","","","","","Dégagé"
"2006-11-01 20:00","2006","11","01","20:00"," ","-1,40","","-2,60","","92,00","","0,00","","0,00","","25,00","","100,86","","","","","","Dégagé"
"2006-11-01 21:00","2006","11","01","21:00"," ","-2,00","","-2,80","","94,00","","24,00","","6,00","","25,00","","100,88","","","","-4,00","","Généralement dégagé"
"2006-11-01 22:00","2006","11","01","22:00"," ","-2,30","","-3,10","","94,00","","27,00","","6,00","","25,00","","100,86","","","","-5,00","","Généralement dégagé"
"2006-11-01 23:00","2006","11","01","23:00"," ","-2,30","","-3,10","","94,00","","30,00","","6,00","","25,00","","100,83","","","","-5,00","","Généralement nuageux"
"2006-11-02 00:00","2006","11","02","00:00"," ","-2,60","","-3,30","","95,00","","36,00","","4,00","","25,00","","100,85","","","","-4,00","","Généralement dégagé"
"2006-11-02 01:00","2006","11","02","01:00"," ","-3,20","","-3,80","","96,00","","0,00","","0,00","","25,00","","100,83","","","","","","Généralement nuageux"
"2006-11-02 02:00","2006","11","02","02:00"," ","-2,60","","-3,40","","94,00","","0,00","","0,00","","25,00","","100,82","","","","","","Généralement nuageux"
"2006-11-02 03:00","2006","11","02","03:00"," ","-2,70","","-3,40","","95,00","","26,00","","4,00","","25,00","","100,83","","","","-4,00","","Généralement nuageux"
"2006-11-02 04:00","2006","11","02","04:00"," ","-2,20","","-2,70","","96,00","","0,00","","0,00","","25,00","","100,80","","","","","","Généralement nuageux"
"2006-11-02 05:00","2006","11","02","05:00"," ","-2,10","","-2,70","","96,00","","0,00","","0,00","","25,00","","100,86","","","","","","Nuageux"
"2006-11-02 06:00","2006","11","02","06:00"," ","-1,50","","-2,40","","94,00","","0,00","","0,00","","25,00","","100,82","","","","","","Nuageux"
"2006-11-02 07:00","2006","11","02","07:00"," ","-1,50","","-2,20","","95,00","","34,00","","4,00","","25,00","","100,83","","","","-3,00","","Nuageux"
"2006-11-02 08:00","2006","11","02","08:00"," ","1,10","","-1,00","","86,00","","33,00","","6,00","","25,00","","100,77","","","","","","Nuageux"
"2006-11-02 09:00","2006","11","02","09:00"," ","4,70","","0,70","","75,00","","27,00","","4,00","","25,00","","100,72","","","","","","Nuageux"
"2006-11-02 10:00","2006","11","02","10:00"," ","6,00","","0,70","","69,00","","36,00","","4,00","","25,00","","100,65","","","","","","Nuageux"
"2006-11-02 11:00","2006","11","02","11:00"," ","6,90","","0,40","","63,00","","21,00","","11,00","","25,00","","100,59","","","","","","Nuageux"
"2006-11-02 12:00","2006","11","02","12:00"," ","6,90","","-0,20","","61,00","","24,00","","15,00","","25,00","","100,55","","","","","","Nuageux"
"2006-11-02 13:00","2006","11","02","13:00"," ","6,60","","-0,60","","60,00","","22,00","","7,00","","25,00","","100,49","","","","","","Nuageux"
"2006-11-02 14:00","2006","11","02","14:00"," ","6,30","","-0,50","","62,00","","24,00","","9,00","","25,00","","100,46","","","","","","Nuageux"
"2006-11-02 15:00","2006","11","02","15:00"," ","5,80","","-0,40","","64,00","","27,00","","6,00","","25,00","","100,43","","","","","","Nuageux"
"2006-11-02 16:00","2006","11","02","16:00"," ","5,10","","0,20","","71,00","","27,00","","6,00","","25,00","","100,43","","","","","","Généralement nuageux"
"2006-11-02 17:00","2006","11","02","17:00"," ","4,40","","-0,10","","73,00","","27,00","","7,00","","25,00","","100,47","","","","","","Généralement nuageux"
"2006-11-02 18:00","2006","11","02","18:00"," ","3,70","","-0,20","","76,00","","34,00","","9,00","","25,00","","100,52","","","","","","Généralement nuageux"
"2006-11-02 19:00","2006","11","02","19:00"," ","2,20","","-0,50","","82,00","","34,00","","6,00","","25,00","","100,56","","","","","","Généralement nuageux"
"2006-11-02 20:00","2006","11","02","20:00"," ","-1,50","","-2,20","","95,00","","30,00","","4,00","","25,00","","100,56","","","","-3,00","","Généralement dégagé"
"2006-11-02 21:00","2006","11","02","21:00"," ","0,00","","-1,10","","92,00","","33,00","","4,00","","25,00","","100,60","","","","-1,00","","Généralement nuageux"
"2006-11-02 22:00","2006","11","02","22:00"," ","-1,30","","-2,10","","94,00","","0,00","","0,00","","25,00","","100,58","","","","","","Généralement dégagé"
"2006-11-02 23:00","2006","11","02","23:00"," ","-2,90","","-3,70","","94,00","","27,00","","6,00","","25,00","","100,57","","","","-5,00","","Généralement dégagé"
"2006-11-03 00:00","2006","11","03","00:00"," ","-3,60","","-4,90","","91,00","","0,00","","0,00","","25,00","","100,60","","","","","","Dégagé"
"2006-11-03 01:00","2006","11","03","01:00"," ","-4,00","","-5,10","","92,00","","0,00","","0,00","","25,00","","100,63","","","","","","Dégagé"
"2006-11-03 02:00","2006","11","03","02:00"," ","-2,80","","-4,50","","88,00","","32,00","","7,00","","25,00","","100,63","","","","-6,00","","Généralement dégagé"
"2006-11-03 03:00","2006","11","03","03:00"," ","-3,50","","-4,70","","91,00","","26,00","","6,00","","25,00","","100,61","","","","-6,00","","Généralement dégagé"
"2006-11-03 04:00","2006","11","03","04:00"," ","-2,90","","-5,10","","85,00","","29,00","","4,00","","25,00","","100,60","","","","-4,00","","Généralement dégagé"
"2006-11-03 05:00","2006","11","03","05:00"," ","-2,00","","-4,60","","82,00","","31,00","","6,00","","25,00","","100,61","","","","-4,00","","Généralement dégagé"
"2006-11-03 06:00","2006","11","03","06:00"," ","-2,60","","-5,00","","84,00","","28,00","","7,00","","25,00","","100,63","","","","-5,00","","Généralement dégagé"
"2006-11-03 07:00","2006","11","03","07:00"," ","-0,30","","-4,70","","72,00","","29,00","","9,00","","25,00","","100,67","","","","-3,00","","Généralement nuageux"
"2006-11-03 08:00","2006","11","03","08:00"," ","0,90","","-4,10","","69,00","","27,00","","13,00","","25,00","","100,64","","","","","","Généralement dégagé"
"2006-11-03 09:00","2006","11","03","09:00"," ","2,20","","-5,40","","57,00","","28,00","","20,00","","25,00","","100,62","","","","","","Généralement dégagé"
"2006-11-03 10:00","2006","11","03","10:00"," ","3,70","","-6,50","","47,00","","28,00","","19,00","","25,00","","100,62","","","","","","Généralement dégagé"
"2006-11-03 11:00","2006","11","03","11:00"," ","4,00","","-7,10","","44,00","","25,00","","24,00","","25,00","","100,64","","","","","","Généralement nuageux"
"2006-11-03 12:00","2006","11","03","12:00"," ","3,80","","-7,30","","44,00","","29,00","","22,00","","25,00","","100,64","","","","","","Généralement nuageux"
"2006-11-03 13:00","2006","11","03","13:00"," ","4,10","","-6,80","","45,00","","30,00","","17,00","","25,00","","100,60","","","","","","Généralement nuageux"
"2006-11-03 14:00","2006","11","03","14:00"," ","3,90","","-6,90","","45,00","","27,00","","22,00","","25,00","","100,60","","","","","","Généralement nuageux"
"2006-11-03 15:00","2006","11","03","15:00"," ","3,60","","-7,60","","44,00","","26,00","","26,00","","25,00","","100,66","","","","","","Généralement dégagé"
"2006-11-03 16:00","2006","11","03","16:00"," ","1,80","","-8,10","","48,00","","28,00","","20,00","","25,00","","100,79","","","","","","Généralement dégagé"
"2006-11-03 17:00","2006","11","03","17:00"," ","0,80","","-7,60","","53,00","","27,00","","13,00","","25,00","","100,88","","","","","","Dégagé"
"2006-11-03 18:00","2006","11","03","18:00"," ","-0,30","","-7,60","","58,00","","29,00","","9,00","","25,00","","101,01","","","","-3,00","","Dégagé"
"2006-11-03 19:00","2006","11","03","19:00"," ","-1,80","","-7,00","","68,00","","25,00","","4,00","","25,00","","101,10","","","","-3,00","","Dégagé"
"2006-11-03 20:00","2006","11","03","20:00"," ","-1,00","","-7,10","","63,00","","29,00","","9,00","","25,00","","101,16","","","","-4,00","","Dégagé"
"2006-11-03 21:00","2006","11","03","21:00"," ","-1,20","","-7,10","","64,00","","28,00","","15,00","","25,00","","101,20","","","","-6,00","","Dégagé"
"2006-11-03 22:00","2006","11","03","22:00"," ","-1,80","","-7,00","","68,00","","28,00","","7,00","","25,00","","101,25","","","","-4,00","","Dégagé"
"2006-11-03 23:00","2006","11","03","23:00"," ","-1,80","","-6,70","","69,00","","29,00","","11,00","","25,00","","101,29","","","","-6,00","","Dégagé"
"2006-11-04 00:00","2006","11","04","00:00"," ","-2,00","","-6,70","","70,00","","29,00","","9,00","","25,00","","101,34","","","","-5,00","","Dégagé"
"2006-11-04 01:00","2006","11","04","01:00"," ","-2,50","","-6,60","","73,00","","31,00","","9,00","","25,00","","101,38","","","","-6,00","","Dégagé"
"2006-11-04 02:00","2006","11","04","02:00"," ","-2,40","","-6,30","","75,00","","29,00","","15,00","","25,00","","101,40","","","","-7,00","","Généralement dégagé"
"2006-11-04 03:00","2006","11","04","03:00"," ","-2,40","","-6,20","","75,00","","30,00","","11,00","","25,00","","101,45","","","","-6,00","","Généralement dégagé"
