"Nom de la Station","JONQUIERE"
"Province","QUEBEC"
"Latitude","48,43"
"Longitude","-71,14"
"Altitude","135,60"
"Identification Climat","7063370"
"Identification OMM","71617"
"Identification TC","WJO"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2011-12-01 00:00","2011","12","01","00:00"," ","-2,20","","-5,10","","80,00","","28,00","","32,00","","","","99,30","","","","-10,00","","ND"
"2011-12-01 01:00","2011","12","01","01:00"," ","-3,70","","-6,90","","78,00","","27,00","","26,00","","","","99,56","","","","-11,00","","ND"
"2011-12-01 02:00","2011","12","01","02:00"," ","-5,20","","-8,30","","79,00","","28,00","","24,00","","","","99,81","","","","-12,00","","ND"
"2011-12-01 03:00","2011","12","01","03:00"," ","-5,70","","-8,40","","81,00","","28,00","","28,00","","","","99,94","","","","-14,00","","ND"
"2011-12-01 04:00","2011","12","01","04:00"," ","-6,10","","-8,40","","84,00","","29,00","","28,00","","","","100,05","","","","-14,00","","ND"
"2011-12-01 05:00","2011","12","01","05:00"," ","-6,00","","-8,30","","84,00","","30,00","","24,00","","","","100,17","","","","-13,00","","ND"
"2011-12-01 06:00","2011","12","01","06:00"," ","-5,50","","-8,20","","81,00","","29,00","","20,00","","","","100,31","","","","-12,00","","ND"
"2011-12-01 07:00","2011","12","01","07:00"," ","-5,40","","-8,40","","79,00","","25,00","","13,00","","","","100,44","","","","-11,00","","ND"
"2011-12-01 08:00","2011","12","01","08:00"," ","-4,80","","-7,80","","79,00","","24,00","","11,00","","","","100,57","","","","-9,00","","ND"
"2011-12-01 09:00","2011","12","01","09:00"," ","-4,40","","-7,10","","81,00","","27,00","","9,00","","","","100,70","","","","-8,00","","ND"
"2011-12-01 10:00","2011","12","01","10:00"," ","","","","","","","","","","","","","","","","","","",""
"2011-12-01 11:00","2011","12","01","11:00"," ","-3,20","","-6,10","","80,00","","24,00","","13,00","","","","100,72","","","","-8,00","","ND"
"2011-12-01 12:00","2011","12","01","12:00"," ","-2,90","","-6,50","","76,00","","28,00","","9,00","","","","100,67","","","","-6,00","","ND"
"2011-12-01 13:00","2011","12","01","13:00"," ","-2,80","","-6,00","","79,00","","33,00","","7,00","","","","100,62","","","","-6,00","","ND"
"2011-12-01 14:00","2011","12","01","14:00"," ","-2,60","","-6,10","","77,00","","34,00","","7,00","","","","100,65","","","","-5,00","","ND"
"2011-12-01 15:00","2011","12","01","15:00"," ","-2,40","","-8,70","","62,00","","25,00","","15,00","","","","100,68","","","","-7,00","","ND"
"2011-12-01 16:00","2011","12","01","16:00"," ","-3,20","","-8,90","","65,00","","25,00","","11,00","","","","100,74","","","","-7,00","","ND"
"2011-12-01 17:00","2011","12","01","17:00"," ","-3,00","","-8,50","","66,00","","24,00","","11,00","","","","100,76","","","","-7,00","","ND"
"2011-12-01 18:00","2011","12","01","18:00"," ","","","","","","","","","","","","","","","","","","",""
"2011-12-01 19:00","2011","12","01","19:00"," ","","","","","","","","","","","","","","","","","","",""
"2011-12-01 20:00","2011","12","01","20:00"," ","","","","","","","","","","","","","","","","","","",""
"2011-12-01 21:00","2011","12","01","21:00"," ","","","","","","","","","","","","","","","","","","",""
"2011-12-01 22:00","2011","12","01","22:00"," ","","","","","","","","","","","","","","","","","","",""
"2011-12-01 23:00","2011","12","01","23:00"," ","","","","","","","","","","","","","","","","","","",""
"2011-12-02 00:00","2011","12","02","00:00"," ","","","","","","","","","","","","","","","","","","",""
"2011-12-02 01:00","2011","12","02","01:00"," ","","","","","","","","","","","","","","","","","","",""
"2011-12-02 02:00","2011","12","02","02:00"," ","","","","","","","","","","","","","","","","","","",""
"2011-12-02 03:00","2011","12","02","03:00"," ","","","","","","","","","","","","","","","","","","",""
"2011-12-02 04:00","2011","12","02","04:00"," ","","","","","","","","","","","","","","","","","","",""
"2011-12-02 05:00","2011","12","02","05:00"," ","","","","","","","","","","","","","","","","","","",""
"2011-12-02 06:00","2011","12","02","06:00"," ","","","","","","","","","","","","","","","","","","",""
"2011-12-02 07:00","2011","12","02","07:00"," ","","","","","","","","","","","","","","","","","","",""
"2011-12-02 08:00","2011","12","02","08:00"," ","-5,30","","-6,70","","90,00","","10,00","","7,00","","","","100,76","","","","-9,00","","ND"
"2011-12-02 09:00","2011","12","02","09:00"," ","-4,70","","-5,80","","92,00","","6,00","","6,00","","","","100,75","","","","-7,00","","ND"
"2011-12-02 10:00","2011","12","02","10:00"," ","-4,00","","-5,30","","91,00","","6,00","","7,00","","","","100,75","","","","-7,00","","ND"
"2011-12-02 11:00","2011","12","02","11:00"," ","-3,60","","-5,00","","90,00","","7,00","","7,00","","","","100,72","","","","-7,00","","ND"
"2011-12-02 12:00","2011","12","02","12:00"," ","-3,40","","-4,70","","91,00","","3,00","","6,00","","","","100,73","","","","-6,00","","ND"
"2011-12-02 13:00","2011","12","02","13:00"," ","-3,20","","-4,50","","91,00","","1,00","","6,00","","","","100,77","","","","-6,00","","ND"
"2011-12-02 14:00","2011","12","02","14:00"," ","-3,20","","-4,40","","91,00","","34,00","","9,00","","","","100,81","","","","-7,00","","ND"
"2011-12-02 15:00","2011","12","02","15:00"," ","-3,30","","-5,20","","87,00","","31,00","","9,00","","","","100,93","","","","-7,00","","ND"
"2011-12-02 16:00","2011","12","02","16:00"," ","-3,20","","-5,80","","82,00","","29,00","","19,00","","","","101,04","","","","-9,00","","ND"
"2011-12-02 17:00","2011","12","02","17:00"," ","-3,70","","-5,60","","87,00","","29,00","","19,00","","","","101,16","","","","-10,00","","ND"
"2011-12-02 18:00","2011","12","02","18:00"," ","-4,50","","-6,40","","87,00","","29,00","","20,00","","","","101,28","","","","-11,00","","ND"
"2011-12-02 19:00","2011","12","02","19:00"," ","-5,40","","-7,60","","84,00","","29,00","","19,00","","","","101,38","","","","-12,00","","ND"
"2011-12-02 20:00","2011","12","02","20:00"," ","-6,30","","-8,90","","82,00","","26,00","","19,00","","","","101,47","","","","-13,00","","ND"
"2011-12-02 21:00","2011","12","02","21:00"," ","-7,00","","-9,70","","81,00","","27,00","","20,00","","","","101,61","","","","-14,00","","ND"
"2011-12-02 22:00","2011","12","02","22:00"," ","-7,90","","-10,70","","80,00","","27,00","","15,00","","","","101,66","","","","-14,00","","ND"
"2011-12-02 23:00","2011","12","02","23:00"," ","-9,60","","-12,30","","81,00","","24,00","","13,00","","","","101,72","","","","-16,00","","ND"
"2011-12-03 00:00","2011","12","03","00:00"," ","-10,30","","-12,60","","83,00","","24,00","","11,00","","","","101,80","","","","-16,00","","ND"
"2011-12-03 01:00","2011","12","03","01:00"," ","-10,50","","-12,70","","84,00","","25,00","","9,00","","","","101,87","","","","-15,00","","ND"
"2011-12-03 02:00","2011","12","03","02:00"," ","-11,20","","-12,70","","89,00","","36,00","","4,00","","","","101,98","","","","-14,00","","ND"
"2011-12-03 03:00","2011","12","03","03:00"," ","-11,90","","-13,30","","89,00","","22,00","","2,00","","","","102,06","","","","-13,00","","ND"
"2011-12-03 04:00","2011","12","03","04:00"," ","-12,90","","-14,10","","91,00","","9,00","","6,00","","","","102,01","","","","-17,00","","ND"
"2011-12-03 05:00","2011","12","03","05:00"," ","-12,30","","-13,40","","91,00","","10,00","","7,00","","","","102,02","","","","-17,00","","ND"
"2011-12-03 06:00","2011","12","03","06:00"," ","-12,60","","-13,70","","91,00","","0,00","","0,00","","","","102,11","","","","","","ND"
"2011-12-03 07:00","2011","12","03","07:00"," ","-13,40","","-14,60","","91,00","","4,00","","4,00","","","","102,13","","","","-16,00","","ND"
"2011-12-03 08:00","2011","12","03","08:00"," ","-12,10","","-13,30","","91,00","","15,00","","4,00","","","","102,12","","","","-15,00","","ND"
"2011-12-03 09:00","2011","12","03","09:00"," ","-9,70","","-10,90","","91,00","","9,00","","6,00","","","","102,04","","","","-13,00","","ND"
"2011-12-03 10:00","2011","12","03","10:00"," ","-8,10","","-11,10","","79,00","","11,00","","11,00","","","","102,00","","","","-13,00","","ND"
"2011-12-03 11:00","2011","12","03","11:00"," ","-6,30","","-10,60","","72,00","","10,00","","9,00","","","","101,87","","","","-11,00","","ND"
"2011-12-03 12:00","2011","12","03","12:00"," ","-5,10","","-10,10","","68,00","","12,00","","13,00","","","","101,79","","","","-10,00","","ND"
"2011-12-03 13:00","2011","12","03","13:00"," ","-3,50","","-8,80","","67,00","","11,00","","7,00","","","","101,73","","","","-6,00","","ND"
"2011-12-03 14:00","2011","12","03","14:00"," ","-2,70","","-7,70","","68,00","","11,00","","11,00","","","","101,63","","","","-7,00","","ND"
"2011-12-03 15:00","2011","12","03","15:00"," ","-2,40","","-6,80","","72,00","","12,00","","13,00","","","","101,62","","","","-7,00","","ND"
"2011-12-03 16:00","2011","12","03","16:00"," ","-3,90","","-7,00","","79,00","","13,00","","6,00","","","","101,58","","","","-7,00","","ND"
"2011-12-03 17:00","2011","12","03","17:00"," ","-3,30","","-5,90","","82,00","","11,00","","15,00","","","","101,50","","","","-8,00","","ND"
"2011-12-03 18:00","2011","12","03","18:00"," ","-3,10","","-5,50","","83,00","","10,00","","13,00","","","","101,45","","","","-8,00","","ND"
"2011-12-03 19:00","2011","12","03","19:00"," ","-3,00","","-5,60","","82,00","","11,00","","9,00","","","","101,39","","","","-7,00","","ND"
"2011-12-03 20:00","2011","12","03","20:00"," ","-2,60","","-5,70","","79,00","","10,00","","7,00","","","","101,34","","","","-5,00","","ND"
"2011-12-03 21:00","2011","12","03","21:00"," ","-2,50","","-5,80","","78,00","","11,00","","15,00","","","","101,22","","","","-7,00","","ND"
"2011-12-03 22:00","2011","12","03","22:00"," ","-2,50","","-5,90","","77,00","","11,00","","13,00","","","","101,16","","","","-7,00","","ND"
"2011-12-03 23:00","2011","12","03","23:00"," ","-2,40","","-6,00","","76,00","","10,00","","7,00","","","","101,10","","","","-5,00","","ND"
"2011-12-04 00:00","2011","12","04","00:00"," ","-2,40","","-5,60","","79,00","","9,00","","9,00","","","","101,01","","","","-6,00","","ND"
"2011-12-04 01:00","2011","12","04","01:00"," ","-2,10","","-5,80","","76,00","","9,00","","4,00","","","","100,97","","","","-4,00","","ND"
"2011-12-04 02:00","2011","12","04","02:00"," ","-2,10","","-4,90","","81,00","","4,00","","7,00","","","","101,07","","","","-5,00","","ND"
"2011-12-04 03:00","2011","12","04","03:00"," ","-2,50","","-4,10","","89,00","","14,00","","7,00","","","","101,01","","","","-5,00","","ND"
"2011-12-04 04:00","2011","12","04","04:00"," ","-1,80","","-3,10","","91,00","","10,00","","7,00","","","","100,93","","","","-4,00","","ND"
"2011-12-04 05:00","2011","12","04","05:00"," ","-1,50","","-2,30","","94,00","","7,00","","7,00","","","","100,96","","","","-4,00","","ND"
"2011-12-04 06:00","2011","12","04","06:00"," ","-0,80","","-2,10","","91,00","","11,00","","11,00","","","","100,91","","","","-5,00","","ND"
"2011-12-04 07:00","2011","12","04","07:00"," ","-0,50","","-1,40","","94,00","","9,00","","6,00","","","","100,89","","","","-3,00","","ND"
"2011-12-04 08:00","2011","12","04","08:00"," ","-0,40","","-1,20","","94,00","","10,00","","6,00","","","","100,78","","","","-2,00","","ND"
"2011-12-04 09:00","2011","12","04","09:00"," ","-0,10","","-1,20","","92,00","","13,00","","11,00","","","","100,72","","","","-4,00","","ND"
"2011-12-04 10:00","2011","12","04","10:00"," ","0,20","","-0,90","","92,00","","8,00","","6,00","","","","100,58","","","","","","ND"
"2011-12-04 11:00","2011","12","04","11:00"," ","0,30","","-0,70","","93,00","","36,00","","6,00","","","","100,52","","","","","","ND"
"2011-12-04 12:00","2011","12","04","12:00"," ","0,50","","-0,40","","94,00","","10,00","","6,00","","","","100,47","","","","","","ND"
"2011-12-04 13:00","2011","12","04","13:00"," ","1,00","","-0,70","","88,00","","12,00","","9,00","","","","100,30","","","","","","ND"
"2011-12-04 14:00","2011","12","04","14:00"," ","1,10","","-0,60","","88,00","","11,00","","13,00","","","","100,14","","","","","","ND"
"2011-12-04 15:00","2011","12","04","15:00"," ","1,10","","-0,70","","88,00","","8,00","","11,00","","","","100,00","","","","","","ND"
