"Nom de la Station","CHIBOUGAMAU CHAPAIS A"
"Province","QUEBEC"
"Latitude","49,77"
"Longitude","-74,53"
"Altitude","387,10"
"Identification Climat","7091404"
"Identification OMM","71822"
"Identification TC","YMT"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2007-01-01 00:00","2007","01","01","00:00"," ","-9,90","","-12,10","","84,00","","14,00","","20,00","","24,10","","96,73","","","","-18,00","","Généralement nuageux"
"2007-01-01 01:00","2007","01","01","01:00"," ","-9,50","","-11,80","","83,00","","15,00","","19,00","","24,10","","96,60","","","","-17,00","","Généralement nuageux"
"2007-01-01 02:00","2007","01","01","02:00"," ","-9,40","","-12,20","","80,00","","13,00","","19,00","","24,10","","96,39","","","","-17,00","","Généralement nuageux"
"2007-01-01 03:00","2007","01","01","03:00"," ","-8,40","","-11,80","","76,00","","14,00","","19,00","","24,10","","96,19","","","","-16,00","","Nuageux"
"2007-01-01 04:00","2007","01","01","04:00"," ","-7,90","","-11,70","","74,00","","14,00","","17,00","","24,10","","95,99","","","","-15,00","","Nuageux"
"2007-01-01 05:00","2007","01","01","05:00"," ","-8,20","","-11,10","","80,00","","14,00","","20,00","","16,10","","95,84","","","","-16,00","","Neige"
"2007-01-01 06:00","2007","01","01","06:00"," ","-7,90","","-9,70","","87,00","","14,00","","26,00","","3,20","","95,56","","","","-16,00","","Neige,Poudrerie élevée"
"2007-01-01 07:00","2007","01","01","07:00"," ","-7,50","","-9,30","","87,00","","15,00","","20,00","","4,00","","95,41","","","","-15,00","","Neige,Granules de glace ou grésil"
"2007-01-01 08:00","2007","01","01","08:00"," ","-6,90","","-8,60","","88,00","","16,00","","19,00","","12,90","","95,29","","","","-14,00","","Neige"
"2007-01-01 09:00","2007","01","01","09:00"," ","-5,90","","-7,10","","91,00","","15,00","","19,00","","4,00","","95,18","","","","-13,00","","Neige,Brouillard"
"2007-01-01 10:00","2007","01","01","10:00"," ","-4,70","","-5,90","","91,00","","15,00","","19,00","","0,80","","95,02","","","","-11,00","","Neige modérée"
"2007-01-01 11:00","2007","01","01","11:00"," ","-1,70","","-2,60","","94,00","","17,00","","19,00","","3,20","","94,87","","","","-7,00","","Neige,Brouillard"
"2007-01-01 12:00","2007","01","01","12:00"," ","0,60","","-0,20","","94,00","","19,00","","24,00","","3,20","","94,75","","","","","","Neige,Brouillard"
"2007-01-01 13:00","2007","01","01","13:00"," ","1,70","","0,90","","94,00","","22,00","","20,00","","4,80","","94,77","","","","","","Pluie,Neige,Brouillard"
"2007-01-01 14:00","2007","01","01","14:00"," ","1,20","","0,00","","92,00","","24,00","","24,00","","8,00","","94,81","","","","","","Pluie,Neige"
"2007-01-01 15:00","2007","01","01","15:00"," ","0,80","","-0,50","","91,00","","25,00","","17,00","","8,00","","94,93","","","","","","Pluie,Neige"
"2007-01-01 16:00","2007","01","01","16:00"," ","0,10","","-1,50","","89,00","","26,00","","22,00","","8,00","","95,10","","","","","","Neige"
"2007-01-01 17:00","2007","01","01","17:00"," ","-1,10","","-3,80","","82,00","","27,00","","22,00","","12,90","","95,23","","","","-7,00","","Neige"
"2007-01-01 18:00","2007","01","01","18:00"," ","-2,30","","-5,00","","82,00","","29,00","","24,00","","12,90","","95,35","","","","-9,00","","Neige"
"2007-01-01 19:00","2007","01","01","19:00"," ","-3,20","","-5,80","","82,00","","29,00","","13,00","","9,70","","95,49","","","","-8,00","","Neige"
"2007-01-01 20:00","2007","01","01","20:00"," ","-3,90","","-5,50","","89,00","","28,00","","13,00","","4,80","","95,57","","","","-9,00","","Neige"
"2007-01-01 21:00","2007","01","01","21:00"," ","-4,30","","-6,40","","85,00","","31,00","","20,00","","6,40","","95,63","","","","-11,00","","Neige"
"2007-01-01 22:00","2007","01","01","22:00"," ","-5,20","","-6,60","","90,00","","30,00","","20,00","","16,10","","95,70","","","","-12,00","","Bruine verglaçante,Neige"
"2007-01-01 23:00","2007","01","01","23:00"," ","-5,70","","-7,40","","88,00","","31,00","","17,00","","19,30","","95,79","","","","-12,00","","Bruine verglaçante,Neige"
"2007-01-02 00:00","2007","01","02","00:00"," ","-6,40","","-8,70","","84,00","","31,00","","19,00","","16,10","","95,84","","","","-13,00","","Bruine verglaçante,Neige"
"2007-01-02 01:00","2007","01","02","01:00"," ","-7,60","","-9,80","","84,00","","30,00","","19,00","","4,80","","95,93","","","","-15,00","","Neige"
"2007-01-02 02:00","2007","01","02","02:00"," ","-8,50","","-11,40","","80,00","","30,00","","13,00","","12,90","","96,03","","","","-14,00","","Neige"
"2007-01-02 03:00","2007","01","02","03:00"," ","-8,80","","-12,10","","77,00","","31,00","","22,00","","9,70","","96,12","","","","-17,00","","Neige"
"2007-01-02 04:00","2007","01","02","04:00"," ","-9,10","","-11,60","","82,00","","30,00","","13,00","","6,40","","96,17","","","","-15,00","","Neige"
"2007-01-02 05:00","2007","01","02","05:00"," ","-9,70","","-11,90","","84,00","","29,00","","15,00","","6,40","","96,24","","","","-16,00","","Neige"
"2007-01-02 06:00","2007","01","02","06:00"," ","-10,30","","-12,80","","82,00","","28,00","","19,00","","4,80","","96,31","","","","-18,00","","Neige"
"2007-01-02 07:00","2007","01","02","07:00"," ","-10,70","","-13,20","","82,00","","28,00","","15,00","","4,80","","96,37","","","","-18,00","","Neige"
"2007-01-02 08:00","2007","01","02","08:00"," ","-10,80","","-13,30","","82,00","","28,00","","13,00","","4,80","","96,46","","","","-17,00","","Neige"
