"Nom de la Station","KUUJJUARAPIK A"
"Province","QUEBEC"
"Latitude","55,28"
"Longitude","-77,75"
"Altitude","10,40"
"Identification Climat","7103536"
"Identification OMM",""
"Identification TC","YGW"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"1970-01-01 00:00","1970","01","01","00:00"," ","-22,80","","-26,10","","73,00","","32,00","","18,00","","24,10","","102,29","","","","-33,00","","Dégagé"
"1970-01-01 01:00","1970","01","01","01:00"," ","-22,20","","-25,00","","77,00","","32,00","","19,00","","24,10","","102,28","","","","-33,00","","Dégagé"
"1970-01-01 02:00","1970","01","01","02:00"," ","-22,80","","-26,10","","73,00","","32,00","","18,00","","24,10","","102,25","","","","-33,00","","Généralement dégagé"
"1970-01-01 03:00","1970","01","01","03:00"," ","-22,20","","-25,60","","73,00","","32,00","","21,00","","24,10","","102,23","","","","-34,00","","Généralement dégagé"
"1970-01-01 04:00","1970","01","01","04:00"," ","-22,20","","-25,60","","73,00","","29,00","","16,00","","24,10","","102,15","","","","-32,00","","Dégagé"
"1970-01-01 05:00","1970","01","01","05:00"," ","-21,70","","-25,60","","71,00","","32,00","","19,00","","24,10","","102,11","","","","-32,00","","Dégagé"
"1970-01-01 06:00","1970","01","01","06:00"," ","-22,20","","-26,10","","70,00","","29,00","","10,00","","24,10","","102,09","","","","-30,00","","Dégagé"
"1970-01-01 07:00","1970","01","01","07:00"," ","-22,20","","-25,00","","77,00","","32,00","","16,00","","24,10","","102,09","","","","-32,00","","Généralement nuageux"
"1970-01-01 08:00","1970","01","01","08:00"," ","-22,20","","-25,60","","73,00","","32,00","","14,00","","24,10","","102,05","","","","-31,00","","Généralement nuageux"
"1970-01-01 09:00","1970","01","01","09:00"," ","-21,70","","-26,10","","67,00","","32,00","","16,00","","24,10","","102,01","","","","-31,00","","Généralement nuageux"
"1970-01-01 10:00","1970","01","01","10:00"," ","-21,10","","-25,60","","68,00","","32,00","","21,00","","24,10","","101,92","","","","-32,00","","Généralement nuageux"
"1970-01-01 11:00","1970","01","01","11:00"," ","-21,10","","-25,00","","72,00","","32,00","","21,00","","24,10","","101,86","","","","-32,00","","Généralement nuageux"
"1970-01-01 12:00","1970","01","01","12:00"," ","-20,60","","-24,40","","73,00","","32,00","","21,00","","24,10","","101,78","","","","-31,00","","Généralement nuageux"
"1970-01-01 13:00","1970","01","01","13:00"," ","-20,00","","-23,30","","73,00","","29,00","","10,00","","24,10","","101,72","","","","-27,00","","Généralement nuageux"
"1970-01-01 14:00","1970","01","01","14:00"," ","-20,00","","-23,30","","76,00","","29,00","","24,00","","24,10","","101,69","","","","-31,00","","Généralement dégagé"
"1970-01-01 15:00","1970","01","01","15:00"," ","-20,00","","-23,30","","76,00","","29,00","","21,00","","24,10","","101,62","","","","-31,00","","Généralement dégagé"
"1970-01-01 16:00","1970","01","01","16:00"," ","-20,00","","-23,30","","76,00","","29,00","","16,00","","24,10","","101,56","","","","-29,00","","Généralement dégagé"
"1970-01-01 17:00","1970","01","01","17:00"," ","-18,90","","-21,70","","78,00","","32,00","","24,00","","19,30","","101,51","","","","-30,00","","Neige"
"1970-01-01 18:00","1970","01","01","18:00"," ","-18,30","","-21,70","","76,00","","32,00","","21,00","","24,10","","101,47","","","","-29,00","","Généralement nuageux"
"1970-01-01 19:00","1970","01","01","19:00"," ","-18,30","","-22,20","","73,00","","29,00","","24,00","","24,10","","101,38","","","","-29,00","","Généralement dégagé"
"1970-01-01 20:00","1970","01","01","20:00"," ","-17,80","","-20,60","","79,00","","32,00","","21,00","","24,10","","101,29","","","","-28,00","","Nuageux"
"1970-01-01 21:00","1970","01","01","21:00"," ","-17,80","","-20,60","","79,00","","32,00","","23,00","","24,10","","101,19","","","","-28,00","","Généralement nuageux"
"1970-01-01 22:00","1970","01","01","22:00"," ","-17,20","","-20,00","","80,00","","32,00","","24,00","","19,30","","101,12","","","","-28,00","","Neige"
"1970-01-01 23:00","1970","01","01","23:00"," ","-16,70","","-20,00","","76,00","","29,00","","24,00","","19,30","","101,07","","","","-27,00","","Neige"
"1970-01-02 00:00","1970","01","02","00:00"," ","-16,70","","-18,90","","83,00","","32,00","","19,00","","19,30","","100,98","","","","-26,00","","Neige"
"1970-01-02 01:00","1970","01","02","01:00"," ","-16,70","","-19,40","","78,00","","32,00","","27,00","","19,30","","100,94","","","","-28,00","","Neige"
"1970-01-02 02:00","1970","01","02","02:00"," ","-15,60","","-17,80","","82,00","","32,00","","32,00","","16,10","","100,88","","","","-27,00","","Nuageux"
"1970-01-02 03:00","1970","01","02","03:00"," ","-16,10","","-18,90","","79,00","","29,00","","27,00","","16,10","","100,83","","","","-27,00","","Neige"
"1970-01-02 04:00","1970","01","02","04:00"," ","-16,70","","-19,40","","78,00","","32,00","","31,00","","16,10","","100,74","","","","-28,00","","Neige"
"1970-01-02 05:00","1970","01","02","05:00"," ","-17,20","","-20,00","","80,00","","29,00","","31,00","","16,10","","100,66","","","","-29,00","","Neige"
"1970-01-02 06:00","1970","01","02","06:00"," ","-17,20","","-20,60","","75,00","","32,00","","32,00","","12,90","","100,58","","","","-29,00","","Neige"
"1970-01-02 07:00","1970","01","02","07:00"," ","-17,80","","-20,60","","79,00","","29,00","","34,00","","9,70","","100,54","","","","-30,00","","Neige"
"1970-01-02 08:00","1970","01","02","08:00"," ","-17,80","","-21,10","","76,00","","32,00","","34,00","","19,30","","100,49","","","","-30,00","","Nuageux"
"1970-01-02 09:00","1970","01","02","09:00"," ","-17,80","","-21,10","","76,00","","29,00","","24,00","","16,10","","100,45","","","","-29,00","","Généralement nuageux"
"1970-01-02 10:00","1970","01","02","10:00"," ","-17,80","","-20,60","","79,00","","32,00","","24,00","","16,10","","100,38","","","","-29,00","","Généralement nuageux"
"1970-01-02 11:00","1970","01","02","11:00"," ","-17,20","","-21,10","","72,00","","32,00","","29,00","","16,10","","100,31","","","","-29,00","","Généralement nuageux"
"1970-01-02 12:00","1970","01","02","12:00"," ","-17,20","","-20,00","","80,00","","32,00","","37,00","","9,70","","100,25","","","","-30,00","","Poudrerie élevée"
"1970-01-02 13:00","1970","01","02","13:00"," ","-17,20","","-20,00","","77,00","","29,00","","32,00","","9,70","","100,24","","","","-29,00","","Poudrerie élevée"
"1970-01-02 14:00","1970","01","02","14:00"," ","-16,70","","-20,60","","73,00","","29,00","","32,00","","9,70","","100,19","","","","-29,00","","Poudrerie élevée"
"1970-01-02 15:00","1970","01","02","15:00"," ","-16,70","","-20,60","","73,00","","29,00","","29,00","","9,70","","100,16","","","","-28,00","","Poudrerie élevée"
"1970-01-02 16:00","1970","01","02","16:00"," ","-17,20","","-21,70","","70,00","","29,00","","32,00","","9,70","","100,13","","","","-29,00","","Poudrerie élevée"
"1970-01-02 17:00","1970","01","02","17:00"," ","-17,80","","-20,60","","79,00","","29,00","","45,00","","8,00","","100,13","","","","-32,00","","Poudrerie élevée"
"1970-01-02 18:00","1970","01","02","18:00"," ","-17,80","","-20,60","","79,00","","29,00","","24,00","","8,00","","100,14","","","","-29,00","","Poudrerie élevée"
"1970-01-02 19:00","1970","01","02","19:00"," ","-17,80","","-20,60","","79,00","","29,00","","35,00","","8,00","","100,15","","","","-30,00","","Poudrerie élevée"
"1970-01-02 20:00","1970","01","02","20:00"," ","-17,80","","-21,10","","76,00","","29,00","","37,00","","4,80","","100,12","","","","-31,00","","Neige,Poudrerie élevée"
"1970-01-02 21:00","1970","01","02","21:00"," ","-17,80","","-20,60","","79,00","","29,00","","35,00","","6,40","","100,07","","","","-30,00","","Neige,Poudrerie élevée"
"1970-01-02 22:00","1970","01","02","22:00"," ","-17,80","","-21,10","","76,00","","27,00","","39,00","","9,70","","100,02","","","","-31,00","","Poudrerie élevée"
"1970-01-02 23:00","1970","01","02","23:00"," ","-18,30","","-22,20","","70,00","","27,00","","40,00","","9,70","","100,04","","","","-32,00","","Poudrerie élevée"
"1970-01-03 00:00","1970","01","03","00:00"," ","-18,30","","-21,70","","76,00","","27,00","","37,00","","9,70","","100,03","","","","-31,00","","Poudrerie élevée"
"1970-01-03 01:00","1970","01","03","01:00"," ","-18,30","","-21,10","","78,00","","27,00","","34,00","","12,90","","100,06","","","","-31,00","","Nuageux"
"1970-01-03 02:00","1970","01","03","02:00"," ","-18,90","","-21,70","","78,00","","27,00","","35,00","","12,90","","100,08","","","","-32,00","","Nuageux"
"1970-01-03 03:00","1970","01","03","03:00"," ","-17,80","","-21,10","","76,00","","27,00","","35,00","","6,40","","100,09","","","","-30,00","","Poudrerie élevée"
"1970-01-03 04:00","1970","01","03","04:00"," ","-17,80","","-21,10","","76,00","","27,00","","35,00","","6,40","","100,10","","","","-30,00","","Poudrerie élevée"
"1970-01-03 05:00","1970","01","03","05:00"," ","-18,30","","-21,10","","78,00","","27,00","","34,00","","8,00","","100,14","","","","-31,00","","Poudrerie élevée"
"1970-01-03 06:00","1970","01","03","06:00"," ","-18,90","","-22,80","","78,00","","27,00","","32,00","","12,90","","100,11","","","","-31,00","","Généralement nuageux"
"1970-01-03 07:00","1970","01","03","07:00"," ","-17,80","","-21,10","","74,00","","27,00","","24,00","","12,90","","100,14","","","","-29,00","","Neige"
"1970-01-03 08:00","1970","01","03","08:00"," ","-17,20","","-20,00","","77,00","","25,00","","39,00","","9,70","","100,20","","","","-30,00","","Poudrerie élevée"
"1970-01-03 09:00","1970","01","03","09:00"," ","-17,20","","-20,60","","75,00","","25,00","","40,00","","6,40","","100,20","","","","-30,00","","Poudrerie élevée"
"1970-01-03 10:00","1970","01","03","10:00"," ","-17,80","","-21,10","","76,00","","25,00","","29,00","","6,40","","100,22","","","","-30,00","","Poudrerie élevée"
"1970-01-03 11:00","1970","01","03","11:00"," ","-17,80","","-21,10","","76,00","","23,00","","40,00","","6,40","","100,28","","","","-31,00","","Poudrerie élevée"
"1970-01-03 12:00","1970","01","03","12:00"," ","-17,80","","-21,10","","76,00","","25,00","","40,00","","6,40","","100,31","","","","-31,00","","Poudrerie élevée"
"1970-01-03 13:00","1970","01","03","13:00"," ","-17,80","","-20,60","","79,00","","23,00","","27,00","","6,40","","100,35","","","","-29,00","","Poudrerie élevée"
"1970-01-03 14:00","1970","01","03","14:00"," ","-17,80","","-21,10","","76,00","","25,00","","32,00","","8,00","","100,43","","","","-30,00","","Poudrerie élevée"
