"Nom de la Station","KUUJJUAQ A"
"Province","QUEBEC"
"Latitude","58,10"
"Longitude","-68,42"
"Altitude","39,90"
"Identification Climat","7113534"
"Identification OMM","71906"
"Identification TC","YVP"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"1959-04-01 00:00","1959","04","01","00:00"," ","-17,20","","-22,20","","65,00","","36,00","","3,00","","24,10","","101,37","","","","-20,00","","Dégagé"
"1959-04-01 01:00","1959","04","01","01:00"," ","-16,10","","-18,30","","83,00","","5,00","","10,00","","24,10","","101,18","","","","-23,00","","Dégagé"
"1959-04-01 02:00","1959","04","01","02:00"," ","-15,60","","-18,30","","79,00","","5,00","","10,00","","24,10","","101,02","","","","-22,00","","Dégagé"
"1959-04-01 03:00","1959","04","01","03:00"," ","-15,60","","-20,00","","69,00","","5,00","","3,00","","24,10","","100,87","","","","-18,00","","Dégagé"
"1959-04-01 04:00","1959","04","01","04:00"," ","-16,10","","-19,40","","75,00","","5,00","","6,00","","24,10","","100,72","","","","-21,00","","Dégagé"
"1959-04-01 05:00","1959","04","01","05:00"," ","-16,10","","-19,40","","75,00","","5,00","","6,00","","24,10","","100,60","","","","-21,00","","Généralement nuageux"
"1959-04-01 06:00","1959","04","01","06:00"," ","-13,90","","-16,70","","80,00","","5,00","","6,00","","24,10","","100,48","","","","-18,00","","Nuageux"
"1959-04-01 07:00","1959","04","01","07:00"," ","-12,20","","-14,40","","84,00","","14,00","","5,00","","4,80","","100,32","","","","-15,00","","Neige"
"1959-04-01 08:00","1959","04","01","08:00"," ","-10,60","","-13,30","","80,00","","14,00","","5,00","","24,10","","100,13","","","","-14,00","","Nuageux"
"1959-04-01 09:00","1959","04","01","09:00"," ","-7,80","","-10,60","","81,00","","14,00","","10,00","","24,10","","99,95","","","","-13,00","","Nuageux"
"1959-04-01 10:00","1959","04","01","10:00"," ","-5,00","","-6,10","","92,00","","18,00","","8,00","","24,10","","99,75","","","","-9,00","","Nuageux"
"1959-04-01 11:00","1959","04","01","11:00"," ","-3,30","","-8,90","","65,00","","18,00","","32,00","","24,10","","99,60","","","","-11,00","","Nuageux"
"1959-04-01 12:00","1959","04","01","12:00"," ","-2,80","","-5,00","","85,00","","18,00","","24,00","","19,30","","99,52","","","","-9,00","","Neige"
"1959-04-01 13:00","1959","04","01","13:00"," ","-1,10","","-3,90","","81,00","","18,00","","24,00","","16,10","","99,43","","","","-7,00","","Neige"
"1959-04-01 14:00","1959","04","01","14:00"," ","-0,60","","-1,70","","92,00","","20,00","","26,00","","3,20","","99,35","","","","-7,00","","Neige"
"1959-04-01 15:00","1959","04","01","15:00"," ","1,10","","-1,10","","85,00","","20,00","","18,00","","16,10","","99,24","","","","","","Neige"
"1959-04-01 16:00","1959","04","01","16:00"," ","1,10","","0,60","","96,00","","20,00","","16,00","","16,10","","99,16","","","","","","Neige"
"1959-04-01 17:00","1959","04","01","17:00"," ","-2,80","","-3,90","","92,00","","25,00","","45,00","","0,80","","99,27","","","","-12,00","","Neige,Poudrerie élevée"
"1959-04-01 18:00","1959","04","01","18:00"," ","-6,10","","-7,20","","92,00","","25,00","","61,00","","4,80","","99,32","","","","-17,00","","Poudrerie élevée"
"1959-04-01 19:00","1959","04","01","19:00"," ","-7,80","","-8,90","","92,00","","25,00","","40,00","","11,30","","99,47","","","","-18,00","","Généralement nuageux"
"1959-04-01 20:00","1959","04","01","20:00"," ","-10,00","","-11,70","","88,00","","25,00","","42,00","","16,10","","99,64","","","","-21,00","","Généralement nuageux"
"1959-04-01 21:00","1959","04","01","21:00"," ","-12,20","","-13,90","","87,00","","25,00","","47,00","","19,30","","99,68","","","","-24,00","","Généralement dégagé"
"1959-04-01 22:00","1959","04","01","22:00"," ","-12,80","","-14,40","","87,00","","25,00","","43,00","","24,10","","99,81","","","","-25,00","","Dégagé"
"1959-04-01 23:00","1959","04","01","23:00"," ","-13,30","","-15,60","","83,00","","25,00","","16,00","","24,10","","99,95","","","","-21,00","","Dégagé"
"1959-04-02 00:00","1959","04","02","00:00"," ","-13,90","","-16,70","","80,00","","25,00","","23,00","","24,10","","100,05","","","","-23,00","","Dégagé"
"1959-04-02 01:00","1959","04","02","01:00"," ","-14,40","","-16,70","","83,00","","25,00","","32,00","","24,10","","100,16","","","","-26,00","","Dégagé"
"1959-04-02 02:00","1959","04","02","02:00"," ","-14,40","","-16,70","","83,00","","25,00","","29,00","","24,10","","100,25","","","","-25,00","","Dégagé"
"1959-04-02 03:00","1959","04","02","03:00"," ","-16,10","","-18,90","","79,00","","23,00","","19,00","","24,10","","100,44","","","","-25,00","","Dégagé"
"1959-04-02 04:00","1959","04","02","04:00"," ","-17,20","","-19,40","","83,00","","23,00","","23,00","","24,10","","100,66","","","","-28,00","","Dégagé"
"1959-04-02 05:00","1959","04","02","05:00"," ","-17,80","","-20,00","","83,00","","23,00","","26,00","","24,10","","100,68","","","","-29,00","","Généralement dégagé"
"1959-04-02 06:00","1959","04","02","06:00"," ","-17,20","","-21,10","","72,00","","23,00","","23,00","","24,10","","100,70","","","","-28,00","","Généralement nuageux"
"1959-04-02 07:00","1959","04","02","07:00"," ","-16,10","","-20,00","","72,00","","25,00","","35,00","","24,10","","100,72","","","","-28,00","","Généralement nuageux"
"1959-04-02 08:00","1959","04","02","08:00"," ","-15,00","","-18,30","","76,00","","23,00","","19,00","","24,10","","100,80","","","","-24,00","","Généralement nuageux"
"1959-04-02 09:00","1959","04","02","09:00"," ","-13,90","","-17,20","","76,00","","25,00","","26,00","","24,10","","100,80","","","","-24,00","","Généralement dégagé"
"1959-04-02 10:00","1959","04","02","10:00"," ","-12,80","","-15,60","","80,00","","25,00","","23,00","","24,10","","100,83","","","","-22,00","","Généralement dégagé"
"1959-04-02 11:00","1959","04","02","11:00"," ","-12,20","","-14,40","","84,00","","25,00","","24,00","","24,10","","100,86","","","","-21,00","","Généralement dégagé"
"1959-04-02 12:00","1959","04","02","12:00"," ","-11,10","","-13,90","","80,00","","25,00","","19,00","","24,10","","100,84","","","","-19,00","","Généralement dégagé"
"1959-04-02 13:00","1959","04","02","13:00"," ","-10,60","","-12,20","","87,00","","25,00","","24,00","","24,10","","100,82","","","","-19,00","","Généralement dégagé"
"1959-04-02 14:00","1959","04","02","14:00"," ","-10,60","","-12,20","","87,00","","25,00","","21,00","","24,10","","100,81","","","","-19,00","","Dégagé"
"1959-04-02 15:00","1959","04","02","15:00"," ","-11,10","","-13,30","","84,00","","25,00","","13,00","","24,10","","100,84","","","","-18,00","","Généralement dégagé"
"1959-04-02 16:00","1959","04","02","16:00"," ","-11,70","","-14,40","","80,00","","23,00","","19,00","","24,10","","100,78","","","","-20,00","","Généralement nuageux"
"1959-04-02 17:00","1959","04","02","17:00"," ","-12,80","","-15,60","","80,00","","34,00","","3,00","","24,10","","100,85","","","","-15,00","","Généralement nuageux"
"1959-04-02 18:00","1959","04","02","18:00"," ","-14,40","","-17,20","","79,00","","32,00","","16,00","","24,10","","100,75","","","","-22,00","","Généralement nuageux"
"1959-04-02 19:00","1959","04","02","19:00"," ","-15,60","","-18,30","","79,00","","36,00","","6,00","","24,10","","100,80","","","","-20,00","","Généralement nuageux"
"1959-04-02 20:00","1959","04","02","20:00"," ","-16,10","","-18,90","","79,00","","36,00","","13,00","","24,10","","100,78","","","","-24,00","","Dégagé"
"1959-04-02 21:00","1959","04","02","21:00"," ","-16,10","","-19,40","","75,00","","36,00","","16,00","","24,10","","100,75","","","","-25,00","","Généralement dégagé"
"1959-04-02 22:00","1959","04","02","22:00"," ","-16,70","","-20,00","","75,00","","2,00","","10,00","","24,10","","100,74","","","","-23,00","","Nuageux"
"1959-04-02 23:00","1959","04","02","23:00"," ","-17,20","","-21,10","","72,00","","36,00","","16,00","","24,10","","100,64","","","","-26,00","","Nuageux"
"1959-04-03 00:00","1959","04","03","00:00"," ","-16,10","","-19,40","","75,00","","2,00","","29,00","","24,10","","100,51","","","","-27,00","","Nuageux"
"1959-04-03 01:00","1959","04","03","01:00"," ","-16,10","","-18,90","","79,00","","2,00","","35,00","","24,10","","100,42","","","","-28,00","","Nuageux"
"1959-04-03 02:00","1959","04","03","02:00"," ","-16,70","","-19,40","","79,00","","5,00","","39,00","","24,10","","100,35","","","","-30,00","","Nuageux"
"1959-04-03 03:00","1959","04","03","03:00"," ","-16,70","","-19,40","","79,00","","5,00","","35,00","","24,10","","100,24","","","","-29,00","","Nuageux"
"1959-04-03 04:00","1959","04","03","04:00"," ","-16,70","","-19,40","","79,00","","5,00","","29,00","","24,10","","100,19","","","","-28,00","","Nuageux"
"1959-04-03 05:00","1959","04","03","05:00"," ","-16,10","","-19,40","","75,00","","2,00","","35,00","","24,10","","100,02","","","","-28,00","","Nuageux"
"1959-04-03 06:00","1959","04","03","06:00"," ","-15,60","","-18,30","","79,00","","2,00","","48,00","","24,10","","99,86","","","","-29,00","","Nuageux"
"1959-04-03 07:00","1959","04","03","07:00"," ","-16,10","","-18,90","","79,00","","2,00","","48,00","","1,60","","99,73","","","","-30,00","","Neige"
"1959-04-03 08:00","1959","04","03","08:00"," ","-15,60","","-17,80","","83,00","","2,00","","64,00","","0,00","","99,46","","","","-31,00","","Poudrerie élevée"
"1959-04-03 09:00","1959","04","03","09:00"," ","-15,60","","-17,20","","87,00","","2,00","","64,00","","0,00","","99,33","","","","-31,00","","Poudrerie élevée"
"1959-04-03 10:00","1959","04","03","10:00"," ","-14,40","","-16,10","","87,00","","2,00","","64,00","","0,00","","99,12","","","","-29,00","","Poudrerie élevée"
"1959-04-03 11:00","1959","04","03","11:00"," ","-13,90","","-15,60","","87,00","","2,00","","64,00","","0,20","","98,90","","","","-28,00","","Poudrerie élevée"
"1959-04-03 12:00","1959","04","03","12:00"," ","-12,80","","-14,40","","87,00","","2,00","","55,00","","0,20","","98,73","","","","-26,00","","Poudrerie élevée"
"1959-04-03 13:00","1959","04","03","13:00"," ","-11,70","","-13,30","","87,00","","2,00","","61,00","","0,20","","98,59","","","","-25,00","","Poudrerie élevée"
"1959-04-03 14:00","1959","04","03","14:00"," ","-10,60","","-12,20","","87,00","","2,00","","55,00","","0,20","","98,50","","","","-23,00","","Poudrerie élevée"
"1959-04-03 15:00","1959","04","03","15:00"," ","-9,40","","-11,10","","88,00","","2,00","","42,00","","3,20","","98,43","","","","-20,00","","Poudrerie élevée"
"1959-04-03 16:00","1959","04","03","16:00"," ","-9,40","","-10,60","","92,00","","36,00","","32,00","","1,60","","98,43","","","","-19,00","","Neige"
"1959-04-03 17:00","1959","04","03","17:00"," ","-9,40","","-11,10","","88,00","","36,00","","35,00","","1,60","","98,46","","","","-19,00","","Neige"
"1959-04-03 18:00","1959","04","03","18:00"," ","-10,00","","-11,70","","88,00","","34,00","","23,00","","3,20","","98,49","","","","-18,00","","Neige"
"1959-04-03 19:00","1959","04","03","19:00"," ","-10,00","","-11,70","","88,00","","32,00","","19,00","","8,00","","98,55","","","","-18,00","","Neige"
"1959-04-03 20:00","1959","04","03","20:00"," ","-10,00","","-11,70","","88,00","","27,00","","10,00","","16,10","","98,58","","","","-15,00","","Neige"
"1959-04-03 21:00","1959","04","03","21:00"," ","-10,60","","-12,20","","87,00","","23,00","","19,00","","16,10","","98,62","","","","-18,00","","Neige"
"1959-04-03 22:00","1959","04","03","22:00"," ","-10,60","","-12,20","","87,00","","23,00","","26,00","","16,10","","98,63","","","","-20,00","","Neige"
"1959-04-03 23:00","1959","04","03","23:00"," ","-10,60","","-12,20","","87,00","","23,00","","19,00","","16,10","","98,65","","","","-18,00","","Neige"
"1959-04-04 00:00","1959","04","04","00:00"," ","-10,00","","-11,70","","88,00","","20,00","","19,00","","16,10","","98,68","","","","-18,00","","Neige"
"1959-04-04 01:00","1959","04","04","01:00"," ","-10,00","","-11,70","","88,00","","18,00","","19,00","","19,30","","98,73","","","","-18,00","","Neige"
"1959-04-04 02:00","1959","04","04","02:00"," ","-10,00","","-12,20","","84,00","","16,00","","6,00","","24,10","","98,87","","","","-14,00","","Neige"
"1959-04-04 03:00","1959","04","04","03:00"," ","-11,10","","-12,80","","87,00","","2,00","","14,00","","12,90","","99,07","","","","-18,00","","Neige"
"1959-04-04 04:00","1959","04","04","04:00"," ","-11,70","","-13,30","","87,00","","36,00","","19,00","","12,90","","99,27","","","","-20,00","","Neige"
"1959-04-04 05:00","1959","04","04","05:00"," ","-11,70","","-13,30","","87,00","","2,00","","10,00","","19,30","","99,46","","","","-17,00","","Neige"
"1959-04-04 06:00","1959","04","04","06:00"," ","-10,60","","-12,20","","87,00","","36,00","","32,00","","3,20","","99,67","","","","-21,00","","Neige"
"1959-04-04 07:00","1959","04","04","07:00"," ","-10,60","","-12,20","","87,00","","2,00","","40,00","","1,20","","99,81","","","","-22,00","","Neige,Poudrerie élevée"
"1959-04-04 08:00","1959","04","04","08:00"," ","-10,60","","-12,20","","87,00","","36,00","","26,00","","8,00","","100,00","","","","-20,00","","Neige"
"1959-04-04 09:00","1959","04","04","09:00"," ","-11,10","","-12,80","","87,00","","36,00","","29,00","","8,00","","100,16","","","","-21,00","","Neige"
"1959-04-04 10:00","1959","04","04","10:00"," ","-11,70","","-13,30","","87,00","","36,00","","35,00","","3,20","","100,28","","","","-22,00","","Neige"
"1959-04-04 11:00","1959","04","04","11:00"," ","-10,60","","-13,30","","80,00","","36,00","","39,00","","1,60","","100,40","","","","-21,00","","Neige"
"1959-04-04 12:00","1959","04","04","12:00"," ","-10,60","","-12,80","","84,00","","36,00","","35,00","","3,20","","100,54","","","","-21,00","","Neige"
"1959-04-04 13:00","1959","04","04","13:00"," ","-10,60","","-13,30","","80,00","","36,00","","32,00","","3,20","","100,68","","","","-21,00","","Neige"
"1959-04-04 14:00","1959","04","04","14:00"," ","-11,10","","-13,30","","84,00","","36,00","","26,00","","3,20","","100,78","","","","-20,00","","Neige"
"1959-04-04 15:00","1959","04","04","15:00"," ","-11,70","","-13,30","","87,00","","36,00","","23,00","","12,90","","100,90","","","","-21,00","","Neige"
"1959-04-04 16:00","1959","04","04","16:00"," ","-11,70","","-13,30","","87,00","","32,00","","26,00","","12,90","","101,01","","","","-21,00","","Neige"
"1959-04-04 17:00","1959","04","04","17:00"," ","-12,80","","-14,40","","87,00","","34,00","","16,00","","24,10","","101,13","","","","-20,00","","Nuageux"
"1959-04-04 18:00","1959","04","04","18:00"," ","-14,40","","-16,70","","83,00","","32,00","","18,00","","24,10","","101,23","","","","-23,00","","Nuageux"
"1959-04-04 19:00","1959","04","04","19:00"," ","-15,60","","-17,20","","87,00","","32,00","","19,00","","24,10","","101,31","","","","-25,00","","Généralement dégagé"
"1959-04-04 20:00","1959","04","04","20:00"," ","-16,70","","-18,90","","83,00","","34,00","","19,00","","24,10","","101,40","","","","-26,00","","Dégagé"
"1959-04-04 21:00","1959","04","04","21:00"," ","-17,20","","-19,40","","83,00","","34,00","","26,00","","24,10","","101,46","","","","-28,00","","Dégagé"
"1959-04-04 22:00","1959","04","04","22:00"," ","-18,30","","-20,60","","83,00","","36,00","","10,00","","24,10","","101,54","","","","-25,00","","Dégagé"
"1959-04-04 23:00","1959","04","04","23:00"," ","-18,90","","-22,20","","75,00","","32,00","","10,00","","24,10","","101,56","","","","-26,00","","Dégagé"
"1959-04-05 00:00","1959","04","05","00:00"," ","-18,30","","-22,20","","71,00","","34,00","","10,00","","24,10","","101,60","","","","-25,00","","Dégagé"
"1959-04-05 01:00","1959","04","05","01:00"," ","-18,90","","-22,20","","75,00","","34,00","","13,00","","19,30","","101,67","","","","-27,00","","Cristaux de glace"
"1959-04-05 02:00","1959","04","05","02:00"," ","-20,60","","-23,90","","75,00","","23,00","","5,00","","24,10","","101,70","","","","-25,00","","Cristaux de glace"
"1959-04-05 03:00","1959","04","05","03:00"," ","-20,00","","-23,90","","71,00","","32,00","","10,00","","19,30","","101,74","","","","-27,00","","Cristaux de glace"
"1959-04-05 04:00","1959","04","05","04:00"," ","-20,00","","-23,30","","75,00","","32,00","","16,00","","16,10","","101,71","","","","-29,00","","Généralement nuageux"
"1959-04-05 05:00","1959","04","05","05:00"," ","-20,60","","-23,90","","75,00","","32,00","","19,00","","24,10","","101,72","","","","-31,00","","Généralement dégagé"
"1959-04-05 06:00","1959","04","05","06:00"," ","-21,70","","-25,00","","74,00","","34,00","","10,00","","24,10","","101,79","","","","-29,00","","Généralement dégagé"
"1959-04-05 07:00","1959","04","05","07:00"," ","-21,70","","-22,80","","91,00","","32,00","","5,00","","12,90","","101,78","","","","-26,00","","Généralement dégagé"
"1959-04-05 08:00","1959","04","05","08:00"," ","-20,00","","-23,30","","75,00","","32,00","","5,00","","19,30","","101,73","","","","-24,00","","Généralement dégagé"
"1959-04-05 09:00","1959","04","05","09:00"," ","-18,30","","-20,60","","83,00","","32,00","","8,00","","19,30","","101,73","","","","-24,00","","Généralement dégagé"
"1959-04-05 10:00","1959","04","05","10:00"," ","-17,20","","-20,60","","75,00","","36,00","","11,00","","24,10","","101,70","","","","-24,00","","Généralement nuageux"
"1959-04-05 11:00","1959","04","05","11:00"," ","-16,70","","-20,60","","72,00","","34,00","","11,00","","24,10","","101,64","","","","-24,00","","Généralement dégagé"
"1959-04-05 12:00","1959","04","05","12:00"," ","-15,00","","-18,30","","76,00","","36,00","","14,00","","24,10","","101,58","","","","-23,00","","Généralement dégagé"
"1959-04-05 13:00","1959","04","05","13:00"," ","-13,90","","-17,20","","76,00","","36,00","","13,00","","24,10","","101,53","","","","-21,00","","Généralement dégagé"
"1959-04-05 14:00","1959","04","05","14:00"," ","-13,30","","-16,70","","76,00","","36,00","","19,00","","16,10","","101,46","","","","-22,00","","Cristaux de glace"
"1959-04-05 15:00","1959","04","05","15:00"," ","-13,30","","-14,40","","91,00","","36,00","","23,00","","16,10","","101,43","","","","-23,00","","Cristaux de glace"
"1959-04-05 16:00","1959","04","05","16:00"," ","-13,30","","-14,40","","91,00","","36,00","","18,00","","19,30","","101,41","","","","-22,00","","Cristaux de glace"
