"Nom de la Station","FREDERICTON A"
"Province","NEW BRUNSWICK"
"Latitude","45,87"
"Longitude","-66,53"
"Altitude","20,70"
"Identification Climat","8101500"
"Identification OMM",""
"Identification TC",""
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"1995-12-01 00:00","1995","12","01","00:00"," ","-13,90","","-15,50","","88,00","","21,00","","7,00","","24,10","","101,38","","","","-19,00","","Dégagé"
"1995-12-01 01:00","1995","12","01","01:00"," ","-15,30","","-17,20","","85,00","","21,00","","6,00","","24,10","","101,35","","","","-20,00","","Dégagé"
"1995-12-01 02:00","1995","12","01","02:00"," ","-15,10","","-16,80","","87,00","","23,00","","4,00","","24,10","","101,31","","","","-18,00","","Dégagé"
"1995-12-01 03:00","1995","12","01","03:00"," ","-15,50","","-17,00","","88,00","","24,00","","4,00","","24,10","","101,35","","","","-18,00","","Généralement dégagé"
"1995-12-01 04:00","1995","12","01","04:00"," ","-15,10","","-17,00","","85,00","","21,00","","7,00","","24,10","","101,28","","","","-20,00","","Généralement dégagé"
"1995-12-01 05:00","1995","12","01","05:00"," ","-15,20","","-16,90","","87,00","","0,00","","0,00","","24,10","","101,18","","","","","","Généralement dégagé"
"1995-12-01 06:00","1995","12","01","06:00"," ","-15,50","","-16,80","","90,00","","0,00","","0,00","","24,10","","101,11","","","","","","Généralement dégagé"
"1995-12-01 07:00","1995","12","01","07:00"," ","-15,60","","-17,30","","87,00","","0,00","","0,00","","2,40","","101,08","","","","","","Brouillard"
"1995-12-01 08:00","1995","12","01","08:00"," ","-14,90","","-16,80","","85,00","","0,00","","0,00","","16,10","","101,01","","","","","","Généralement nuageux"
"1995-12-01 09:00","1995","12","01","09:00"," ","-12,50","","-13,60","","91,00","","6,00","","6,00","","16,10","","100,91","","","","-16,00","","Généralement nuageux"
"1995-12-01 10:00","1995","12","01","10:00"," ","-11,20","","-12,20","","92,00","","6,00","","6,00","","16,10","","100,74","","","","-15,00","","Nuageux"
