"Nom de la Station","MONCTON A"
"Province","NEW BRUNSWICK"
"Latitude","46,11"
"Longitude","-64,68"
"Altitude","70,70"
"Identification Climat","8103200"
"Identification OMM","71705"
"Identification TC","YQM"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2002-12-01 00:00","2002","12","01","00:00"," ","2,40","","2,40","","100,00","","9,00","","7,00","","1,20","","98,38","","","","","","Brouillard"
"2002-12-01 01:00","2002","12","01","01:00"," ","2,30","","2,30","","100,00","","9,00","","11,00","","0,40","","98,30","","","","","","Brouillard"
"2002-12-01 02:00","2002","12","01","02:00"," ","2,00","","2,00","","100,00","","7,00","","7,00","","0,40","","98,08","","","","","","Brouillard"
"2002-12-01 03:00","2002","12","01","03:00"," ","1,70","","1,70","","100,00","","6,00","","6,00","","0,20","","98,00","","","","","","Brouillard"
"2002-12-01 04:00","2002","12","01","04:00"," ","1,40","","1,40","","100,00","","7,00","","7,00","","0,40","","97,92","","","","","","Brouillard"
"2002-12-01 05:00","2002","12","01","05:00"," ","1,50","","1,50","","100,00","","8,00","","6,00","","0,40","","97,86","","","","","","Brouillard"
"2002-12-01 06:00","2002","12","01","06:00"," ","1,60","","1,60","","100,00","","9,00","","9,00","","0,80","","97,83","","","","","","Brouillard"
"2002-12-01 07:00","2002","12","01","07:00"," ","1,80","","1,80","","100,00","","8,00","","6,00","","1,20","","97,81","","","","","","Brouillard"
"2002-12-01 08:00","2002","12","01","08:00"," ","2,00","","2,00","","100,00","","17,00","","4,00","","1,00","","97,83","","","","","","Averses de pluie,Brouillard"
"2002-12-01 09:00","2002","12","01","09:00"," ","2,50","","2,50","","100,00","","16,00","","7,00","","1,20","","97,84","","","","","","Pluie,Brouillard"
"2002-12-01 10:00","2002","12","01","10:00"," ","1,80","","1,80","","100,00","","19,00","","6,00","","19,30","","97,83","","","","","","Pluie"
"2002-12-01 11:00","2002","12","01","11:00"," ","2,90","","2,50","","97,00","","14,00","","9,00","","19,30","","97,78","","","","","","Généralement nuageux"
"2002-12-01 12:00","2002","12","01","12:00"," ","3,50","","3,10","","97,00","","14,00","","11,00","","19,30","","97,70","","","","","","Généralement nuageux"
"2002-12-01 13:00","2002","12","01","13:00"," ","3,70","","3,30","","97,00","","25,00","","11,00","","19,30","","97,72","","","","","","Averses de pluie"
"2002-12-01 14:00","2002","12","01","14:00"," ","3,00","","1,90","","92,00","","23,00","","28,00","","19,30","","97,76","","","","","","Nuageux"
"2002-12-01 15:00","2002","12","01","15:00"," ","1,70","","0,30","","90,00","","23,00","","22,00","","24,10","","97,81","","","","","","Nuageux"
"2002-12-01 16:00","2002","12","01","16:00"," ","1,50","","0,50","","93,00","","22,00","","20,00","","19,30","","97,85","","","","","","Nuageux"
"2002-12-01 17:00","2002","12","01","17:00"," ","1,40","","-0,30","","88,00","","24,00","","22,00","","24,10","","97,87","","","","","","Nuageux"
"2002-12-01 18:00","2002","12","01","18:00"," ","1,40","","-0,30","","88,00","","23,00","","26,00","","24,10","","97,91","","","","","","Nuageux"
"2002-12-01 19:00","2002","12","01","19:00"," ","1,20","","-0,30","","90,00","","24,00","","32,00","","24,10","","97,96","","","","","","Nuageux"
"2002-12-01 20:00","2002","12","01","20:00"," ","0,30","","-1,90","","85,00","","25,00","","30,00","","24,10","","98,01","","","","","","Nuageux"
"2002-12-01 21:00","2002","12","01","21:00"," ","-0,80","","-3,30","","83,00","","25,00","","41,00","","24,10","","98,08","","","","-9,00","","Nuageux"
"2002-12-01 22:00","2002","12","01","22:00"," ","-1,70","","-5,00","","78,00","","25,00","","48,00","","24,10","","98,18","","","","-10,00","","Nuageux"
"2002-12-01 23:00","2002","12","01","23:00"," ","-3,00","","-6,00","","80,00","","25,00","","52,00","","24,10","","98,22","","","","-12,00","","Nuageux"
"2002-12-02 00:00","2002","12","02","00:00"," ","-4,20","","-7,60","","77,00","","24,00","","43,00","","24,10","","98,32","","","","-13,00","","Nuageux"
"2002-12-02 01:00","2002","12","02","01:00"," ","-5,20","","-8,80","","76,00","","24,00","","48,00","","24,10","","98,39","","","","-15,00","","Généralement nuageux"
"2002-12-02 02:00","2002","12","02","02:00"," ","-5,60","","-9,70","","73,00","","24,00","","54,00","","24,10","","98,51","","","","-16,00","","Averses de neige"
"2002-12-02 03:00","2002","12","02","03:00"," ","-6,70","","-10,00","","77,00","","25,00","","44,00","","16,10","","98,60","","","","-17,00","","Averses de neige"
