"Nom de la Station","SAINT JOHN A"
"Province","NEW BRUNSWICK"
"Latitude","45,32"
"Longitude","-65,89"
"Altitude","108,80"
"Identification Climat","8104900"
"Identification OMM","71609"
"Identification TC","YSJ"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"1974-04-01 00:00","1974","04","01","00:00"," ","0,00","","0,00","","96,00","","1,00","","16,00","","1,20","","97,88","","","","-5,00","","Brouillard"
"1974-04-01 01:00","1974","04","01","01:00"," ","0,00","","-0,60","","96,00","","36,00","","19,00","","0,40","","97,84","","","","-5,00","","Brouillard"
"1974-04-01 02:00","1974","04","01","02:00"," ","0,00","","-0,60","","96,00","","33,00","","24,00","","1,60","","97,82","","","","-6,00","","Brouillard"
"1974-04-01 03:00","1974","04","01","03:00"," ","0,00","","-0,60","","96,00","","34,00","","13,00","","2,00","","97,86","","","","-4,00","","Brouillard"
"1974-04-01 04:00","1974","04","01","04:00"," ","-0,60","","-1,10","","95,00","","34,00","","19,00","","3,20","","97,90","","","","-6,00","","Brouillard"
"1974-04-01 05:00","1974","04","01","05:00"," ","0,00","","-1,10","","94,00","","33,00","","16,00","","4,80","","97,96","","","","-5,00","","Brouillard"
"1974-04-01 06:00","1974","04","01","06:00"," ","0,00","","-1,10","","93,00","","33,00","","13,00","","6,40","","98,02","","","","-4,00","","Brouillard"
"1974-04-01 07:00","1974","04","01","07:00"," ","0,00","","-1,10","","91,00","","32,00","","8,00","","16,10","","98,04","","","","-3,00","","Généralement nuageux"
"1974-04-01 08:00","1974","04","01","08:00"," ","0,00","","-1,10","","93,00","","29,00","","21,00","","24,10","","98,10","","","","-5,00","","Nuageux"
"1974-04-01 09:00","1974","04","01","09:00"," ","1,10","","-0,60","","87,00","","31,00","","19,00","","24,10","","98,13","","","","","","Nuageux"
"1974-04-01 10:00","1974","04","01","10:00"," ","1,10","","-1,10","","86,00","","30,00","","23,00","","16,10","","98,15","","","","","","Généralement nuageux"
"1974-04-01 11:00","1974","04","01","11:00"," ","1,70","","-1,70","","78,00","","29,00","","26,00","","16,10","","98,14","","","","","","Nuageux"
"1974-04-01 12:00","1974","04","01","12:00"," ","2,20","","-1,10","","77,00","","30,00","","27,00","","19,30","","98,14","","","","","","Nuageux"
"1974-04-01 13:00","1974","04","01","13:00"," ","1,70","","-1,70","","78,00","","31,00","","42,00","","16,10","","98,19","","","","","","Averses de neige"
"1974-04-01 14:00","1974","04","01","14:00"," ","2,20","","-3,30","","67,00","","32,00","","37,00","","19,30","","98,27","","","","","","Généralement nuageux"
"1974-04-01 15:00","1974","04","01","15:00"," ","2,20","","-3,30","","66,00","","30,00","","27,00","","24,10","","98,28","","","","","","Généralement nuageux"
"1974-04-01 16:00","1974","04","01","16:00"," ","2,20","","-3,30","","67,00","","30,00","","26,00","","24,10","","98,36","","","","","","Généralement nuageux"
"1974-04-01 17:00","1974","04","01","17:00"," ","2,80","","-2,80","","68,00","","30,00","","29,00","","24,10","","98,46","","","","","","Généralement nuageux"
"1974-04-01 18:00","1974","04","01","18:00"," ","2,80","","-2,80","","65,00","","31,00","","26,00","","24,10","","98,56","","","","","","Généralement nuageux"
"1974-04-01 19:00","1974","04","01","19:00"," ","2,80","","-2,80","","66,00","","31,00","","27,00","","24,10","","98,62","","","","","","Généralement nuageux"
"1974-04-01 20:00","1974","04","01","20:00"," ","2,80","","-2,80","","67,00","","31,00","","24,00","","24,10","","98,74","","","","","","Généralement nuageux"
"1974-04-01 21:00","1974","04","01","21:00"," ","2,20","","-1,10","","79,00","","29,00","","23,00","","24,10","","98,86","","","","","","Nuageux"
"1974-04-01 22:00","1974","04","01","22:00"," ","2,20","","-1,70","","74,00","","29,00","","26,00","","24,10","","98,94","","","","","","Nuageux"
"1974-04-01 23:00","1974","04","01","23:00"," ","2,20","","-2,20","","72,00","","29,00","","23,00","","24,10","","99,04","","","","","","Nuageux"
"1974-04-02 00:00","1974","04","02","00:00"," ","2,20","","-2,20","","72,00","","29,00","","32,00","","24,10","","99,08","","","","","","Nuageux"
"1974-04-02 01:00","1974","04","02","01:00"," ","1,70","","-2,80","","71,00","","29,00","","32,00","","24,10","","99,10","","","","","","Généralement nuageux"
"1974-04-02 02:00","1974","04","02","02:00"," ","1,70","","-2,80","","73,00","","29,00","","26,00","","24,10","","99,18","","","","","","Généralement nuageux"
"1974-04-02 03:00","1974","04","02","03:00"," ","0,60","","-3,30","","75,00","","29,00","","24,00","","24,10","","99,25","","","","","","Généralement dégagé"
"1974-04-02 04:00","1974","04","02","04:00"," ","0,60","","-3,90","","72,00","","29,00","","27,00","","24,10","","99,34","","","","","","Dégagé"
"1974-04-02 05:00","1974","04","02","05:00"," ","0,00","","-3,30","","77,00","","29,00","","23,00","","24,10","","99,47","","","","-6,00","","Dégagé"
"1974-04-02 06:00","1974","04","02","06:00"," ","0,00","","-3,90","","75,00","","29,00","","24,00","","24,10","","99,52","","","","-6,00","","Généralement dégagé"
"1974-04-02 07:00","1974","04","02","07:00"," ","0,60","","-3,90","","71,00","","31,00","","21,00","","24,10","","99,58","","","","","","Généralement nuageux"
"1974-04-02 08:00","1974","04","02","08:00"," ","1,10","","-3,90","","68,00","","32,00","","23,00","","24,10","","99,64","","","","","","Généralement nuageux"
"1974-04-02 09:00","1974","04","02","09:00"," ","1,70","","-4,40","","65,00","","33,00","","19,00","","24,10","","99,60","","","","","","Généralement nuageux"
"1974-04-02 10:00","1974","04","02","10:00"," ","2,20","","-4,40","","62,00","","33,00","","26,00","","24,10","","99,52","","","","","","Généralement nuageux"
"1974-04-02 11:00","1974","04","02","11:00"," ","3,30","","-3,90","","58,00","","35,00","","19,00","","24,10","","99,70","","","","","","Généralement dégagé"
"1974-04-02 12:00","1974","04","02","12:00"," ","3,90","","-4,40","","55,00","","36,00","","6,00","","24,10","","99,72","","","","","","Généralement nuageux"
"1974-04-02 13:00","1974","04","02","13:00"," ","4,40","","-3,90","","56,00","","30,00","","13,00","","24,10","","99,70","","","","","","Granules de glace ou grésil"
"1974-04-02 14:00","1974","04","02","14:00"," ","3,30","","-3,90","","58,00","","31,00","","16,00","","24,10","","99,66","","","","","","Granules de glace ou grésil"
"1974-04-02 15:00","1974","04","02","15:00"," ","3,30","","-2,80","","65,00","","2,00","","13,00","","24,10","","99,60","","","","","","Nuageux"
"1974-04-02 16:00","1974","04","02","16:00"," ","2,20","","-2,80","","70,00","","9,00","","3,00","","24,10","","99,53","","","","","","Nuageux"
"1974-04-02 17:00","1974","04","02","17:00"," ","1,70","","-2,80","","71,00","","14,00","","18,00","","24,10","","99,50","","","","","","Nuageux"
"1974-04-02 18:00","1974","04","02","18:00"," ","1,10","","-4,40","","65,00","","4,00","","19,00","","24,10","","99,34","","","","","","Nuageux"
"1974-04-02 19:00","1974","04","02","19:00"," ","1,10","","-3,90","","69,00","","4,00","","16,00","","12,90","","99,42","","","","","","Neige"
"1974-04-02 20:00","1974","04","02","20:00"," ","-0,60","","-2,20","","88,00","","7,00","","13,00","","2,40","","99,43","","","","-5,00","","Neige"
"1974-04-02 21:00","1974","04","02","21:00"," ","-0,60","","-2,20","","90,00","","6,00","","11,00","","3,20","","99,40","","","","-4,00","","Neige"
"1974-04-02 22:00","1974","04","02","22:00"," ","-1,10","","-2,20","","90,00","","9,00","","13,00","","2,40","","99,42","","","","-5,00","","Neige"
"1974-04-02 23:00","1974","04","02","23:00"," ","-1,10","","-2,20","","91,00","","2,00","","6,00","","1,60","","99,50","","","","-3,00","","Neige"
"1974-04-03 00:00","1974","04","03","00:00"," ","-1,10","","-2,20","","90,00","","3,00","","8,00","","1,60","","99,52","","","","-4,00","","Neige"
"1974-04-03 01:00","1974","04","03","01:00"," ","-1,10","","-2,20","","93,00","","1,00","","8,00","","2,40","","99,56","","","","-4,00","","Neige"
"1974-04-03 02:00","1974","04","03","02:00"," ","-1,10","","-2,80","","91,00","","35,00","","8,00","","4,80","","99,60","","","","-4,00","","Neige,Brouillard"
"1974-04-03 03:00","1974","04","03","03:00"," ","-1,10","","-2,20","","92,00","","34,00","","11,00","","4,80","","99,63","","","","-5,00","","Neige,Brouillard"
"1974-04-03 04:00","1974","04","03","04:00"," ","-1,10","","-2,20","","91,00","","0,00","","0,00","","4,80","","99,68","","","","","","Neige,Brouillard"
