"Nom de la Station","ST LEONARD A"
"Province","NEW BRUNSWICK"
"Latitude","47,16"
"Longitude","-67,83"
"Altitude","241,70"
"Identification Climat","8104928"
"Identification OMM","71703"
"Identification TC","YSL"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2006-09-01 00:00","2006","09","01","00:00"," ","","","","","","","","","","","","","","","","","","",""
"2006-09-01 01:00","2006","09","01","01:00"," ","","","","","","","","","","","","","","","","","","",""
"2006-09-01 02:00","2006","09","01","02:00"," ","","","","","","","","","","","","","","","","","","",""
"2006-09-01 03:00","2006","09","01","03:00"," ","","","","","","","","","","","","","","","","","","",""
"2006-09-01 04:00","2006","09","01","04:00"," ","9,80","","8,90","","94,00","","32,00","","7,00","","19,30","","99,64","","","","","","Généralement dégagé"
"2006-09-01 05:00","2006","09","01","05:00"," ","9,60","","8,90","","95,00","","33,00","","4,00","","19,30","","99,68","","","","","","Généralement dégagé"
"2006-09-01 06:00","2006","09","01","06:00"," ","7,70","","7,30","","97,00","","30,00","","6,00","","24,10","","99,78","","","","","","Dégagé"
"2006-09-01 07:00","2006","09","01","07:00"," ","9,40","","8,70","","95,00","","32,00","","6,00","","24,10","","99,83","","","","","","Dégagé"
"2006-09-01 08:00","2006","09","01","08:00"," ","11,60","","9,40","","86,00","","31,00","","7,00","","24,10","","99,91","","","","","","Dégagé"
"2006-09-01 09:00","2006","09","01","09:00"," ","14,20","","10,80","","80,00","","33,00","","9,00","","24,10","","99,93","","","","","","Dégagé"
"2006-09-01 10:00","2006","09","01","10:00"," ","15,20","","9,80","","70,00","","33,00","","11,00","","24,10","","99,96","","","","","","Généralement nuageux"
"2006-09-01 11:00","2006","09","01","11:00"," ","16,20","","8,50","","60,00","","3,00","","7,00","","24,10","","99,95","","","","","","Généralement nuageux"
"2006-09-01 12:00","2006","09","01","12:00"," ","17,10","","8,60","","57,00","","3,00","","6,00","","24,10","","99,98","","","","","","Généralement nuageux"
"2006-09-01 13:00","2006","09","01","13:00"," ","17,10","","8,40","","57,00","","36,00","","7,00","","24,10","","100,00","","","","","","Généralement nuageux"
"2006-09-01 14:00","2006","09","01","14:00"," ","18,20","","7,90","","51,00","","2,00","","15,00","","24,10","","100,02","","","","","","Généralement nuageux"
"2006-09-01 15:00","2006","09","01","15:00"," ","19,40","","8,60","","50,00","","34,00","","7,00","","24,10","","100,00","","","","","","Généralement dégagé"
"2006-09-01 16:00","2006","09","01","16:00"," ","18,70","","7,60","","48,00","","4,00","","11,00","","24,10","","100,00","","","","","","Généralement dégagé"
"2006-09-01 17:00","2006","09","01","17:00"," ","","","","","","","","","","","","","","","","","","",""
"2006-09-01 18:00","2006","09","01","18:00"," ","","","","","","","","","","","","","","","","","","",""
"2006-09-01 19:00","2006","09","01","19:00"," ","","","","","","","","","","","","","","","","","","",""
"2006-09-01 20:00","2006","09","01","20:00"," ","","","","","","","","","","","","","","","","","","",""
"2006-09-01 21:00","2006","09","01","21:00"," ","","","","","","","","","","","","","","","","","","",""
"2006-09-01 22:00","2006","09","01","22:00"," ","","","","","","","","","","","","","","","","","","",""
"2006-09-01 23:00","2006","09","01","23:00"," ","","","","","","","","","","","","","","","","","","",""
"2006-09-02 00:00","2006","09","02","00:00"," ","","","","","","","","","","","","","","","","","","",""
"2006-09-02 01:00","2006","09","02","01:00"," ","","","","","","","","","","","","","","","","","","",""
"2006-09-02 02:00","2006","09","02","02:00"," ","","","","","","","","","","","","","","","","","","",""
"2006-09-02 03:00","2006","09","02","03:00"," ","","","","","","","","","","","","","","","","","","",""
"2006-09-02 04:00","2006","09","02","04:00"," ","","","","","","","","","","","","","","","","","","",""
"2006-09-02 05:00","2006","09","02","05:00"," ","","","","","","","","","","","","","","","","","","",""
"2006-09-02 06:00","2006","09","02","06:00"," ","","","","","","","","","","","","","","","","","","",""
"2006-09-02 07:00","2006","09","02","07:00"," ","6,20","","5,60","","96,00","","0,00","","0,00","","16,10","","100,43","","","","","","Généralement dégagé"
"2006-09-02 08:00","2006","09","02","08:00"," ","8,70","","7,80","","94,00","","0,00","","0,00","","16,10","","100,47","","","","","","Dégagé"
"2006-09-02 09:00","2006","09","02","09:00"," ","11,00","","8,80","","86,00","","0,00","","0,00","","16,10","","100,48","","","","","","Dégagé"
"2006-09-02 10:00","2006","09","02","10:00"," ","14,20","","9,60","","74,00","","23,00","","4,00","","19,30","","100,47","","","","","","Généralement dégagé"
"2006-09-02 11:00","2006","09","02","11:00"," ","15,70","","9,60","","67,00","","0,00","","0,00","","24,10","","100,44","","","","","","Généralement dégagé"
"2006-09-02 12:00","2006","09","02","12:00"," ","17,50","","9,10","","58,00","","33,00","","4,00","","24,10","","100,39","","","","","","Généralement dégagé"
"2006-09-02 13:00","2006","09","02","13:00"," ","18,80","","7,10","","46,00","","17,00","","6,00","","24,10","","100,33","","","","","","Généralement dégagé"
"2006-09-02 14:00","2006","09","02","14:00"," ","19,60","","7,30","","45,00","","11,00","","4,00","","24,10","","100,26","","","","","","Généralement dégagé"
"2006-09-02 15:00","2006","09","02","15:00"," ","20,30","","7,50","","44,00","","29,00","","6,00","","24,10","","100,21","","","","","","Généralement nuageux"
"2006-09-02 16:00","2006","09","02","16:00"," ","20,70","","7,40","","42,00","","18,00","","11,00","","24,10","","100,17","","","","","","Généralement dégagé"
"2006-09-02 17:00","2006","09","02","17:00"," ","","","","","","","","","","","","","","","","","","",""
"2006-09-02 18:00","2006","09","02","18:00"," ","","","","","","","","","","","","","","","","","","",""
"2006-09-02 19:00","2006","09","02","19:00"," ","","","","","","","","","","","","","","","","","","",""
"2006-09-02 20:00","2006","09","02","20:00"," ","","","","","","","","","","","","","","","","","","",""
"2006-09-02 21:00","2006","09","02","21:00"," ","","","","","","","","","","","","","","","","","","",""
"2006-09-02 22:00","2006","09","02","22:00"," ","","","","","","","","","","","","","","","","","","",""
"2006-09-02 23:00","2006","09","02","23:00"," ","","","","","","","","","","","","","","","","","","",""
"2006-09-03 00:00","2006","09","03","00:00"," ","","","","","","","","","","","","","","","","","","",""
"2006-09-03 01:00","2006","09","03","01:00"," ","","","","","","","","","","","","","","","","","","",""
"2006-09-03 02:00","2006","09","03","02:00"," ","","","","","","","","","","","","","","","","","","",""
"2006-09-03 03:00","2006","09","03","03:00"," ","","","","","","","","","","","","","","","","","","",""
"2006-09-03 04:00","2006","09","03","04:00"," ","7,70","","6,70","","93,00","","14,00","","6,00","","16,10","","99,88","","","","","","Généralement dégagé"
"2006-09-03 05:00","2006","09","03","05:00"," ","7,30","","6,70","","96,00","","13,00","","4,00","","16,10","","99,85","","","","","","Généralement dégagé"
"2006-09-03 06:00","2006","09","03","06:00"," ","6,30","","5,70","","96,00","","13,00","","4,00","","16,10","","99,85","","","","","","Généralement nuageux"
"2006-09-03 07:00","2006","09","03","07:00"," ","9,60","","8,70","","94,00","","13,00","","4,00","","12,90","","99,87","","","","","","Nuageux"
"2006-09-03 08:00","2006","09","03","08:00"," ","11,70","","9,90","","89,00","","17,00","","4,00","","12,90","","99,87","","","","","","Nuageux"
"2006-09-03 09:00","2006","09","03","09:00"," ","14,60","","10,30","","75,00","","16,00","","4,00","","16,10","","99,84","","","","","","Nuageux"
"2006-09-03 10:00","2006","09","03","10:00"," ","16,10","","9,00","","63,00","","14,00","","4,00","","19,30","","99,81","","","","","","Généralement nuageux"
"2006-09-03 11:00","2006","09","03","11:00"," ","18,20","","8,70","","54,00","","20,00","","7,00","","24,10","","99,75","","","","","","Généralement nuageux"
"2006-09-03 12:00","2006","09","03","12:00"," ","18,00","","8,30","","53,00","","20,00","","13,00","","24,10","","99,68","","","","","","Généralement nuageux"
"2006-09-03 13:00","2006","09","03","13:00"," ","19,00","","9,70","","55,00","","17,00","","13,00","","24,10","","99,60","","","","","","Généralement nuageux"
"2006-09-03 14:00","2006","09","03","14:00"," ","19,60","","8,20","","48,00","","14,00","","9,00","","24,10","","99,54","","","","","","Généralement nuageux"
"2006-09-03 15:00","2006","09","03","15:00"," ","18,90","","8,10","","49,00","","18,00","","15,00","","24,10","","99,49","","","","","","Généralement nuageux"
"2006-09-03 16:00","2006","09","03","16:00"," ","18,20","","9,40","","56,00","","16,00","","9,00","","24,10","","99,45","","","","","","Nuageux"
"2006-09-03 17:00","2006","09","03","17:00"," ","","","","","","","","","","","","","","","","","","",""
"2006-09-03 18:00","2006","09","03","18:00"," ","","","","","","","","","","","","","","","","","","",""
"2006-09-03 19:00","2006","09","03","19:00"," ","","","","","","","","","","","","","","","","","","",""
"2006-09-03 20:00","2006","09","03","20:00"," ","","","","","","","","","","","","","","","","","","",""
"2006-09-03 21:00","2006","09","03","21:00"," ","","","","","","","","","","","","","","","","","","",""
"2006-09-03 22:00","2006","09","03","22:00"," ","","","","","","","","","","","","","","","","","","",""
"2006-09-03 23:00","2006","09","03","23:00"," ","","","","","","","","","","","","","","","","","","",""
"2006-09-04 00:00","2006","09","04","00:00"," ","","","","","","","","","","","","","","","","","","",""
"2006-09-04 01:00","2006","09","04","01:00"," ","","","","","","","","","","","","","","","","","","",""
"2006-09-04 02:00","2006","09","04","02:00"," ","","","","","","","","","","","","","","","","","","",""
"2006-09-04 03:00","2006","09","04","03:00"," ","","","","","","","","","","","","","","","","","","",""
"2006-09-04 04:00","2006","09","04","04:00"," ","11,30","","10,90","","97,00","","9,00","","9,00","","4,80","","98,88","","","","","","Pluie modérée,Brouillard"
"2006-09-04 05:00","2006","09","04","05:00"," ","11,10","","10,70","","97,00","","9,00","","11,00","","4,80","","98,79","","","","","","Pluie,Brouillard"
"2006-09-04 06:00","2006","09","04","06:00"," ","10,80","","10,60","","99,00","","7,00","","7,00","","3,20","","98,71","","","","","","Pluie modérée,Brouillard"
"2006-09-04 07:00","2006","09","04","07:00"," ","11,20","","11,00","","99,00","","5,00","","7,00","","3,20","","98,68","","","","","","Pluie,Brouillard"
"2006-09-04 08:00","2006","09","04","08:00"," ","11,60","","11,30","","98,00","","5,00","","7,00","","1,60","","98,66","","","","","","Pluie,Brouillard"
"2006-09-04 09:00","2006","09","04","09:00"," ","11,90","","11,60","","98,00","","7,00","","11,00","","1,60","","98,60","","","","","","Pluie,Brouillard"
"2006-09-04 10:00","2006","09","04","10:00"," ","12,80","","12,50","","98,00","","7,00","","15,00","","1,60","","98,53","","","","","","Pluie,Brouillard"
"2006-09-04 11:00","2006","09","04","11:00"," ","13,30","","13,00","","98,00","","7,00","","9,00","","1,60","","98,47","","","","","","Pluie,Brouillard"
"2006-09-04 12:00","2006","09","04","12:00"," ","14,20","","14,00","","99,00","","7,00","","6,00","","1,60","","98,39","","","","","","Bruine,Brouillard"
"2006-09-04 13:00","2006","09","04","13:00"," ","15,10","","14,80","","98,00","","0,00","","0,00","","1,60","","98,34","","","","","","Bruine,Brouillard"
"2006-09-04 14:00","2006","09","04","14:00"," ","15,20","","14,70","","97,00","","5,00","","4,00","","1,60","","98,28","","","","","","Bruine,Brouillard"
"2006-09-04 15:00","2006","09","04","15:00"," ","15,50","","15,20","","98,00","","0,00","","0,00","","1,60","","98,25","","","","","","Bruine,Brouillard"
"2006-09-04 16:00","2006","09","04","16:00"," ","14,80","","14,60","","99,00","","36,00","","7,00","","1,60","","98,22","","","","","","Pluie,Brouillard"
"2006-09-04 17:00","2006","09","04","17:00"," ","","","","","","","","","","","","","","","","","","",""
"2006-09-04 18:00","2006","09","04","18:00"," ","","","","","","","","","","","","","","","","","","",""
"2006-09-04 19:00","2006","09","04","19:00"," ","","","","","","","","","","","","","","","","","","",""
"2006-09-04 20:00","2006","09","04","20:00"," ","","","","","","","","","","","","","","","","","","",""
"2006-09-04 21:00","2006","09","04","21:00"," ","","","","","","","","","","","","","","","","","","",""
"2006-09-04 22:00","2006","09","04","22:00"," ","","","","","","","","","","","","","","","","","","",""
"2006-09-04 23:00","2006","09","04","23:00"," ","","","","","","","","","","","","","","","","","","",""
"2006-09-05 00:00","2006","09","05","00:00"," ","","","","","","","","","","","","","","","","","","",""
"2006-09-05 01:00","2006","09","05","01:00"," ","","","","","","","","","","","","","","","","","","",""
"2006-09-05 02:00","2006","09","05","02:00"," ","","","","","","","","","","","","","","","","","","",""
"2006-09-05 03:00","2006","09","05","03:00"," ","","","","","","","","","","","","","","","","","","",""
"2006-09-05 04:00","2006","09","05","04:00"," ","11,00","","11,00","","100,00","","32,00","","6,00","","0,20","","98,39","","","","","","Brouillard"
"2006-09-05 05:00","2006","09","05","05:00"," ","11,40","","11,20","","99,00","","29,00","","7,00","","0,20","","98,44","","","","","","Brouillard"
"2006-09-05 06:00","2006","09","05","06:00"," ","11,60","","11,40","","99,00","","0,00","","0,00","","0,20","","98,50","","","","","","Brouillard"
"2006-09-05 07:00","2006","09","05","07:00"," ","11,00","","10,80","","99,00","","0,00","","0,00","","0,20","","98,52","","","","","","Brouillard"
"2006-09-05 08:00","2006","09","05","08:00"," ","11,60","","11,40","","99,00","","27,00","","7,00","","0,40","","98,59","","","","","","Brouillard"
"2006-09-05 09:00","2006","09","05","09:00"," ","11,90","","11,60","","98,00","","29,00","","7,00","","1,60","","98,61","","","","","","Brouillard"
