"Nom de la Station","PRINCE GEORGE A"
"Province","BRITISH COLUMBIA"
"Latitude","53,89"
"Longitude","-122,68"
"Altitude","691,30"
"Identification Climat","1096450"
"Identification OMM","71896"
"Identification TC","YXS"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"1983-09-01 00:00","1983","09","01","00:00"," ","13,10","","11,10","","88,00","","25,00","","4,00","","72,40","","93,01","","","","","","Nuageux"
"1983-09-01 01:00","1983","09","01","01:00"," ","12,70","","11,00","","89,00","","0,00","","0,00","","72,40","","93,01","","","","","","Nuageux"
"1983-09-01 02:00","1983","09","01","02:00"," ","13,00","","11,30","","89,00","","33,00","","6,00","","72,40","","92,97","","","","","","Nuageux"
"1983-09-01 03:00","1983","09","01","03:00"," ","12,60","","11,60","","94,00","","31,00","","6,00","","16,10","","92,97","","","","","","Nuageux"
"1983-09-01 04:00","1983","09","01","04:00"," ","12,70","","12,00","","95,00","","36,00","","4,00","","24,10","","92,97","","","","","","Nuageux"
"1983-09-01 05:00","1983","09","01","05:00"," ","12,80","","11,00","","89,00","","1,00","","4,00","","40,20","","92,94","","","","","","Nuageux"
"1983-09-01 06:00","1983","09","01","06:00"," ","12,80","","11,70","","93,00","","30,00","","4,00","","8,00","","92,97","","","","","","Averses de pluie,Brouillard"
"1983-09-01 07:00","1983","09","01","07:00"," ","12,40","","11,60","","95,00","","0,00","","0,00","","19,30","","92,97","","","","","","Averses de pluie"
"1983-09-01 08:00","1983","09","01","08:00"," ","12,30","","11,30","","94,00","","31,00","","11,00","","12,90","","92,94","","","","","","Averses de pluie"
"1983-09-01 09:00","1983","09","01","09:00"," ","12,30","","11,30","","94,00","","0,00","","0,00","","12,90","","92,91","","","","","","Averses de pluie"
"1983-09-01 10:00","1983","09","01","10:00"," ","13,20","","11,60","","90,00","","36,00","","13,00","","11,30","","92,85","","","","","","Averses de pluie"
"1983-09-01 11:00","1983","09","01","11:00"," ","13,70","","12,10","","90,00","","36,00","","13,00","","16,10","","92,82","","","","","","Nuageux"
"1983-09-01 12:00","1983","09","01","12:00"," ","13,60","","11,60","","88,00","","1,00","","7,00","","19,30","","92,78","","","","","","Averses de pluie"
"1983-09-01 13:00","1983","09","01","13:00"," ","13,50","","12,10","","91,00","","1,00","","7,00","","12,90","","92,78","","","","","","Averses de pluie"
"1983-09-01 14:00","1983","09","01","14:00"," ","14,00","","12,40","","90,00","","32,00","","7,00","","12,90","","92,75","","","","","","Averses de pluie"
"1983-09-01 15:00","1983","09","01","15:00"," ","14,40","","12,30","","87,00","","30,00","","9,00","","12,90","","92,72","","","","","","Averses de pluie"
