"Nom de la Station","HALIFAX STANFIELD INT'L A"
"Province","NOVA SCOTIA"
"Latitude","44,88"
"Longitude","-63,50"
"Altitude","145,40"
"Identification Climat","8202250"
"Identification OMM","71395"
"Identification TC","YHZ"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2007-08-01 00:00","2007","08","01","00:00"," ","18,50","","14,30","","77,00","","28,00","","11,00","","24,10","","99,27","","","","","","Généralement dégagé"
"2007-08-01 01:00","2007","08","01","01:00"," ","17,70","","14,60","","82,00","","29,00","","7,00","","24,10","","99,27","","","","","","Dégagé"
"2007-08-01 02:00","2007","08","01","02:00"," ","18,30","","13,90","","76,00","","28,00","","9,00","","24,10","","99,26","","","","","","Généralement dégagé"
"2007-08-01 03:00","2007","08","01","03:00"," ","17,40","","14,10","","81,00","","29,00","","9,00","","24,10","","99,28","","","","","","Généralement nuageux"
"2007-08-01 04:00","2007","08","01","04:00"," ","18,60","","13,90","","74,00","","33,00","","9,00","","24,10","","99,31","","","","","","Généralement nuageux"
"2007-08-01 05:00","2007","08","01","05:00"," ","18,00","","13,70","","76,00","","32,00","","13,00","","24,10","","99,34","","","","","","Généralement dégagé"
"2007-08-01 06:00","2007","08","01","06:00"," ","17,50","","14,50","","83,00","","33,00","","17,00","","24,10","","99,39","","","","","","Généralement dégagé"
"2007-08-01 07:00","2007","08","01","07:00"," ","17,90","","15,30","","85,00","","34,00","","11,00","","24,10","","99,46","","","","","","Généralement dégagé"
"2007-08-01 08:00","2007","08","01","08:00"," ","20,00","","17,00","","83,00","","36,00","","9,00","","24,10","","99,52","","25,00","","","","Généralement dégagé"
"2007-08-01 09:00","2007","08","01","09:00"," ","21,90","","17,70","","77,00","","36,00","","19,00","","24,10","","99,55","","28,00","","","","Généralement dégagé"
"2007-08-01 10:00","2007","08","01","10:00"," ","22,60","","17,30","","72,00","","1,00","","17,00","","24,10","","99,58","","28,00","","","","Généralement dégagé"
"2007-08-01 11:00","2007","08","01","11:00"," ","24,30","","16,70","","63,00","","4,00","","20,00","","24,10","","99,61","","29,00","","","","Généralement dégagé"
"2007-08-01 12:00","2007","08","01","12:00"," ","25,30","","16,60","","59,00","","2,00","","19,00","","24,10","","99,61","","30,00","","","","Généralement dégagé"
"2007-08-01 13:00","2007","08","01","13:00"," ","25,10","","14,40","","51,00","","2,00","","15,00","","24,10","","99,56","","29,00","","","","Généralement dégagé"
"2007-08-01 14:00","2007","08","01","14:00"," ","25,30","","13,20","","47,00","","36,00","","9,00","","24,10","","99,58","","28,00","","","","Généralement dégagé"
"2007-08-01 15:00","2007","08","01","15:00"," ","26,00","","13,50","","46,00","","35,00","","15,00","","24,10","","99,59","","29,00","","","","Généralement dégagé"
"2007-08-01 16:00","2007","08","01","16:00"," ","25,60","","13,60","","47,00","","36,00","","15,00","","24,10","","99,59","","29,00","","","","Généralement dégagé"
"2007-08-01 17:00","2007","08","01","17:00"," ","25,10","","13,60","","49,00","","36,00","","17,00","","24,10","","99,61","","28,00","","","","Généralement dégagé"
"2007-08-01 18:00","2007","08","01","18:00"," ","24,60","","13,00","","48,00","","4,00","","15,00","","24,10","","99,62","","27,00","","","","Généralement dégagé"
"2007-08-01 19:00","2007","08","01","19:00"," ","21,60","","11,90","","54,00","","6,00","","9,00","","24,10","","99,67","","","","","","Généralement dégagé"
"2007-08-01 20:00","2007","08","01","20:00"," ","19,70","","16,20","","80,00","","12,00","","9,00","","24,10","","99,71","","","","","","Généralement dégagé"
"2007-08-01 21:00","2007","08","01","21:00"," ","18,50","","15,60","","83,00","","16,00","","9,00","","24,10","","99,76","","","","","","Généralement dégagé"
"2007-08-01 22:00","2007","08","01","22:00"," ","17,00","","15,40","","90,00","","15,00","","15,00","","24,10","","99,76","","","","","","Généralement dégagé"
"2007-08-01 23:00","2007","08","01","23:00"," ","17,40","","15,50","","89,00","","11,00","","7,00","","24,10","","99,78","","","","","","Généralement dégagé"
"2007-08-02 00:00","2007","08","02","00:00"," ","16,70","","15,30","","91,00","","15,00","","11,00","","24,10","","99,79","","","","","","Généralement dégagé"
"2007-08-02 01:00","2007","08","02","01:00"," ","15,30","","14,80","","97,00","","17,00","","11,00","","24,10","","99,78","","","","","","Dégagé"
"2007-08-02 02:00","2007","08","02","02:00"," ","15,80","","15,30","","97,00","","15,00","","11,00","","24,10","","99,78","","","","","","Dégagé"
"2007-08-02 03:00","2007","08","02","03:00"," ","15,70","","15,00","","96,00","","15,00","","6,00","","24,10","","99,74","","","","","","Dégagé"
"2007-08-02 04:00","2007","08","02","04:00"," ","14,90","","14,40","","97,00","","0,00","","0,00","","24,10","","99,79","","","","","","Généralement dégagé"
"2007-08-02 05:00","2007","08","02","05:00"," ","14,90","","14,20","","96,00","","0,00","","0,00","","24,10","","99,83","","","","","","Généralement dégagé"
"2007-08-02 06:00","2007","08","02","06:00"," ","16,00","","14,00","","88,00","","16,00","","4,00","","24,10","","99,87","","","","","","Généralement dégagé"
"2007-08-02 07:00","2007","08","02","07:00"," ","18,20","","13,50","","74,00","","17,00","","4,00","","24,10","","99,89","","","","","","Généralement dégagé"
"2007-08-02 08:00","2007","08","02","08:00"," ","20,40","","13,20","","63,00","","17,00","","11,00","","24,10","","99,96","","","","","","Généralement dégagé"
"2007-08-02 09:00","2007","08","02","09:00"," ","22,50","","12,30","","52,00","","17,00","","13,00","","24,10","","99,99","","25,00","","","","Généralement dégagé"
"2007-08-02 10:00","2007","08","02","10:00"," ","23,20","","12,20","","50,00","","16,00","","17,00","","24,10","","99,98","","26,00","","","","Dégagé"
"2007-08-02 11:00","2007","08","02","11:00"," ","23,40","","11,60","","47,00","","16,00","","26,00","","24,10","","99,95","","25,00","","","","Généralement dégagé"
"2007-08-02 12:00","2007","08","02","12:00"," ","23,40","","11,80","","48,00","","19,00","","22,00","","24,10","","99,96","","26,00","","","","Généralement dégagé"
"2007-08-02 13:00","2007","08","02","13:00"," ","24,20","","12,80","","49,00","","16,00","","20,00","","24,10","","99,94","","27,00","","","","Généralement dégagé"
"2007-08-02 14:00","2007","08","02","14:00"," ","24,40","","13,00","","49,00","","18,00","","24,00","","24,10","","99,92","","27,00","","","","Généralement dégagé"
"2007-08-02 15:00","2007","08","02","15:00"," ","24,00","","11,70","","46,00","","17,00","","24,00","","24,10","","99,91","","26,00","","","","Généralement dégagé"
"2007-08-02 16:00","2007","08","02","16:00"," ","23,00","","11,50","","48,00","","18,00","","22,00","","24,10","","99,90","","25,00","","","","Généralement dégagé"
"2007-08-02 17:00","2007","08","02","17:00"," ","22,30","","12,80","","55,00","","18,00","","20,00","","24,10","","99,87","","25,00","","","","Généralement dégagé"
"2007-08-02 18:00","2007","08","02","18:00"," ","21,30","","14,20","","64,00","","19,00","","19,00","","24,10","","99,87","","25,00","","","","Généralement dégagé"
"2007-08-02 19:00","2007","08","02","19:00"," ","19,80","","13,50","","67,00","","18,00","","22,00","","24,10","","99,88","","","","","","Généralement dégagé"
"2007-08-02 20:00","2007","08","02","20:00"," ","18,30","","13,60","","74,00","","18,00","","20,00","","24,10","","99,92","","","","","","Généralement dégagé"
"2007-08-02 21:00","2007","08","02","21:00"," ","17,40","","15,30","","87,00","","18,00","","24,00","","24,10","","99,96","","","","","","Généralement dégagé"
"2007-08-02 22:00","2007","08","02","22:00"," ","17,20","","16,00","","93,00","","18,00","","22,00","","24,10","","99,95","","","","","","Généralement dégagé"
"2007-08-02 23:00","2007","08","02","23:00"," ","16,90","","16,30","","96,00","","17,00","","19,00","","19,30","","99,94","","","","","","Généralement dégagé"
"2007-08-03 00:00","2007","08","03","00:00"," ","17,20","","16,60","","96,00","","17,00","","19,00","","19,30","","99,98","","","","","","Nuageux"
"2007-08-03 01:00","2007","08","03","01:00"," ","16,60","","16,00","","96,00","","18,00","","19,00","","16,10","","99,94","","","","","","Généralement dégagé"
