"Nom de la Station","SYDNEY A"
"Province","NOVA SCOTIA"
"Latitude","46,17"
"Longitude","-60,05"
"Altitude","61,90"
"Identification Climat","8205700"
"Identification OMM","71707"
"Identification TC","YQY"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"1981-10-01 00:00","1981","10","01","00:00"," ","6,70","","3,10","","78,00","","23,00","","20,00","","24,10","","98,79","","","","","","Nuageux"
"1981-10-01 01:00","1981","10","01","01:00"," ","6,60","","3,00","","78,00","","23,00","","24,00","","24,10","","98,76","","","","","","Averses de pluie"
"1981-10-01 02:00","1981","10","01","02:00"," ","6,60","","2,70","","76,00","","25,00","","26,00","","24,10","","98,76","","","","","","Nuageux"
"1981-10-01 03:00","1981","10","01","03:00"," ","6,80","","2,40","","74,00","","23,00","","19,00","","24,10","","98,79","","","","","","Nuageux"
"1981-10-01 04:00","1981","10","01","04:00"," ","5,40","","2,00","","79,00","","23,00","","19,00","","24,10","","98,79","","","","","","Généralement nuageux"
"1981-10-01 05:00","1981","10","01","05:00"," ","5,20","","2,00","","80,00","","23,00","","15,00","","24,10","","98,79","","","","","","Généralement nuageux"
"1981-10-01 06:00","1981","10","01","06:00"," ","5,00","","2,20","","82,00","","21,00","","15,00","","24,10","","98,83","","","","","","Généralement nuageux"
"1981-10-01 07:00","1981","10","01","07:00"," ","5,40","","2,80","","83,00","","22,00","","20,00","","24,10","","98,86","","","","","","Généralement nuageux"
"1981-10-01 08:00","1981","10","01","08:00"," ","7,20","","4,10","","81,00","","24,00","","22,00","","24,10","","98,93","","","","","","Généralement nuageux"
"1981-10-01 09:00","1981","10","01","09:00"," ","9,50","","4,70","","72,00","","28,00","","33,00","","24,10","","99,00","","","","","","Généralement dégagé"
"1981-10-01 10:00","1981","10","01","10:00"," ","10,30","","4,50","","67,00","","26,00","","35,00","","24,10","","99,06","","","","","","Généralement dégagé"
"1981-10-01 11:00","1981","10","01","11:00"," ","10,00","","3,90","","66,00","","29,00","","39,00","","24,10","","99,10","","","","","","Généralement dégagé"
"1981-10-01 12:00","1981","10","01","12:00"," ","10,70","","5,00","","68,00","","25,00","","28,00","","24,10","","99,23","","","","","","Averses de pluie"
"1981-10-01 13:00","1981","10","01","13:00"," ","10,40","","5,00","","69,00","","30,00","","39,00","","24,10","","99,23","","","","","","Généralement nuageux"
"1981-10-01 14:00","1981","10","01","14:00"," ","10,60","","5,30","","70,00","","28,00","","31,00","","24,10","","99,33","","","","","","Généralement nuageux"
"1981-10-01 15:00","1981","10","01","15:00"," ","10,30","","4,70","","68,00","","25,00","","26,00","","24,10","","99,43","","","","","","Généralement nuageux"
"1981-10-01 16:00","1981","10","01","16:00"," ","10,40","","4,70","","68,00","","25,00","","28,00","","24,10","","99,47","","","","","","Généralement nuageux"
