"Nom de la Station","YARMOUTH A"
"Province","NOVA SCOTIA"
"Latitude","43,83"
"Longitude","-66,09"
"Altitude","43,00"
"Identification Climat","8206500"
"Identification OMM","71603"
"Identification TC","YQI"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"1971-07-01 00:00","1971","07","01","00:00"," ","15,60","","15,60","","100,00","","23,00","","24,00","","0,80","","100,56","","","","","","Brouillard"
"1971-07-01 01:00","1971","07","01","01:00"," ","15,60","","15,60","","100,00","","22,00","","23,00","","0,80","","100,51","","","","","","Brouillard"
"1971-07-01 02:00","1971","07","01","02:00"," ","14,40","","14,40","","100,00","","22,00","","24,00","","0,20","","100,47","","","","","","Brouillard"
"1971-07-01 03:00","1971","07","01","03:00"," ","14,40","","14,40","","100,00","","33,00","","24,00","","0,20","","100,54","","","","","","Brouillard"
"1971-07-01 04:00","1971","07","01","04:00"," ","14,40","","14,40","","100,00","","21,00","","19,00","","0,00","","100,45","","","","","","Brouillard"
"1971-07-01 05:00","1971","07","01","05:00"," ","14,40","","14,40","","100,00","","21,00","","18,00","","0,00","","100,47","","","","","","Brouillard"
"1971-07-01 06:00","1971","07","01","06:00"," ","14,40","","14,40","","100,00","","21,00","","19,00","","0,00","","100,48","","","","","","Brouillard"
"1971-07-01 07:00","1971","07","01","07:00"," ","14,40","","14,40","","100,00","","22,00","","24,00","","0,00","","100,47","","","","","","Brouillard"
"1971-07-01 08:00","1971","07","01","08:00"," ","14,40","","14,40","","87,00","","24,00","","19,00","","0,00","","100,38","","","","","","Brouillard"
"1971-07-01 09:00","1971","07","01","09:00"," ","15,00","","15,00","","100,00","","23,00","","29,00","","0,80","","100,42","","","","","","Brouillard"
"1971-07-01 10:00","1971","07","01","10:00"," ","15,00","","15,00","","100,00","","23,00","","24,00","","0,80","","100,42","","","","","","Brouillard"
"1971-07-01 11:00","1971","07","01","11:00"," ","15,60","","15,60","","99,00","","24,00","","29,00","","1,20","","100,42","","","","","","Brouillard"
"1971-07-01 12:00","1971","07","01","12:00"," ","18,30","","16,70","","91,00","","23,00","","29,00","","1,60","","100,41","","","","","","Brouillard"
"1971-07-01 13:00","1971","07","01","13:00"," ","18,90","","17,20","","89,00","","22,00","","29,00","","3,20","","100,39","","","","","","Brouillard"
"1971-07-01 14:00","1971","07","01","14:00"," ","17,20","","16,10","","95,00","","22,00","","29,00","","1,60","","100,35","","","","","","Brouillard"
"1971-07-01 15:00","1971","07","01","15:00"," ","16,70","","15,60","","95,00","","21,00","","26,00","","1,60","","100,26","","","","","","Brouillard"
"1971-07-01 16:00","1971","07","01","16:00"," ","15,60","","15,60","","98,00","","22,00","","35,00","","0,80","","100,26","","","","","","Brouillard"
"1971-07-01 17:00","1971","07","01","17:00"," ","15,00","","15,00","","99,00","","21,00","","29,00","","0,20","","100,25","","","","","","Brouillard"
"1971-07-01 18:00","1971","07","01","18:00"," ","14,40","","14,40","","100,00","","21,00","","26,00","","0,00","","100,29","","","","","","Brouillard"
"1971-07-01 19:00","1971","07","01","19:00"," ","13,90","","13,90","","100,00","","21,00","","23,00","","0,00","","100,29","","","","","","Brouillard"
"1971-07-01 20:00","1971","07","01","20:00"," ","13,30","","13,30","","100,00","","22,00","","26,00","","0,00","","100,35","","","","","","Brouillard"
"1971-07-01 21:00","1971","07","01","21:00"," ","15,00","","15,00","","100,00","","24,00","","19,00","","0,00","","100,42","","","","","","Bruine,Brouillard"
"1971-07-01 22:00","1971","07","01","22:00"," ","15,60","","15,60","","100,00","","18,00","","24,00","","0,20","","100,28","","","","","","Brouillard"
"1971-07-01 23:00","1971","07","01","23:00"," ","15,00","","15,00","","100,00","","22,00","","24,00","","0,20","","100,36","","","","","","Brouillard"
"1971-07-02 00:00","1971","07","02","00:00"," ","17,20","","17,20","","100,00","","21,00","","23,00","","4,80","","100,17","","","","","","Averses de pluie modérées,Brouillard"
"1971-07-02 01:00","1971","07","02","01:00"," ","13,90","","13,90","","100,00","","24,00","","23,00","","0,00","","100,25","","","","","","Brouillard"
"1971-07-02 02:00","1971","07","02","02:00"," ","13,90","","13,90","","100,00","","22,00","","24,00","","0,00","","100,19","","","","","","Brouillard"
"1971-07-02 03:00","1971","07","02","03:00"," ","13,90","","13,90","","100,00","","24,00","","24,00","","0,00","","100,22","","","","","","Brouillard"
"1971-07-02 04:00","1971","07","02","04:00"," ","13,30","","13,30","","100,00","","23,00","","16,00","","0,00","","100,24","","","","","","Averses de pluie,Brouillard"
"1971-07-02 05:00","1971","07","02","05:00"," ","13,90","","13,90","","100,00","","25,00","","19,00","","0,00","","100,24","","","","","","Averses de pluie,Brouillard"
"1971-07-02 06:00","1971","07","02","06:00"," ","13,90","","13,90","","100,00","","25,00","","16,00","","0,00","","100,29","","","","","","Brouillard"
"1971-07-02 07:00","1971","07","02","07:00"," ","13,90","","13,90","","100,00","","27,00","","19,00","","0,00","","100,39","","","","","","Brouillard"
"1971-07-02 08:00","1971","07","02","08:00"," ","15,00","","15,00","","100,00","","32,00","","13,00","","0,00","","100,43","","","","","","Brouillard"
"1971-07-02 09:00","1971","07","02","09:00"," ","17,20","","17,20","","99,00","","34,00","","16,00","","8,00","","100,47","","","","","","Brouillard"
"1971-07-02 10:00","1971","07","02","10:00"," ","18,90","","17,80","","94,00","","35,00","","26,00","","12,90","","100,48","","","","","","Généralement nuageux"
"1971-07-02 11:00","1971","07","02","11:00"," ","20,00","","16,70","","82,00","","34,00","","27,00","","24,10","","100,49","","25,00","","","","Généralement nuageux"
"1971-07-02 12:00","1971","07","02","12:00"," ","20,00","","16,70","","80,00","","32,00","","26,00","","24,10","","100,51","","25,00","","","","Généralement nuageux"
"1971-07-02 13:00","1971","07","02","13:00"," ","20,60","","16,70","","78,00","","32,00","","26,00","","24,10","","100,51","","26,00","","","","Généralement nuageux"
"1971-07-02 14:00","1971","07","02","14:00"," ","20,00","","16,70","","81,00","","31,00","","19,00","","24,10","","100,54","","25,00","","","","Généralement nuageux"
"1971-07-02 15:00","1971","07","02","15:00"," ","18,90","","15,60","","81,00","","31,00","","24,00","","24,10","","100,58","","","","","","Généralement nuageux"
"1971-07-02 16:00","1971","07","02","16:00"," ","17,80","","15,00","","85,00","","32,00","","23,00","","24,10","","100,59","","","","","","Généralement nuageux"
"1971-07-02 17:00","1971","07","02","17:00"," ","18,30","","16,10","","85,00","","31,00","","19,00","","24,10","","100,64","","","","","","Généralement nuageux"
"1971-07-02 18:00","1971","07","02","18:00"," ","17,20","","15,00","","88,00","","31,00","","19,00","","24,10","","100,69","","","","","","Nuageux"
"1971-07-02 19:00","1971","07","02","19:00"," ","15,60","","13,90","","90,00","","31,00","","21,00","","24,10","","100,69","","","","","","Nuageux"
"1971-07-02 20:00","1971","07","02","20:00"," ","15,00","","13,30","","90,00","","32,00","","19,00","","24,10","","100,72","","","","","","Généralement nuageux"
"1971-07-02 21:00","1971","07","02","21:00"," ","14,40","","13,30","","92,00","","32,00","","21,00","","24,10","","100,74","","","","","","Généralement nuageux"
"1971-07-02 22:00","1971","07","02","22:00"," ","15,00","","13,30","","89,00","","32,00","","19,00","","24,10","","100,79","","","","","","Généralement nuageux"
"1971-07-02 23:00","1971","07","02","23:00"," ","14,40","","13,30","","92,00","","32,00","","10,00","","24,10","","100,77","","","","","","Généralement nuageux"
"1971-07-03 00:00","1971","07","03","00:00"," ","15,00","","12,80","","87,00","","32,00","","10,00","","24,10","","100,78","","","","","","Généralement dégagé"
"1971-07-03 01:00","1971","07","03","01:00"," ","15,00","","12,20","","84,00","","0,00","","0,00","","24,10","","100,75","","","","","","Généralement dégagé"
"1971-07-03 02:00","1971","07","03","02:00"," ","12,80","","11,70","","94,00","","0,00","","0,00","","19,30","","100,72","","","","","","Dégagé"
"1971-07-03 03:00","1971","07","03","03:00"," ","12,80","","12,20","","97,00","","0,00","","0,00","","19,30","","100,69","","","","","","Dégagé"
"1971-07-03 04:00","1971","07","03","04:00"," ","12,80","","11,70","","96,00","","0,00","","0,00","","19,30","","100,74","","","","","","Généralement dégagé"
"1971-07-03 05:00","1971","07","03","05:00"," ","12,20","","11,70","","98,00","","32,00","","11,00","","12,90","","100,82","","","","","","Généralement dégagé"
"1971-07-03 06:00","1971","07","03","06:00"," ","12,80","","12,80","","98,00","","34,00","","16,00","","12,90","","100,88","","","","","","Généralement dégagé"
"1971-07-03 07:00","1971","07","03","07:00"," ","15,00","","13,30","","88,00","","36,00","","27,00","","19,30","","100,93","","","","","","Généralement dégagé"
"1971-07-03 08:00","1971","07","03","08:00"," ","16,10","","12,20","","79,00","","36,00","","24,00","","24,10","","100,99","","","","","","Généralement dégagé"
"1971-07-03 09:00","1971","07","03","09:00"," ","16,10","","11,10","","74,00","","32,00","","35,00","","24,10","","101,04","","","","","","Généralement dégagé"
"1971-07-03 10:00","1971","07","03","10:00"," ","15,60","","10,60","","72,00","","33,00","","24,00","","24,10","","101,09","","","","","","Généralement dégagé"
"1971-07-03 11:00","1971","07","03","11:00"," ","16,10","","11,10","","71,00","","32,00","","26,00","","24,10","","101,18","","","","","","Généralement dégagé"
"1971-07-03 12:00","1971","07","03","12:00"," ","17,20","","11,70","","68,00","","32,00","","26,00","","24,10","","101,18","","","","","","Généralement dégagé"
"1971-07-03 13:00","1971","07","03","13:00"," ","18,90","","11,10","","62,00","","33,00","","32,00","","24,10","","101,20","","","","","","Généralement dégagé"
"1971-07-03 14:00","1971","07","03","14:00"," ","18,90","","12,20","","66,00","","34,00","","40,00","","24,10","","101,23","","","","","","Généralement dégagé"
"1971-07-03 15:00","1971","07","03","15:00"," ","18,90","","11,10","","61,00","","32,00","","32,00","","24,10","","101,25","","","","","","Généralement dégagé"
"1971-07-03 16:00","1971","07","03","16:00"," ","18,30","","10,00","","59,00","","32,00","","31,00","","24,10","","101,36","","","","","","Généralement dégagé"
"1971-07-03 17:00","1971","07","03","17:00"," ","17,80","","10,60","","62,00","","33,00","","29,00","","24,10","","101,34","","","","","","Généralement nuageux"
"1971-07-03 18:00","1971","07","03","18:00"," ","17,80","","10,00","","62,00","","28,00","","24,00","","24,10","","101,41","","","","","","Généralement dégagé"
"1971-07-03 19:00","1971","07","03","19:00"," ","14,40","","9,40","","72,00","","29,00","","14,00","","24,10","","101,50","","","","","","Généralement dégagé"
"1971-07-03 20:00","1971","07","03","20:00"," ","13,30","","9,40","","76,00","","28,00","","16,00","","24,10","","101,55","","","","","","Généralement dégagé"
"1971-07-03 21:00","1971","07","03","21:00"," ","11,70","","8,90","","82,00","","28,00","","16,00","","24,10","","101,62","","","","","","Dégagé"
"1971-07-03 22:00","1971","07","03","22:00"," ","12,20","","10,00","","85,00","","29,00","","13,00","","24,10","","101,71","","","","","","Dégagé"
"1971-07-03 23:00","1971","07","03","23:00"," ","11,70","","9,40","","86,00","","32,00","","16,00","","24,10","","101,73","","","","","","Dégagé"
"1971-07-04 00:00","1971","07","04","00:00"," ","11,10","","8,90","","86,00","","31,00","","8,00","","24,10","","101,72","","","","","","Dégagé"
"1971-07-04 01:00","1971","07","04","01:00"," ","10,00","","8,90","","92,00","","0,00","","0,00","","24,10","","101,70","","","","","","Dégagé"
"1971-07-04 02:00","1971","07","04","02:00"," ","10,00","","8,30","","90,00","","0,00","","0,00","","24,10","","101,70","","","","","","Dégagé"
"1971-07-04 03:00","1971","07","04","03:00"," ","8,90","","7,80","","91,00","","17,00","","13,00","","24,10","","101,70","","","","","","Dégagé"
"1971-07-04 04:00","1971","07","04","04:00"," ","8,90","","7,80","","95,00","","19,00","","10,00","","24,10","","101,68","","","","","","Généralement dégagé"
"1971-07-04 05:00","1971","07","04","05:00"," ","10,00","","8,90","","94,00","","18,00","","10,00","","24,10","","101,71","","","","","","Généralement dégagé"
"1971-07-04 06:00","1971","07","04","06:00"," ","11,10","","10,00","","94,00","","20,00","","8,00","","24,10","","101,76","","","","","","Généralement nuageux"
"1971-07-04 07:00","1971","07","04","07:00"," ","13,30","","11,10","","87,00","","20,00","","8,00","","24,10","","101,75","","","","","","Généralement nuageux"
"1971-07-04 08:00","1971","07","04","08:00"," ","15,00","","11,10","","78,00","","25,00","","8,00","","24,10","","101,72","","","","","","Généralement dégagé"
"1971-07-04 09:00","1971","07","04","09:00"," ","15,60","","11,10","","74,00","","27,00","","13,00","","24,10","","101,77","","","","","","Généralement dégagé"
"1971-07-04 10:00","1971","07","04","10:00"," ","16,70","","11,10","","72,00","","24,00","","10,00","","24,10","","101,78","","","","","","Généralement dégagé"
"1971-07-04 11:00","1971","07","04","11:00"," ","17,20","","11,70","","71,00","","23,00","","16,00","","24,10","","101,74","","","","","","Généralement dégagé"
"1971-07-04 12:00","1971","07","04","12:00"," ","17,20","","11,70","","71,00","","25,00","","26,00","","24,10","","101,77","","","","","","Généralement nuageux"
"1971-07-04 13:00","1971","07","04","13:00"," ","17,20","","11,70","","70,00","","25,00","","19,00","","24,10","","101,72","","","","","","Généralement nuageux"
"1971-07-04 14:00","1971","07","04","14:00"," ","18,90","","11,10","","62,00","","25,00","","16,00","","24,10","","101,72","","","","","","Généralement nuageux"
"1971-07-04 15:00","1971","07","04","15:00"," ","18,30","","12,80","","71,00","","25,00","","24,00","","24,10","","101,70","","","","","","Généralement dégagé"
"1971-07-04 16:00","1971","07","04","16:00"," ","17,80","","13,90","","77,00","","24,00","","16,00","","24,10","","101,67","","","","","","Généralement dégagé"
"1971-07-04 17:00","1971","07","04","17:00"," ","16,70","","13,30","","79,00","","24,00","","24,00","","24,10","","101,64","","","","","","Généralement dégagé"
"1971-07-04 18:00","1971","07","04","18:00"," ","16,10","","13,30","","84,00","","24,00","","27,00","","24,10","","101,64","","","","","","Généralement dégagé"
"1971-07-04 19:00","1971","07","04","19:00"," ","15,00","","12,20","","83,00","","22,00","","29,00","","24,10","","101,64","","","","","","Généralement nuageux"
"1971-07-04 20:00","1971","07","04","20:00"," ","14,40","","11,70","","83,00","","22,00","","24,00","","24,10","","101,60","","","","","","Généralement nuageux"
"1971-07-04 21:00","1971","07","04","21:00"," ","13,30","","11,10","","85,00","","23,00","","26,00","","24,10","","101,65","","","","","","Généralement nuageux"
"1971-07-04 22:00","1971","07","04","22:00"," ","12,80","","10,60","","86,00","","22,00","","16,00","","24,10","","101,65","","","","","","Généralement dégagé"
"1971-07-04 23:00","1971","07","04","23:00"," ","12,80","","10,60","","87,00","","22,00","","19,00","","24,10","","101,63","","","","","","Généralement dégagé"
"1971-07-05 00:00","1971","07","05","00:00"," ","12,80","","10,60","","87,00","","22,00","","21,00","","24,10","","101,65","","","","","","Dégagé"
"1971-07-05 01:00","1971","07","05","01:00"," ","12,80","","10,60","","85,00","","21,00","","24,00","","24,10","","101,62","","","","","","Dégagé"
"1971-07-05 02:00","1971","07","05","02:00"," ","12,80","","10,00","","83,00","","20,00","","19,00","","24,10","","101,61","","","","","","Dégagé"
"1971-07-05 03:00","1971","07","05","03:00"," ","12,80","","10,00","","83,00","","20,00","","16,00","","24,10","","101,59","","","","","","Dégagé"
"1971-07-05 04:00","1971","07","05","04:00"," ","12,80","","9,40","","82,00","","20,00","","16,00","","24,10","","101,60","","","","","","Généralement dégagé"
"1971-07-05 05:00","1971","07","05","05:00"," ","11,70","","9,40","","85,00","","19,00","","16,00","","24,10","","101,62","","","","","","Généralement nuageux"
"1971-07-05 06:00","1971","07","05","06:00"," ","13,30","","10,60","","82,00","","19,00","","19,00","","24,10","","101,62","","","","","","Généralement nuageux"
"1971-07-05 07:00","1971","07","05","07:00"," ","15,00","","10,60","","75,00","","20,00","","16,00","","24,10","","101,68","","","","","","Généralement dégagé"
"1971-07-05 08:00","1971","07","05","08:00"," ","15,60","","11,10","","73,00","","21,00","","24,00","","24,10","","101,75","","","","","","Dégagé"
"1971-07-05 09:00","1971","07","05","09:00"," ","16,70","","11,70","","71,00","","22,00","","26,00","","24,10","","101,75","","","","","","Dégagé"
"1971-07-05 10:00","1971","07","05","10:00"," ","17,20","","6,70","","51,00","","21,00","","26,00","","24,10","","101,69","","","","","","Dégagé"
"1971-07-05 11:00","1971","07","05","11:00"," ","17,80","","5,60","","45,00","","20,00","","23,00","","24,10","","101,64","","","","","","Généralement dégagé"
"1971-07-05 12:00","1971","07","05","12:00"," ","18,90","","8,90","","53,00","","20,00","","24,00","","24,10","","101,55","","","","","","Généralement dégagé"
"1971-07-05 13:00","1971","07","05","13:00"," ","19,40","","10,60","","56,00","","23,00","","29,00","","24,10","","101,59","","","","","","Généralement dégagé"
"1971-07-05 14:00","1971","07","05","14:00"," ","18,90","","10,60","","59,00","","22,00","","32,00","","24,10","","101,53","","","","","","Généralement dégagé"
"1971-07-05 15:00","1971","07","05","15:00"," ","18,90","","10,60","","57,00","","20,00","","29,00","","24,10","","101,53","","","","","","Généralement dégagé"
"1971-07-05 16:00","1971","07","05","16:00"," ","18,90","","11,70","","63,00","","22,00","","32,00","","24,10","","101,51","","","","","","Généralement dégagé"
