"Nom de la Station","CHARLOTTETOWN A"
"Province","PRINCE EDWARD ISLAND"
"Latitude","46,29"
"Longitude","-63,13"
"Altitude","48,80"
"Identification Climat","8300300"
"Identification OMM","71706"
"Identification TC","YYG"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"1963-07-01 00:00","1963","07","01","00:00"," ","17,80","","17,20","","98,00","","0,00","","0,00","","12,90","","100,64","","","","","","Nuageux"
"1963-07-01 01:00","1963","07","01","01:00"," ","17,80","","17,20","","98,00","","0,00","","0,00","","12,90","","100,60","","","","","","Nuageux"
"1963-07-01 02:00","1963","07","01","02:00"," ","17,20","","16,70","","98,00","","36,00","","8,00","","11,30","","100,60","","","","","","Nuageux"
"1963-07-01 03:00","1963","07","01","03:00"," ","17,20","","16,70","","98,00","","36,00","","13,00","","12,90","","100,64","","","","","","Nuageux"
"1963-07-01 04:00","1963","07","01","04:00"," ","17,20","","16,70","","98,00","","36,00","","13,00","","19,30","","100,70","","","","","","Généralement dégagé"
"1963-07-01 05:00","1963","07","01","05:00"," ","16,70","","16,10","","98,00","","7,00","","8,00","","19,30","","100,78","","","","","","Généralement nuageux"
"1963-07-01 06:00","1963","07","01","06:00"," ","15,60","","13,90","","88,00","","7,00","","13,00","","19,30","","100,82","","","","","","Généralement nuageux"
"1963-07-01 07:00","1963","07","01","07:00"," ","14,40","","12,20","","88,00","","7,00","","16,00","","19,30","","100,82","","","","","","Généralement dégagé"
"1963-07-01 08:00","1963","07","01","08:00"," ","15,60","","10,60","","73,00","","7,00","","19,00","","24,10","","100,87","","","","","","Généralement dégagé"
"1963-07-01 09:00","1963","07","01","09:00"," ","18,30","","11,10","","63,00","","7,00","","24,00","","24,10","","100,84","","","","","","Généralement dégagé"
"1963-07-01 10:00","1963","07","01","10:00"," ","18,90","","13,30","","71,00","","5,00","","13,00","","24,10","","100,89","","","","","","Généralement dégagé"
"1963-07-01 11:00","1963","07","01","11:00"," ","18,90","","13,30","","71,00","","5,00","","16,00","","24,10","","100,95","","","","","","Généralement dégagé"
"1963-07-01 12:00","1963","07","01","12:00"," ","19,40","","12,80","","64,00","","2,00","","16,00","","24,10","","101,00","","","","","","Généralement dégagé"
"1963-07-01 13:00","1963","07","01","13:00"," ","20,00","","10,60","","55,00","","36,00","","23,00","","24,10","","101,00","","","","","","Généralement dégagé"
"1963-07-01 14:00","1963","07","01","14:00"," ","20,00","","8,90","","49,00","","5,00","","19,00","","24,10","","100,99","","","","","","Généralement dégagé"
"1963-07-01 15:00","1963","07","01","15:00"," ","20,00","","8,90","","49,00","","2,00","","19,00","","24,10","","101,04","","","","","","Généralement dégagé"
"1963-07-01 16:00","1963","07","01","16:00"," ","17,80","","7,80","","52,00","","5,00","","16,00","","24,10","","101,04","","","","","","Généralement dégagé"
"1963-07-01 17:00","1963","07","01","17:00"," ","17,20","","8,30","","57,00","","7,00","","19,00","","24,10","","101,08","","","","","","Dégagé"
"1963-07-01 18:00","1963","07","01","18:00"," ","17,20","","8,90","","59,00","","7,00","","11,00","","24,10","","101,04","","","","","","Généralement dégagé"
"1963-07-01 19:00","1963","07","01","19:00"," ","17,20","","8,90","","59,00","","7,00","","16,00","","24,10","","101,02","","","","","","Généralement dégagé"
"1963-07-01 20:00","1963","07","01","20:00"," ","14,40","","8,30","","67,00","","9,00","","11,00","","24,10","","100,98","","","","","","Généralement dégagé"
"1963-07-01 21:00","1963","07","01","21:00"," ","13,30","","8,30","","71,00","","11,00","","8,00","","24,10","","101,08","","","","","","Généralement dégagé"
"1963-07-01 22:00","1963","07","01","22:00"," ","12,20","","8,30","","77,00","","14,00","","6,00","","24,10","","101,08","","","","","","Généralement dégagé"
"1963-07-01 23:00","1963","07","01","23:00"," ","12,80","","10,00","","82,00","","14,00","","10,00","","24,10","","100,93","","","","","","Généralement nuageux"
"1963-07-02 00:00","1963","07","02","00:00"," ","13,30","","10,00","","82,00","","14,00","","6,00","","24,10","","100,99","","","","","","Généralement dégagé"
"1963-07-02 01:00","1963","07","02","01:00"," ","11,70","","8,90","","82,00","","9,00","","13,00","","24,10","","100,96","","","","","","Généralement dégagé"
"1963-07-02 02:00","1963","07","02","02:00"," ","11,10","","8,30","","83,00","","11,00","","11,00","","24,10","","100,93","","","","","","Généralement dégagé"
"1963-07-02 03:00","1963","07","02","03:00"," ","11,10","","8,30","","83,00","","14,00","","16,00","","24,10","","100,83","","","","","","Généralement nuageux"
"1963-07-02 04:00","1963","07","02","04:00"," ","13,30","","8,30","","73,00","","16,00","","19,00","","24,10","","100,79","","","","","","Généralement nuageux"
"1963-07-02 05:00","1963","07","02","05:00"," ","13,30","","8,30","","71,00","","18,00","","14,00","","24,10","","100,79","","","","","","Généralement nuageux"
"1963-07-02 06:00","1963","07","02","06:00"," ","14,40","","8,90","","70,00","","20,00","","23,00","","25,00","","100,81","","","","","","Généralement nuageux"
"1963-07-02 07:00","1963","07","02","07:00"," ","14,40","","11,70","","83,00","","20,00","","24,00","","19,30","","100,90","","","","","","Averses de pluie"
"1963-07-02 08:00","1963","07","02","08:00"," ","14,40","","11,70","","83,00","","20,00","","23,00","","16,10","","100,70","","","","","","Averses de pluie"
"1963-07-02 09:00","1963","07","02","09:00"," ","13,90","","13,30","","95,00","","20,00","","16,00","","12,90","","100,65","","","","","","Averses de pluie"
"1963-07-02 10:00","1963","07","02","10:00"," ","15,00","","13,30","","88,00","","20,00","","19,00","","16,10","","100,45","","","","","","Généralement nuageux"
"1963-07-02 11:00","1963","07","02","11:00"," ","17,80","","14,40","","80,00","","20,00","","24,00","","24,10","","100,43","","","","","","Généralement nuageux"
"1963-07-02 12:00","1963","07","02","12:00"," ","18,30","","15,00","","80,00","","20,00","","16,00","","24,10","","100,41","","","","","","Généralement dégagé"
"1963-07-02 13:00","1963","07","02","13:00"," ","18,90","","14,40","","77,00","","20,00","","24,00","","24,10","","100,41","","","","","","Généralement nuageux"
"1963-07-02 14:00","1963","07","02","14:00"," ","18,30","","15,00","","80,00","","20,00","","16,00","","24,10","","100,32","","","","","","Nuageux"
"1963-07-02 15:00","1963","07","02","15:00"," ","18,90","","15,00","","78,00","","20,00","","13,00","","24,10","","100,28","","","","","","Nuageux"
"1963-07-02 16:00","1963","07","02","16:00"," ","19,40","","15,00","","75,00","","20,00","","24,00","","24,10","","100,17","","","","","","Généralement nuageux"
"1963-07-02 17:00","1963","07","02","17:00"," ","20,00","","17,20","","83,00","","20,00","","11,00","","24,10","","100,11","","25,00","","","","Généralement nuageux"
"1963-07-02 18:00","1963","07","02","18:00"," ","20,00","","17,20","","83,00","","20,00","","14,00","","16,10","","100,04","","25,00","","","","Généralement nuageux"
"1963-07-02 19:00","1963","07","02","19:00"," ","19,40","","16,70","","84,00","","20,00","","32,00","","16,10","","99,94","","","","","","Généralement nuageux"
"1963-07-02 20:00","1963","07","02","20:00"," ","18,30","","16,70","","90,00","","20,00","","29,00","","16,10","","99,89","","","","","","Généralement nuageux"
"1963-07-02 21:00","1963","07","02","21:00"," ","17,20","","16,10","","94,00","","20,00","","16,00","","6,40","","100,01","","","","","","Brouillard"
"1963-07-02 22:00","1963","07","02","22:00"," ","16,70","","15,60","","94,00","","20,00","","16,00","","6,40","","99,90","","","","","","Brouillard"
"1963-07-02 23:00","1963","07","02","23:00"," ","15,60","","15,00","","95,00","","20,00","","19,00","","6,40","","99,88","","","","","","Brouillard"
"1963-07-03 00:00","1963","07","03","00:00"," ","15,60","","15,00","","95,00","","20,00","","23,00","","6,40","","99,93","","","","","","Brouillard"
