"Nom de la Station","BADGER (AUT)"
"Province","NEWFOUNDLAND"
"Latitude","48,97"
"Longitude","-56,07"
"Altitude","102,70"
"Identification Climat","8400301"
"Identification OMM","71400"
"Identification TC","WDI"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"1988-10-01 00:00","1988","10","01","00:00"," ","","","","","","","","","","","","","","","","","","",""
"1988-10-01 00:30","1988","10","01","00:30"," ","0,00","","-1,10","","92,00","","23,00","","4,00","","15,00","","","M","","","-1,00","","ND"
"1988-10-01 01:00","1988","10","01","01:00"," ","","","","","","","","","","","","","","","","","","",""
"1988-10-01 01:30","1988","10","01","01:30"," ","1,10","","0,00","","92,00","","25,00","","6,00","","15,00","","","M","","","","","ND"
"1988-10-01 02:00","1988","10","01","02:00"," ","","","","","","","","","","","","","","","","","","",""
"1988-10-01 02:30","1988","10","01","02:30"," ","1,10","","0,50","","96,00","","0,00","","0,00","","15,00","","","M","","","","","ND"
"1988-10-01 03:00","1988","10","01","03:00"," ","","","","","","","","","","","","","","","","","","",""
"1988-10-01 03:30","1988","10","01","03:30"," ","1,10","","0,50","","96,00","","0,00","","0,00","","15,00","","","M","","","","","ND"
"1988-10-01 04:00","1988","10","01","04:00"," ","","","","","","","","","","","","","","","","","","",""
"1988-10-01 04:30","1988","10","01","04:30"," ","1,10","","0,00","","92,00","","0,00","","0,00","","15,00","","","M","","","","","ND"
"1988-10-01 05:00","1988","10","01","05:00"," ","","","","","","","","","","","","","","","","","","",""
"1988-10-01 05:30","1988","10","01","05:30"," ","1,60","","0,50","","92,00","","0,00","","0,00","","15,00","","","M","","","","","ND"
"1988-10-01 06:00","1988","10","01","06:00"," ","","","","","","","","","","","","","","","","","","",""
"1988-10-01 07:00","1988","10","01","07:00"," ","","","","","","","","","","","","","","","","","","",""
"1988-10-01 08:00","1988","10","01","08:00"," ","","","","","","","","","","","","","","","","","","",""
"1988-10-01 09:00","1988","10","01","09:00"," ","","","","","","","","","","","","","","","","","","",""
"1988-10-01 10:00","1988","10","01","10:00"," ","","","","","","","","","","","","","","","","","","",""
"1988-10-01 11:00","1988","10","01","11:00"," ","","","","","","","","","","","","","","","","","","",""
"1988-10-01 11:30","1988","10","01","11:30"," ","9,90","","7,20","","83,00","","24,00","","15,00","","15,00","","","M","","","","","ND"
"1988-10-01 12:00","1988","10","01","12:00"," ","","","","","","","","","","","","","","","","","","",""
"1988-10-01 12:30","1988","10","01","12:30"," ","9,90","","6,60","","80,00","","22,00","","6,00","","15,00","","","M","","","","","ND"
"1988-10-01 13:00","1988","10","01","13:00"," ","","","","","","","","","","","","","","","","","","",""
