"Nom de la Station","BONAVISTA"
"Province","NEWFOUNDLAND"
"Latitude","48,67"
"Longitude","-53,11"
"Altitude","25,60"
"Identification Climat","8400600"
"Identification OMM",""
"Identification TC","WVA"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2002-01-01 00:00","2002","01","01","00:00"," ","","","","","","","","","","","","","","","","","","",""
"2002-01-01 00:30","2002","01","01","00:30"," ","-4,10","","-7,70","","76,00","","24,00","","37,00","","15,00","","99,74","","","","-13,00","",""
"2002-01-01 01:00","2002","01","01","01:00"," ","","","","","","","","","","","","","","","","","","",""
"2002-01-01 01:30","2002","01","01","01:30"," ","-4,30","","-8,20","","74,00","","24,00","","43,00","","15,00","","99,73","","","","-13,00","",""
"2002-01-01 02:00","2002","01","01","02:00"," ","","","","","","","","","","","","","","","","","","",""
"2002-01-01 02:30","2002","01","01","02:30"," ","-3,80","","-8,40","","70,00","","26,00","","35,00","","15,00","","99,75","","","","-12,00","",""
"2002-01-01 03:00","2002","01","01","03:00"," ","","","","","","","","","","","","","","","","","","",""
"2002-01-01 03:30","2002","01","01","03:30"," ","-5,40","","-8,50","","79,00","","23,00","","24,00","","15,00","","99,75","","","","-13,00","",""
"2002-01-01 04:00","2002","01","01","04:00"," ","","","","","","","","","","","","","","","","","","",""
"2002-01-01 04:30","2002","01","01","04:30"," ","-5,40","","-9,10","","75,00","","23,00","","28,00","","15,00","","99,74","","","","-13,00","",""
"2002-01-01 05:00","2002","01","01","05:00"," ","","","","","","","","","","","","","","","","","","",""
"2002-01-01 05:30","2002","01","01","05:30"," ","-5,00","","-8,60","","76,00","","23,00","","37,00","","15,00","","99,65","","","","-14,00","",""
"2002-01-01 06:00","2002","01","01","06:00"," ","","","","","","","","","","","","","","","","","","",""
"2002-01-01 06:30","2002","01","01","06:30"," ","-4,80","","-8,40","","76,00","","23,00","","35,00","","15,00","","99,59","","","","-13,00","",""
"2002-01-01 07:00","2002","01","01","07:00"," ","","","","","","","","","","","","","","","","","","",""
"2002-01-01 07:30","2002","01","01","07:30"," ","-4,80","","-8,60","","75,00","","22,00","","37,00","","15,00","","99,59","","","","-14,00","",""
"2002-01-01 08:00","2002","01","01","08:00"," ","","","","","","","","","","","","","","","","","","",""
"2002-01-01 08:30","2002","01","01","08:30"," ","-4,30","","-8,70","","71,00","","22,00","","33,00","","15,00","","99,61","","","","-12,00","",""
"2002-01-01 09:00","2002","01","01","09:00"," ","","","","","","","","","","","","","","","","","","",""
"2002-01-01 09:30","2002","01","01","09:30"," ","-4,60","","-8,40","","75,00","","22,00","","26,00","","15,00","","99,62","","","","-12,00","",""
"2002-01-01 10:00","2002","01","01","10:00"," ","","","","","","","","","","","","","","","","","","",""
"2002-01-01 10:30","2002","01","01","10:30"," ","-3,80","","-7,60","","75,00","","23,00","","32,00","","15,00","","99,54","","","","-12,00","","Neige"
"2002-01-01 11:00","2002","01","01","11:00"," ","","","","","","","","","","","","","","","","","","",""
"2002-01-01 11:30","2002","01","01","11:30"," ","-3,10","","-9,30","","62,00","","23,00","","41,00","","15,00","","99,47","","","","-12,00","",""
"2002-01-01 12:00","2002","01","01","12:00"," ","","","","","","","","","","","","","","","","","","",""
"2002-01-01 12:30","2002","01","01","12:30"," ","-3,00","","-9,10","","63,00","","24,00","","43,00","","15,00","","99,33","","","","-12,00","",""
"2002-01-01 13:00","2002","01","01","13:00"," ","","","","","","","","","","","","","","","","","","",""
"2002-01-01 13:30","2002","01","01","13:30"," ","-3,00","","-10,00","","58,00","","25,00","","44,00","","15,00","","99,26","","","","-12,00","",""
"2002-01-01 14:00","2002","01","01","14:00"," ","","","","","","","","","","","","","","","","","","",""
"2002-01-01 14:30","2002","01","01","14:30"," ","-2,80","","-10,70","","54,00","","24,00","","44,00","","15,00","","99,26","","","","-11,00","",""
"2002-01-01 15:00","2002","01","01","15:00"," ","","","","","","","","","","","","","","","","","","",""
"2002-01-01 15:30","2002","01","01","15:30"," ","-3,00","","-10,30","","57,00","","24,00","","41,00","","15,00","","99,26","","","","-11,00","",""
"2002-01-01 16:00","2002","01","01","16:00"," ","","","","","","","","","","","","","","","","","","",""
"2002-01-01 16:30","2002","01","01","16:30"," ","-3,70","","-9,20","","66,00","","23,00","","48,00","","15,00","","99,27","","","","-13,00","",""
"2002-01-01 17:00","2002","01","01","17:00"," ","","","","","","","","","","","","","","","","","","",""
"2002-01-01 17:30","2002","01","01","17:30"," ","-4,20","","-8,90","","70,00","","23,00","","46,00","","15,00","","99,22","","","","-14,00","",""
"2002-01-01 18:00","2002","01","01","18:00"," ","","","","","","","","","","","","","","","","","","",""
"2002-01-01 18:30","2002","01","01","18:30"," ","-4,40","","-9,10","","70,00","","23,00","","44,00","","15,00","","99,22","","","","-14,00","",""
"2002-01-01 19:00","2002","01","01","19:00"," ","","","","","","","","","","","","","","","","","","",""
"2002-01-01 19:30","2002","01","01","19:30"," ","-4,80","","-10,20","","66,00","","23,00","","43,00","","15,00","","99,22","","","","-14,00","",""
"2002-01-01 20:00","2002","01","01","20:00"," ","","","","","","","","","","","","","","","","","","",""
"2002-01-01 20:30","2002","01","01","20:30"," ","-5,10","","-10,50","","66,00","","24,00","","44,00","","15,00","","99,16","","","","-15,00","",""
"2002-01-01 21:00","2002","01","01","21:00"," ","","","","","","","","","","","","","","","","","","",""
"2002-01-01 21:30","2002","01","01","21:30"," ","-5,70","","-9,60","","74,00","","22,00","","41,00","","15,00","","99,14","","","","-15,00","",""
"2002-01-01 22:00","2002","01","01","22:00"," ","","","","","","","","","","","","","","","","","","",""
"2002-01-01 22:30","2002","01","01","22:30"," ","-6,10","","-10,40","","72,00","","23,00","","41,00","","15,00","","99,06","","","","-16,00","",""
"2002-01-01 23:00","2002","01","01","23:00"," ","","","","","","","","","","","","","","","","","","",""
"2002-01-01 23:30","2002","01","01","23:30"," ","-6,10","","-10,30","","72,00","","23,00","","44,00","","15,00","","98,98","","","","-16,00","",""
"2002-01-02 00:00","2002","01","02","00:00"," ","","","","","","","","","","","","","","","","","","",""
"2002-01-02 00:30","2002","01","02","00:30"," ","-6,30","","-10,60","","72,00","","23,00","","46,00","","15,00","","98,86","","","","-16,00","",""
"2002-01-02 01:00","2002","01","02","01:00"," ","","","","","","","","","","","","","","","","","","",""
"2002-01-02 01:30","2002","01","02","01:30"," ","-6,30","","-11,40","","67,00","","24,00","","48,00","","15,00","","98,81","","","","-17,00","",""
"2002-01-02 02:00","2002","01","02","02:00"," ","","","","","","","","","","","","","","","","","","",""
"2002-01-02 02:30","2002","01","02","02:30"," ","-6,40","","-11,00","","70,00","","24,00","","50,00","","15,00","","98,79","","","","-17,00","",""
"2002-01-02 03:00","2002","01","02","03:00"," ","","","","","","","","","","","","","","","","","","",""
"2002-01-02 03:30","2002","01","02","03:30"," ","-6,50","","-11,00","","70,00","","23,00","","39,00","","15,00","","98,75","","","","-16,00","",""
"2002-01-02 04:00","2002","01","02","04:00"," ","","","","","","","","","","","","","","","","","","",""
"2002-01-02 04:30","2002","01","02","04:30"," ","-6,80","","-11,40","","70,00","","23,00","","48,00","","15,00","","98,68","","","","-17,00","",""
"2002-01-02 05:00","2002","01","02","05:00"," ","","","","","","","","","","","","","","","","","","",""
"2002-01-02 05:30","2002","01","02","05:30"," ","-6,80","","-10,90","","73,00","","23,00","","44,00","","15,00","","98,62","","","","-17,00","",""
"2002-01-02 06:00","2002","01","02","06:00"," ","","","","","","","","","","","","","","","","","","",""
