"Nom de la Station","DANIELS HARBOUR"
"Province","NEWFOUNDLAND"
"Latitude","50,24"
"Longitude","-57,58"
"Altitude","19,00"
"Identification Climat","8401400"
"Identification OMM","71185"
"Identification TC","WDH"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"1970-12-01 00:00","1970","12","01","00:00"," ","","","","","","","","","","","","","","","","","","",""
"1970-12-01 00:30","1970","12","01","00:30"," ","2,80","","1,10","","90,00","","25,00","","40,00","","16,10","","100,35","","","","","","Pluie"
"1970-12-01 01:00","1970","12","01","01:00"," ","","","","","","","","","","","","","","","","","","",""
"1970-12-01 01:30","1970","12","01","01:30"," ","3,30","","1,10","","85,00","","27,00","","42,00","","9,70","","100,37","","","","","","Averses de pluie,Brouillard"
"1970-12-01 02:00","1970","12","01","02:00"," ","","","","","","","","","","","","","","","","","","",""
"1970-12-01 02:30","1970","12","01","02:30"," ","2,80","","0,60","","87,00","","27,00","","43,00","","16,10","","100,35","","","","","","Averses de pluie"
"1970-12-01 03:00","1970","12","01","03:00"," ","","","","","","","","","","","","","","","","","","",""
"1970-12-01 03:30","1970","12","01","03:30"," ","2,20","","-0,60","","81,00","","27,00","","39,00","","24,10","","100,35","","","","","","Généralement dégagé"
"1970-12-01 04:00","1970","12","01","04:00"," ","","","","","","","","","","","","","","","","","","",""
"1970-12-01 04:30","1970","12","01","04:30"," ","1,70","","-0,60","","84,00","","32,00","","29,00","","24,10","","100,45","","","","","","Généralement dégagé"
"1970-12-01 05:00","1970","12","01","05:00"," ","","","","","","","","","","","","","","","","","","",""
"1970-12-01 05:30","1970","12","01","05:30"," ","1,70","","-2,80","","73,00","","32,00","","42,00","","24,10","","100,51","","","","","","Généralement nuageux"
"1970-12-01 06:00","1970","12","01","06:00"," ","","","","","","","","","","","","","","","","","","",""
"1970-12-01 06:30","1970","12","01","06:30"," ","1,10","","-2,80","","76,00","","34,00","","35,00","","24,10","","100,68","","","","","","Nuageux"
"1970-12-01 07:00","1970","12","01","07:00"," ","","","","","","","","","","","","","","","","","","",""
"1970-12-01 07:30","1970","12","01","07:30"," ","-3,30","","-6,10","","82,00","","34,00","","32,00","","24,10","","100,86","","","","-11,00","","Généralement nuageux"
"1970-12-01 08:00","1970","12","01","08:00"," ","","","","","","","","","","","","","","","","","","",""
"1970-12-01 08:30","1970","12","01","08:30"," ","-3,90","","-7,20","","77,00","","32,00","","39,00","","24,10","","100,98","","","","-13,00","","Généralement nuageux"
"1970-12-01 09:00","1970","12","01","09:00"," ","","","","","","","","","","","","","","","","","","",""
"1970-12-01 09:30","1970","12","01","09:30"," ","-4,40","","-8,90","","73,00","","34,00","","26,00","","24,10","","101,09","","","","-12,00","","Généralement nuageux"
"1970-12-01 10:00","1970","12","01","10:00"," ","","","","","","","","","","","","","","","","","","",""
"1970-12-01 10:30","1970","12","01","10:30"," ","-4,40","","-7,80","","78,00","","34,00","","32,00","","24,10","","101,20","","","","-12,00","","Généralement nuageux"
"1970-12-01 11:00","1970","12","01","11:00"," ","","","","","","","","","","","","","","","","","","",""
"1970-12-01 11:30","1970","12","01","11:30"," ","-4,40","","-8,30","","75,00","","32,00","","26,00","","24,10","","101,22","","","","-12,00","","Généralement nuageux"
