"Nom de la Station","DEER LAKE A"
"Province","NEWFOUNDLAND"
"Latitude","49,22"
"Longitude","-57,40"
"Altitude","21,90"
"Identification Climat","8401501"
"Identification OMM","71809"
"Identification TC","YDF"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"1979-05-01 00:00","1979","05","01","00:00"," ","","","","","","","","","","","","","","","","","","",""
"1979-05-01 00:30","1979","05","01","00:30"," ","6,10","","3,80","","85,00","","5,00","","19,00","","12,90","","102,00","","","","","","Bruine"
"1979-05-01 01:00","1979","05","01","01:00"," ","","","","","","","","","","","","","","","","","","",""
"1979-05-01 01:30","1979","05","01","01:30"," ","5,70","","4,00","","89,00","","5,00","","11,00","","19,30","","101,97","","","","","","Nuageux"
"1979-05-01 02:00","1979","05","01","02:00"," ","","","","","","","","","","","","","","","","","","",""
"1979-05-01 02:30","1979","05","01","02:30"," ","6,10","","3,70","","85,00","","5,00","","19,00","","24,10","","101,97","","","","","","Nuageux"
"1979-05-01 03:00","1979","05","01","03:00"," ","","","","","","","","","","","","","","","","","","",""
"1979-05-01 03:30","1979","05","01","03:30"," ","6,10","","4,00","","86,00","","5,00","","19,00","","24,10","","101,97","","","","","","Nuageux"
"1979-05-01 04:00","1979","05","01","04:00"," ","","","","","","","","","","","","","","","","","","",""
"1979-05-01 04:30","1979","05","01","04:30"," ","6,10","","4,30","","88,00","","5,00","","13,00","","24,10","","101,97","","","","","","Nuageux"
"1979-05-01 05:00","1979","05","01","05:00"," ","","","","","","","","","","","","","","","","","","",""
"1979-05-01 05:30","1979","05","01","05:30"," ","5,30","","1,70","","78,00","","5,00","","11,00","","24,10","","102,00","","","","","","Nuageux"
