"Nom de la Station","GANDER INT'L A"
"Province","NEWFOUNDLAND"
"Latitude","48,95"
"Longitude","-54,58"
"Altitude","151,20"
"Identification Climat","8401700"
"Identification OMM","71803"
"Identification TC","YQX"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"1979-09-01 00:00","1979","09","01","00:00"," ","","","","","","","","","","","","","","","","","","",""
"1979-09-01 00:30","1979","09","01","00:30"," ","8,70","","1,60","","61,00","","26,00","","26,00","","48,30","","98,55","","","","","","Généralement dégagé"
"1979-09-01 01:00","1979","09","01","01:00"," ","","","","","","","","","","","","","","","","","","",""
"1979-09-01 01:30","1979","09","01","01:30"," ","9,20","","1,80","","60,00","","24,00","","28,00","","48,30","","98,55","","","","","","Généralement dégagé"
"1979-09-01 02:00","1979","09","01","02:00"," ","","","","","","","","","","","","","","","","","","",""
"1979-09-01 02:30","1979","09","01","02:30"," ","8,10","","2,00","","65,00","","25,00","","30,00","","48,30","","98,62","","","","","","Généralement dégagé"
"1979-09-01 03:00","1979","09","01","03:00"," ","","","","","","","","","","","","","","","","","","",""
"1979-09-01 03:30","1979","09","01","03:30"," ","8,00","","1,20","","62,00","","25,00","","33,00","","48,30","","98,62","","","","","","Généralement dégagé"
"1979-09-01 04:00","1979","09","01","04:00"," ","","","","","","","","","","","","","","","","","","",""
"1979-09-01 04:30","1979","09","01","04:30"," ","7,60","","1,60","","66,00","","25,00","","30,00","","48,30","","98,65","","","","","","Généralement dégagé"
"1979-09-01 05:00","1979","09","01","05:00"," ","","","","","","","","","","","","","","","","","","",""
"1979-09-01 05:30","1979","09","01","05:30"," ","6,80","","1,60","","70,00","","23,00","","26,00","","48,30","","98,65","","","","","","Généralement dégagé"
