"Nom de la Station","WILLIAMS LAKE A"
"Province","BRITISH COLUMBIA"
"Latitude","52,18"
"Longitude","-122,05"
"Altitude","939,70"
"Identification Climat","1098940"
"Identification OMM","71104"
"Identification TC","YWL"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"1992-12-01 00:00","1992","12","01","00:00"," ","-3,40","","-10,00","","60,00","","11,00","","4,00","","24,10","","91,43","","","","-5,00","","Généralement nuageux"
"1992-12-01 01:00","1992","12","01","01:00"," ","-2,40","","-11,20","","51,00","","23,00","","7,00","","24,10","","91,43","","","","-5,00","","Généralement nuageux"
"1992-12-01 02:00","1992","12","01","02:00"," ","-2,80","","-10,20","","56,00","","0,00","","0,00","","24,10","","91,50","","","","","","Nuageux"
"1992-12-01 03:00","1992","12","01","03:00"," ","-2,60","","-10,20","","56,00","","0,00","","0,00","","24,10","","91,53","","","","","","Nuageux"
"1992-12-01 04:00","1992","12","01","04:00"," ","-3,60","","-9,80","","62,00","","5,00","","4,00","","24,10","","91,56","","","","-5,00","","Généralement nuageux"
"1992-12-01 05:00","1992","12","01","05:00"," ","-5,00","","-10,20","","67,00","","5,00","","6,00","","24,10","","91,59","","","","-8,00","","Généralement dégagé"
"1992-12-01 06:00","1992","12","01","06:00"," ","-7,20","","-10,70","","76,00","","0,00","","0,00","","24,10","","91,59","","","","","","Généralement dégagé"
"1992-12-01 07:00","1992","12","01","07:00"," ","-8,20","","-11,10","","80,00","","16,00","","6,00","","24,10","","91,65","","","","-11,00","","Généralement dégagé"
"1992-12-01 08:00","1992","12","01","08:00"," ","-6,90","","-9,90","","79,00","","13,00","","7,00","","24,10","","91,65","","","","-10,00","","Généralement nuageux"
"1992-12-01 09:00","1992","12","01","09:00"," ","-6,10","","-10,10","","73,00","","0,00","","0,00","","24,10","","91,65","","","","","","Généralement nuageux"
"1992-12-01 10:00","1992","12","01","10:00"," ","-5,00","","-10,50","","65,00","","13,00","","6,00","","24,10","","91,68","","","","-8,00","","Généralement nuageux"
"1992-12-01 11:00","1992","12","01","11:00"," ","-3,10","","-10,00","","59,00","","17,00","","4,00","","24,10","","91,68","","","","-5,00","","Généralement nuageux"
"1992-12-01 12:00","1992","12","01","12:00"," ","-2,70","","-9,30","","60,00","","15,00","","7,00","","24,10","","91,65","","","","-6,00","","Généralement nuageux"
"1992-12-01 13:00","1992","12","01","13:00"," ","-2,00","","-9,70","","55,00","","22,00","","4,00","","24,10","","91,62","","","","-3,00","","Généralement nuageux"
"1992-12-01 14:00","1992","12","01","14:00"," ","-1,20","","-9,60","","53,00","","0,00","","0,00","","24,10","","91,56","","","","","","Généralement nuageux"
"1992-12-01 15:00","1992","12","01","15:00"," ","-2,40","","-9,50","","58,00","","0,00","","0,00","","24,10","","91,56","","","","","","Généralement nuageux"
"1992-12-01 16:00","1992","12","01","16:00"," ","-5,70","","-9,40","","75,00","","12,00","","4,00","","24,10","","91,53","","","","-8,00","","Généralement dégagé"
"1992-12-01 17:00","1992","12","01","17:00"," ","-6,40","","-10,20","","74,00","","0,00","","0,00","","24,10","","91,50","","","","","","Généralement dégagé"
"1992-12-01 18:00","1992","12","01","18:00"," ","-7,90","","-10,90","","79,00","","13,00","","4,00","","24,10","","91,47","","","","-10,00","","Généralement dégagé"
"1992-12-01 19:00","1992","12","01","19:00"," ","-9,40","","-11,70","","83,00","","0,00","","0,00","","24,10","","91,47","","","","","","Généralement dégagé"
"1992-12-01 20:00","1992","12","01","20:00"," ","-9,90","","-11,70","","86,00","","0,00","","0,00","","24,10","","91,43","","","","","","Généralement dégagé"
"1992-12-01 21:00","1992","12","01","21:00"," ","-12,00","","-13,60","","88,00","","0,00","","0,00","","24,10","","91,43","","","","","","Généralement dégagé"
"1992-12-01 22:00","1992","12","01","22:00"," ","-12,20","","-13,50","","90,00","","0,00","","0,00","","24,10","","91,43","","","","","","Généralement dégagé"
"1992-12-01 23:00","1992","12","01","23:00"," ","-12,60","","-13,80","","91,00","","0,00","","0,00","","24,10","","91,43","","","","","","Dégagé"
"1992-12-02 00:00","1992","12","02","00:00"," ","-12,60","","-14,00","","89,00","","0,00","","0,00","","24,10","","91,43","","","","","","Généralement dégagé"
"1992-12-02 01:00","1992","12","02","01:00"," ","-11,50","","-12,70","","91,00","","22,00","","4,00","","24,10","","91,43","","","","-14,00","","Généralement dégagé"
"1992-12-02 02:00","1992","12","02","02:00"," ","-12,00","","-14,00","","85,00","","0,00","","0,00","","24,10","","91,37","","","","","","Généralement nuageux"
"1992-12-02 03:00","1992","12","02","03:00"," ","-11,40","","-12,90","","89,00","","0,00","","0,00","","24,10","","91,37","","","","","","Généralement dégagé"
"1992-12-02 04:00","1992","12","02","04:00"," ","-11,30","","-12,40","","91,00","","0,00","","0,00","","24,10","","91,37","","","","","","Généralement nuageux"
"1992-12-02 05:00","1992","12","02","05:00"," ","-9,70","","-10,80","","92,00","","0,00","","0,00","","24,10","","91,37","","","","","","Nuageux"
"1992-12-02 06:00","1992","12","02","06:00"," ","-8,90","","-9,90","","92,00","","0,00","","0,00","","24,10","","91,37","","","","","","Nuageux"
"1992-12-02 07:00","1992","12","02","07:00"," ","-8,50","","-9,70","","91,00","","0,00","","0,00","","24,10","","91,40","","","","","","Généralement nuageux"
"1992-12-02 08:00","1992","12","02","08:00"," ","-9,90","","-11,20","","90,00","","0,00","","0,00","","24,10","","91,43","","","","","","Généralement dégagé"
"1992-12-02 09:00","1992","12","02","09:00"," ","-11,00","","-12,30","","90,00","","0,00","","0,00","","24,10","","91,43","","","","","","Dégagé"
