"Nom de la Station","ST JOHN'S A"
"Province","NEWFOUNDLAND"
"Latitude","47,62"
"Longitude","-52,74"
"Altitude","140,50"
"Identification Climat","8403506"
"Identification OMM","71801"
"Identification TC","YYT"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"1987-05-01 00:00","1987","05","01","00:00"," ","","","","","","","","","","","","","","","","","","",""
"1987-05-01 00:30","1987","05","01","00:30"," ","8,40","","7,70","","96,00","","20,00","","37,00","","8,00","","98,15","","","","","","Pluie,Brouillard"
"1987-05-01 01:00","1987","05","01","01:00"," ","","","","","","","","","","","","","","","","","","",""
"1987-05-01 01:30","1987","05","01","01:30"," ","7,30","","5,90","","91,00","","22,00","","30,00","","12,90","","98,22","","","","","","Nuageux"
"1987-05-01 02:00","1987","05","01","02:00"," ","","","","","","","","","","","","","","","","","","",""
"1987-05-01 02:30","1987","05","01","02:30"," ","3,70","","2,20","","90,00","","22,00","","15,00","","9,70","","98,29","","","","","","Brouillard"
"1987-05-01 03:00","1987","05","01","03:00"," ","","","","","","","","","","","","","","","","","","",""
"1987-05-01 03:30","1987","05","01","03:30"," ","3,60","","2,60","","93,00","","24,00","","22,00","","16,10","","98,36","","","","","","Généralement nuageux"
"1987-05-01 04:00","1987","05","01","04:00"," ","","","","","","","","","","","","","","","","","","",""
"1987-05-01 04:30","1987","05","01","04:30"," ","3,70","","1,70","","87,00","","23,00","","24,00","","16,10","","98,46","","","","","","Généralement nuageux"
"1987-05-01 05:00","1987","05","01","05:00"," ","","","","","","","","","","","","","","","","","","",""
"1987-05-01 05:30","1987","05","01","05:30"," ","4,10","","1,70","","84,00","","22,00","","22,00","","19,30","","98,52","","","","","","Généralement dégagé"
"1987-05-01 06:00","1987","05","01","06:00"," ","","","","","","","","","","","","","","","","","","",""
"1987-05-01 06:30","1987","05","01","06:30"," ","4,20","","1,30","","81,00","","22,00","","22,00","","16,10","","98,62","","","","","","Généralement dégagé"
"1987-05-01 07:00","1987","05","01","07:00"," ","","","","","","","","","","","","","","","","","","",""
"1987-05-01 07:30","1987","05","01","07:30"," ","5,50","","2,00","","78,00","","22,00","","28,00","","19,30","","98,66","","","","","","Généralement dégagé"
"1987-05-01 08:00","1987","05","01","08:00"," ","","","","","","","","","","","","","","","","","","",""
"1987-05-01 08:30","1987","05","01","08:30"," ","6,40","","2,10","","74,00","","22,00","","28,00","","19,30","","98,66","","","","","","Généralement dégagé"
"1987-05-01 09:00","1987","05","01","09:00"," ","","","","","","","","","","","","","","","","","","",""
