"Nom de la Station","STEPHENVILLE A"
"Province","NEWFOUNDLAND"
"Latitude","48,53"
"Longitude","-58,55"
"Altitude","24,70"
"Identification Climat","8403800"
"Identification OMM","71815"
"Identification TC","YJT"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"1965-11-01 00:00","1965","11","01","00:00"," ","","","","","","","","","","","","","","","","","","",""
"1965-11-01 00:30","1965","11","01","00:30"," ","5,60","","2,80","","82,00","","9,00","","8,00","","11,30","","101,26","","","","","","Nuageux"
"1965-11-01 01:00","1965","11","01","01:00"," ","","","","","","","","","","","","","","","","","","",""
"1965-11-01 01:30","1965","11","01","01:30"," ","6,70","","3,30","","79,00","","11,00","","11,00","","16,10","","101,08","","","","","","Nuageux"
"1965-11-01 02:00","1965","11","01","02:00"," ","","","","","","","","","","","","","","","","","","",""
"1965-11-01 02:30","1965","11","01","02:30"," ","6,70","","3,30","","79,00","","9,00","","11,00","","16,10","","101,07","","","","","","Averses de pluie"
"1965-11-01 03:00","1965","11","01","03:00"," ","","","","","","","","","","","","","","","","","","",""
"1965-11-01 03:30","1965","11","01","03:30"," ","6,70","","3,90","","83,00","","11,00","","11,00","","16,10","","100,93","","","","","","Généralement dégagé"
"1965-11-01 04:00","1965","11","01","04:00"," ","","","","","","","","","","","","","","","","","","",""
"1965-11-01 04:30","1965","11","01","04:30"," ","8,30","","4,40","","77,00","","14,00","","16,00","","16,10","","100,86","","","","","","Généralement dégagé"
"1965-11-01 05:00","1965","11","01","05:00"," ","","","","","","","","","","","","","","","","","","",""
"1965-11-01 05:30","1965","11","01","05:30"," ","9,40","","5,60","","77,00","","14,00","","16,00","","16,10","","100,76","","","","","","Généralement dégagé"
"1965-11-01 06:00","1965","11","01","06:00"," ","","","","","","","","","","","","","","","","","","",""
"1965-11-01 06:30","1965","11","01","06:30"," ","9,40","","6,10","","80,00","","11,00","","10,00","","16,10","","100,59","","","","","","Généralement nuageux"
"1965-11-01 07:00","1965","11","01","07:00"," ","","","","","","","","","","","","","","","","","","",""
"1965-11-01 07:30","1965","11","01","07:30"," ","10,60","","6,70","","77,00","","16,00","","16,00","","16,10","","100,51","","","","","","Généralement dégagé"
"1965-11-01 08:00","1965","11","01","08:00"," ","","","","","","","","","","","","","","","","","","",""
"1965-11-01 08:30","1965","11","01","08:30"," ","11,10","","7,20","","77,00","","18,00","","14,00","","16,10","","100,45","","","","","","Nuageux"
"1965-11-01 09:00","1965","11","01","09:00"," ","","","","","","","","","","","","","","","","","","",""
"1965-11-01 09:30","1965","11","01","09:30"," ","11,70","","8,90","","83,00","","16,00","","13,00","","16,10","","100,38","","","","","","Nuageux"
"1965-11-01 10:00","1965","11","01","10:00"," ","","","","","","","","","","","","","","","","","","",""
"1965-11-01 10:30","1965","11","01","10:30"," ","12,80","","8,90","","77,00","","18,00","","16,00","","16,10","","100,21","","","","","","Nuageux"
"1965-11-01 11:00","1965","11","01","11:00"," ","","","","","","","","","","","","","","","","","","",""
"1965-11-01 11:30","1965","11","01","11:30"," ","12,80","","6,70","","67,00","","20,00","","23,00","","16,10","","100,14","","","","","","Nuageux"
"1965-11-01 12:00","1965","11","01","12:00"," ","","","","","","","","","","","","","","","","","","",""
"1965-11-01 12:30","1965","11","01","12:30"," ","12,80","","8,90","","77,00","","20,00","","24,00","","16,10","","100,04","","","","","","Nuageux"
"1965-11-01 13:00","1965","11","01","13:00"," ","","","","","","","","","","","","","","","","","","",""
"1965-11-01 13:30","1965","11","01","13:30"," ","12,20","","8,30","","77,00","","18,00","","24,00","","16,10","","99,90","","","","","","Nuageux"
"1965-11-01 14:00","1965","11","01","14:00"," ","","","","","","","","","","","","","","","","","","",""
"1965-11-01 14:30","1965","11","01","14:30"," ","11,70","","7,80","","77,00","","18,00","","21,00","","16,10","","99,79","","","","","","Pluie"
"1965-11-01 15:00","1965","11","01","15:00"," ","","","","","","","","","","","","","","","","","","",""
"1965-11-01 15:30","1965","11","01","15:30"," ","11,10","","8,90","","86,00","","20,00","","14,00","","16,10","","99,81","","","","","","Pluie"
"1965-11-01 16:00","1965","11","01","16:00"," ","","","","","","","","","","","","","","","","","","",""
"1965-11-01 16:30","1965","11","01","16:30"," ","11,10","","9,40","","90,00","","18,00","","23,00","","16,10","","99,76","","","","","","Généralement nuageux"
"1965-11-01 17:00","1965","11","01","17:00"," ","","","","","","","","","","","","","","","","","","",""
"1965-11-01 17:30","1965","11","01","17:30"," ","11,10","","8,90","","86,00","","18,00","","19,00","","11,30","","99,74","","","","","","Nuageux"
"1965-11-01 18:00","1965","11","01","18:00"," ","","","","","","","","","","","","","","","","","","",""
"1965-11-01 18:30","1965","11","01","18:30"," ","8,90","","6,70","","86,00","","25,00","","19,00","","11,30","","99,78","","","","","","Averses de pluie"
"1965-11-01 19:00","1965","11","01","19:00"," ","","","","","","","","","","","","","","","","","","",""
"1965-11-01 19:30","1965","11","01","19:30"," ","7,80","","5,60","","86,00","","23,00","","14,00","","16,10","","99,88","","","","","","Nuageux"
"1965-11-01 20:00","1965","11","01","20:00"," ","","","","","","","","","","","","","","","","","","",""
"1965-11-01 20:30","1965","11","01","20:30"," ","7,80","","4,40","","80,00","","23,00","","16,00","","16,10","","99,94","","","","","","Nuageux"
"1965-11-01 21:00","1965","11","01","21:00"," ","","","","","","","","","","","","","","","","","","",""
"1965-11-01 21:30","1965","11","01","21:30"," ","7,20","","2,80","","74,00","","23,00","","18,00","","16,10","","99,99","","","","","","Nuageux"
"1965-11-01 22:00","1965","11","01","22:00"," ","","","","","","","","","","","","","","","","","","",""
"1965-11-01 22:30","1965","11","01","22:30"," ","7,20","","1,70","","68,00","","23,00","","19,00","","16,10","","100,06","","","","","","Nuageux"
"1965-11-01 23:00","1965","11","01","23:00"," ","","","","","","","","","","","","","","","","","","",""
"1965-11-01 23:30","1965","11","01","23:30"," ","6,70","","1,10","","68,00","","23,00","","19,00","","16,10","","100,03","","","","","","Nuageux"
"1965-11-02 00:00","1965","11","02","00:00"," ","","","","","","","","","","","","","","","","","","",""
"1965-11-02 00:30","1965","11","02","00:30"," ","6,10","","1,70","","73,00","","23,00","","21,00","","16,10","","100,03","","","","","","Nuageux"
"1965-11-02 01:00","1965","11","02","01:00"," ","","","","","","","","","","","","","","","","","","",""
"1965-11-02 01:30","1965","11","02","01:30"," ","5,60","","1,70","","76,00","","23,00","","27,00","","16,10","","100,08","","","","","","Averses de pluie"
"1965-11-02 02:00","1965","11","02","02:00"," ","","","","","","","","","","","","","","","","","","",""
"1965-11-02 02:30","1965","11","02","02:30"," ","5,00","","1,10","","76,00","","23,00","","32,00","","16,10","","100,15","","","","","","Averses de pluie"
"1965-11-02 03:00","1965","11","02","03:00"," ","","","","","","","","","","","","","","","","","","",""
"1965-11-02 03:30","1965","11","02","03:30"," ","2,80","","1,10","","89,00","","25,00","","21,00","","16,10","","100,26","","","","","","Averses de pluie"
