"Nom de la Station","CARTWRIGHT"
"Province","NEWFOUNDLAND"
"Latitude","53,71"
"Longitude","-57,04"
"Altitude","14,30"
"Identification Climat","8501100"
"Identification OMM","71818"
"Identification TC","WCA"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"1989-03-01 00:00","1989","03","01","00:00"," ","-6,60","","-8,10","","89,00","","32,00","","20,00","","24,10","","101,13","","","","-14,00","","Nuageux"
"1989-03-01 01:00","1989","03","01","01:00"," ","-7,00","","-8,90","","86,00","","32,00","","20,00","","24,10","","101,09","","","","-14,00","","Nuageux"
"1989-03-01 02:00","1989","03","01","02:00"," ","-6,80","","-9,30","","82,00","","30,00","","17,00","","24,10","","101,09","","","","-13,00","","Nuageux"
"1989-03-01 03:00","1989","03","01","03:00"," ","-6,80","","-9,30","","82,00","","30,00","","13,00","","24,10","","101,13","","","","-12,00","","Nuageux"
"1989-03-01 04:00","1989","03","01","04:00"," ","-7,30","","-9,50","","84,00","","33,00","","13,00","","24,10","","101,13","","","","-13,00","","Nuageux"
"1989-03-01 05:00","1989","03","01","05:00"," ","-7,40","","-9,10","","87,00","","31,00","","15,00","","24,10","","101,09","","","","-14,00","","Nuageux"
"1989-03-01 06:00","1989","03","01","06:00"," ","-7,40","","-9,10","","87,00","","30,00","","15,00","","24,10","","101,06","","","","-14,00","","Nuageux"
"1989-03-01 07:00","1989","03","01","07:00"," ","-7,60","","-9,90","","84,00","","29,00","","11,00","","24,10","","101,02","","","","-13,00","","Nuageux"
"1989-03-01 08:00","1989","03","01","08:00"," ","-7,00","","-9,30","","84,00","","25,00","","9,00","","24,10","","101,02","","","","-11,00","","Nuageux"
"1989-03-01 09:00","1989","03","01","09:00"," ","-6,70","","-10,50","","74,00","","0,00","","0,00","","24,10","","100,96","","","","","","Généralement dégagé"
