"Nom de la Station","GOOSE A"
"Province","NEWFOUNDLAND"
"Latitude","53,32"
"Longitude","-60,42"
"Altitude","48,80"
"Identification Climat","8501900"
"Identification OMM","71816"
"Identification TC","YYR"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"1981-01-01 00:00","1981","01","01","00:00"," ","-7,90","","-10,30","","83,00","","34,00","","50,00","","11,30","","99,36","","","","-19,00","","Neige"
"1981-01-01 01:00","1981","01","01","01:00"," ","-7,50","","-10,30","","80,00","","35,00","","46,00","","11,30","","99,46","","","","-18,00","","Neige"
"1981-01-01 02:00","1981","01","01","02:00"," ","-7,90","","-11,30","","76,00","","33,00","","31,00","","11,30","","99,59","","","","-17,00","","Neige"
"1981-01-01 03:00","1981","01","01","03:00"," ","-8,60","","-11,70","","78,00","","34,00","","33,00","","16,10","","99,69","","","","-18,00","","Averses de neige"
"1981-01-01 04:00","1981","01","01","04:00"," ","-9,00","","-12,00","","79,00","","34,00","","26,00","","16,10","","99,86","","","","-18,00","","Averses de neige"
"1981-01-01 05:00","1981","01","01","05:00"," ","-8,70","","-11,90","","78,00","","0,00","","0,00","","11,30","","100,00","","","","","","Averses de neige"
"1981-01-01 06:00","1981","01","01","06:00"," ","-8,40","","-12,10","","74,00","","32,00","","9,00","","19,30","","100,16","","","","-13,00","","Averses de neige"
"1981-01-01 07:00","1981","01","01","07:00"," ","-8,60","","-12,20","","75,00","","31,00","","9,00","","19,30","","100,30","","","","-13,00","","Averses de neige"
"1981-01-01 08:00","1981","01","01","08:00"," ","-8,90","","-12,70","","74,00","","33,00","","28,00","","16,10","","100,43","","","","-18,00","","Averses de neige"
"1981-01-01 09:00","1981","01","01","09:00"," ","-9,20","","-12,90","","75,00","","33,00","","22,00","","16,10","","100,60","","","","-17,00","","Généralement nuageux"
"1981-01-01 10:00","1981","01","01","10:00"," ","-9,20","","-12,70","","76,00","","32,00","","9,00","","9,70","","100,74","","","","-14,00","","Neige"
"1981-01-01 11:00","1981","01","01","11:00"," ","-8,50","","-11,20","","81,00","","26,00","","11,00","","3,20","","100,84","","","","-14,00","","Neige"
"1981-01-01 12:00","1981","01","01","12:00"," ","-9,20","","-11,00","","87,00","","28,00","","13,00","","1,20","","100,87","","","","-15,00","","Neige"
"1981-01-01 13:00","1981","01","01","13:00"," ","-9,10","","-10,40","","90,00","","27,00","","13,00","","8,00","","100,91","","","","-15,00","","Neige"
"1981-01-01 14:00","1981","01","01","14:00"," ","-9,00","","-11,90","","79,00","","30,00","","13,00","","11,30","","100,97","","","","-15,00","","Averses de neige"
"1981-01-01 15:00","1981","01","01","15:00"," ","-10,60","","-13,10","","82,00","","28,00","","11,00","","24,10","","101,08","","","","-16,00","","Généralement nuageux"
"1981-01-01 16:00","1981","01","01","16:00"," ","-12,00","","-13,90","","86,00","","0,00","","0,00","","24,10","","101,18","","","","","","Généralement nuageux"
"1981-01-01 17:00","1981","01","01","17:00"," ","-13,50","","-14,80","","90,00","","29,00","","6,00","","24,10","","101,21","","","","-18,00","","Généralement nuageux"
"1981-01-01 18:00","1981","01","01","18:00"," ","-13,40","","-15,00","","88,00","","29,00","","9,00","","24,10","","101,31","","","","-19,00","","Généralement nuageux"
"1981-01-01 19:00","1981","01","01","19:00"," ","-12,10","","-13,80","","87,00","","29,00","","9,00","","24,10","","101,41","","","","-17,00","","Généralement nuageux"
"1981-01-01 20:00","1981","01","01","20:00"," ","-12,40","","-13,70","","90,00","","0,00","","0,00","","24,10","","101,48","","","","","","Nuageux"
"1981-01-01 21:00","1981","01","01","21:00"," ","-12,10","","-14,40","","83,00","","0,00","","0,00","","24,10","","101,45","","","","","","Nuageux"
"1981-01-01 22:00","1981","01","01","22:00"," ","-13,10","","-14,50","","89,00","","0,00","","0,00","","24,10","","101,45","","","","","","Généralement nuageux"
"1981-01-01 23:00","1981","01","01","23:00"," ","-14,90","","-16,40","","88,00","","31,00","","9,00","","24,10","","101,51","","","","-21,00","","Généralement dégagé"
"1981-01-02 00:00","1981","01","02","00:00"," ","-13,90","","-16,30","","82,00","","0,00","","0,00","","24,10","","101,45","","","","","","Généralement dégagé"
"1981-01-02 01:00","1981","01","02","01:00"," ","-17,60","","-18,60","","92,00","","0,00","","0,00","","24,10","","101,45","","","","","","Dégagé"
"1981-01-02 02:00","1981","01","02","02:00"," ","-17,00","","-17,60","","95,00","","0,00","","0,00","","24,10","","101,45","","","","","","Dégagé"
"1981-01-02 03:00","1981","01","02","03:00"," ","-18,00","","-18,50","","96,00","","0,00","","0,00","","24,10","","101,45","","","","","","Dégagé"
"1981-01-02 04:00","1981","01","02","04:00"," ","-20,60","","-21,30","","94,00","","0,00","","0,00","","24,10","","101,45","","","","","","Dégagé"
"1981-01-02 05:00","1981","01","02","05:00"," ","-19,00","","-19,90","","93,00","","29,00","","11,00","","24,10","","101,41","","","","-26,00","","Généralement nuageux"
"1981-01-02 06:00","1981","01","02","06:00"," ","-18,40","","-19,40","","92,00","","0,00","","0,00","","24,10","","101,41","","","","","","Nuageux"
"1981-01-02 07:00","1981","01","02","07:00"," ","-18,10","","-18,30","","99,00","","0,00","","0,00","","24,10","","101,38","","","","","","Nuageux"
"1981-01-02 08:00","1981","01","02","08:00"," ","-17,60","","-18,50","","93,00","","0,00","","0,00","","19,30","","101,41","","","","","","Généralement nuageux"
"1981-01-02 09:00","1981","01","02","09:00"," ","-16,90","","-17,90","","92,00","","0,00","","0,00","","19,30","","101,41","","","","","","Nuageux"
"1981-01-02 10:00","1981","01","02","10:00"," ","-15,80","","-16,70","","92,00","","30,00","","6,00","","19,30","","101,41","","","","-20,00","","Nuageux"
"1981-01-02 11:00","1981","01","02","11:00"," ","-15,30","","-16,20","","92,00","","22,00","","6,00","","19,30","","101,34","","","","-20,00","","Généralement nuageux"
"1981-01-02 12:00","1981","01","02","12:00"," ","-14,30","","-15,20","","92,00","","0,00","","0,00","","1,60","","101,24","","","","","","Averses de neige"
"1981-01-02 13:00","1981","01","02","13:00"," ","-12,50","","-13,20","","94,00","","0,00","","0,00","","4,80","","101,14","","","","","","Averses de neige"
"1981-01-02 14:00","1981","01","02","14:00"," ","-13,10","","-14,90","","86,00","","0,00","","0,00","","12,90","","101,11","","","","","","Averses de neige"
"1981-01-02 15:00","1981","01","02","15:00"," ","-13,30","","-13,70","","96,00","","0,00","","0,00","","19,30","","101,08","","","","","","Averses de neige"
"1981-01-02 16:00","1981","01","02","16:00"," ","-14,20","","-15,20","","92,00","","0,00","","0,00","","19,30","","101,08","","","","","","Averses de neige"
"1981-01-02 17:00","1981","01","02","17:00"," ","-15,40","","-16,30","","93,00","","0,00","","0,00","","19,30","","101,01","","","","","","Averses de neige"
"1981-01-02 18:00","1981","01","02","18:00"," ","-17,50","","-18,90","","89,00","","0,00","","0,00","","19,30","","100,97","","","","","","Averses de neige"
"1981-01-02 19:00","1981","01","02","19:00"," ","-17,50","","-18,70","","90,00","","0,00","","0,00","","16,10","","100,97","","","","","","Nuageux"
"1981-01-02 20:00","1981","01","02","20:00"," ","-17,30","","-18,50","","90,00","","0,00","","0,00","","16,10","","100,97","","","","","","Cristaux de glace"
"1981-01-02 21:00","1981","01","02","21:00"," ","-15,10","","-15,70","","95,00","","0,00","","0,00","","16,10","","100,77","","","","","","Cristaux de glace"
"1981-01-02 22:00","1981","01","02","22:00"," ","-14,60","","-15,60","","92,00","","0,00","","0,00","","16,10","","100,70","","","","","","Cristaux de glace"
"1981-01-02 23:00","1981","01","02","23:00"," ","-15,10","","-15,70","","95,00","","0,00","","0,00","","9,70","","100,57","","","","","","Cristaux de glace"
"1981-01-03 00:00","1981","01","03","00:00"," ","-14,50","","-14,90","","97,00","","0,00","","0,00","","6,40","","100,50","","","","","","Cristaux de glace"
"1981-01-03 01:00","1981","01","03","01:00"," ","-14,40","","-15,00","","95,00","","0,00","","0,00","","1,20","","100,33","","","","","","Neige,Brouillard"
"1981-01-03 02:00","1981","01","03","02:00"," ","-14,30","","-14,30","","100,00","","0,00","","0,00","","4,80","","100,16","","","","","","Cristaux de glace,Brouillard de glace"
"1981-01-03 03:00","1981","01","03","03:00"," ","-14,20","","-15,00","","94,00","","0,00","","0,00","","9,70","","99,96","","","","","","Cristaux de glace"
"1981-01-03 04:00","1981","01","03","04:00"," ","-14,40","","-15,70","","90,00","","0,00","","0,00","","8,00","","99,73","","","","","","Cristaux de glace"
"1981-01-03 05:00","1981","01","03","05:00"," ","-14,20","","-14,80","","96,00","","0,00","","0,00","","8,00","","99,59","","","","","","Cristaux de glace"
"1981-01-03 06:00","1981","01","03","06:00"," ","-14,20","","-14,90","","95,00","","35,00","","7,00","","2,40","","99,29","","","","-19,00","","Neige"
"1981-01-03 07:00","1981","01","03","07:00"," ","-13,30","","-13,90","","95,00","","4,00","","7,00","","4,00","","98,98","","","","-18,00","","Neige"
"1981-01-03 08:00","1981","01","03","08:00"," ","-13,60","","-14,20","","95,00","","0,00","","0,00","","0,60","","98,71","","","","","","Neige modérée"
"1981-01-03 09:00","1981","01","03","09:00"," ","-6,80","","-7,30","","96,00","","4,00","","37,00","","1,20","","98,41","","","","-16,00","","Neige,Poudrerie élevée"
"1981-01-03 10:00","1981","01","03","10:00"," ","-5,10","","-5,70","","95,00","","5,00","","37,00","","0,20","","98,11","","","","-14,00","","Neige modérée,Poudrerie élevée"
"1981-01-03 11:00","1981","01","03","11:00"," ","-3,70","","-3,90","","99,00","","5,00","","46,00","","0,20","","97,77","","","","-13,00","","Neige modérée,Poudrerie élevée"
"1981-01-03 12:00","1981","01","03","12:00"," ","-3,00","","-3,00","","100,00","","4,00","","37,00","","0,40","","97,50","","","","-11,00","","Neige modérée,Poudrerie élevée"
"1981-01-03 13:00","1981","01","03","13:00"," ","-2,10","","-2,10","","100,00","","4,00","","33,00","","1,20","","97,16","","","","-10,00","","Neige,Poudrerie élevée"
"1981-01-03 14:00","1981","01","03","14:00"," ","-1,70","","-1,70","","100,00","","5,00","","44,00","","1,20","","96,89","","","","-10,00","","Neige,Poudrerie élevée"
