"Nom de la Station","HOPEDALE (AUT)"
"Province","NEWFOUNDLAND"
"Latitude","55,45"
"Longitude","-60,22"
"Altitude","11,90"
"Identification Climat","8502400"
"Identification OMM","71900"
"Identification TC","WHO"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"1998-02-01 00:00","1998","02","01","00:00"," ","","","","","","","","","","","","","","","","","","",""
"1998-02-01 00:11","1998","02","01","00:11"," ","-7,60","","","M","","M","28,00","","33,00","","","M","","M","","","-17,00","","ND"
"1998-02-01 00:41","1998","02","01","00:41"," ","","","","","","","","","","","","","","","","","","","ND"
"1998-02-01 01:00","1998","02","01","01:00"," ","","","","","","","","","","","","","","","","","","",""
"1998-02-01 01:11","1998","02","01","01:11"," ","-10,50","","","M","","M","28,00","","24,00","","","M","","M","","","-19,00","","ND"
"1998-02-01 01:41","1998","02","01","01:41"," ","","","","","","","","","","","","","","","","","","","ND"
"1998-02-01 02:00","1998","02","01","02:00"," ","","","","","","","","","","","","","","","","","","",""
"1998-02-01 02:11","1998","02","01","02:11"," ","-12,60","","","M","","M","27,00","","22,00","","","M","","M","","","-22,00","","ND"
"1998-02-01 02:41","1998","02","01","02:41"," ","","","","","","","","","","","","","","","","","","","ND"
"1998-02-01 03:00","1998","02","01","03:00"," ","","","","","","","","","","","","","","","","","","",""
"1998-02-01 03:11","1998","02","01","03:11"," ","-13,30","","","M","","M","27,00","","17,00","","","M","","M","","","-21,00","","ND"
"1998-02-01 03:41","1998","02","01","03:41"," ","","","","","","","","","","","","","","","","","","","ND"
"1998-02-01 04:00","1998","02","01","04:00"," ","","","","","","","","","","","","","","","","","","",""
"1998-02-01 04:11","1998","02","01","04:11"," ","-14,50","","","M","","M","27,00","","24,00","","","M","","M","","","-24,00","","ND"
"1998-02-01 04:41","1998","02","01","04:41"," ","","","","","","","","","","","","","","","","","","","ND"
"1998-02-01 05:00","1998","02","01","05:00"," ","","","","","","","","","","","","","","","","","","",""
"1998-02-01 05:11","1998","02","01","05:11"," ","-16,60","","","M","","M","28,00","","17,00","","","M","","M","","","-25,00","","ND"
"1998-02-01 05:41","1998","02","01","05:41"," ","","","","","","","","","","","","","","","","","","","ND"
"1998-02-01 06:00","1998","02","01","06:00"," ","","","","","","","","","","","","","","","","","","",""
"1998-02-01 06:11","1998","02","01","06:11"," ","-17,50","","","M","","M","20,00","","15,00","","","M","","M","","","-26,00","","ND"
"1998-02-01 06:41","1998","02","01","06:41"," ","","","","","","","","","","","","","","","","","","","ND"
"1998-02-01 07:00","1998","02","01","07:00"," ","","","","","","","","","","","","","","","","","","",""
"1998-02-01 07:11","1998","02","01","07:11"," ","-19,10","","","M","","M","21,00","","19,00","","","M","","M","","","-29,00","","ND"
"1998-02-01 07:41","1998","02","01","07:41"," ","","","","","","","","","","","","","","","","","","","ND"
"1998-02-01 08:00","1998","02","01","08:00"," ","","","","","","","","","","","","","","","","","","",""
"1998-02-01 08:11","1998","02","01","08:11"," ","-19,40","","","M","","M","26,00","","26,00","","","M","","M","","","-31,00","","ND"
"1998-02-01 08:41","1998","02","01","08:41"," ","","","","","","","","","","","","","","","","","","","ND"
"1998-02-01 09:00","1998","02","01","09:00"," ","","","","","","","","","","","","","","","","","","",""
"1998-02-01 09:11","1998","02","01","09:11"," ","-18,60","","","M","","M","19,00","","13,00","","","M","","M","","","-27,00","","ND"
"1998-02-01 09:41","1998","02","01","09:41"," ","","","","","","","","","","","","","","","","","","","ND"
"1998-02-01 10:00","1998","02","01","10:00"," ","","","","","","","","","","","","","","","","","","",""
"1998-02-01 10:11","1998","02","01","10:11"," ","-18,10","","","M","","M","25,00","","22,00","","","M","","M","","","-29,00","","ND"
"1998-02-01 10:41","1998","02","01","10:41"," ","","","","","","","","","","","","","","","","","","","ND"
"1998-02-01 11:00","1998","02","01","11:00"," ","","","","","","","","","","","","","","","","","","",""
"1998-02-01 11:11","1998","02","01","11:11"," ","-17,70","","","M","","M","23,00","","19,00","","","M","","M","","","-27,00","","ND"
"1998-02-01 11:41","1998","02","01","11:41"," ","","","","","","","","","","","","","","","","","","","ND"
"1998-02-01 12:00","1998","02","01","12:00"," ","","","","","","","","","","","","","","","","","","",""
"1998-02-01 12:11","1998","02","01","12:11"," ","-18,00","","","M","","M","23,00","","19,00","","","M","","M","","","-28,00","","ND"
"1998-02-01 12:41","1998","02","01","12:41"," ","","","","","","","","","","","","","","","","","","","ND"
"1998-02-01 13:00","1998","02","01","13:00"," ","","","","","","","","","","","","","","","","","","",""
"1998-02-01 13:11","1998","02","01","13:11"," ","-17,40","","","M","","M","22,00","","22,00","","","M","","M","","","-28,00","","ND"
"1998-02-01 13:41","1998","02","01","13:41"," ","","","","","","","","","","","","","","","","","","","ND"
"1998-02-01 14:00","1998","02","01","14:00"," ","","","","","","","","","","","","","","","","","","",""
"1998-02-01 14:11","1998","02","01","14:11"," ","-16,30","","","M","","M","22,00","","22,00","","","M","","M","","","-26,00","","ND"
"1998-02-01 14:41","1998","02","01","14:41"," ","","","","","","","","","","","","","","","","","","","ND"
"1998-02-01 15:00","1998","02","01","15:00"," ","","","","","","","","","","","","","","","","","","",""
"1998-02-01 15:11","1998","02","01","15:11"," ","-17,00","","","M","","M","20,00","","15,00","","","M","","M","","","-25,00","","ND"
"1998-02-01 15:41","1998","02","01","15:41"," ","","","","","","","","","","","","","","","","","","","ND"
"1998-02-01 16:00","1998","02","01","16:00"," ","","","","","","","","","","","","","","","","","","",""
"1998-02-01 16:11","1998","02","01","16:11"," ","-16,80","","","M","","M","23,00","","13,00","","","M","","M","","","-25,00","","ND"
"1998-02-01 16:41","1998","02","01","16:41"," ","","","","","","","","","","","","","","","","","","","ND"
"1998-02-01 17:00","1998","02","01","17:00"," ","","","","","","","","","","","","","","","","","","",""
"1998-02-01 17:11","1998","02","01","17:11"," ","-17,80","","","M","","M","23,00","","11,00","","","M","","M","","","-25,00","","ND"
"1998-02-01 17:41","1998","02","01","17:41"," ","","","","","","","","","","","","","","","","","","","ND"
"1998-02-01 18:00","1998","02","01","18:00"," ","","","","","","","","","","","","","","","","","","",""
"1998-02-01 18:11","1998","02","01","18:11"," ","-16,50","","","M","","M","23,00","","15,00","","","M","","M","","","-25,00","","ND"
"1998-02-01 18:41","1998","02","01","18:41"," ","","","","","","","","","","","","","","","","","","","ND"
"1998-02-01 19:00","1998","02","01","19:00"," ","","","","","","","","","","","","","","","","","","",""
"1998-02-01 19:11","1998","02","01","19:11"," ","-15,90","","","M","","M","22,00","","19,00","","","M","","M","","","-25,00","","ND"
"1998-02-01 19:41","1998","02","01","19:41"," ","","","","","","","","","","","","","","","","","","","ND"
"1998-02-01 20:00","1998","02","01","20:00"," ","","","","","","","","","","","","","","","","","","",""
"1998-02-01 20:11","1998","02","01","20:11"," ","-16,10","","","M","","M","21,00","","9,00","","","M","","M","","","-22,00","","ND"
"1998-02-01 20:41","1998","02","01","20:41"," ","","","","","","","","","","","","","","","","","","","ND"
"1998-02-01 21:00","1998","02","01","21:00"," ","","","","","","","","","","","","","","","","","","",""
"1998-02-01 21:11","1998","02","01","21:11"," ","-15,70","","","M","","M","18,00","","11,00","","","M","","M","","","-22,00","","ND"
"1998-02-01 21:41","1998","02","01","21:41"," ","","","","","","","","","","","","","","","","","","","ND"
"1998-02-01 22:00","1998","02","01","22:00"," ","","","","","","","","","","","","","","","","","","",""
"1998-02-01 22:11","1998","02","01","22:11"," ","-14,50","","","M","","M","18,00","","15,00","","","M","","M","","","-22,00","","ND"
"1998-02-01 22:41","1998","02","01","22:41"," ","","","","","","","","","","","","","","","","","","","ND"
"1998-02-01 23:00","1998","02","01","23:00"," ","","","","","","","","","","","","","","","","","","",""
"1998-02-01 23:11","1998","02","01","23:11"," ","-13,90","","","M","","M","18,00","","15,00","","","M","","M","","","-22,00","","ND"
"1998-02-01 23:41","1998","02","01","23:41"," ","","","","","","","","","","","","","","","","","","","ND"
"1998-02-02 00:00","1998","02","02","00:00"," ","","","","","","","","","","","","","","","","","","",""
"1998-02-02 00:11","1998","02","02","00:11"," ","-13,60","","","M","","M","20,00","","11,00","","","M","","M","","","-20,00","","ND"
"1998-02-02 00:41","1998","02","02","00:41"," ","","","","","","","","","","","","","","","","","","","ND"
"1998-02-02 01:00","1998","02","02","01:00"," ","","","","","","","","","","","","","","","","","","",""
