"Nom de la Station","MARY'S HARBOUR A"
"Province","NEWFOUNDLAND"
"Latitude","52,30"
"Longitude","-55,83"
"Altitude","10,60"
"Identification Climat","8502591"
"Identification OMM","71817"
"Identification TC","YMH"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"1987-12-01 00:00","1987","12","01","00:00"," ","-3,50","","-5,10","","89,00","","15,00","","19,00","","2,40","","101,80","","","","-9,00","","Neige"
"1987-12-01 01:00","1987","12","01","01:00"," ","-3,00","","-4,50","","89,00","","14,00","","19,00","","3,20","","101,64","","","","-9,00","","Neige"
"1987-12-01 02:00","1987","12","01","02:00"," ","-3,00","","-4,50","","89,00","","16,00","","22,00","","3,20","","101,60","","","","-9,00","","Neige"
"1987-12-01 03:00","1987","12","01","03:00"," ","-2,80","","-4,50","","88,00","","15,00","","26,00","","2,80","","101,60","","","","-10,00","","Neige"
"1987-12-01 04:00","1987","12","01","04:00"," ","-3,00","","-4,20","","91,00","","14,00","","19,00","","2,40","","101,57","","","","-9,00","","Neige"
"1987-12-01 05:00","1987","12","01","05:00"," ","-2,70","","-4,20","","89,00","","13,00","","22,00","","2,40","","101,50","","","","-9,00","","Neige"
"1987-12-01 06:00","1987","12","01","06:00"," ","-2,50","","-4,20","","88,00","","16,00","","19,00","","3,20","","101,40","","","","-8,00","","Neige"
"1987-12-01 07:00","1987","12","01","07:00"," ","-2,10","","-3,10","","93,00","","16,00","","22,00","","3,60","","101,33","","","","-8,00","","Neige"
"1987-12-01 08:00","1987","12","01","08:00"," ","-1,10","","-1,60","","96,00","","15,00","","26,00","","0,60","","101,30","","","","-7,00","","Neige modérée"
"1987-12-01 09:00","1987","12","01","09:00"," ","-0,60","","-1,10","","96,00","","16,00","","33,00","","0,40","","101,20","","","","-8,00","","Neige forte"
"1987-12-01 10:00","1987","12","01","10:00"," ","0,00","","-0,50","","96,00","","18,00","","31,00","","2,00","","101,13","","","","-7,00","","Neige"
"1987-12-01 11:00","1987","12","01","11:00"," ","0,00","","-0,20","","98,00","","16,00","","24,00","","2,00","","101,06","","","","-6,00","","Neige"
"1987-12-01 12:00","1987","12","01","12:00"," ","0,20","","0,00","","98,00","","16,00","","33,00","","4,00","","100,99","","","","","","Brouillard"
"1987-12-01 13:00","1987","12","01","13:00"," ","0,20","","0,20","","100,00","","17,00","","30,00","","3,60","","100,96","","","","","","Brouillard"
"1987-12-01 14:00","1987","12","01","14:00"," ","0,40","","0,20","","99,00","","18,00","","26,00","","4,00","","100,86","","","","","","Brouillard"
"1987-12-01 15:00","1987","12","01","15:00"," ","0,40","","0,20","","99,00","","17,00","","31,00","","4,00","","100,86","","","","","","Brouillard"
"1987-12-01 16:00","1987","12","01","16:00"," ","0,20","","-0,30","","96,00","","15,00","","31,00","","6,40","","100,82","","","","","","Brouillard"
"1987-12-01 17:00","1987","12","01","17:00"," ","0,20","","-0,30","","96,00","","16,00","","33,00","","6,40","","100,72","","","","","","Brouillard"
"1987-12-01 18:00","1987","12","01","18:00"," ","0,10","","-0,40","","96,00","","15,00","","33,00","","4,80","","100,72","","","","","","Brouillard"
"1987-12-01 19:00","1987","12","01","19:00"," ","0,00","","-0,70","","95,00","","15,00","","37,00","","6,40","","100,62","","","","-7,00","","Brouillard"
"1987-12-01 20:00","1987","12","01","20:00"," ","0,00","","-0,70","","95,00","","15,00","","33,00","","4,80","","100,52","","","","-7,00","","Brouillard"
"1987-12-01 21:00","1987","12","01","21:00"," ","0,00","","-0,50","","96,00","","14,00","","30,00","","4,80","","100,45","","","","-6,00","","Pluie verglaçante,Brouillard"
"1987-12-01 22:00","1987","12","01","22:00"," ","-0,10","","-0,40","","98,00","","12,00","","33,00","","6,40","","100,15","","","","-7,00","","Pluie verglaçante,Brouillard"
"1987-12-01 23:00","1987","12","01","23:00"," ","0,30","","0,10","","99,00","","13,00","","33,00","","6,40","","99,98","","","","","","Pluie,Brouillard"
"1987-12-02 00:00","1987","12","02","00:00"," ","0,40","","-0,10","","96,00","","12,00","","33,00","","6,40","","99,88","","","","","","Pluie,Brouillard"
"1987-12-02 01:00","1987","12","02","01:00"," ","0,40","","-0,10","","96,00","","12,00","","31,00","","6,40","","99,60","","","","","","Pluie,Brouillard"
"1987-12-02 02:00","1987","12","02","02:00"," ","1,00","","0,50","","96,00","","12,00","","33,00","","8,00","","99,50","","","","","","Pluie,Brouillard"
"1987-12-02 03:00","1987","12","02","03:00"," ","1,10","","0,50","","96,00","","13,00","","31,00","","4,80","","99,40","","","","","","Pluie,Brouillard"
"1987-12-02 04:00","1987","12","02","04:00"," ","1,00","","-0,50","","90,00","","13,00","","26,00","","3,20","","99,30","","","","","","Pluie,Neige"
"1987-12-02 05:00","1987","12","02","05:00"," ","1,00","","0,50","","96,00","","14,00","","24,00","","4,00","","99,33","","","","","","Pluie,Neige"
"1987-12-02 06:00","1987","12","02","06:00"," ","1,00","","0,50","","96,00","","13,00","","22,00","","4,80","","99,33","","","","","","Bruine,Brouillard"
"1987-12-02 07:00","1987","12","02","07:00"," ","1,10","","0,50","","96,00","","12,00","","24,00","","4,80","","99,37","","","","","","Bruine,Brouillard"
"1987-12-02 08:00","1987","12","02","08:00"," ","0,90","","0,00","","94,00","","18,00","","30,00","","4,80","","99,23","","","","","","Bruine,Brouillard"
"1987-12-02 09:00","1987","12","02","09:00"," ","1,80","","1,10","","95,00","","12,00","","6,00","","4,80","","99,16","","","","","","Bruine,Brouillard"
"1987-12-02 10:00","1987","12","02","10:00"," ","2,60","","2,00","","96,00","","18,00","","17,00","","4,80","","99,20","","","","","","Brouillard"
"1987-12-02 11:00","1987","12","02","11:00"," ","3,20","","1,60","","89,00","","15,00","","15,00","","16,10","","99,23","","","","","","Généralement nuageux"
"1987-12-02 12:00","1987","12","02","12:00"," ","3,50","","2,60","","94,00","","17,00","","19,00","","19,30","","99,23","","","","","","Généralement nuageux"
"1987-12-02 13:00","1987","12","02","13:00"," ","5,00","","3,30","","89,00","","21,00","","19,00","","19,30","","99,23","","","","","","Généralement nuageux"
"1987-12-02 14:00","1987","12","02","14:00"," ","4,40","","2,30","","86,00","","22,00","","24,00","","24,10","","99,20","","","","","","Généralement dégagé"
"1987-12-02 15:00","1987","12","02","15:00"," ","3,50","","1,70","","88,00","","24,00","","19,00","","24,10","","99,23","","","","","","Généralement dégagé"
"1987-12-02 16:00","1987","12","02","16:00"," ","2,80","","1,60","","92,00","","22,00","","13,00","","24,10","","99,30","","","","","","Généralement nuageux"
"1987-12-02 17:00","1987","12","02","17:00"," ","3,00","","1,10","","87,00","","21,00","","15,00","","24,10","","99,37","","","","","","Généralement nuageux"
"1987-12-02 18:00","1987","12","02","18:00"," ","2,50","","0,60","","87,00","","18,00","","17,00","","24,10","","99,37","","","","","","Nuageux"
"1987-12-02 19:00","1987","12","02","19:00"," ","2,00","","1,10","","94,00","","17,00","","13,00","","16,10","","99,40","","","","","","Bruine"
"1987-12-02 20:00","1987","12","02","20:00"," ","1,90","","1,10","","95,00","","13,00","","13,00","","16,10","","99,40","","","","","","Bruine"
"1987-12-02 21:00","1987","12","02","21:00"," ","1,80","","1,50","","98,00","","15,00","","9,00","","16,10","","99,40","","","","","","Bruine"
