"Nom de la Station","WABUSH LAKE A"
"Province","NEWFOUNDLAND"
"Latitude","52,93"
"Longitude","-66,87"
"Altitude","551,40"
"Identification Climat","8504175"
"Identification OMM","71825"
"Identification TC","YWK"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"1980-01-01 00:00","1980","01","01","00:00"," ","-12,00","","-14,10","","84,00","","29,00","","22,00","","16,10","","93,69","","","","-21,00","","Cristaux de glace"
"1980-01-01 01:00","1980","01","01","01:00"," ","-11,90","","-13,50","","88,00","","28,00","","7,00","","12,90","","93,73","","","","-16,00","","Cristaux de glace"
"1980-01-01 02:00","1980","01","01","02:00"," ","-12,00","","-13,80","","87,00","","28,00","","13,00","","12,90","","93,73","","","","-19,00","","Cristaux de glace"
"1980-01-01 03:00","1980","01","01","03:00"," ","-12,20","","-13,90","","87,00","","28,00","","13,00","","6,40","","93,79","","","","-19,00","","Neige"
"1980-01-01 04:00","1980","01","01","04:00"," ","-12,30","","-14,00","","87,00","","30,00","","7,00","","4,00","","93,79","","","","-17,00","","Neige"
"1980-01-01 05:00","1980","01","01","05:00"," ","-12,40","","-13,60","","91,00","","26,00","","6,00","","8,00","","93,76","","","","-16,00","","Neige"
"1980-01-01 06:00","1980","01","01","06:00"," ","-12,60","","-14,30","","87,00","","29,00","","15,00","","9,70","","93,79","","","","-20,00","","Neige"
"1980-01-01 07:00","1980","01","01","07:00"," ","-13,40","","-15,60","","83,00","","28,00","","24,00","","16,10","","93,82","","","","-23,00","","Nuageux"
"1980-01-01 08:00","1980","01","01","08:00"," ","-14,00","","-15,40","","89,00","","28,00","","22,00","","8,00","","93,86","","","","-23,00","","Cristaux de glace"
"1980-01-01 09:00","1980","01","01","09:00"," ","-14,40","","-16,50","","84,00","","28,00","","22,00","","19,30","","93,92","","","","-24,00","","Cristaux de glace"
"1980-01-01 10:00","1980","01","01","10:00"," ","-15,60","","-19,00","","75,00","","28,00","","19,00","","19,30","","93,95","","","","-25,00","","Cristaux de glace"
"1980-01-01 11:00","1980","01","01","11:00"," ","-16,00","","-19,20","","76,00","","28,00","","17,00","","19,30","","93,98","","","","-25,00","","Cristaux de glace"
"1980-01-01 12:00","1980","01","01","12:00"," ","-16,20","","-20,30","","71,00","","28,00","","19,00","","24,10","","93,95","","","","-25,00","","Généralement dégagé"
"1980-01-01 13:00","1980","01","01","13:00"," ","-15,70","","-20,10","","69,00","","28,00","","24,00","","24,10","","93,95","","","","-26,00","","Généralement dégagé"
"1980-01-01 14:00","1980","01","01","14:00"," ","-14,70","","-18,50","","73,00","","25,00","","13,00","","24,10","","93,92","","","","-22,00","","Généralement dégagé"
"1980-01-01 15:00","1980","01","01","15:00"," ","-14,30","","-18,40","","71,00","","27,00","","7,00","","24,10","","93,98","","","","-19,00","","Généralement dégagé"
"1980-01-01 16:00","1980","01","01","16:00"," ","-14,90","","-19,40","","68,00","","28,00","","7,00","","24,10","","94,02","","","","-20,00","","Généralement dégagé"
"1980-01-01 17:00","1980","01","01","17:00"," ","-16,90","","-21,20","","69,00","","21,00","","9,00","","24,10","","94,02","","","","-23,00","","Généralement dégagé"
"1980-01-01 18:00","1980","01","01","18:00"," ","-16,70","","-20,30","","74,00","","0,00","","0,00","","24,10","","94,02","","","","","","Généralement dégagé"
"1980-01-01 19:00","1980","01","01","19:00"," ","-16,90","","-20,50","","74,00","","23,00","","9,00","","24,10","","94,05","","","","-23,00","","Généralement dégagé"
"1980-01-01 20:00","1980","01","01","20:00"," ","-18,10","","-20,10","","84,00","","0,00","","0,00","","24,10","","94,08","","","","","","Généralement dégagé"
"1980-01-01 21:00","1980","01","01","21:00"," ","-19,10","","-22,20","","76,00","","0,00","","0,00","","24,10","","94,08","","","","","","Généralement dégagé"
"1980-01-01 22:00","1980","01","01","22:00"," ","-20,50","","-23,10","","80,00","","18,00","","9,00","","24,10","","94,08","","","","-27,00","","Généralement nuageux"
"1980-01-01 23:00","1980","01","01","23:00"," ","-20,70","","-24,00","","75,00","","17,00","","9,00","","24,10","","94,05","","","","-28,00","","Généralement nuageux"
"1980-01-02 00:00","1980","01","02","00:00"," ","-22,70","","-25,80","","76,00","","17,00","","13,00","","24,10","","94,02","","","","-32,00","","Généralement nuageux"
"1980-01-02 01:00","1980","01","02","01:00"," ","-22,70","","-25,30","","80,00","","19,00","","9,00","","24,10","","94,02","","","","-30,00","","Généralement nuageux"
"1980-01-02 02:00","1980","01","02","02:00"," ","-20,80","","-23,70","","77,00","","19,00","","15,00","","24,10","","94,02","","","","-30,00","","Généralement nuageux"
"1980-01-02 03:00","1980","01","02","03:00"," ","-21,70","","-24,70","","77,00","","18,00","","7,00","","24,10","","94,02","","","","-28,00","","Nuageux"
"1980-01-02 04:00","1980","01","02","04:00"," ","-23,40","","-26,60","","75,00","","0,00","","0,00","","24,10","","93,98","","","","","","Généralement nuageux"
"1980-01-02 05:00","1980","01","02","05:00"," ","-23,20","","-26,60","","74,00","","0,00","","0,00","","24,10","","93,98","","","","","","Généralement nuageux"
"1980-01-02 06:00","1980","01","02","06:00"," ","-23,80","","-27,00","","75,00","","0,00","","0,00","","24,10","","93,95","","","","","","Généralement nuageux"
"1980-01-02 07:00","1980","01","02","07:00"," ","-22,90","","-26,50","","73,00","","0,00","","0,00","","24,10","","93,95","","","","","","Généralement dégagé"
"1980-01-02 08:00","1980","01","02","08:00"," ","-23,60","","-27,10","","73,00","","0,00","","0,00","","24,10","","93,95","","","","","","Généralement nuageux"
"1980-01-02 09:00","1980","01","02","09:00"," ","-22,70","","-26,10","","74,00","","0,00","","0,00","","24,10","","93,98","","","","","","Généralement nuageux"
"1980-01-02 10:00","1980","01","02","10:00"," ","-20,60","","-23,30","","79,00","","0,00","","0,00","","16,10","","93,98","","","","","","Neige"
"1980-01-02 11:00","1980","01","02","11:00"," ","-19,10","","-21,10","","84,00","","0,00","","0,00","","9,70","","93,95","","","","","","Neige"
"1980-01-02 12:00","1980","01","02","12:00"," ","-17,80","","-20,30","","81,00","","0,00","","0,00","","4,00","","93,92","","","","","","Neige"
"1980-01-02 13:00","1980","01","02","13:00"," ","-16,10","","-18,70","","80,00","","0,00","","0,00","","12,90","","93,86","","","","","","Neige"
"1980-01-02 14:00","1980","01","02","14:00"," ","-15,00","","-17,90","","79,00","","0,00","","0,00","","16,10","","93,86","","","","","","Neige"
"1980-01-02 15:00","1980","01","02","15:00"," ","-14,50","","-17,60","","77,00","","26,00","","6,00","","16,10","","93,86","","","","-19,00","","Neige"
"1980-01-02 16:00","1980","01","02","16:00"," ","-14,60","","-17,20","","80,00","","30,00","","9,00","","12,90","","93,86","","","","-20,00","","Neige"
"1980-01-02 17:00","1980","01","02","17:00"," ","-15,70","","-18,60","","78,00","","30,00","","6,00","","12,90","","93,92","","","","-20,00","","Cristaux de glace"
"1980-01-02 18:00","1980","01","02","18:00"," ","-16,90","","-19,30","","82,00","","27,00","","9,00","","24,10","","93,95","","","","-23,00","","Cristaux de glace"
"1980-01-02 19:00","1980","01","02","19:00"," ","-17,50","","-20,90","","75,00","","29,00","","9,00","","24,10","","93,98","","","","-24,00","","Généralement dégagé"
"1980-01-02 20:00","1980","01","02","20:00"," ","-19,30","","-23,20","","71,00","","27,00","","13,00","","24,10","","94,05","","","","-28,00","","Généralement dégagé"
"1980-01-02 21:00","1980","01","02","21:00"," ","-20,70","","-23,90","","76,00","","27,00","","9,00","","24,10","","94,08","","","","-28,00","","Généralement dégagé"
"1980-01-02 22:00","1980","01","02","22:00"," ","-20,80","","-24,00","","75,00","","21,00","","9,00","","24,10","","94,08","","","","-28,00","","Cristaux de glace"
"1980-01-02 23:00","1980","01","02","23:00"," ","-22,50","","-26,30","","72,00","","25,00","","15,00","","24,10","","94,08","","","","-32,00","","Cristaux de glace"
"1980-01-03 00:00","1980","01","03","00:00"," ","-23,50","","-27,00","","73,00","","26,00","","13,00","","24,10","","94,08","","","","-33,00","","Cristaux de glace"
"1980-01-03 01:00","1980","01","03","01:00"," ","-23,50","","-26,90","","74,00","","26,00","","13,00","","24,10","","94,08","","","","-33,00","","Cristaux de glace"
"1980-01-03 02:00","1980","01","03","02:00"," ","-23,80","","-27,50","","72,00","","28,00","","11,00","","24,10","","94,08","","","","-32,00","","Cristaux de glace"
"1980-01-03 03:00","1980","01","03","03:00"," ","-24,10","","-27,50","","74,00","","27,00","","9,00","","16,10","","94,08","","","","-32,00","","Cristaux de glace"
"1980-01-03 04:00","1980","01","03","04:00"," ","-23,80","","-27,40","","72,00","","26,00","","4,00","","16,10","","94,14","","","","-28,00","","Cristaux de glace"
"1980-01-03 05:00","1980","01","03","05:00"," ","-24,80","","-28,00","","75,00","","28,00","","6,00","","24,10","","94,11","","","","-31,00","","Cristaux de glace"
"1980-01-03 06:00","1980","01","03","06:00"," ","-25,30","","-29,00","","71,00","","25,00","","9,00","","24,10","","94,11","","","","-33,00","","Cristaux de glace"
"1980-01-03 07:00","1980","01","03","07:00"," ","-24,90","","-28,90","","69,00","","24,00","","7,00","","16,10","","94,14","","","","-31,00","","Cristaux de glace"
"1980-01-03 08:00","1980","01","03","08:00"," ","-24,70","","-28,50","","71,00","","23,00","","15,00","","16,10","","94,14","","","","-35,00","","Cristaux de glace"
"1980-01-03 09:00","1980","01","03","09:00"," ","-25,40","","-27,70","","81,00","","25,00","","11,00","","19,30","","94,14","","","","-34,00","","Cristaux de glace"
"1980-01-03 10:00","1980","01","03","10:00"," ","-25,10","","-28,70","","72,00","","26,00","","9,00","","24,10","","94,18","","","","-33,00","","Cristaux de glace"
"1980-01-03 11:00","1980","01","03","11:00"," ","-23,90","","-27,40","","73,00","","27,00","","4,00","","24,10","","94,18","","","","-28,00","","Cristaux de glace"
"1980-01-03 12:00","1980","01","03","12:00"," ","-22,80","","-27,50","","66,00","","30,00","","2,00","","24,10","","94,11","","","","-25,00","","Cristaux de glace"
"1980-01-03 13:00","1980","01","03","13:00"," ","-22,10","","-26,60","","67,00","","27,00","","15,00","","24,10","","94,05","","","","-32,00","","Cristaux de glace"
"1980-01-03 14:00","1980","01","03","14:00"," ","-21,40","","-26,00","","67,00","","30,00","","22,00","","24,10","","93,98","","","","-33,00","","Généralement nuageux"
"1980-01-03 15:00","1980","01","03","15:00"," ","-21,30","","-26,50","","63,00","","29,00","","19,00","","24,10","","94,02","","","","-32,00","","Cristaux de glace"
"1980-01-03 16:00","1980","01","03","16:00"," ","-21,50","","-26,30","","66,00","","29,00","","24,00","","19,30","","94,02","","","","-33,00","","Cristaux de glace"
"1980-01-03 17:00","1980","01","03","17:00"," ","-21,80","","-26,10","","68,00","","31,00","","11,00","","24,10","","94,02","","","","-30,00","","Généralement nuageux"
"1980-01-03 18:00","1980","01","03","18:00"," ","-21,80","","-26,50","","66,00","","30,00","","19,00","","24,10","","94,02","","","","-32,00","","Généralement nuageux"
"1980-01-03 19:00","1980","01","03","19:00"," ","-21,50","","-26,30","","66,00","","31,00","","19,00","","24,10","","93,98","","","","-32,00","","Généralement nuageux"
"1980-01-03 20:00","1980","01","03","20:00"," ","-22,20","","-26,80","","67,00","","30,00","","24,00","","24,10","","94,05","","","","-34,00","","Généralement nuageux"
"1980-01-03 21:00","1980","01","03","21:00"," ","-22,30","","-27,00","","66,00","","29,00","","15,00","","24,10","","94,05","","","","-32,00","","Généralement nuageux"
"1980-01-03 22:00","1980","01","03","22:00"," ","-22,20","","-27,10","","65,00","","31,00","","15,00","","24,10","","94,02","","","","-32,00","","Généralement nuageux"
"1980-01-03 23:00","1980","01","03","23:00"," ","-22,20","","-26,60","","68,00","","29,00","","9,00","","24,10","","94,05","","","","-29,00","","Généralement nuageux"
