"Nom de la Station","CRESTON CAMPBELL SCIENTIFIC"
"Province","BRITISH COLUMBIA"
"Latitude","49,08"
"Longitude","-116,50"
"Altitude","646,20"
"Identification Climat","114B1F0"
"Identification OMM","71770"
"Identification TC","WJR"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2006-01-01 00:00","2006","01","01","00:00"," ","1,50","","1,50","","100,00","","3,00","","4,00","","","","92,12","","","","","","ND"
"2006-01-01 01:00","2006","01","01","01:00"," ","1,20","","1,20","","100,00","","4,00","","4,00","","","","92,22","","","","","","ND"
"2006-01-01 02:00","2006","01","01","02:00"," ","1,30","","1,30","","100,00","","16,00","","6,00","","","","92,36","","","","","","ND"
"2006-01-01 03:00","2006","01","01","03:00"," ","1,10","","1,10","","100,00","","5,00","","4,00","","","","92,49","","","","","","ND"
"2006-01-01 04:00","2006","01","01","04:00"," ","1,00","","1,00","","100,00","","33,00","","6,00","","","","92,57","","","","","","ND"
"2006-01-01 05:00","2006","01","01","05:00"," ","1,20","","1,20","","100,00","","13,00","","2,00","","","","92,67","","","","","","ND"
"2006-01-01 06:00","2006","01","01","06:00"," ","1,40","","1,40","","100,00","","0,00","","0,00","","","","92,73","","","","","","ND"
"2006-01-01 07:00","2006","01","01","07:00"," ","1,60","","1,60","","100,00","","0,00","","0,00","","","","92,81","","","","","","ND"
"2006-01-01 08:00","2006","01","01","08:00"," ","2,00","","2,00","","100,00","","0,00","","0,00","","","","92,87","","","","","","ND"
"2006-01-01 09:00","2006","01","01","09:00"," ","2,70","","2,50","","99,00","","18,00","","6,00","","","","92,93","","","","","","ND"
"2006-01-01 10:00","2006","01","01","10:00"," ","2,60","","2,60","","100,00","","18,00","","2,00","","","","92,93","","","","","","ND"
"2006-01-01 11:00","2006","01","01","11:00"," ","2,80","","2,60","","99,00","","16,00","","2,00","","","","92,93","","","","","","ND"
"2006-01-01 12:00","2006","01","01","12:00"," ","3,20","","2,80","","97,00","","29,00","","2,00","","","","92,90","","","","","","ND"
"2006-01-01 13:00","2006","01","01","13:00"," ","3,00","","2,70","","98,00","","31,00","","4,00","","","","92,85","","","","","","ND"
"2006-01-01 14:00","2006","01","01","14:00"," ","3,20","","2,80","","97,00","","29,00","","4,00","","","","92,80","","","","","","ND"
"2006-01-01 15:00","2006","01","01","15:00"," ","3,10","","2,70","","97,00","","22,00","","4,00","","","","92,76","","","","","","ND"
"2006-01-01 16:00","2006","01","01","16:00"," ","2,30","","2,20","","99,00","","8,00","","7,00","","","","92,78","","","","","","ND"
"2006-01-01 17:00","2006","01","01","17:00"," ","3,20","","2,40","","94,00","","13,00","","7,00","","","","92,80","","","","","","ND"
"2006-01-01 18:00","2006","01","01","18:00"," ","2,60","","2,50","","99,00","","12,00","","6,00","","","","92,80","","","","","","ND"
"2006-01-01 19:00","2006","01","01","19:00"," ","2,90","","2,40","","97,00","","5,00","","6,00","","","","92,81","","","","","","ND"
"2006-01-01 20:00","2006","01","01","20:00"," ","3,10","","2,50","","96,00","","21,00","","4,00","","","","92,80","","","","","","ND"
"2006-01-01 21:00","2006","01","01","21:00"," ","2,40","","2,30","","99,00","","0,00","","0,00","","","","92,79","","","","","","ND"
"2006-01-01 22:00","2006","01","01","22:00"," ","2,10","","2,10","","100,00","","7,00","","2,00","","","","92,81","","","","","","ND"
"2006-01-01 23:00","2006","01","01","23:00"," ","2,00","","2,00","","100,00","","11,00","","4,00","","","","92,81","","","","","","ND"
"2006-01-02 00:00","2006","01","02","00:00"," ","1,80","","1,80","","100,00","","5,00","","2,00","","","","92,79","","","","","","ND"
"2006-01-02 01:00","2006","01","02","01:00"," ","1,80","","1,80","","100,00","","0,00","","0,00","","","","92,79","","","","","","ND"
"2006-01-02 02:00","2006","01","02","02:00"," ","1,60","","1,60","","100,00","","9,00","","4,00","","","","92,81","","","","","","ND"
"2006-01-02 03:00","2006","01","02","03:00"," ","2,00","","2,00","","100,00","","8,00","","11,00","","","","92,82","","","","","","ND"
"2006-01-02 04:00","2006","01","02","04:00"," ","1,40","","1,40","","100,00","","11,00","","2,00","","","","92,82","","","","","","ND"
"2006-01-02 05:00","2006","01","02","05:00"," ","2,30","","1,90","","97,00","","6,00","","6,00","","","","92,77","","","","","","ND"
"2006-01-02 06:00","2006","01","02","06:00"," ","1,20","","1,20","","100,00","","36,00","","4,00","","","","92,78","","","","","","ND"
"2006-01-02 07:00","2006","01","02","07:00"," ","1,00","","1,00","","100,00","","31,00","","4,00","","","","92,77","","","","","","ND"
"2006-01-02 08:00","2006","01","02","08:00"," ","0,50","","0,50","","100,00","","16,00","","6,00","","","","92,79","","","","","","ND"
"2006-01-02 09:00","2006","01","02","09:00"," ","-1,00","","-1,00","","100,00","","22,00","","4,00","","","","92,87","","","","-2,00","","ND"
"2006-01-02 10:00","2006","01","02","10:00"," ","-0,10","","-0,10","","100,00","","18,00","","6,00","","","","92,93","","","","-2,00","","ND"
"2006-01-02 11:00","2006","01","02","11:00"," ","0,40","","0,40","","100,00","","6,00","","6,00","","","","92,93","","","","","","ND"
"2006-01-02 12:00","2006","01","02","12:00"," ","0,70","","0,70","","100,00","","35,00","","2,00","","","","92,95","","","","","","ND"
"2006-01-02 13:00","2006","01","02","13:00"," ","1,40","","1,40","","100,00","","22,00","","2,00","","","","92,95","","","","","","ND"
"2006-01-02 14:00","2006","01","02","14:00"," ","0,80","","0,80","","100,00","","24,00","","2,00","","","","92,96","","","","","","ND"
"2006-01-02 15:00","2006","01","02","15:00"," ","1,00","","1,00","","100,00","","10,00","","6,00","","","","93,02","","","","","","ND"
