"Nom de la Station","BAS CARAQUET"
"Province","NEW BRUNSWICK"
"Latitude","47,80"
"Longitude","-64,83"
"Altitude","5,00"
"Identification Climat","8100467"
"Identification OMM","71598"
"Identification TC","WXS"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2008-07-01 00:00","2008","07","01","00:00"," ","16,40","","15,90","","97,00","","15,00","","7,00","","","","100,49","","","","","","ND"
"2008-07-01 01:00","2008","07","01","01:00"," ","15,90","","15,40","","97,00","","12,00","","4,00","","","","100,45","","","","","","ND"
"2008-07-01 02:00","2008","07","01","02:00"," ","14,10","","13,10","","94,00","","2,00","","6,00","","","","100,46","","","","","","ND"
"2008-07-01 03:00","2008","07","01","03:00"," ","14,10","","13,70","","97,00","","16,00","","2,00","","","","100,49","","","","","","ND"
"2008-07-01 04:00","2008","07","01","04:00"," ","14,70","","14,30","","97,00","","31,00","","2,00","","","","100,46","","","","","","ND"
"2008-07-01 05:00","2008","07","01","05:00"," ","14,60","","14,30","","98,00","","21,00","","2,00","","","","100,50","","","","","","ND"
"2008-07-01 06:00","2008","07","01","06:00"," ","16,30","","16,00","","98,00","","20,00","","4,00","","","","100,55","","","","","","ND"
"2008-07-01 07:00","2008","07","01","07:00"," ","16,90","","16,50","","97,00","","22,00","","7,00","","","","100,54","","","","","","ND"
"2008-07-01 08:00","2008","07","01","08:00"," ","18,10","","17,30","","95,00","","21,00","","6,00","","","","100,58","","","","","","ND"
"2008-07-01 09:00","2008","07","01","09:00"," ","18,80","","17,10","","90,00","","31,00","","6,00","","","","100,59","","","","","","ND"
"2008-07-01 10:00","2008","07","01","10:00"," ","16,40","","14,40","","88,00","","31,00","","11,00","","","","100,64","","","","","","ND"
"2008-07-01 11:00","2008","07","01","11:00"," ","18,80","","15,50","","81,00","","33,00","","7,00","","","","100,64","","","","","","ND"
"2008-07-01 12:00","2008","07","01","12:00"," ","21,40","","17,70","","79,00","","29,00","","15,00","","","","100,66","","27,00","","","","ND"
"2008-07-01 13:00","2008","07","01","13:00"," ","21,60","","16,50","","73,00","","28,00","","22,00","","","","100,70","","27,00","","","","ND"
"2008-07-01 14:00","2008","07","01","14:00"," ","21,20","","16,10","","73,00","","28,00","","20,00","","","","100,72","","26,00","","","","ND"
"2008-07-01 15:00","2008","07","01","15:00"," ","21,20","","15,40","","69,00","","27,00","","17,00","","","","100,76","","25,00","","","","ND"
