"Nom de la Station","BATHURST A"
"Province","NEW BRUNSWICK"
"Latitude","47,63"
"Longitude","-65,75"
"Altitude","58,80"
"Identification Climat","8100503"
"Identification OMM","71574"
"Identification TC","ZBF"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"1998-12-01 00:00","1998","12","01","00:00"," ","","","","","","","","","","","","","","","","","","",""
"1998-12-01 01:00","1998","12","01","01:00"," ","","","","","","","","","","","","","","","","","","",""
"1998-12-01 02:00","1998","12","01","02:00"," ","","","","","","","","","","","","","","","","","","",""
"1998-12-01 03:00","1998","12","01","03:00"," ","","","","","","","","","","","","","","","","","","",""
"1998-12-01 04:00","1998","12","01","04:00"," ","","","","","","","","","","","","","","","","","","",""
"1998-12-01 05:00","1998","12","01","05:00"," ","3,60","","3,60","","100,00","","16,00","","9,00","","3,20","","99,37","","","","","","Bruine,Brouillard"
"1998-12-01 06:00","1998","12","01","06:00"," ","5,20","","5,20","","100,00","","15,00","","11,00","","2,40","","99,20","","","","","","Pluie,Brouillard"
"1998-12-01 07:00","1998","12","01","07:00"," ","5,50","","5,50","","100,00","","17,00","","15,00","","1,60","","99,10","","","","","","Pluie,Brouillard"
"1998-12-01 08:00","1998","12","01","08:00"," ","6,00","","6,00","","100,00","","15,00","","20,00","","1,20","","98,97","","","","","","Bruine,Brouillard"
"1998-12-01 09:00","1998","12","01","09:00"," ","6,40","","6,40","","100,00","","18,00","","19,00","","2,40","","98,90","","","","","","Bruine,Brouillard"
"1998-12-01 10:00","1998","12","01","10:00"," ","6,80","","6,70","","99,00","","17,00","","19,00","","3,20","","98,83","","","","","","Brouillard"
