"Nom de la Station","KEJIMKUJIK 1"
"Province","NOVA SCOTIA"
"Latitude","44,40"
"Longitude","-65,20"
"Altitude","125,00"
"Identification Climat","8202592"
"Identification OMM","71599"
"Identification TC","WKG"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2005-01-01 00:00","2005","01","01","00:00"," ","3,80","","3,40","","97,00","","23,00","","9,00","","","","100,19","","","","","","ND"
"2005-01-01 01:00","2005","01","01","01:00"," ","4,10","","3,90","","99,00","","24,00","","7,00","","","","100,07","","","","","","ND"
"2005-01-01 02:00","2005","01","01","02:00"," ","4,20","","4,10","","99,00","","23,00","","7,00","","","","99,96","","","","","","ND"
"2005-01-01 03:00","2005","01","01","03:00"," ","6,00","","6,00","","100,00","","25,00","","11,00","","","","99,88","","","","","","ND"
"2005-01-01 04:00","2005","01","01","04:00"," ","6,40","","6,40","","100,00","","24,00","","9,00","","","","99,73","","","","","","ND"
"2005-01-01 05:00","2005","01","01","05:00"," ","6,40","","6,40","","100,00","","25,00","","9,00","","","","99,65","","","","","","ND"
"2005-01-01 06:00","2005","01","01","06:00"," ","6,30","","6,30","","100,00","","25,00","","9,00","","","","99,57","","","","","","ND"
"2005-01-01 07:00","2005","01","01","07:00"," ","5,80","","5,80","","100,00","","25,00","","7,00","","","","99,54","","","","","","ND"
"2005-01-01 08:00","2005","01","01","08:00"," ","5,50","","5,50","","100,00","","24,00","","6,00","","","","99,54","","","","","","ND"
"2005-01-01 09:00","2005","01","01","09:00"," ","5,30","","5,30","","100,00","","24,00","","6,00","","","","99,53","","","","","","ND"
"2005-01-01 10:00","2005","01","01","10:00"," ","5,40","","5,40","","100,00","","24,00","","6,00","","","","99,55","","","","","","ND"
"2005-01-01 11:00","2005","01","01","11:00"," ","5,80","","5,70","","99,00","","28,00","","4,00","","","","99,58","","","","","","ND"
"2005-01-01 12:00","2005","01","01","12:00"," ","5,70","","5,50","","99,00","","28,00","","4,00","","","","99,50","","","","","","ND"
"2005-01-01 13:00","2005","01","01","13:00"," ","7,90","","6,10","","88,00","","28,00","","4,00","","","","99,43","","","","","","ND"
"2005-01-01 14:00","2005","01","01","14:00"," ","5,90","","3,90","","87,00","","29,00","","4,00","","","","99,44","","","","","","ND"
"2005-01-01 15:00","2005","01","01","15:00"," ","5,30","","2,50","","82,00","","31,00","","7,00","","","","99,54","","","","","","ND"
"2005-01-01 16:00","2005","01","01","16:00"," ","5,10","","2,20","","82,00","","32,00","","6,00","","","","99,65","","","","","","ND"
"2005-01-01 17:00","2005","01","01","17:00"," ","3,90","","1,70","","86,00","","31,00","","4,00","","","","99,76","","","","","","ND"
"2005-01-01 18:00","2005","01","01","18:00"," ","3,50","","1,00","","84,00","","31,00","","6,00","","","","99,89","","","","","","ND"
"2005-01-01 19:00","2005","01","01","19:00"," ","3,80","","0,70","","80,00","","32,00","","7,00","","","","100,03","","","","","","ND"
"2005-01-01 20:00","2005","01","01","20:00"," ","1,90","","-2,90","","70,00","","33,00","","9,00","","","","100,27","","","","","","ND"
"2005-01-01 21:00","2005","01","01","21:00"," ","0,50","","-4,60","","69,00","","34,00","","9,00","","","","100,35","","","","","","ND"
"2005-01-01 22:00","2005","01","01","22:00"," ","-0,30","","-5,30","","69,00","","35,00","","6,00","","","","100,50","","","","-2,00","","ND"
"2005-01-01 23:00","2005","01","01","23:00"," ","-1,00","","-6,70","","65,00","","34,00","","9,00","","","","100,59","","","","-4,00","","ND"
"2005-01-02 00:00","2005","01","02","00:00"," ","-1,70","","-8,30","","61,00","","33,00","","7,00","","","","100,75","","","","-4,00","","ND"
"2005-01-02 01:00","2005","01","02","01:00"," ","-2,60","","-9,00","","61,00","","33,00","","7,00","","","","100,86","","","","-5,00","","ND"
"2005-01-02 02:00","2005","01","02","02:00"," ","-3,90","","-10,10","","62,00","","34,00","","11,00","","","","100,98","","","","-8,00","","ND"
"2005-01-02 03:00","2005","01","02","03:00"," ","-5,10","","-9,90","","69,00","","34,00","","11,00","","","","101,13","","","","-10,00","","ND"
