"Nom de la Station","CORNER BROOK"
"Province","NEWFOUNDLAND"
"Latitude","48,93"
"Longitude","-57,92"
"Altitude","151,80"
"Identification Climat","8401298"
"Identification OMM","71973"
"Identification TC","WKB"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"1998-03-01 00:00","1998","03","01","00:00"," ","","","","","","","","","","","","","","","","","","",""
"1998-03-01 00:30","1998","03","01","00:30"," ","1,90","","0,90","","93,00","","7,00","","19,00","","","","","M","","","","","ND"
"1998-03-01 01:00","1998","03","01","01:00"," ","","","","","","","","","","","","","","","","","","",""
"1998-03-01 01:30","1998","03","01","01:30"," ","1,70","","0,70","","93,00","","7,00","","20,00","","","","","M","","","","","ND"
"1998-03-01 02:00","1998","03","01","02:00"," ","","","","","","","","","","","","","","","","","","",""
"1998-03-01 02:30","1998","03","01","02:30"," ","2,00","","1,00","","93,00","","7,00","","15,00","","","","","M","","","","","ND"
"1998-03-01 03:00","1998","03","01","03:00"," ","","","","","","","","","","","","","","","","","","",""
"1998-03-01 03:30","1998","03","01","03:30"," ","1,40","","0,50","","94,00","","8,00","","15,00","","","","","M","","","","","ND"
"1998-03-01 04:00","1998","03","01","04:00"," ","","","","","","","","","","","","","","","","","","",""
"1998-03-01 04:30","1998","03","01","04:30"," ","1,40","","0,40","","93,00","","8,00","","19,00","","","","","M","","","","","ND"
"1998-03-01 05:00","1998","03","01","05:00"," ","","","","","","","","","","","","","","","","","","",""
"1998-03-01 05:30","1998","03","01","05:30"," ","1,50","","0,40","","92,00","","7,00","","30,00","","","","","M","","","","","ND"
"1998-03-01 06:00","1998","03","01","06:00"," ","","","","","","","","","","","","","","","","","","",""
"1998-03-01 06:30","1998","03","01","06:30"," ","1,60","","0,50","","92,00","","7,00","","22,00","","","","","M","","","","","ND"
"1998-03-01 07:00","1998","03","01","07:00"," ","","","","","","","","","","","","","","","","","","",""
"1998-03-01 07:30","1998","03","01","07:30"," ","1,30","","0,20","","92,00","","8,00","","19,00","","","","","M","","","","","ND"
"1998-03-01 08:00","1998","03","01","08:00"," ","","","","","","","","","","","","","","","","","","",""
"1998-03-01 08:30","1998","03","01","08:30"," ","1,30","","0,20","","92,00","","36,00","","4,00","","","","","M","","","","","ND"
"1998-03-01 09:00","1998","03","01","09:00"," ","","","","","","","","","","","","","","","","","","",""
"1998-03-01 09:30","1998","03","01","09:30"," ","1,50","","0,40","","92,00","","4,00","","22,00","","","","","M","","","","","ND"
"1998-03-01 10:00","1998","03","01","10:00"," ","","","","","","","","","","","","","","","","","","",""
"1998-03-01 10:30","1998","03","01","10:30"," ","2,30","","1,20","","92,00","","8,00","","19,00","","","","","M","","","","","ND"
"1998-03-01 11:00","1998","03","01","11:00"," ","","","","","","","","","","","","","","","","","","",""
"1998-03-01 11:30","1998","03","01","11:30"," ","1,90","","0,60","","91,00","","9,00","","11,00","","","","","M","","","","","ND"
"1998-03-01 12:00","1998","03","01","12:00"," ","","","","","","","","","","","","","","","","","","",""
"1998-03-01 12:30","1998","03","01","12:30"," ","2,50","","1,10","","90,00","","9,00","","15,00","","","","","M","","","","","ND"
"1998-03-01 13:00","1998","03","01","13:00"," ","","","","","","","","","","","","","","","","","","",""
"1998-03-01 13:30","1998","03","01","13:30"," ","3,10","","1,60","","90,00","","9,00","","7,00","","","","","M","","","","","ND"
"1998-03-01 14:00","1998","03","01","14:00"," ","","","","","","","","","","","","","","","","","","",""
"1998-03-01 14:30","1998","03","01","14:30"," ","2,20","","0,90","","91,00","","8,00","","9,00","","","","","M","","","","","ND"
"1998-03-01 15:00","1998","03","01","15:00"," ","","","","","","","","","","","","","","","","","","",""
"1998-03-01 15:30","1998","03","01","15:30"," ","2,60","","1,30","","91,00","","8,00","","9,00","","","","","M","","","","","ND"
"1998-03-01 16:00","1998","03","01","16:00"," ","","","","","","","","","","","","","","","","","","",""
"1998-03-01 16:30","1998","03","01","16:30"," ","1,80","","0,50","","91,00","","9,00","","13,00","","","","","M","","","","","ND"
"1998-03-01 17:00","1998","03","01","17:00"," ","","","","","","","","","","","","","","","","","","",""
"1998-03-01 17:30","1998","03","01","17:30"," ","0,80","","-0,40","","92,00","","0,00","","0,00","","","","","M","","","","","ND"
"1998-03-01 18:00","1998","03","01","18:00"," ","","","","","","","","","","","","","","","","","","",""
"1998-03-01 18:30","1998","03","01","18:30"," ","0,50","","-0,60","","92,00","","26,00","","2,00","","","","","M","","","","","ND"
"1998-03-01 19:00","1998","03","01","19:00"," ","","","","","","","","","","","","","","","","","","",""
"1998-03-01 19:30","1998","03","01","19:30"," ","0,20","","-1,00","","92,00","","11,00","","11,00","","","","","M","","","","","ND"
"1998-03-01 20:00","1998","03","01","20:00"," ","","","","","","","","","","","","","","","","","","",""
