"Nom de la Station","EAST POINT (AUT)"
"Province","PRINCE EDWARD ISLAND"
"Latitude","46,46"
"Longitude","-61,99"
"Altitude","7,70"
"Identification Climat","8300418"
"Identification OMM","71412"
"Identification TC","WEP"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"1999-02-01 00:00","1999","02","01","00:00"," ","-7,30","","-13,30","","62,00","","23,00","","26,00","","15,00","","","M","","","-15,00","","ND"
"1999-02-01 01:00","1999","02","01","01:00"," ","-6,90","","-14,60","","54,00","","23,00","","17,00","","15,00","","","M","","","-13,00","","ND"
"1999-02-01 02:00","1999","02","01","02:00"," ","-6,80","","-15,20","","51,00","","24,00","","20,00","","15,00","","","M","","","-14,00","","ND"
"1999-02-01 03:00","1999","02","01","03:00"," ","-6,70","","-15,40","","50,00","","26,00","","19,00","","15,00","","","M","","","-14,00","","ND"
"1999-02-01 04:00","1999","02","01","04:00"," ","-6,50","","-16,20","","46,00","","26,00","","19,00","","15,00","","","M","","","-13,00","","ND"
"1999-02-01 05:00","1999","02","01","05:00"," ","-6,10","","-16,10","","45,00","","27,00","","19,00","","15,00","","","M","","","-13,00","","ND"
"1999-02-01 06:00","1999","02","01","06:00"," ","-6,20","","-15,80","","47,00","","28,00","","26,00","","15,00","","","M","","","-14,00","","ND"
"1999-02-01 07:00","1999","02","01","07:00"," ","-6,70","","-14,80","","52,00","","28,00","","22,00","","15,00","","","M","","","-14,00","","ND"
"1999-02-01 08:00","1999","02","01","08:00"," ","-6,60","","-13,60","","57,00","","30,00","","22,00","","15,00","","","M","","","-14,00","","ND"
"1999-02-01 09:00","1999","02","01","09:00"," ","-6,00","","-12,20","","61,00","","30,00","","33,00","","15,00","","","M","","","-15,00","","ND"
"1999-02-01 10:00","1999","02","01","10:00"," ","-5,50","","-10,60","","67,00","","31,00","","28,00","","15,00","","","M","","","-13,00","","ND"
"1999-02-01 11:00","1999","02","01","11:00"," ","-4,70","","-9,60","","69,00","","31,00","","37,00","","15,00","","","M","","","-13,00","","ND"
"1999-02-01 12:00","1999","02","01","12:00"," ","-4,10","","-9,20","","68,00","","30,00","","33,00","","15,00","","","M","","","-12,00","","ND"
"1999-02-01 13:00","1999","02","01","13:00"," ","-4,00","","-8,60","","70,00","","31,00","","39,00","","15,00","","","M","","","-13,00","","ND"
"1999-02-01 14:00","1999","02","01","14:00"," ","-3,60","","-7,70","","73,00","","31,00","","30,00","","15,00","","","M","","","-11,00","","ND"
"1999-02-01 15:00","1999","02","01","15:00"," ","-3,40","","-7,30","","74,00","","31,00","","35,00","","15,00","","","M","","","-11,00","","ND"
"1999-02-01 16:00","1999","02","01","16:00"," ","-3,40","","-7,70","","72,00","","31,00","","37,00","","15,00","","","M","","","-12,00","","ND"
"1999-02-01 17:00","1999","02","01","17:00"," ","-5,00","","-7,70","","81,00","","35,00","","50,00","","7,20","","","M","","","-15,00","","ND"
"1999-02-01 18:00","1999","02","01","18:00"," ","-5,40","","-9,10","","75,00","","34,00","","43,00","","15,00","","","M","","","-15,00","","ND"
"1999-02-01 19:00","1999","02","01","19:00"," ","-6,30","","-11,30","","68,00","","33,00","","50,00","","15,00","","","M","","","-17,00","","ND"
"1999-02-01 20:00","1999","02","01","20:00"," ","-6,80","","-11,50","","69,00","","34,00","","46,00","","15,00","","","M","","","-17,00","","ND"
"1999-02-01 21:00","1999","02","01","21:00"," ","-6,70","","-11,30","","70,00","","35,00","","67,00","","15,00","","","M","","","-19,00","","ND"
"1999-02-01 22:00","1999","02","01","22:00"," ","-7,10","","-11,80","","69,00","","34,00","","59,00","","15,00","","","M","","","-19,00","","ND"
"1999-02-01 23:00","1999","02","01","23:00"," ","-7,20","","-11,90","","69,00","","35,00","","37,00","","15,00","","","M","","","-17,00","","ND"
"1999-02-02 00:00","1999","02","02","00:00"," ","-7,70","","-12,40","","69,00","","34,00","","48,00","","15,00","","","M","","","-18,00","","ND"
"1999-02-02 01:00","1999","02","02","01:00"," ","-7,70","","-11,10","","77,00","","33,00","","41,00","","15,00","","","M","","","-18,00","","ND"
"1999-02-02 02:00","1999","02","02","02:00"," ","-7,50","","-11,30","","74,00","","35,00","","46,00","","15,00","","","M","","","-18,00","","ND"
"1999-02-02 03:00","1999","02","02","03:00"," ","-8,10","","-12,60","","70,00","","35,00","","44,00","","15,00","","","M","","","-19,00","","ND"
"1999-02-02 04:00","1999","02","02","04:00"," ","-8,30","","-12,70","","71,00","","35,00","","44,00","","15,00","","","M","","","-19,00","","ND"
"1999-02-02 05:00","1999","02","02","05:00"," ","-8,10","","-11,90","","74,00","","34,00","","41,00","","15,00","","","M","","","-18,00","","ND"
