"Nom de la Station","ALERT A"
"Province","NUNAVUT"
"Latitude","82,52"
"Longitude","-62,28"
"Altitude","30,50"
"Identification Climat","2400302"
"Identification OMM",""
"Identification TC","YLT"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2007-11-01 00:00","2007","11","01","00:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-11-01 01:00","2007","11","01","01:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-11-01 02:00","2007","11","01","02:00"," ","-30,90","","-34,90","","68,00","","0,00","","0,00","","1,60","","101,63","","","","","","Cristaux de glace"
"2007-11-01 03:00","2007","11","01","03:00"," ","-32,20","","-36,10","","68,00","","0,00","","0,00","","6,40","","101,64","","","","","","Cristaux de glace"
"2007-11-01 04:00","2007","11","01","04:00"," ","-30,90","","-36,10","","60,00","","0,00","","0,00","","4,80","","101,64","","","","","","Cristaux de glace"
"2007-11-01 05:00","2007","11","01","05:00"," ","-31,70","","-36,10","","65,00","","0,00","","0,00","","19,30","","101,64","","","","","","Dégagé"
"2007-11-01 06:00","2007","11","01","06:00"," ","-31,80","","-36,40","","64,00","","0,00","","0,00","","19,30","","101,73","","","","","","Dégagé"
"2007-11-01 07:00","2007","11","01","07:00"," ","-31,50","","-36,00","","64,00","","0,00","","0,00","","19,30","","101,64","","","","","","Dégagé"
"2007-11-01 08:00","2007","11","01","08:00"," ","-32,90","","-37,10","","66,00","","0,00","","0,00","","24,10","","101,60","","","","","","Dégagé"
"2007-11-01 09:00","2007","11","01","09:00"," ","-32,10","","-36,20","","67,00","","0,00","","0,00","","24,10","","101,61","","","","","","Généralement dégagé"
"2007-11-01 10:00","2007","11","01","10:00"," ","-32,90","","-36,80","","68,00","","0,00","","0,00","","24,10","","101,62","","","","","","Dégagé"
"2007-11-01 11:00","2007","11","01","11:00"," ","-32,90","","-36,80","","68,00","","0,00","","0,00","","24,10","","101,60","","","","","","Généralement dégagé"
"2007-11-01 12:00","2007","11","01","12:00"," ","-33,40","","-38,40","","61,00","","0,00","","0,00","","24,10","","101,58","","","","","","Généralement dégagé"
"2007-11-01 13:00","2007","11","01","13:00"," ","-33,40","","-38,00","","63,00","","0,00","","0,00","","24,10","","101,56","","","","","","Généralement dégagé"
"2007-11-01 14:00","2007","11","01","14:00"," ","-32,10","","-36,70","","64,00","","0,00","","0,00","","24,10","","101,53","","","","","","Généralement dégagé"
"2007-11-01 15:00","2007","11","01","15:00"," ","-32,40","","-36,70","","65,00","","0,00","","0,00","","24,10","","101,52","","","","","","Généralement dégagé"
"2007-11-01 16:00","2007","11","01","16:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-11-01 17:00","2007","11","01","17:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-11-01 18:00","2007","11","01","18:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-11-01 19:00","2007","11","01","19:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-11-01 20:00","2007","11","01","20:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-11-01 21:00","2007","11","01","21:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-11-01 22:00","2007","11","01","22:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-11-01 23:00","2007","11","01","23:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-11-02 00:00","2007","11","02","00:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-11-02 01:00","2007","11","02","01:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-11-02 02:00","2007","11","02","02:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-11-02 03:00","2007","11","02","03:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-11-02 04:00","2007","11","02","04:00"," ","-28,10","","-32,00","","69,00","","0,00","","0,00","","19,30","","101,34","","","","","","Généralement nuageux"
"2007-11-02 05:00","2007","11","02","05:00"," ","-27,70","","-31,50","","70,00","","0,00","","0,00","","16,10","","101,35","","","","","","Neige"
"2007-11-02 06:00","2007","11","02","06:00"," ","-28,50","","-32,90","","66,00","","0,00","","0,00","","19,30","","101,31","","","","","","Neige"
"2007-11-02 07:00","2007","11","02","07:00"," ","-32,20","","-36,40","","66,00","","0,00","","0,00","","19,30","","101,30","","","","","","Cristaux de glace"
"2007-11-02 08:00","2007","11","02","08:00"," ","-30,80","","-35,30","","65,00","","0,00","","0,00","","19,30","","101,31","","","","","","Cristaux de glace"
"2007-11-02 09:00","2007","11","02","09:00"," ","-28,70","","-33,00","","66,00","","0,00","","0,00","","19,30","","101,31","","","","","","Neige"
"2007-11-02 10:00","2007","11","02","10:00"," ","-28,20","","-32,50","","67,00","","0,00","","0,00","","19,30","","101,29","","","","","","Neige"
"2007-11-02 11:00","2007","11","02","11:00"," ","-29,30","","-33,60","","66,00","","0,00","","0,00","","19,30","","101,32","","","","","","Neige"
"2007-11-02 12:00","2007","11","02","12:00"," ","-29,00","","-33,10","","68,00","","0,00","","0,00","","19,30","","101,33","","","","","","Neige"
"2007-11-02 13:00","2007","11","02","13:00"," ","-30,30","","-34,90","","64,00","","0,00","","0,00","","19,30","","101,33","","","","","","Neige"
