"Nom de la Station","KIMMIRUT A"
"Province","NUNAVUT"
"Latitude","62,85"
"Longitude","-69,88"
"Altitude","51,50"
"Identification Climat","240KFQJ"
"Identification OMM",""
"Identification TC","YLC"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"1990-06-01 00:00","1990","06","01","00:00"," ","","","","","","","","","","","","","","","","","","",""
"1990-06-01 01:00","1990","06","01","01:00"," ","","","","","","","","","","","","","","","","","","",""
"1990-06-01 02:00","1990","06","01","02:00"," ","","","","","","","","","","","","","","","","","","",""
"1990-06-01 03:00","1990","06","01","03:00"," ","","","","","","","","","","","","","","","","","","",""
"1990-06-01 04:00","1990","06","01","04:00"," ","","","","","","","","","","","","","","","","","","",""
"1990-06-01 05:00","1990","06","01","05:00"," ","","","","","","","","","","","","","","","","","","",""
"1990-06-01 06:00","1990","06","01","06:00"," ","","","","","","","","","","","","","","","","","","",""
"1990-06-01 07:00","1990","06","01","07:00"," ","","","","","","","","","","","","","","","","","","",""
"1990-06-01 08:00","1990","06","01","08:00"," ","-0,20","","-0,50","","98,00","","14,00","","19,00","","25,00","","98,58","","","","-5,00","","Nuageux"
"1990-06-01 09:00","1990","06","01","09:00"," ","-0,80","","-1,40","","96,00","","14,00","","20,00","","25,00","","98,55","","","","-6,00","","Neige"
"1990-06-01 10:00","1990","06","01","10:00"," ","-1,00","","-1,60","","96,00","","15,00","","19,00","","25,00","","98,51","","","","-6,00","","Nuageux"
"1990-06-01 11:00","1990","06","01","11:00"," ","-1,30","","-2,00","","95,00","","16,00","","20,00","","2,40","","98,41","","","","-7,00","","Neige"
"1990-06-01 12:00","1990","06","01","12:00"," ","-1,30","","-2,20","","93,00","","14,00","","20,00","","1,60","","98,41","","","","-7,00","","Neige"
"1990-06-01 13:00","1990","06","01","13:00"," ","-1,30","","-2,00","","95,00","","13,00","","15,00","","2,40","","98,34","","","","-6,00","","Neige"
"1990-06-01 14:00","1990","06","01","14:00"," ","-1,40","","-2,00","","96,00","","14,00","","19,00","","1,00","","98,31","","","","-7,00","","Neige"
"1990-06-01 15:00","1990","06","01","15:00"," ","-1,80","","-2,50","","95,00","","16,00","","19,00","","2,40","","98,28","","","","-7,00","","Neige"
"1990-06-01 16:00","1990","06","01","16:00"," ","-1,60","","-2,00","","97,00","","15,00","","20,00","","2,40","","98,21","","","","-7,00","","Neige"
"1990-06-01 17:00","1990","06","01","17:00"," ","","","","","","","","","","","","","","","","","","",""
"1990-06-01 18:00","1990","06","01","18:00"," ","","","","","","","","","","","","","","","","","","",""
"1990-06-01 19:00","1990","06","01","19:00"," ","","","","","","","","","","","","","","","","","","",""
"1990-06-01 20:00","1990","06","01","20:00"," ","","","","","","","","","","","","","","","","","","",""
"1990-06-01 21:00","1990","06","01","21:00"," ","","","","","","","","","","","","","","","","","","",""
"1990-06-01 22:00","1990","06","01","22:00"," ","","","","","","","","","","","","","","","","","","",""
"1990-06-01 23:00","1990","06","01","23:00"," ","","","","","","","","","","","","","","","","","","",""
"1990-06-02 00:00","1990","06","02","00:00"," ","","","","","","","","","","","","","","","","","","",""
"1990-06-02 01:00","1990","06","02","01:00"," ","","","","","","","","","","","","","","","","","","",""
"1990-06-02 02:00","1990","06","02","02:00"," ","","","","","","","","","","","","","","","","","","",""
"1990-06-02 03:00","1990","06","02","03:00"," ","","","","","","","","","","","","","","","","","","",""
"1990-06-02 04:00","1990","06","02","04:00"," ","","","","","","","","","","","","","","","","","","",""
"1990-06-02 05:00","1990","06","02","05:00"," ","","","","","","","","","","","","","","","","","","",""
"1990-06-02 06:00","1990","06","02","06:00"," ","","","","","","","","","","","","","","","","","","",""
"1990-06-02 07:00","1990","06","02","07:00"," ","","","","","","","","","","","","","","","","","","",""
"1990-06-02 08:00","1990","06","02","08:00"," ","","","","","","","","","","","","","","","","","","",""
"1990-06-02 09:00","1990","06","02","09:00"," ","","","","","","","","","","","","","","","","","","",""
"1990-06-02 10:00","1990","06","02","10:00"," ","","","","","","","","","","","","","","","","","","",""
"1990-06-02 11:00","1990","06","02","11:00"," ","","","","","","","","","","","","","","","","","","",""
"1990-06-02 12:00","1990","06","02","12:00"," ","","","","","","","","","","","","","","","","","","",""
"1990-06-02 13:00","1990","06","02","13:00"," ","","","","","","","","","","","","","","","","","","",""
"1990-06-02 14:00","1990","06","02","14:00"," ","","","","","","","","","","","","","","","","","","",""
"1990-06-02 15:00","1990","06","02","15:00"," ","","","","","","","","","","","","","","","","","","",""
"1990-06-02 16:00","1990","06","02","16:00"," ","","","","","","","","","","","","","","","","","","",""
"1990-06-02 17:00","1990","06","02","17:00"," ","","","","","","","","","","","","","","","","","","",""
"1990-06-02 18:00","1990","06","02","18:00"," ","","","","","","","","","","","","","","","","","","",""
"1990-06-02 19:00","1990","06","02","19:00"," ","","","","","","","","","","","","","","","","","","",""
"1990-06-02 20:00","1990","06","02","20:00"," ","","","","","","","","","","","","","","","","","","",""
"1990-06-02 21:00","1990","06","02","21:00"," ","","","","","","","","","","","","","","","","","","",""
"1990-06-02 22:00","1990","06","02","22:00"," ","","","","","","","","","","","","","","","","","","",""
"1990-06-02 23:00","1990","06","02","23:00"," ","","","","","","","","","","","","","","","","","","",""
"1990-06-03 00:00","1990","06","03","00:00"," ","","","","","","","","","","","","","","","","","","",""
"1990-06-03 01:00","1990","06","03","01:00"," ","","","","","","","","","","","","","","","","","","",""
"1990-06-03 02:00","1990","06","03","02:00"," ","","","","","","","","","","","","","","","","","","",""
"1990-06-03 03:00","1990","06","03","03:00"," ","","","","","","","","","","","","","","","","","","",""
"1990-06-03 04:00","1990","06","03","04:00"," ","","","","","","","","","","","","","","","","","","",""
"1990-06-03 05:00","1990","06","03","05:00"," ","","","","","","","","","","","","","","","","","","",""
"1990-06-03 06:00","1990","06","03","06:00"," ","","","","","","","","","","","","","","","","","","",""
"1990-06-03 07:00","1990","06","03","07:00"," ","","","","","","","","","","","","","","","","","","",""
"1990-06-03 08:00","1990","06","03","08:00"," ","","","","","","","","","","","","","","","","","","",""
"1990-06-03 09:00","1990","06","03","09:00"," ","","","","","","","","","","","","","","","","","","",""
"1990-06-03 10:00","1990","06","03","10:00"," ","","","","","","","","","","","","","","","","","","",""
"1990-06-03 11:00","1990","06","03","11:00"," ","","","","","","","","","","","","","","","","","","",""
"1990-06-03 12:00","1990","06","03","12:00"," ","","","","","","","","","","","","","","","","","","",""
"1990-06-03 13:00","1990","06","03","13:00"," ","","","","","","","","","","","","","","","","","","",""
"1990-06-03 14:00","1990","06","03","14:00"," ","","","","","","","","","","","","","","","","","","",""
"1990-06-03 15:00","1990","06","03","15:00"," ","","","","","","","","","","","","","","","","","","",""
"1990-06-03 16:00","1990","06","03","16:00"," ","","","","","","","","","","","","","","","","","","",""
"1990-06-03 17:00","1990","06","03","17:00"," ","","","","","","","","","","","","","","","","","","",""
"1990-06-03 18:00","1990","06","03","18:00"," ","","","","","","","","","","","","","","","","","","",""
"1990-06-03 19:00","1990","06","03","19:00"," ","","","","","","","","","","","","","","","","","","",""
"1990-06-03 20:00","1990","06","03","20:00"," ","","","","","","","","","","","","","","","","","","",""
"1990-06-03 21:00","1990","06","03","21:00"," ","","","","","","","","","","","","","","","","","","",""
"1990-06-03 22:00","1990","06","03","22:00"," ","","","","","","","","","","","","","","","","","","",""
"1990-06-03 23:00","1990","06","03","23:00"," ","","","","","","","","","","","","","","","","","","",""
"1990-06-04 00:00","1990","06","04","00:00"," ","","","","","","","","","","","","","","","","","","",""
"1990-06-04 01:00","1990","06","04","01:00"," ","","","","","","","","","","","","","","","","","","",""
"1990-06-04 02:00","1990","06","04","02:00"," ","","","","","","","","","","","","","","","","","","",""
"1990-06-04 03:00","1990","06","04","03:00"," ","","","","","","","","","","","","","","","","","","",""
"1990-06-04 04:00","1990","06","04","04:00"," ","","","","","","","","","","","","","","","","","","",""
"1990-06-04 05:00","1990","06","04","05:00"," ","","","","","","","","","","","","","","","","","","",""
"1990-06-04 06:00","1990","06","04","06:00"," ","","","","","","","","","","","","","","","","","","",""
"1990-06-04 07:00","1990","06","04","07:00"," ","","","","","","","","","","","","","","","","","","",""
"1990-06-04 08:00","1990","06","04","08:00"," ","","","","","","","","","","","","","","","","","","",""
"1990-06-04 09:00","1990","06","04","09:00"," ","-1,40","","-2,00","","96,00","","0,00","","0,00","","25,00","","99,22","","","","","","Nuageux"
"1990-06-04 10:00","1990","06","04","10:00"," ","-0,90","","-1,40","","96,00","","21,00","","9,00","","25,00","","99,22","","","","-4,00","","Nuageux"
"1990-06-04 11:00","1990","06","04","11:00"," ","-0,30","","-0,80","","96,00","","25,00","","9,00","","25,00","","99,22","","","","-3,00","","Nuageux"
