"Nom de la Station","RIVIERE-DU-LOUP"
"Province","QUEBEC"
"Latitude","47,81"
"Longitude","-69,55"
"Altitude","146,50"
"Identification Climat","7056616"
"Identification OMM","71715"
"Identification TC","WNH"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"1996-07-01 00:00","1996","07","01","00:00"," ","","","","","","","","","","","","","","","","","","",""
"1996-07-01 01:00","1996","07","01","01:00"," ","","","","","","","","","","","","","","","","","","",""
"1996-07-01 02:00","1996","07","01","02:00"," ","","","","","","","","","","","","","","","","","","",""
"1996-07-01 03:00","1996","07","01","03:00"," ","","","","","","","","","","","","","","","","","","",""
"1996-07-01 04:00","1996","07","01","04:00"," ","","","","","","","","","","","","","","","","","","",""
"1996-07-01 05:00","1996","07","01","05:00"," ","","","","","","","","","","","","","","","","","","",""
"1996-07-01 06:00","1996","07","01","06:00"," ","","","","","","","","","","","","","","","","","","",""
"1996-07-01 07:00","1996","07","01","07:00"," ","","","","","","","","","","","","","","","","","","",""
"1996-07-01 08:00","1996","07","01","08:00"," ","","","","","","","","","","","","","","","","","","",""
"1996-07-01 09:00","1996","07","01","09:00"," ","","","","","","","","","","","","","","","","","","",""
"1996-07-01 10:00","1996","07","01","10:00"," ","","","","","","","","","","","","","","","","","","",""
"1996-07-01 11:00","1996","07","01","11:00"," ","","","","","","","","","","","","","","","","","","",""
"1996-07-01 12:00","1996","07","01","12:00"," ","","","","","","","","","","","","","","","","","","",""
"1996-07-01 13:00","1996","07","01","13:00"," ","","","","","","","","","","","","","","","","","","",""
"1996-07-01 14:00","1996","07","01","14:00"," ","","","","","","","","","","","","","","","","","","",""
"1996-07-01 15:00","1996","07","01","15:00"," ","23,90","","15,80","","61,00","","23,00","","20,00","","4,80","","","M","28,00","","","","ND"
"1996-07-01 16:00","1996","07","01","16:00"," ","22,70","","14,90","","61,00","","22,00","","20,00","","8,00","","","M","27,00","","","","ND"
"1996-07-01 17:00","1996","07","01","17:00"," ","20,40","","14,40","","68,00","","28,00","","7,00","","9,70","","","M","","","","","ND"
"1996-07-01 18:00","1996","07","01","18:00"," ","23,40","","13,70","","54,00","","24,00","","17,00","","15,00","","","M","27,00","","","","ND"
"1996-07-01 19:00","1996","07","01","19:00"," ","22,40","","13,20","","56,00","","23,00","","11,00","","15,00","","","M","25,00","","","","ND"
"1996-07-01 20:00","1996","07","01","20:00"," ","18,90","","13,30","","70,00","","22,00","","4,00","","15,00","","","M","","","","","ND"
"1996-07-01 21:00","1996","07","01","21:00"," ","20,80","","12,10","","57,00","","29,00","","4,00","","15,00","","","M","","","","","ND"
"1996-07-01 22:00","1996","07","01","22:00"," ","20,70","","12,00","","57,00","","0,00","","0,00","","15,00","","","M","","","","","ND"
"1996-07-01 23:00","1996","07","01","23:00"," ","19,30","","11,90","","62,00","","0,00","","0,00","","15,00","","","M","","","","","ND"
"1996-07-02 00:00","1996","07","02","00:00"," ","18,60","","11,40","","63,00","","24,00","","4,00","","15,00","","","M","","","","","ND"
"1996-07-02 01:00","1996","07","02","01:00"," ","16,90","","11,10","","69,00","","0,00","","0,00","","15,00","","","M","","","","","ND"
"1996-07-02 02:00","1996","07","02","02:00"," ","16,60","","11,70","","73,00","","21,00","","6,00","","15,00","","","M","","","","","ND"
"1996-07-02 03:00","1996","07","02","03:00"," ","15,50","","12,20","","81,00","","21,00","","7,00","","15,00","","","M","","","","","ND"
