"Nom de la Station","PINCHER CREEK (AUT)"
"Province","ALBERTA"
"Latitude","49,52"
"Longitude","-114,00"
"Altitude","1189,60"
"Identification Climat","3035206"
"Identification OMM",""
"Identification TC","PPX"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2002-09-01 00:00","2002","09","01","00:00"," ","18,20","","7,10","","48,00","","25,00","","30,00","","15,00","","87,75","","","","","",""
"2002-09-01 01:00","2002","09","01","01:00"," ","17,60","","7,40","","51,00","","23,00","","22,00","","15,00","","87,70","","","","","",""
"2002-09-01 02:00","2002","09","01","02:00"," ","18,20","","7,30","","49,00","","23,00","","19,00","","15,00","","87,66","","","","","",""
"2002-09-01 03:00","2002","09","01","03:00"," ","16,80","","7,90","","56,00","","21,00","","13,00","","15,00","","87,58","","","","","",""
"2002-09-01 04:00","2002","09","01","04:00"," ","18,40","","7,20","","48,00","","25,00","","20,00","","15,00","","87,46","","","","","",""
"2002-09-01 05:00","2002","09","01","05:00"," ","18,80","","6,80","","46,00","","25,00","","43,00","","15,00","","87,33","","","","","",""
"2002-09-01 06:00","2002","09","01","06:00"," ","17,50","","7,40","","51,00","","25,00","","26,00","","15,00","","87,32","","","","","",""
"2002-09-01 07:00","2002","09","01","07:00"," ","17,30","","8,10","","55,00","","26,00","","22,00","","15,00","","87,29","","","","","",""
"2002-09-01 08:00","2002","09","01","08:00"," ","18,80","","8,10","","50,00","","27,00","","35,00","","15,00","","87,29","","","","","",""
"2002-09-01 09:00","2002","09","01","09:00"," ","18,90","","8,10","","49,00","","27,00","","26,00","","15,00","","87,29","","","","","",""
"2002-09-01 10:00","2002","09","01","10:00"," ","18,50","","7,80","","50,00","","26,00","","30,00","","15,00","","87,34","","","","","",""
"2002-09-01 11:00","2002","09","01","11:00"," ","18,70","","7,50","","48,00","","26,00","","32,00","","15,00","","87,36","","","","","",""
"2002-09-01 12:00","2002","09","01","12:00"," ","21,00","","8,50","","45,00","","24,00","","48,00","","15,00","","87,34","","","","","",""
"2002-09-01 13:00","2002","09","01","13:00"," ","19,50","","8,30","","48,00","","27,00","","35,00","","15,00","","87,49","","","","","",""
"2002-09-01 14:00","2002","09","01","14:00"," ","18,40","","8,20","","51,00","","26,00","","24,00","","15,00","","87,57","","","","","",""
"2002-09-01 15:00","2002","09","01","15:00"," ","14,80","","9,30","","70,00","","6,00","","11,00","","15,00","","87,65","","","","","",""
"2002-09-01 16:00","2002","09","01","16:00"," ","12,50","","8,20","","75,00","","9,00","","28,00","","15,00","","87,76","","","","","",""
"2002-09-01 17:00","2002","09","01","17:00"," ","11,70","","9,80","","88,00","","13,00","","19,00","","15,00","","87,86","","","","","",""
"2002-09-01 18:00","2002","09","01","18:00"," ","11,70","","8,40","","80,00","","14,00","","22,00","","15,00","","87,94","","","","","",""
"2002-09-01 19:00","2002","09","01","19:00"," ","9,90","","8,00","","88,00","","14,00","","9,00","","15,00","","88,00","","","","","",""
"2002-09-01 20:00","2002","09","01","20:00"," ","9,60","","7,20","","85,00","","21,00","","20,00","","15,00","","88,02","","","","","",""
"2002-09-01 21:00","2002","09","01","21:00"," ","7,80","","6,50","","91,00","","33,00","","4,00","","15,00","","88,05","","","","","",""
"2002-09-01 22:00","2002","09","01","22:00"," ","10,00","","4,50","","69,00","","22,00","","6,00","","15,00","","88,09","","","","","",""
"2002-09-01 23:00","2002","09","01","23:00"," ","10,40","","2,70","","59,00","","26,00","","20,00","","15,00","","88,10","","","","","",""
"2002-09-02 00:00","2002","09","02","00:00"," ","11,30","","2,00","","53,00","","26,00","","28,00","","15,00","","88,11","","","","","",""
