"Nom de la Station","VANCOUVER INT'L A"
"Province","BRITISH COLUMBIA"
"Latitude","49,20"
"Longitude","-123,18"
"Altitude","4,30"
"Identification Climat","1108447"
"Identification OMM","71892"
"Identification TC","YVR"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"1978-11-01 00:00","1978","11","01","00:00"," ","8,50","","6,20","","86,00","","1,00","","4,00","","24,10","","102,38","","","","","","Nuageux"
"1978-11-01 01:00","1978","11","01","01:00"," ","8,70","","5,60","","81,00","","9,00","","6,00","","24,10","","102,41","","","","","","Nuageux"
"1978-11-01 02:00","1978","11","01","02:00"," ","8,20","","5,90","","85,00","","10,00","","9,00","","24,10","","102,38","","","","","","Nuageux"
"1978-11-01 03:00","1978","11","01","03:00"," ","7,90","","5,60","","86,00","","10,00","","9,00","","24,10","","102,38","","","","","","Nuageux"
"1978-11-01 04:00","1978","11","01","04:00"," ","7,90","","5,50","","85,00","","11,00","","9,00","","24,10","","102,34","","","","","","Généralement nuageux"
"1978-11-01 05:00","1978","11","01","05:00"," ","6,60","","4,20","","85,00","","11,00","","11,00","","24,10","","102,34","","","","","","Généralement nuageux"
"1978-11-01 06:00","1978","11","01","06:00"," ","6,00","","3,10","","82,00","","6,00","","9,00","","24,10","","102,38","","","","","","Généralement dégagé"
"1978-11-01 07:00","1978","11","01","07:00"," ","4,90","","2,70","","86,00","","9,00","","9,00","","24,10","","102,34","","","","","","Généralement dégagé"
"1978-11-01 08:00","1978","11","01","08:00"," ","5,50","","3,20","","85,00","","9,00","","7,00","","24,10","","102,41","","","","","","Généralement dégagé"
"1978-11-01 09:00","1978","11","01","09:00"," ","8,30","","5,80","","84,00","","10,00","","13,00","","24,10","","102,38","","","","","","Généralement nuageux"
"1978-11-01 10:00","1978","11","01","10:00"," ","9,20","","5,80","","79,00","","11,00","","9,00","","24,10","","102,38","","","","","","Généralement dégagé"
"1978-11-01 11:00","1978","11","01","11:00"," ","12,60","","5,50","","62,00","","13,00","","9,00","","24,10","","102,38","","","","","","Généralement dégagé"
"1978-11-01 12:00","1978","11","01","12:00"," ","12,50","","5,10","","61,00","","14,00","","11,00","","24,10","","102,34","","","","","","Généralement nuageux"
"1978-11-01 13:00","1978","11","01","13:00"," ","13,00","","3,70","","53,00","","14,00","","11,00","","24,10","","102,27","","","","","","Généralement nuageux"
"1978-11-01 14:00","1978","11","01","14:00"," ","12,90","","4,20","","56,00","","13,00","","11,00","","24,10","","102,17","","","","","","Généralement nuageux"
"1978-11-01 15:00","1978","11","01","15:00"," ","12,90","","6,00","","63,00","","12,00","","7,00","","24,10","","102,14","","","","","","Généralement nuageux"
"1978-11-01 16:00","1978","11","01","16:00"," ","12,40","","7,30","","71,00","","11,00","","2,00","","24,10","","102,07","","","","","","Généralement nuageux"
"1978-11-01 17:00","1978","11","01","17:00"," ","11,60","","6,80","","72,00","","16,00","","6,00","","24,10","","102,04","","","","","","Généralement nuageux"
"1978-11-01 18:00","1978","11","01","18:00"," ","11,00","","6,80","","75,00","","12,00","","6,00","","24,10","","102,04","","","","","","Généralement nuageux"
"1978-11-01 19:00","1978","11","01","19:00"," ","9,00","","5,80","","80,00","","9,00","","11,00","","24,10","","101,97","","","","","","Généralement nuageux"
"1978-11-01 20:00","1978","11","01","20:00"," ","7,40","","4,80","","83,00","","9,00","","13,00","","24,10","","102,04","","","","","","Généralement nuageux"
"1978-11-01 21:00","1978","11","01","21:00"," ","8,00","","5,20","","83,00","","9,00","","7,00","","24,10","","102,04","","","","","","Généralement dégagé"
"1978-11-01 22:00","1978","11","01","22:00"," ","7,40","","4,70","","83,00","","9,00","","15,00","","24,10","","101,97","","","","","","Généralement dégagé"
"1978-11-01 23:00","1978","11","01","23:00"," ","8,40","","6,00","","85,00","","9,00","","15,00","","24,10","","101,97","","","","","","Généralement nuageux"
"1978-11-02 00:00","1978","11","02","00:00"," ","9,20","","5,60","","78,00","","9,00","","17,00","","24,10","","101,94","","","","","","Nuageux"
"1978-11-02 01:00","1978","11","02","01:00"," ","7,90","","5,20","","83,00","","10,00","","13,00","","24,10","","101,97","","","","","","Nuageux"
"1978-11-02 02:00","1978","11","02","02:00"," ","8,60","","5,20","","79,00","","10,00","","17,00","","24,10","","101,97","","","","","","Nuageux"
"1978-11-02 03:00","1978","11","02","03:00"," ","8,50","","5,30","","80,00","","9,00","","22,00","","24,10","","101,94","","","","","","Nuageux"
"1978-11-02 04:00","1978","11","02","04:00"," ","8,70","","5,30","","79,00","","9,00","","19,00","","24,10","","101,94","","","","","","Généralement nuageux"
"1978-11-02 05:00","1978","11","02","05:00"," ","8,50","","5,20","","80,00","","10,00","","22,00","","24,10","","101,77","","","","","","Généralement nuageux"
"1978-11-02 06:00","1978","11","02","06:00"," ","8,90","","5,30","","78,00","","9,00","","22,00","","24,10","","101,80","","","","","","Averses de pluie"
"1978-11-02 07:00","1978","11","02","07:00"," ","8,80","","6,70","","87,00","","9,00","","20,00","","8,00","","101,83","","","","","","Pluie modérée,Brouillard,Fumée"
"1978-11-02 08:00","1978","11","02","08:00"," ","8,40","","6,60","","89,00","","9,00","","19,00","","2,40","","101,97","","","","","","Pluie,Brouillard,Fumée"
"1978-11-02 09:00","1978","11","02","09:00"," ","8,20","","7,00","","92,00","","9,00","","17,00","","2,00","","102,04","","","","","","Pluie,Brouillard,Fumée"
"1978-11-02 10:00","1978","11","02","10:00"," ","8,60","","7,30","","91,00","","8,00","","20,00","","2,00","","102,04","","","","","","Pluie,Brouillard,Fumée"
"1978-11-02 11:00","1978","11","02","11:00"," ","8,80","","7,40","","91,00","","9,00","","13,00","","2,00","","102,10","","","","","","Pluie,Brouillard,Fumée"
"1978-11-02 12:00","1978","11","02","12:00"," ","9,00","","7,80","","92,00","","8,00","","17,00","","3,20","","102,07","","","","","","Pluie,Brouillard,Fumée"
"1978-11-02 13:00","1978","11","02","13:00"," ","9,10","","7,80","","91,00","","9,00","","7,00","","4,00","","102,07","","","","","","Pluie,Brouillard,Fumée"
"1978-11-02 14:00","1978","11","02","14:00"," ","9,00","","7,80","","92,00","","3,00","","9,00","","1,60","","102,10","","","","","","Pluie,Brouillard,Fumée"
"1978-11-02 15:00","1978","11","02","15:00"," ","9,20","","8,10","","93,00","","5,00","","9,00","","2,40","","102,17","","","","","","Pluie,Brouillard,Fumée"
"1978-11-02 16:00","1978","11","02","16:00"," ","9,30","","8,00","","92,00","","7,00","","7,00","","6,40","","102,21","","","","","","Brouillard,Fumée"
"1978-11-02 17:00","1978","11","02","17:00"," ","9,30","","7,90","","91,00","","36,00","","4,00","","8,00","","102,27","","","","","","Pluie,Brouillard,Fumée"
"1978-11-02 18:00","1978","11","02","18:00"," ","9,20","","8,10","","93,00","","4,00","","6,00","","6,40","","102,31","","","","","","Brouillard,Fumée"
"1978-11-02 19:00","1978","11","02","19:00"," ","8,90","","8,10","","95,00","","9,00","","7,00","","4,80","","102,38","","","","","","Brouillard,Fumée"
"1978-11-02 20:00","1978","11","02","20:00"," ","8,90","","8,00","","94,00","","0,00","","0,00","","6,40","","102,38","","","","","","Brouillard,Fumée"
"1978-11-02 21:00","1978","11","02","21:00"," ","8,90","","7,90","","93,00","","17,00","","4,00","","6,40","","102,44","","","","","","Brouillard,Fumée"
"1978-11-02 22:00","1978","11","02","22:00"," ","8,90","","8,10","","95,00","","0,00","","0,00","","4,00","","102,48","","","","","","Brouillard,Fumée"
"1978-11-02 23:00","1978","11","02","23:00"," ","8,80","","8,10","","96,00","","27,00","","7,00","","2,80","","102,51","","","","","","Brouillard,Fumée"
"1978-11-03 00:00","1978","11","03","00:00"," ","8,80","","7,90","","94,00","","0,00","","0,00","","2,40","","102,51","","","","","","Brouillard,Fumée"
"1978-11-03 01:00","1978","11","03","01:00"," ","8,80","","8,00","","95,00","","0,00","","0,00","","2,00","","102,51","","","","","","Brouillard,Fumée"
"1978-11-03 02:00","1978","11","03","02:00"," ","8,50","","7,70","","95,00","","17,00","","2,00","","2,00","","102,51","","","","","","Brouillard,Fumée"
"1978-11-03 03:00","1978","11","03","03:00"," ","8,00","","6,90","","93,00","","0,00","","0,00","","1,60","","102,51","","","","","","Brouillard,Fumée"
"1978-11-03 04:00","1978","11","03","04:00"," ","8,10","","7,40","","95,00","","13,00","","4,00","","1,60","","102,48","","","","","","Brouillard,Fumée"
"1978-11-03 05:00","1978","11","03","05:00"," ","7,30","","6,90","","97,00","","36,00","","7,00","","0,40","","102,54","","","","","","Brouillard"
"1978-11-03 06:00","1978","11","03","06:00"," ","7,30","","6,60","","96,00","","0,00","","0,00","","0,20","","102,48","","","","","","Brouillard"
"1978-11-03 07:00","1978","11","03","07:00"," ","7,70","","7,10","","96,00","","0,00","","0,00","","0,40","","102,48","","","","","","Brouillard"
"1978-11-03 08:00","1978","11","03","08:00"," ","8,20","","7,40","","94,00","","0,00","","0,00","","1,20","","102,48","","","","","","Brouillard"
"1978-11-03 09:00","1978","11","03","09:00"," ","8,40","","7,60","","95,00","","0,00","","0,00","","2,00","","102,41","","","","","","Brouillard"
