"Nom de la Station","CARIBOU POINT (AUT)"
"Province","NOVA SCOTIA"
"Latitude","45,77"
"Longitude","-62,68"
"Altitude","2,40"
"Identification Climat","8200774"
"Identification OMM","71415"
"Identification TC","WBK"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2004-12-01 00:00","2004","12","01","00:00"," ","-0,70","","-1,80","","92,00","","23,00","","7,00","","","M","102,23","","","","-3,00","","ND"
"2004-12-01 01:00","2004","12","01","01:00"," ","-0,60","","-1,80","","92,00","","22,00","","11,00","","","M","102,18","","","","-4,00","","ND"
"2004-12-01 02:00","2004","12","01","02:00"," ","-0,40","","-1,50","","92,00","","21,00","","7,00","","","M","102,11","","","","-3,00","","ND"
"2004-12-01 03:00","2004","12","01","03:00"," ","-0,60","","-1,70","","92,00","","22,00","","9,00","","","M","102,14","","","","-4,00","","ND"
"2004-12-01 04:00","2004","12","01","04:00"," ","-1,00","","-2,00","","93,00","","23,00","","13,00","","","M","102,10","","","","-5,00","","ND"
"2004-12-01 05:00","2004","12","01","05:00"," ","-1,20","","-2,20","","93,00","","23,00","","11,00","","","M","102,03","","","","-5,00","","ND"
"2004-12-01 06:00","2004","12","01","06:00"," ","-1,10","","-2,00","","94,00","","22,00","","13,00","","","M","101,96","","","","-5,00","","ND"
"2004-12-01 07:00","2004","12","01","07:00"," ","-0,80","","-1,60","","94,00","","22,00","","7,00","","","M","101,96","","","","-3,00","","ND"
"2004-12-01 08:00","2004","12","01","08:00"," ","-0,90","","-1,80","","94,00","","22,00","","13,00","","","M","101,94","","","","-5,00","","ND"
"2004-12-01 09:00","2004","12","01","09:00"," ","0,30","","-0,70","","93,00","","20,00","","11,00","","","M","101,88","","","","","","ND"
"2004-12-01 10:00","2004","12","01","10:00"," ","1,10","","-0,20","","91,00","","19,00","","11,00","","","M","101,82","","","","","","ND"
"2004-12-01 11:00","2004","12","01","11:00"," ","1,50","","-0,10","","89,00","","16,00","","11,00","","","M","101,65","","","","","","ND"
"2004-12-01 12:00","2004","12","01","12:00"," ","3,10","","1,30","","88,00","","17,00","","20,00","","","M","101,47","","","","","","ND"
"2004-12-01 13:00","2004","12","01","13:00"," ","3,50","","2,00","","90,00","","18,00","","20,00","","","M","101,38","","","","","","ND"
"2004-12-01 14:00","2004","12","01","14:00"," ","3,60","","2,10","","90,00","","19,00","","19,00","","","M","101,39","","","","","","ND"
"2004-12-01 15:00","2004","12","01","15:00"," ","3,40","","1,90","","90,00","","16,00","","24,00","","","M","101,25","","","","","","ND"
"2004-12-01 16:00","2004","12","01","16:00"," ","3,30","","1,90","","91,00","","15,00","","28,00","","","M","101,19","","","","","","ND"
"2004-12-01 17:00","2004","12","01","17:00"," ","3,20","","2,00","","92,00","","15,00","","30,00","","","M","101,03","","","","","","ND"
"2004-12-01 18:00","2004","12","01","18:00"," ","3,00","","1,70","","91,00","","15,00","","39,00","","","M","100,77","","","","","","ND"
"2004-12-01 19:00","2004","12","01","19:00"," ","2,60","","1,50","","92,00","","15,00","","41,00","","","M","100,52","","","","","","ND"
"2004-12-01 20:00","2004","12","01","20:00"," ","3,50","","2,10","","91,00","","13,00","","48,00","","","M","100,06","","","","","","ND"
"2004-12-01 21:00","2004","12","01","21:00"," ","4,30","","2,00","","85,00","","15,00","","57,00","","","M","99,78","","","","","","ND"
"2004-12-01 22:00","2004","12","01","22:00"," ","5,30","","2,80","","84,00","","15,00","","56,00","","","M","99,43","","","","","","ND"
"2004-12-01 23:00","2004","12","01","23:00"," ","6,20","","4,20","","87,00","","15,00","","54,00","","","M","99,17","","","","","","ND"
"2004-12-02 00:00","2004","12","02","00:00"," ","7,20","","5,30","","88,00","","16,00","","56,00","","","M","98,84","","","","","","ND"
"2004-12-02 01:00","2004","12","02","01:00"," ","8,30","","7,10","","92,00","","17,00","","46,00","","","M","98,62","","","","","","ND"
"2004-12-02 02:00","2004","12","02","02:00"," ","9,00","","7,70","","92,00","","21,00","","30,00","","","M","98,56","","","","","","ND"
"2004-12-02 03:00","2004","12","02","03:00"," ","8,50","","5,60","","82,00","","23,00","","20,00","","","M","98,57","","","","","","ND"
"2004-12-02 04:00","2004","12","02","04:00"," ","7,50","","4,60","","82,00","","25,00","","24,00","","","M","98,67","","","","","","ND"
"2004-12-02 05:00","2004","12","02","05:00"," ","5,80","","2,40","","79,00","","26,00","","35,00","","","M","98,82","","","","","","ND"
"2004-12-02 06:00","2004","12","02","06:00"," ","4,40","","1,00","","79,00","","27,00","","39,00","","","M","98,97","","","","","","ND"
"2004-12-02 07:00","2004","12","02","07:00"," ","3,90","","-0,50","","73,00","","27,00","","37,00","","","M","99,15","","","","","","ND"
"2004-12-02 08:00","2004","12","02","08:00"," ","3,80","","-1,10","","70,00","","27,00","","41,00","","","M","99,34","","","","","","ND"
"2004-12-02 09:00","2004","12","02","09:00"," ","3,70","","-1,40","","69,00","","28,00","","54,00","","","M","99,50","","","","","","ND"
"2004-12-02 10:00","2004","12","02","10:00"," ","3,70","","-1,50","","69,00","","28,00","","54,00","","","M","99,65","","","","","","ND"
"2004-12-02 11:00","2004","12","02","11:00"," ","4,40","","-1,60","","65,00","","28,00","","46,00","","","M","99,76","","","","","","ND"
"2004-12-02 12:00","2004","12","02","12:00"," ","4,30","","-2,40","","62,00","","27,00","","44,00","","","M","99,76","","","","","","ND"
"2004-12-02 13:00","2004","12","02","13:00"," ","4,10","","-3,00","","60,00","","28,00","","46,00","","","M","99,81","","","","","","ND"
"2004-12-02 14:00","2004","12","02","14:00"," ","4,30","","-2,80","","60,00","","28,00","","44,00","","","M","99,85","","","","","","ND"
"2004-12-02 15:00","2004","12","02","15:00"," ","4,40","","-3,10","","58,00","","28,00","","33,00","","","M","99,98","","","","","","ND"
"2004-12-02 16:00","2004","12","02","16:00"," ","3,80","","-5,20","","52,00","","27,00","","39,00","","","M","100,06","","","","","","ND"
"2004-12-02 17:00","2004","12","02","17:00"," ","3,00","","-6,00","","52,00","","27,00","","39,00","","","M","100,19","","","","","","ND"
"2004-12-02 18:00","2004","12","02","18:00"," ","2,40","","-5,50","","56,00","","28,00","","46,00","","","M","100,29","","","","","","ND"
"2004-12-02 19:00","2004","12","02","19:00"," ","1,70","","-5,70","","58,00","","28,00","","59,00","","","M","100,40","","","","","","ND"
"2004-12-02 20:00","2004","12","02","20:00"," ","0,50","","-6,10","","61,00","","28,00","","43,00","","","M","100,51","","","","","","ND"
"2004-12-02 21:00","2004","12","02","21:00"," ","-0,50","","-8,00","","57,00","","27,00","","48,00","","","M","100,60","","","","-9,00","","ND"
"2004-12-02 22:00","2004","12","02","22:00"," ","-0,90","","-8,70","","55,00","","28,00","","50,00","","","M","100,66","","","","-9,00","","ND"
"2004-12-02 23:00","2004","12","02","23:00"," ","-1,40","","-7,80","","62,00","","27,00","","37,00","","","M","100,75","","","","-9,00","","ND"
"2004-12-03 00:00","2004","12","03","00:00"," ","-1,50","","-7,10","","66,00","","28,00","","46,00","","","M","100,82","","","","-10,00","","ND"
"2004-12-03 01:00","2004","12","03","01:00"," ","-3,10","","-9,00","","64,00","","26,00","","26,00","","","M","100,87","","","","-10,00","","ND"
"2004-12-03 02:00","2004","12","03","02:00"," ","-2,90","","-7,60","","70,00","","28,00","","41,00","","","M","100,92","","","","-11,00","","ND"
"2004-12-03 03:00","2004","12","03","03:00"," ","-4,30","","-9,90","","65,00","","27,00","","33,00","","","M","100,97","","","","-12,00","","ND"
"2004-12-03 04:00","2004","12","03","04:00"," ","-5,50","","-11,30","","64,00","","25,00","","19,00","","","M","101,03","","","","-12,00","","ND"
"2004-12-03 05:00","2004","12","03","05:00"," ","-5,70","","-11,60","","63,00","","27,00","","24,00","","","M","101,02","","","","-13,00","","ND"
"2004-12-03 06:00","2004","12","03","06:00"," ","-6,40","","-12,70","","61,00","","25,00","","17,00","","","M","101,06","","","","-13,00","","ND"
"2004-12-03 07:00","2004","12","03","07:00"," ","-6,40","","-13,30","","58,00","","26,00","","20,00","","","M","101,11","","","","-13,00","","ND"
"2004-12-03 08:00","2004","12","03","08:00"," ","-6,60","","-13,60","","57,00","","26,00","","20,00","","","M","101,14","","","","-14,00","","ND"
"2004-12-03 09:00","2004","12","03","09:00"," ","-6,20","","-13,70","","55,00","","26,00","","17,00","","","M","101,17","","","","-12,00","","ND"
"2004-12-03 10:00","2004","12","03","10:00"," ","-5,00","","-11,90","","58,00","","27,00","","20,00","","","M","101,14","","","","-12,00","","ND"
"2004-12-03 11:00","2004","12","03","11:00"," ","-4,00","","-12,00","","54,00","","27,00","","22,00","","","M","101,11","","","","-11,00","","ND"
"2004-12-03 12:00","2004","12","03","12:00"," ","-4,00","","-9,20","","67,00","","29,00","","30,00","","","M","101,05","","","","-12,00","","ND"
"2004-12-03 13:00","2004","12","03","13:00"," ","-3,50","","-9,10","","65,00","","28,00","","20,00","","","M","100,96","","","","-10,00","","ND"
"2004-12-03 14:00","2004","12","03","14:00"," ","-3,60","","-9,10","","66,00","","29,00","","26,00","","","M","100,87","","","","-11,00","","ND"
"2004-12-03 15:00","2004","12","03","15:00"," ","-3,80","","-9,80","","63,00","","30,00","","24,00","","","M","100,83","","","","-11,00","","ND"
"2004-12-03 16:00","2004","12","03","16:00"," ","-3,80","","-8,70","","69,00","","31,00","","24,00","","","M","100,83","","","","-11,00","","ND"
"2004-12-03 17:00","2004","12","03","17:00"," ","-3,80","","-8,50","","70,00","","31,00","","20,00","","","M","100,87","","","","-10,00","","ND"
"2004-12-03 18:00","2004","12","03","18:00"," ","-4,00","","-8,80","","69,00","","32,00","","22,00","","","M","100,90","","","","-11,00","","ND"
"2004-12-03 19:00","2004","12","03","19:00"," ","-4,10","","-10,80","","60,00","","34,00","","19,00","","","M","100,90","","","","-10,00","","ND"
"2004-12-03 20:00","2004","12","03","20:00"," ","-4,80","","-10,70","","63,00","","36,00","","15,00","","","M","100,94","","","","-10,00","","ND"
"2004-12-03 21:00","2004","12","03","21:00"," ","-4,70","","-10,30","","65,00","","34,00","","20,00","","","M","100,96","","","","-11,00","","ND"
"2004-12-03 22:00","2004","12","03","22:00"," ","-4,70","","-10,20","","65,00","","34,00","","22,00","","","M","100,96","","","","-12,00","","ND"
"2004-12-03 23:00","2004","12","03","23:00"," ","-4,40","","-8,50","","73,00","","34,00","","20,00","","","M","100,96","","","","-11,00","","ND"
"2004-12-04 00:00","2004","12","04","00:00"," ","-4,20","","-8,00","","75,00","","34,00","","20,00","","","M","100,97","","","","-11,00","","ND"
"2004-12-04 01:00","2004","12","04","01:00"," ","-4,20","","-8,00","","75,00","","32,00","","24,00","","","M","100,96","","","","-11,00","","ND"
"2004-12-04 02:00","2004","12","04","02:00"," ","-4,10","","-8,00","","74,00","","33,00","","24,00","","","M","100,97","","","","-11,00","","ND"
"2004-12-04 03:00","2004","12","04","03:00"," ","-4,00","","-7,60","","76,00","","31,00","","26,00","","","M","101,01","","","","-11,00","","ND"
"2004-12-04 04:00","2004","12","04","04:00"," ","-4,10","","-7,30","","78,00","","30,00","","32,00","","","M","101,11","","","","-12,00","","ND"
"2004-12-04 05:00","2004","12","04","05:00"," ","-4,50","","-7,40","","80,00","","30,00","","33,00","","","M","101,19","","","","-13,00","","ND"
"2004-12-04 06:00","2004","12","04","06:00"," ","-5,60","","-8,10","","83,00","","26,00","","19,00","","","M","101,30","","","","-12,00","","ND"
"2004-12-04 07:00","2004","12","04","07:00"," ","-6,60","","-9,30","","81,00","","26,00","","19,00","","","M","101,35","","","","-13,00","","ND"
"2004-12-04 08:00","2004","12","04","08:00"," ","-7,70","","-11,60","","74,00","","26,00","","17,00","","","M","101,45","","","","-14,00","","ND"
"2004-12-04 09:00","2004","12","04","09:00"," ","-6,70","","-10,60","","74,00","","26,00","","17,00","","","M","101,50","","","","-13,00","","ND"
"2004-12-04 10:00","2004","12","04","10:00"," ","-6,10","","-10,00","","74,00","","27,00","","17,00","","","M","101,58","","","","-12,00","","ND"
"2004-12-04 11:00","2004","12","04","11:00"," ","-5,40","","-9,50","","73,00","","27,00","","20,00","","","M","101,61","","","","-12,00","","ND"
"2004-12-04 12:00","2004","12","04","12:00"," ","-4,60","","-8,40","","75,00","","28,00","","26,00","","","M","101,61","","","","-12,00","","ND"
"2004-12-04 13:00","2004","12","04","13:00"," ","-4,50","","-8,60","","73,00","","29,00","","22,00","","","M","101,60","","","","-11,00","","ND"
"2004-12-04 14:00","2004","12","04","14:00"," ","-4,40","","-8,40","","74,00","","28,00","","19,00","","","M","101,58","","","","-11,00","","ND"
"2004-12-04 15:00","2004","12","04","15:00"," ","-4,00","","-9,10","","68,00","","28,00","","17,00","","","M","101,60","","","","-10,00","","ND"
"2004-12-04 16:00","2004","12","04","16:00"," ","-4,90","","-10,20","","66,00","","25,00","","6,00","","","M","101,63","","","","-8,00","","ND"
"2004-12-04 17:00","2004","12","04","17:00"," ","-4,70","","-10,00","","66,00","","16,00","","4,00","","","M","101,58","","","","-6,00","","ND"
"2004-12-04 18:00","2004","12","04","18:00"," ","-4,30","","-9,10","","69,00","","17,00","","7,00","","","M","101,63","","","","-7,00","","ND"
"2004-12-04 19:00","2004","12","04","19:00"," ","-2,70","","-7,30","","71,00","","17,00","","11,00","","","M","101,60","","","","-7,00","","ND"
"2004-12-04 20:00","2004","12","04","20:00"," ","-3,00","","-7,20","","73,00","","20,00","","7,00","","","M","101,59","","","","-6,00","","ND"
"2004-12-04 21:00","2004","12","04","21:00"," ","-2,50","","-6,60","","73,00","","20,00","","13,00","","","M","101,54","","","","-7,00","","ND"
"2004-12-04 22:00","2004","12","04","22:00"," ","-1,70","","-4,70","","80,00","","18,00","","15,00","","","M","101,48","","","","-7,00","","ND"
"2004-12-04 23:00","2004","12","04","23:00"," ","-0,70","","-3,20","","83,00","","18,00","","30,00","","","M","101,38","","","","-7,00","","ND"
"2004-12-05 00:00","2004","12","05","00:00"," ","-0,60","","-3,00","","84,00","","19,00","","24,00","","","M","101,33","","","","-7,00","","ND"
"2004-12-05 01:00","2004","12","05","01:00"," ","-0,30","","-2,70","","84,00","","18,00","","24,00","","","M","101,18","","","","-6,00","","ND"
"2004-12-05 02:00","2004","12","05","02:00"," ","1,20","","-1,60","","82,00","","17,00","","28,00","","","M","101,04","","","","","","ND"
"2004-12-05 03:00","2004","12","05","03:00"," ","1,80","","-0,60","","84,00","","16,00","","33,00","","","M","100,95","","","","","","ND"
"2004-12-05 04:00","2004","12","05","04:00"," ","1,50","","-0,40","","87,00","","15,00","","26,00","","","M","100,87","","","","","","ND"
"2004-12-05 05:00","2004","12","05","05:00"," ","0,70","","-0,70","","90,00","","22,00","","17,00","","","M","100,87","","","","","","ND"
"2004-12-05 06:00","2004","12","05","06:00"," ","1,00","","0,10","","94,00","","18,00","","17,00","","","M","100,75","","","","","","ND"
"2004-12-05 07:00","2004","12","05","07:00"," ","1,40","","0,50","","94,00","","20,00","","17,00","","","M","100,70","","","","","","ND"
"2004-12-05 08:00","2004","12","05","08:00"," ","1,60","","0,50","","92,00","","21,00","","20,00","","","M","100,67","","","","","","ND"
"2004-12-05 09:00","2004","12","05","09:00"," ","2,20","","0,50","","89,00","","21,00","","20,00","","","M","100,65","","","","","","ND"
"2004-12-05 10:00","2004","12","05","10:00"," ","2,90","","0,60","","85,00","","20,00","","24,00","","","M","100,53","","","","","","ND"
"2004-12-05 11:00","2004","12","05","11:00"," ","4,20","","1,10","","80,00","","22,00","","19,00","","","M","100,45","","","","","","ND"
"2004-12-05 12:00","2004","12","05","12:00"," ","4,10","","1,00","","80,00","","24,00","","13,00","","","M","100,38","","","","","","ND"
"2004-12-05 13:00","2004","12","05","13:00"," ","4,20","","1,30","","81,00","","22,00","","17,00","","","M","100,30","","","","","","ND"
"2004-12-05 14:00","2004","12","05","14:00"," ","4,60","","1,50","","80,00","","23,00","","15,00","","","M","100,28","","","","","","ND"
"2004-12-05 15:00","2004","12","05","15:00"," ","5,30","","1,20","","75,00","","24,00","","19,00","","","M","100,30","","","","","","ND"
"2004-12-05 16:00","2004","12","05","16:00"," ","4,30","","1,40","","81,00","","27,00","","15,00","","","M","100,38","","","","","","ND"
"2004-12-05 17:00","2004","12","05","17:00"," ","4,10","","-1,80","","65,00","","27,00","","39,00","","","M","100,46","","","","","","ND"
"2004-12-05 18:00","2004","12","05","18:00"," ","0,60","","-4,20","","70,00","","31,00","","69,00","","","M","100,70","","","","","","ND"
"2004-12-05 19:00","2004","12","05","19:00"," ","-1,20","","-8,20","","59,00","","30,00","","76,00","","","M","100,97","","","","-11,00","","ND"
"2004-12-05 20:00","2004","12","05","20:00"," ","-2,50","","-7,90","","66,00","","30,00","","67,00","","","M","101,17","","","","-13,00","","ND"
